DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,21.65,22.22,21.56,22.04,2657990,22.04
2012-01-04,22.02,22.76,21.91,22.66,2834985,22.66
2012-01-05,22.47,22.89,22.27,22.76,2659172,22.76
2012-01-06,22.79,23.11,22.64,22.69,2410281,22.69
2012-01-09,22.82,23.06,22.58,23.03,2379302,23.03
2012-01-10,23.39,23.64,23.36,23.53,2761506,23.53
2012-01-11,23.32,23.67,23.25,23.48,1765314,23.48
2012-01-12,23.62,23.71,23.24,23.68,1852662,23.68
2012-01-13,23.21,23.21,22.35,22.94,3174719,22.94
2012-01-17,23.2,23.27,22.54,22.95,3363775,22.95
2012-01-18,22.83,23.14,22.75,22.86,1889818,22.86
2012-01-19,23.25,23.27,22.97,23.05,2386794,23.05
2012-01-20,23.09,23.1,22.76,22.82,2523649,22.82
2012-01-23,22.96,23,22.48,22.69,2543371,22.69
2012-01-24,22.03,22.07,21.61,21.85,4525564,21.85
2012-01-25,22,22.7,21.86,22.66,3250925,22.66
2012-01-26,22.82,23.1,22.8,22.98,3688639,22.98
2012-01-27,22.83,22.99,22.76,22.76,2972406,22.76
2012-01-30,22.5,22.8,22.45,22.67,2311424,22.67
2012-01-31,22.82,22.92,22.49,22.55,3010788,22.55
2012-02-01,22.87,23.2,22.61,22.65,3084633,22.65
2012-02-02,22.63,22.83,22.51,22.58,1885060,22.58
2012-02-03,22.92,23.31,22.9,23.17,2362514,23.17
2012-02-06,22.83,22.84,22.27,22.32,2980751,22.32
2012-02-07,22.25,22.32,21.97,22.15,2838041,22.15
2012-02-08,22.19,22.27,21.86,21.95,2618058,21.95
2012-02-09,22.03,22.5,21.95,22.28,2699195,22.28
2012-02-10,22,22.17,21.83,22.05,1840807,22.05
2012-02-13,22.27,22.35,21.78,21.94,2976102,21.94
2012-02-14,21.75,22,21.58,21.82,1732788,21.82
2012-02-15,21.85,21.9,21.03,21.19,3171177,21.19
2012-02-16,21.21,21.54,21.21,21.52,1666040,21.52
2012-02-17,21.73,21.95,21.55,21.59,2339597,21.59
2012-02-21,21.21,21.37,21,21.15,4691181,21.15
2012-02-22,21.09,21.42,21.07,21.33,1806546,21.33
2012-02-23,21.33,21.75,21.21,21.69,2216490,21.69
2012-02-24,21.7,21.95,21.64,21.66,1937360,21.66
2012-02-27,21.41,22.02,21.35,21.84,2110812,21.84
2012-02-28,21.9,21.9,21.47,21.52,2690502,21.52
2012-02-29,21.6,21.7,21,21.01,4471157,21.01
2012-03-01,21.12,21.29,21,21.09,2560639,21.09
2012-03-02,21.08,21.19,20.75,20.76,2013043,20.76
2012-03-05,20.76,20.8,20.27,20.46,2522469,20.46
2012-03-06,20.1,20.38,20,20.16,3095866,20.16
2012-03-07,20.21,20.37,20.14,20.25,1866402,20.25
2012-03-08,20.45,21.03,20.14,20.89,3510895,20.89
2012-03-09,21,21.05,20.61,20.9,3003277,20.9
2012-03-12,20.93,21.02,20.6,20.62,1734209,20.62
2012-03-13,20.46,20.84,20.36,20.81,3079909,20.81
2012-03-14,20.75,20.8,20.11,20.21,2581542,20.21
2012-03-15,20.26,21.96,20.22,21.92,6927291,21.92
2012-03-16,22.1,22.53,21.91,22.25,5836631,22.25
2012-03-19,22.15,22.3,22.02,22.07,1499004,22.07
2012-03-20,21.75,21.83,21.43,21.73,2119693,21.73
2012-03-21,21.75,21.84,21.53,21.76,1537803,21.76
2012-03-22,21.43,21.49,20.85,21.02,2292562,21.02
2012-03-23,21.07,21.24,20.83,21.17,2531628,21.17
2012-03-26,21.47,21.58,21.26,21.55,5624271,21.55
2012-03-27,21.65,22.16,21.58,22.06,3164533,22.06
2012-03-28,21.99,22,21.36,21.52,2361839,21.52
2012-03-29,21.33,21.6,21.02,21.59,5673724,21.59
2012-03-30,21.71,21.78,21.45,21.52,3166869,21.52
2012-04-02,21.36,22.27,21.31,22.12,2798248,22.12
2012-04-03,22.11,22.33,21.9,22.15,2927517,22.15
2012-04-04,22.13,22.6,22.04,22.49,3964389,22.49
2012-04-05,22.39,22.39,22.17,22.32,2258887,22.32
2012-04-09,21.75,21.92,21.66,21.68,2470257,21.68
2012-04-10,21.55,21.61,20.97,21.06,3082124,21.06
2012-04-11,21.4,21.47,21.22,21.31,2046340,21.31
2012-04-12,21.44,22.13,21.36,22.06,2479620,22.06
2012-04-13,22.07,22.14,21.75,21.92,3024469,21.92
2012-04-16,22.01,22.3,21.79,22.08,2127633,22.08
2012-04-17,21.99,22.63,21.82,22.44,3526012,22.44
2012-04-18,22.43,23.01,22.04,22.21,3298109,22.21
2012-04-19,22.17,22.28,21.36,21.56,3776603,21.56
2012-04-20,21.54,21.82,21.45,21.61,3451817,21.61
2012-04-23,21.25,21.53,21.11,21.49,1991353,21.49
2012-04-24,21.6,21.89,21.49,21.81,1804481,21.81
2012-04-25,21.95,22.3,21.94,22.16,2259834,22.16
2012-04-26,22.15,22.44,21.86,22.39,2353561,22.39
2012-04-27,22.5,22.6,22.22,22.39,1416319,22.39
2012-04-30,22.38,22.45,22.14,22.31,3042197,22.31
2012-05-01,22.35,22.99,22.31,22.68,1694721,22.68
2012-05-02,22.54,22.62,22.35,22.55,1602845,22.55
2012-05-03,22.78,22.99,22.43,22.46,1807584,22.46
2012-05-04,22.32,22.38,21.9,22.15,1888573,22.15
2012-05-07,22.03,22.23,21.87,21.99,1405183,21.99
2012-05-08,21.81,22.02,21.64,21.99,1728609,21.99
2012-05-09,21.68,21.91,21.57,21.66,2212692,21.66
2012-05-10,21.94,22.05,21.57,21.68,1711412,21.68
2012-05-11,21.51,21.88,21.48,21.66,1288495,21.66
2012-05-14,21.31,21.75,21.25,21.54,1354104,21.54
2012-05-15,21.5,21.75,21.41,21.51,1492271,21.51
2012-05-16,21.65,21.86,21.43,21.52,1637076,21.52
2012-05-17,21.49,21.67,20.97,21.02,1955577,21.02
2012-05-18,21,21.12,20.64,20.78,3056310,20.78
2012-05-21,20.81,21.36,20.8,21.33,1316204,21.33
2012-05-22,21.44,21.68,20.98,21.13,2629478,21.13
2012-05-23,20.95,21.57,20.81,21.47,1459709,21.47
2012-05-24,21.58,21.63,21.01,21.35,1459492,21.35
2012-05-25,21.35,21.51,21.09,21.37,1270772,21.37
2012-05-29,21.41,21.59,21.26,21.4,1774344,21.4
2012-05-30,21.06,21.19,20.82,20.88,1244415,20.88
2012-05-31,20.91,21.09,20.42,20.89,2341786,20.89
2012-06-01,20.5,20.64,20.2,20.32,1922936,20.32
2012-06-04,20.34,20.45,19.88,20.34,1957957,20.34
2012-06-05,20.17,20.47,20.12,20.33,1390711,20.33
2012-06-06,20.54,20.93,20.5,20.89,1595095,20.89
2012-06-07,21.35,21.55,20.94,20.99,1564299,20.99
2012-06-08,20.89,21.08,20.64,21.08,1170247,21.08
2012-06-11,21.4,21.44,20.96,20.98,1570095,20.98
2012-06-12,21.06,21.82,21,21.77,2772501,21.77
2012-06-13,21.7,22.08,21.58,21.74,1708476,21.74
2012-06-14,21.76,22.07,21.54,21.93,1756231,21.93
2012-06-15,22.12,22.37,22.04,22.3,3583164,22.3
2012-06-18,22.15,22.75,22.1,22.69,1472397,22.69
2012-06-19,22.82,22.91,22.61,22.65,1747549,22.65
2012-06-20,22.61,22.62,22.23,22.47,1818799,22.47
2012-06-21,22.53,22.56,22.01,22.1,1772749,22.1
2012-06-22,21.77,21.83,21.38,21.63,4469935,21.63
2012-06-25,21.37,21.37,21.07,21.3,1868514,21.3
2012-06-26,21.29,21.54,21.27,21.43,1275081,21.43
2012-06-27,21.61,21.86,21.3,21.84,1520291,21.84
2012-06-28,21.6,21.92,21.35,21.88,1825913,21.88
2012-06-29,22.32,22.37,22.16,22.36,1966717,22.36
2012-07-02,22.31,22.35,21.95,22.18,1520712,22.18
2012-07-03,22.2,22.33,22.13,22.22,927446,22.22
2012-07-05,22.16,22.42,22.11,22.27,1350942,22.27
2012-07-06,22.09,22.44,22.02,22.41,1777134,22.41
2012-07-09,22.38,22.63,22.26,22.4,1715143,22.4
2012-07-10,22.52,22.73,22.06,22.22,1793954,22.22
2012-07-11,22.34,22.77,22.15,22.25,2744712,22.25
2012-07-12,22.19,22.23,21.9,22.12,2044796,22.12
2012-07-13,22.12,22.7,22.12,22.66,1314665,22.66
2012-07-16,22.59,22.7,22.38,22.59,1093959,22.59
2012-07-17,22.74,22.86,22.28,22.79,1610241,22.79
2012-07-18,22.94,22.94,22.31,22.63,2596286,22.63
2012-07-19,22.71,22.97,22.63,22.78,1759821,22.78
2012-07-20,22.6,22.6,22.27,22.37,2281737,22.37
2012-07-23,22,22.11,21.75,21.89,2261012,21.89
2012-07-24,21.79,22.02,21.49,21.65,1881699,21.65
2012-07-25,21.77,22,21.61,21.83,1232285,21.83
2012-07-26,22.27,22.39,22.13,22.25,1420492,22.25
2012-07-27,22.51,22.95,22.36,22.85,1419459,22.85
2012-07-30,22.81,23,22.72,22.89,1054587,22.89
2012-07-31,22.87,23.2,22.84,22.94,2336985,22.94
2012-08-01,23.17,23.21,22.51,22.51,1661258,22.51
2012-08-02,22.25,22.62,22.13,22.6,1278300,22.6
2012-08-03,23,23.21,22.83,23.11,1197913,23.11
2012-08-06,23.16,23.24,22.91,22.91,1096932,22.91
2012-08-07,22.97,23.04,22.81,22.84,1837350,22.84
2012-08-08,22.83,23.03,22.74,22.81,1177044,22.81
2012-08-09,22.66,22.75,22.5,22.65,1372859,22.65
2012-08-10,22.58,22.99,22.52,22.98,1013532,22.98
2012-08-13,22.98,23.01,22.79,22.88,1160552,22.88
2012-08-14,23.04,23.08,22.88,22.96,953460,22.96
2012-08-15,22.93,23.22,22.85,23,1048554,23
2012-08-16,23,23.27,22.99,23.19,1414357,23.19
2012-08-17,23.27,23.4,23.18,23.39,1537039,23.39
2012-08-20,23.4,23.45,23.29,23.39,1037357,23.39
2012-08-21,23.38,23.48,23.21,23.26,1041616,23.26
2012-08-22,23.24,23.3,23.09,23.22,1001527,23.22
2012-08-23,23.14,23.18,22.75,22.84,1617898,22.84
2012-08-24,22.79,23.02,22.77,22.99,722173,22.99
2012-08-27,23.02,23.07,22.76,22.78,989827,22.78
2012-08-28,22.75,22.9,22.64,22.7,719891,22.7
2012-08-29,22.66,22.67,22.45,22.6,765081,22.6
2012-08-30,22.49,22.49,22.32,22.41,866858,22.41
2012-08-31,22.58,22.65,22.37,22.46,1343957,22.46
2012-09-04,22.15,22.16,21.66,21.73,2355315,21.73
2012-09-05,21.69,21.69,21.32,21.4,1405279,21.4
2012-09-06,21.53,22.092,21.53,22.06,1310264,22.06
2012-09-07,22.02,22.31,21.94,22.31,1549978,22.31
2012-09-10,22.24,22.48,22.23,22.28,875770,22.28
2012-09-11,22.33,22.75,22.32,22.66,954060,22.66
2012-09-12,22.76,22.86,22.52,22.84,1099801,22.84
2012-09-13,22.81,23.1,22.6,23.04,1419660,23.04
2012-09-14,23.12,23.29,23.08,23.16,1635420,23.16
2012-09-17,23.15,23.29,23,23.26,1454653,23.26
2012-09-18,23.08,23.09,22.81,23.01,1080816,23.01
2012-09-19,22.68,22.85,22.52,22.79,1343790,22.79
2012-09-20,21.8,22.2,21.37,21.49,4730356,21.49
2012-09-21,21.6,21.66,21.11,21.13,4797933,21.13
2012-09-24,21.02,21.47,20.88,21.36,2153424,21.36
2012-09-25,21.41,21.62,21.09,21.17,1564954,21.17
2012-09-26,21.13,21.14,20.93,21,1509590,21
2012-09-27,21.14,21.24,20.96,21.11,816164,21.11
2012-09-28,20.95,20.99,20.66,20.75,2303886,20.75
2012-10-01,20.84,21,20.76,20.81,1405725,20.81
2012-10-02,20.92,21.02,20.66,20.7,1373626,20.7
2012-10-03,20.91,21.22,20.8,21.18,1981381,21.18
2012-10-04,21.34,21.46,21.22,21.29,1376745,21.29
2012-10-05,21.41,21.57,21.35,21.42,1083979,21.42
2012-10-08,21.37,21.72,21.3,21.61,1299777,21.61
2012-10-09,21.55,21.72,21.17,21.21,1619447,21.21
2012-10-10,21.24,21.35,20.92,21.09,1416883,21.09
2012-10-11,21.27,21.38,21.16,21.16,1115144,21.16
2012-10-12,21.26,21.44,21.07,21.31,1032179,21.31
2012-10-15,21.38,21.47,21.17,21.45,1275875,21.45
2012-10-16,21.55,21.76,21.45,21.63,1775259,21.63
2012-10-17,20.76,21.41,20.6,21.19,3320222,21.19
2012-10-18,21.03,21.45,21.02,21.36,2268410,21.36
2012-10-19,21.34,21.36,21.02,21.1,2432327,21.1
2012-10-22,21.09,21.42,21.08,21.29,1516680,21.29
2012-10-23,21.01,21.47,21,21.31,1767311,21.31
2012-10-24,21.34,21.39,20.5,20.59,2985602,20.59
2012-10-25,20.69,20.82,20.46,20.58,2380962,20.58
2012-10-26,20.6,20.76,20.47,20.55,2080074,20.55
2012-10-31,20.69,20.8,20.44,20.47,2181245,20.47
2012-11-01,20.49,20.84,20.47,20.83,2260059,20.83
2012-11-02,20.96,21.08,20.64,20.66,1850393,20.66
2012-11-05,20.55,20.78,20.55,20.71,1290466,20.71
2012-11-06,20.72,20.91,20.66,20.86,1617506,20.86
2012-11-07,20.25,20.55,20.15,20.23,2156878,20.23
2012-11-08,20.2,20.35,20.04,20.04,1577641,20.04
2012-11-09,20.03,20.1,19.84,19.88,3543563,19.88
2012-11-12,19.88,20.12,19.87,19.96,1015489,19.96
