DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,37.8,37.82,37.31,37.33,884421,37.33
2012-01-04,37.34,37.43,37.02,37.09,1045959,37.09
2012-01-05,37.15,37.15,36.26,36.81,1258640,36.81
2012-01-06,36.84,37.32,36.7,37.02,811232,37.02
2012-01-09,37.19,37.19,36.42,36.83,1368514,36.83
2012-01-10,37.19,37.39,36.95,36.98,1434849,36.98
2012-01-11,36.97,36.97,36.32,36.61,1085336,36.61
2012-01-12,36.74,36.75,36.52,36.64,852123,36.64
2012-01-13,36.55,36.62,36.36,36.59,1036896,36.59
2012-01-17,36.9,37.2,36.82,36.96,833183,36.96
2012-01-18,37.02,37.5,36.79,37.46,1212313,37.46
2012-01-19,37.5,37.67,37.21,37.47,778586,37.47
2012-01-20,37.69,38.04,37.5,37.95,1604985,37.95
2012-01-23,38,38,37.45,37.58,688072,37.58
2012-01-24,37.31,37.31,36.6,36.94,955677,36.94
2012-01-25,36.92,37.54,36.61,37.53,1028310,37.53
2012-01-26,37.5,37.72,37.09,37.15,868859,37.15
2012-01-27,37.13,37.32,36.81,37.26,1617874,37.26
2012-01-30,36.96,37,36.5,36.97,755576,36.97
2012-01-31,37.2,37.45,36.73,37.03,1847336,37.03
2012-02-01,37.34,37.86,37.28,37.51,1012925,37.51
2012-02-02,37.18,37.2,36.57,37.11,1315105,37.11
2012-02-03,37.4,37.45,36.92,37.4,1021272,37.4
2012-02-06,37.33,37.43,37.06,37.11,850624,37.11
2012-02-07,37.1,37.61,36.95,37.49,682299,37.49
2012-02-08,37.6,37.89,37.5,37.89,1732873,37.89
2012-02-09,37.98,38.06,37.68,38,1026954,38
2012-02-10,37.73,38.02,37.57,38.02,1572842,38.02
2012-02-13,38.09,38.27,37.86,38.08,871617,38.08
2012-02-14,38.05,38.13,37.53,37.82,901224,37.82
2012-02-15,38.11,38.2,37.66,37.83,974718,37.83
2012-02-16,37.55,38.65,37.55,38.41,1329988,38.41
2012-02-17,38.69,39.64,38.56,39.26,2393603,39.26
2012-02-21,39.57,39.57,39.25,39.43,1286969,39.43
2012-02-22,39.51,39.52,39.2,39.29,1008946,39.29
2012-02-23,39.2,39.63,39.08,39.41,1344698,39.41
2012-02-24,39.5,39.95,39.44,39.92,944607,39.92
2012-02-27,39.76,40.11,39.73,40,1349626,40
2012-02-28,40,40.53,39.99,40.4,1249025,40.4
2012-02-29,40.52,40.54,40.14,40.25,1200070,40.25
2012-03-01,40.27,40.41,39.56,39.9,1434793,39.9
