DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,33.32,33.79,32.795,32.86,1582938,32.86
2012-01-04,32.8,33.05,32.47,32.9825,1365222,32.9825
2012-01-05,32.8,33.77,32.475,33.645,2529822,33.645
2012-01-06,33.625,33.785,33.11,33.205,1614790,33.205
2012-01-09,33.32,33.49,33.015,33.32,1769824,33.32
2012-01-10,33.74,35.085,33.74,34.88,3180514,34.88
2012-01-11,34.855,35.35,34.68,35.14,2030338,35.14
2012-01-12,33.65,34.65,33.625,34.555,2554710,34.555
2012-01-13,34.475,34.52,33.81,34.17,1723744,34.17
2012-01-17,34.815,34.965,34.1,34.215,1375270,34.215
2012-01-18,34.07,34.675,33.9,34.675,1345756,34.675
2012-01-19,34.895,35.425,34.8,34.91,1160834,34.91
2012-01-20,34.915,35.37,34.85,35.085,1693756,35.085
2012-01-23,35.175,35.455,35.01,35.305,1300742,35.305
2012-01-24,35.17,35.645,35.02,35.585,914426,35.585
2012-01-25,35.675,35.975,35.17,35.89,1064784,35.89
2012-01-26,35.995,36.235,35.43,35.615,769428,35.615
2012-01-27,35.545,35.835,35.39,35.665,819254,35.665
2012-01-30,35.275,35.59,35.195,35.495,680356,35.495
2012-01-31,35.785,35.975,35.5,35.875,1097252,35.875
2012-02-01,36.255,36.695,36.065,36.5,1418340,36.5
2012-02-02,36.59,36.825,36.215,36.3075,1193846,36.3075
2012-02-03,36.795,37.09,36.615,36.675,1191788,36.675
2012-02-06,36.385,36.55,36.03,36.185,1734314,36.185
2012-02-07,36.215,36.54,35.485,36.005,1740556,36.005
2012-02-08,35,36.335,34.825,35.375,3392490,35.375
2012-02-09,35.495,35.85,35.15,35.34,1701798,35.34
2012-02-10,35.15,35.17,34.805,35.035,1126624,35.035
2012-02-13,35.19,35.455,35.01,35.325,928096,35.325
2012-02-14,35.18,35.39,34.9,35.3725,1175544,35.3725
2012-02-15,35.465,35.78,35.055,35.36,1681808,35.36
2012-02-16,35.295,36.03,35.295,35.98,937614,35.98
2012-02-17,35.99,36.16,35.3425,35.54,1842186,35.54
2012-02-21,35.645,35.775,35.25,35.305,1063812,35.305
2012-02-22,35.215,35.69,35.215,35.57,895638,35.57
2012-02-23,35.5,35.535,35.105,35.3,1449244,35.3
2012-02-24,35.505,36.155,35.49,36.09,1480644,36.09
2012-02-27,35.795,36.19,35.625,36,945874,36
2012-02-28,36.22,36.225,35.615,35.775,1029238,35.775
2012-02-29,35.84,35.875,35.47,35.475,1314106,35.475
2012-03-01,35.725,35.815,35.51,35.685,1058732,35.685
2012-03-02,35.75,35.82,35.415,35.67,1164650,35.67
2012-03-05,35.5,35.81,35.475,35.72,1394700,35.72
2012-03-06,35.39,35.67,35.085,35.195,1655466,35.195
2012-03-07,35.31,35.635,35.085,35.545,1163826,35.545
2012-03-08,35.75,36.51,35.72,36.43,1409560,36.43
2012-03-09,36.42,36.495,36.225,36.35,1109982,36.35
2012-03-12,36.24,36.49,35.995,36.4,849536,36.4
2012-03-13,36.5,37.82,36.48,37.815,1799192,37.815
2012-03-14,37.75,37.95,37.49,37.655,1388734,37.655
2012-03-15,37.55,38.17,37.525,38.13,1504388,38.13
2012-03-16,38.29,38.51,38.25,38.455,3414494,38.455
2012-03-19,38.33,38.445,37.97,38.095,953440,38.095
2012-03-20,37.815,37.925,37.5,37.885,1035688,37.885
2012-03-21,38.005,38.515,37.755,38.47,1539824,38.47
2012-03-22,38.205,38.265,37.88,38.15,1497450,38.15
2012-03-23,38.265,38.465,37.865,38.19,1333250,38.19
2012-03-26,38.385,38.845,38.14,38.835,958578,38.835
2012-03-27,38.97,38.99,38.675,38.705,1041604,38.705
2012-03-28,38.615,38.615,38.03,38.2,1265426,38.2
2012-03-29,37.99,38.18,37.705,38.15,1098638,38.15
2012-03-30,38.475,38.655,37.995,38.475,1680258,38.475
2012-04-02,38.36,38.92,38.055,38.505,1306400,38.505
2012-04-03,38.335,38.45,37.89,38.155,1452960,38.155
2012-04-04,37.77,38.25,37.685,38.14,1265144,38.14
2012-04-05,38.03,38.66,37.9,38.645,1239470,38.645
2012-04-09,38.04,38.085,37.67,37.955,1341820,37.955
2012-04-10,37.865,37.97,37.325,37.41,1914500,37.41
2012-04-11,37.625,38.215,37.4975,37.685,1534880,37.685
2012-04-12,37.885,38.425,37.8,38.375,1134164,38.375
2012-04-13,36.76,37.64,36.6,36.9,3807350,36.9
2012-04-16,37.04,37.195,36.215,36.35,2149060,36.35
2012-04-17,36.595,37.31,36.585,37.125,1381010,37.125
2012-04-18,36.86,36.9,36.22,36.335,1551332,36.335
2012-04-19,36.255,36.56,35.78,35.95,2015298,35.95
2012-04-20,36.25,36.26,35.79,35.805,2165772,35.805
2012-04-23,35.45,36.05,34.99,35.885,3020992,35.885
2012-04-24,36.065,36.625,35.94,36.195,1874478,36.195
2012-04-25,36.1,36.495,35.835,36.055,1757464,36.055
2012-04-26,36.03,36.915,35.89,36.7,1311516,36.7
2012-04-27,36.96,37.305,36.445,36.99,905570,36.99
2012-04-30,36.935,37,36.44,36.66,1215796,36.66
2012-05-01,36.655,37.085,36.46,36.71,956206,36.71
2012-05-02,36.365,36.575,36.15,36.42,1166814,36.42
2012-05-03,36.4,36.4,35.485,35.545,1715574,35.545
2012-05-04,35.25,35.34,34.765,34.83,2051918,34.83
2012-05-07,30.5,30.62,27.85,28.155,19340382,28.155
2012-05-08,28.72,30.25,28.625,30.15,7211886,30.15
2012-05-09,29.525,30.38,29.3,30.295,2972564,30.295
2012-05-10,30.465,30.575,30,30.525,3315766,30.525
2012-05-11,30.455,30.805,30.26,30.645,2374752,30.645
2012-05-14,30.245,30.43,29.99,30.02,2157636,30.02
2012-05-15,30.115,31.015,30.11,30.6,2262896,30.6
2012-05-16,30.56,30.74,30.155,30.185,2087080,30.185
2012-05-17,30.18,30.265,29.69,29.725,2482676,29.725
2012-05-18,29.895,30.175,29.6875,29.815,3844484,29.815
2012-05-21,29.965,30.775,29.71,30.54,2210596,30.54
2012-05-22,30.55,30.79,30.255,30.465,1890218,30.465
2012-05-23,30.165,30.7825,29.905,30.635,1910044,30.635
2012-05-24,30.775,30.885,29.665,30.055,2692448,30.055
2012-05-25,30.06,30.165,29.85,30,1299822,30
2012-05-29,30.095,30.785,30.095,30.5,1517450,30.5
2012-05-30,30.25,30.25,29.065,29.43,3121352,29.43
2012-05-31,29.455,29.455,28.505,29.125,2312776,29.125
2012-06-01,28.495,28.62,28.18,28.45,2146238,28.45
2012-06-04,28.64,29.005,28.49,28.965,1700482,28.965
2012-06-05,28.78,29.345,28.67,29.18,1696564,29.18
2012-06-06,29.565,30.37,29.37,30.055,1715590,30.055
2012-06-07,30.455,30.455,29.585,29.665,1724772,29.665
2012-06-08,29.5,29.66,29.18,29.425,2158518,29.425
2012-06-11,29.565,29.795,28.975,29.03,1643328,29.03
2012-06-12,29.02,29.475,28.965,29.315,1943068,29.315
2012-06-13,29.155,29.56,29.075,29.305,2170062,29.305
2012-06-14,29.26,29.675,28.92,29.57,2163060,29.57
2012-06-15,29.625,30.305,29.455,30.25,2985926,30.25
2012-06-18,30.13,30.245,29.855,29.965,1491886,29.965
2012-06-19,30.2,30.43,30.07,30.195,1113394,30.195
2012-06-20,30.24,30.36,29.77,30.175,1476398,30.175
2012-06-21,30.225,30.365,28.955,28.985,1705134,28.985
2012-06-22,29.09,29.3,28.94,29.235,1537824,29.235
2012-06-25,28.91,29.185,28.755,28.94,1976624,28.94
2012-06-26,27.845,28.54,27.845,28.45,2446728,28.45
2012-06-27,28.635,29.235,28.62,28.805,1614090,28.805
2012-06-28,28.635,28.695,27.625,28.1,2479700,28.1
2012-06-29,29.09,30,29.04,30,2259682,30
2012-07-02,30.15,30.27,29.515,29.695,1352252,29.695
2012-07-03,29.71,30.11,29.58,29.875,565046,29.875
2012-07-05,29.715,30.27,29.685,30.11,1196268,30.11
2012-07-06,29.75,29.78,28.37,28.83,2050148,28.83
2012-07-09,28.82,29.015,28.435,28.68,1366832,28.68
2012-07-10,28.805,29.115,27.99,28.095,1706724,28.095
