DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,14.67,15.04,14.57,14.78,896485,14.78
2012-01-04,14.8,15.13,14.71,14.93,681656,14.93
2012-01-05,14.93,14.98,14.75,14.85,542075,14.85
2012-01-06,14.92,15.09,14.83,14.85,523282,14.85
2012-01-09,14.84,14.99,14.82,14.91,446819,14.91
2012-01-10,15.01,15.14,14.32,14.4,966798,14.4
2012-01-11,14.3,14.44,14,14.35,916290,14.35
2012-01-12,14.39,14.39,14.03,14.1,673912,14.1
2012-01-13,14.03,14.15,13.9,13.97,779631,13.97
2012-01-17,14.12,14.23,13.87,13.97,717370,13.97
2012-01-18,13.95,14.01,13.65,13.75,819430,13.75
2012-01-19,13.79,14.31,13.75,14.24,829473,14.24
2012-01-20,14.31,14.74,14.21,14.58,1016996,14.58
2012-01-23,14.67,14.98,14.61,14.77,682997,14.77
2012-01-24,14.53,14.57,14.13,14.16,768044,14.16
2012-01-25,14.2,14.76,14.07,14.73,868816,14.73
2012-01-26,14.92,15.31,14.58,14.68,1207583,14.68
2012-01-27,14.66,14.81,14.38,14.39,656621,14.39
2012-01-30,14.3,14.73,14.12,14.7,527878,14.7
2012-01-31,14.75,14.75,14.17,14.55,1218507,14.55
2012-02-01,14.65,14.77,14.33,14.54,877564,14.54
2012-02-02,14.54,14.59,14.25,14.34,628604,14.34
2012-02-03,14.23,14.58,13.97,14.52,1066675,14.52
2012-02-06,14.48,14.99,14.46,14.91,885655,14.91
2012-02-07,14.86,14.89,14.61,14.73,459865,14.73
2012-02-08,14.79,14.86,14.6,14.73,346966,14.73
2012-02-09,14.69,15.33,14.62,15.24,758181,15.24
2012-02-10,15.13,15.13,14.7,14.82,758853,14.82
2012-02-13,14.94,15.01,14.63,14.66,449049,14.66
2012-02-14,14.56,14.61,14.38,14.55,455575,14.55
2012-02-15,14.69,15.01,14.65,14.87,984207,14.87
2012-02-16,14.88,15.17,14.75,15.16,822108,15.16
2012-02-17,15.26,15.49,15.19,15.37,865793,15.37
2012-02-21,15.39,15.44,15.25,15.33,564541,15.33
2012-02-22,15.31,15.42,15.03,15.07,499253,15.07
2012-02-23,15.1,15.67,15.1,15.65,1372078,15.65
2012-02-24,15.72,15.86,15.55,15.62,354141,15.62
2012-02-27,15.55,15.92,15.44,15.64,669835,15.64
2012-02-28,15.8,16.63,13.92,14.13,3321972,14.13
2012-02-29,14.03,14.38,13.88,14.23,1185886,14.23
2012-03-01,14.22,14.31,14.04,14.11,1048594,14.11
2012-03-02,14.16,14.88,14.16,14.76,1475637,14.76
2012-03-05,14.72,14.74,14.21,14.29,874267,14.29
2012-03-06,14.05,14.14,13.84,13.93,1281272,13.93
2012-03-07,13.77,14.01,13.69,13.93,1026726,13.93
2012-03-08,14.25,14.36,14.01,14.23,1086254,14.23
2012-03-09,14.32,14.7,14.26,14.41,749103,14.41
2012-03-12,14.35,14.69,14.2,14.56,1169632,14.56
2012-03-13,14.27,14.87,14.27,14.87,1357245,14.87
2012-03-14,14.82,14.93,14.65,14.73,806345,14.73
2012-03-15,14.73,14.88,14.52,14.85,959363,14.85
2012-03-16,14.85,14.9,14.48,14.65,1531921,14.65
2012-03-19,14.62,14.94,14.55,14.74,598549,14.74
2012-03-20,14.69,14.72,14.45,14.64,829454,14.64
2012-03-21,14.66,14.84,14.55,14.74,584716,14.74
2012-03-22,14.59,14.8,14.53,14.73,558914,14.73
2012-03-23,14.74,14.75,14.54,14.7,449237,14.7
2012-03-26,14.79,15.13,14.72,15.08,773942,15.08
2012-03-27,15.1,15.18,14.86,14.9,645177,14.9
2012-03-28,14.94,14.97,14.66,14.78,519016,14.78
2012-03-29,14.64,14.85,14.36,14.8,695783,14.8
2012-03-30,14.87,14.99,14.66,14.68,711991,14.68
2012-04-02,14.62,14.74,14.55,14.63,825616,14.63
2012-04-03,14.65,14.65,14.26,14.29,914495,14.29
2012-04-04,14.22,14.26,14,14.01,1270018,14.01
2012-04-05,14.01,14.1,13.93,14,785566,14
2012-04-09,13.8,13.89,13.62,13.66,693759,13.66
2012-04-10,13.58,13.69,13.35,13.41,928711,13.41
2012-04-11,13.54,13.74,13.37,13.43,843557,13.43
2012-04-12,13.41,13.54,13.39,13.42,665448,13.42
2012-04-13,13.34,13.52,13.21,13.21,588898,13.21
2012-04-16,13.3,13.41,13.15,13.34,645881,13.34
2012-04-17,13.42,13.68,13.42,13.62,507313,13.62
2012-04-18,13.6,13.82,13.51,13.74,589993,13.74
2012-04-19,13.76,13.84,13.56,13.69,568586,13.69
2012-04-20,13.77,13.97,13.61,13.79,705282,13.79
2012-04-23,13.71,13.71,13.42,13.63,863489,13.63
2012-04-24,13.63,13.82,13.56,13.78,665439,13.78
2012-04-25,13.83,14.23,13.83,14.19,712315,14.19
2012-04-26,14.15,14.49,14.06,14.49,677883,14.49
2012-04-27,14.54,14.59,14.24,14.56,579480,14.56
2012-04-30,14.52,14.86,14.48,14.82,974166,14.82
2012-05-01,14.85,15.24,14.78,15.02,877776,15.02
2012-05-02,14.95,15.03,14.57,14.7,701117,14.7
2012-05-03,14.32,14.34,13.18,13.54,2443410,13.54
2012-05-04,13.37,13.37,12.95,13.07,990615,13.07
2012-05-07,12.99,13.08,12.79,13,687023,13
2012-05-08,12.85,12.97,12.54,12.89,839510,12.89
2012-05-09,12.67,12.78,12.51,12.53,1191160,12.53
2012-05-10,12.67,12.67,12.43,12.49,731459,12.49
2012-05-11,12.42,12.85,12.39,12.56,710650,12.56
2012-05-14,12.41,12.51,12.34,12.36,712384,12.36
2012-05-15,12.23,12.24,11.92,11.96,911919,11.96
2012-05-16,12.03,12.15,11.45,11.47,1553857,11.47
2012-05-17,11.51,11.51,11.1,11.12,1649088,11.12
2012-05-18,11.35,11.36,11.01,11.09,1228106,11.09
2012-05-21,11.19,11.44,11.04,11.41,705999,11.41
2012-05-22,11.46,11.63,11.39,11.48,776512,11.48
2012-05-23,11.3,11.45,11.02,11.4,1178579,11.4
2012-05-24,11.45,11.67,11.38,11.66,908929,11.66
2012-05-25,11.62,11.81,11.54,11.66,495306,11.66
2012-05-29,11.7,11.82,11.54,11.8,645655,11.8
2012-05-30,11.67,11.67,11.41,11.43,516466,11.43
2012-05-31,11.39,11.52,11.21,11.44,1114834,11.44
2012-06-01,11.23,11.32,10.96,10.97,956112,10.97
2012-06-04,10.98,11.06,10.76,11.01,1175369,11.01
2012-06-05,11,11.51,10.93,11.44,854618,11.44
2012-06-06,11.54,11.74,11.48,11.74,699223,11.74
2012-06-07,11.93,12.05,11.56,11.58,756190,11.58
2012-06-08,11.57,11.58,11.35,11.55,741492,11.55
2012-06-11,11.66,11.71,11.29,11.32,757472,11.32
2012-06-12,11.39,11.58,11.18,11.54,934247,11.54
2012-06-13,11.48,11.84,11.4,11.58,630518,11.58
2012-06-14,11.63,12.27,11.57,12.19,1400460,12.19
2012-06-15,12.43,12.54,12.2,12.46,1893399,12.46
2012-06-18,12.39,12.55,12.26,12.39,843860,12.39
2012-06-19,12.48,12.63,12.34,12.53,841957,12.53
2012-06-20,12.52,12.68,12.35,12.61,669070,12.61
2012-06-21,12.64,12.64,12.19,12.21,855557,12.21
2012-06-22,12.31,12.52,12.19,12.41,1426190,12.41
2012-06-25,12.23,12.26,11.97,12.1,575949,12.1
2012-06-26,12.11,12.24,11.94,12.18,563358,12.18
2012-06-27,12.25,12.72,12.25,12.71,506593,12.71
2012-06-28,12.63,13.03,12.6,12.96,1071848,12.96
2012-06-29,13.26,13.36,13.09,13.29,1007390,13.29
2012-07-02,13.34,13.59,13.21,13.56,779886,13.56
2012-07-03,13.6,13.78,13.52,13.75,284952,13.75
2012-07-05,13.65,13.74,13.35,13.5,668176,13.5
2012-07-06,13.38,13.5,13.2,13.32,737206,13.32
2012-07-09,13.35,13.39,12.96,13.1,853393,13.1
2012-07-10,13.21,13.21,12.84,12.95,739110,12.95
2012-07-11,12.96,13,12.82,12.95,589969,12.95
2012-07-12,12.88,12.89,12.66,12.8,583035,12.8
2012-07-13,12.8,13.21,12.78,13.1,543960,13.1
2012-07-16,13.1,13.15,12.91,13.06,670167,13.06
2012-07-17,13.09,13.46,12.97,13.39,621693,13.39
2012-07-18,13.34,13.42,13.22,13.38,722641,13.38
2012-07-19,13.44,14.28,13.44,14.16,1517934,14.16
2012-07-20,14.33,14.9,14.33,14.57,2140973,14.57
2012-07-23,14.58,14.69,14.28,14.61,901374,14.61
2012-07-24,14.69,14.71,14.24,14.52,1238766,14.52
2012-07-25,14.63,14.82,14.39,14.7,1116053,14.7
2012-07-26,14.97,15,14.76,14.77,1100310,14.77
2012-07-27,14.88,15.13,14.77,15.07,966512,15.07
2012-07-30,15,15.34,15,15.21,775644,15.21
2012-07-31,15.14,15.53,15.04,15.34,1223286,15.34
2012-08-01,15.53,15.53,15.1,15.34,885040,15.34
2012-08-02,15.22,15.39,14.87,14.98,1043718,14.98
2012-08-03,15.3,15.54,15.14,15.54,1007595,15.54
2012-08-06,15.55,15.94,15.55,15.83,1020453,15.83
2012-08-07,15.99,16.34,15.5,15.83,1356343,15.83
2012-08-08,15.78,16.04,15.67,15.92,895294,15.92
2012-08-09,15.82,16.01,15.71,15.75,1106466,15.75
2012-08-10,15.21,15.63,15,15.5,801002,15.5
2012-08-13,15.49,15.54,15.29,15.48,693899,15.48
2012-08-14,15.48,15.65,15.41,15.5,552169,15.5
2012-08-15,15.46,15.5,15.17,15.37,576760,15.37
2012-08-16,15.35,15.45,15.05,15.06,1021415,15.06
2012-08-17,15.12,15.22,15.01,15.14,872971,15.14
2012-08-20,15.12,15.42,15.07,15.35,683627,15.35
2012-08-21,15.35,15.52,15.31,15.42,547665,15.42
2012-08-22,15.37,15.44,15.19,15.28,645427,15.28
2012-08-23,15.21,15.26,15.04,15.05,384987,15.05
2012-08-24,15.05,15.25,14.87,15.17,595474,15.17
2012-08-27,15.23,15.24,14.94,14.99,517252,14.99
2012-08-28,14.92,15.04,14.8,14.83,383499,14.83
2012-08-29,14.87,14.93,14.63,14.77,291224,14.77
2012-08-30,14.72,14.81,14.64,14.71,386536,14.71
2012-08-31,14.84,15.03,14.76,14.95,591872,14.95
2012-09-04,14.91,15.01,14.65,14.81,557167,14.81
2012-09-05,14.85,15.13,14.8,15.11,391358,15.11
2012-09-06,15.13,15.45,15.11,15.44,915105,15.44
2012-09-07,15.46,15.68,15.38,15.65,367014,15.65
2012-09-10,15.64,15.9,15.6,15.75,444597,15.75
