DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,41.19,41.72,41.19,41.52,2543711,41.52
2012-01-04,41.29,41.85,41.02,41.8,2179364,41.8
2012-01-05,41.57,41.77,41.21,41.75,1914529,41.75
2012-01-06,41.76,41.76,41.32,41.46,1463158,41.46
2012-01-09,41.35,41.86,41.23,41.79,1480697,41.79
2012-01-10,41.98,42.19,41.79,41.95,2429069,41.95
2012-01-11,41.8,42.08,41.72,42.04,1613813,42.04
2012-01-12,42.05,42.4,41.93,42.15,1575143,42.15
2012-01-13,41.98,42.19,41.65,42.15,1764516,42.15
2012-01-17,42.4,42.68,42.27,42.54,1742924,42.54
2012-01-18,42.33,43.11,42.18,43.1,1861346,43.1
2012-01-19,43.07,43.17,42.59,42.88,1913247,42.88
2012-01-20,43.12,43.12,42.43,42.77,3274513,42.77
2012-01-23,42.82,43.15,42.7,43.02,1711063,43.02
2012-01-24,42.76,42.84,42.36,42.44,1409898,42.44
2012-01-25,42.25,42.42,41.94,42.18,2398481,42.18
2012-01-26,42.27,42.53,41.95,42.18,1557002,42.18
2012-01-27,41.96,42.37,41.75,42.26,1487282,42.26
2012-01-30,41.99,42.04,41.48,41.92,1519019,41.92
2012-01-31,41.9,41.99,41.57,41.75,1964605,41.75
2012-02-01,42.11,43.04,41.93,42.65,1873024,42.65
2012-02-02,42.65,42.96,42.46,42.66,1313875,42.66
2012-02-03,43,43.98,42.96,43.51,2309191,43.51
2012-02-06,43.36,43.86,43.12,43.27,2054648,43.27
2012-02-07,43.37,43.5,43,43.08,2175647,43.08
2012-02-08,43.31,44.09,42.68,43.57,2092400,43.57
2012-02-09,43.17,43.72,42.77,43,2107073,43
2012-02-10,42.8,43.18,42.71,43.18,1762673,43.18
2012-02-13,43.26,43.44,42.83,42.83,1567792,42.83
2012-02-14,42.55,43.38,42.54,43.38,1624071,43.38
2012-02-15,43.55,43.96,43.43,43.53,1948827,43.53
2012-02-16,43.58,44.56,43.56,44.55,2028709,44.55
2012-02-17,45,45,44.24,44.27,3019078,44.27
2012-02-21,44.47,44.5,43.89,44.01,1589597,44.01
2012-02-22,43.94,44.2,43.55,43.69,1120520,43.69
2012-02-23,43.63,44.12,43.63,44.04,1572273,44.04
2012-02-24,44.07,44.22,43.79,44.07,1076805,44.07
2012-02-27,43.8,44.76,43.74,44.53,1831515,44.53
2012-02-28,44.42,44.97,44.01,44.91,1988295,44.91
2012-02-29,44.91,45.36,44.77,45.1,3149142,45.1
2012-03-01,45.1,45.39,44.82,45.21,1812885,45.21
2012-03-02,45.15,45.33,45,45.03,1154072,45.03
2012-03-05,44.98,45.33,44.85,45.17,1285027,45.17
2012-03-06,44.97,45.16,44.75,44.79,2042011,44.79
2012-03-07,44.85,44.95,44.65,44.71,1497601,44.71
2012-03-08,45.06,45.35,44.88,45.21,1179391,45.21
2012-03-09,45.31,45.71,45.16,45.64,1496397,45.64
2012-03-12,45.64,45.65,45.16,45.36,1380260,45.36
2012-03-13,44.79,45.26,44.54,45.23,2301999,45.23
2012-03-14,45.17,45.22,44.98,45.1,1668459,45.1
2012-03-15,45.05,45.2,44.8,44.88,1765209,44.88
2012-03-16,45.05,45.49,44.96,45.28,5005009,45.28
2012-03-19,45.14,45.39,44.96,45.13,913562,45.13
2012-03-20,44.81,44.97,44.68,44.68,1737166,44.68
