DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,109,110.98,108.73,110.37,3311124,110.37
2012-01-04,109.87,110.37,109.21,110.18,2275451,110.18
2012-01-05,109.4,109.49,107.98,109.1,1819282,109.1
2012-01-06,109.41,109.59,108.1,108.31,1688069,108.31
2012-01-09,108.32,109.67,108.04,109.49,1856747,109.49
2012-01-10,110.13,110.66,108.91,109.06,2519512,109.06
2012-01-11,108.27,108.64,107.14,107.77,1755084,107.77
2012-01-12,104.66,106.03,104.63,104.97,2958668,104.97
2012-01-13,104.8,106.11,103.52,106.09,2882900,106.09
2012-01-17,107.5,107.93,106.04,106.73,1975146,106.73
2012-01-18,106,106.94,105.2,106.83,1877242,106.83
2012-01-19,107.5,107.5,105.82,106.93,1627817,106.93
2012-01-20,107.09,107.2,106.26,106.89,2947294,106.89
2012-01-23,106.93,107.49,106.57,107.01,2587587,107.01
2012-01-24,106.45,107.09,106.18,106.72,1416475,106.72
2012-01-25,106.2,108,105.09,107.73,1692113,107.73
2012-01-26,108,108.57,106.35,106.59,1997274,106.59
2012-01-27,104.43,104.65,103.12,103.96,2986465,103.96
2012-01-30,103.5,103.5,102.08,103.41,2044213,103.41
2012-01-31,104.7,104.72,102.4,103.08,2668802,103.08
2012-02-01,104.3,104.3,102.69,102.85,1707875,102.85
2012-02-02,103.18,103.95,102.88,103.69,1506919,103.69
2012-02-03,104.91,105.6,104.49,105.5,1985613,105.5
2012-02-06,104.6,106.75,104.58,106.67,1841251,106.67
2012-02-07,106.01,107.06,105.45,106.83,1570506,106.83
2012-02-08,107.24,107.5,106.09,106.76,1546987,106.76
2012-02-09,107.11,107.41,106.08,106.37,1287340,106.37
2012-02-10,105.2,105.52,104.58,105.28,1594526,105.28
2012-02-13,106.16,106.53,105.47,106.38,1033249,106.38
2012-02-14,106.26,106.53,105.57,106.49,1365410,106.49
2012-02-15,106.08,106.15,104.59,105,1271289,105
2012-02-16,105.34,106.57,104.8,106.52,1319581,106.52
2012-02-17,107.06,107.1,106.04,106.66,2555189,106.66
2012-02-21,107.71,108.5,107.44,108.41,1716801,108.41
2012-02-22,108.4,108.49,107.21,107.5,2099626,107.5
2012-02-23,107.4,108.5,107.32,108.35,1827021,108.35
2012-02-24,108.58,109.39,108.51,109.08,1482631,109.08
2012-02-27,108.52,110.21,108.36,109.63,2027612,109.63
2012-02-28,109.75,110.39,109.22,109.61,2610766,109.61
2012-02-29,110.3,110.91,108.93,109.12,3432526,109.12
2012-03-01,109.14,110.14,109.12,109.76,1816459,109.76
2012-03-02,109.47,109.86,109,109.61,1412140,109.61
2012-03-05,109.43,109.43,108.14,109.32,1328418,109.32
2012-03-06,108.1,109.02,108.04,108.85,2123356,108.85
2012-03-07,109,109.95,108.21,109.46,2111184,109.46
2012-03-08,110,110.55,109.57,110.03,1457690,110.03
2012-03-09,109.95,110.4,109.37,109.57,1566181,109.57
2012-03-12,109.65,110,109.17,110,2044297,110
2012-03-13,110.35,111.3,109.44,111.19,2151164,111.19
2012-03-14,111,112.28,110.54,110.69,2335838,110.69
2012-03-15,110.71,110.9,109.47,110.03,2599792,110.03
2012-03-16,110.44,110.8,110.1,110.28,5629679,110.28
2012-03-19,110.5,111.05,110.3,110.7,1330341,110.7
2012-03-20,109.89,109.92,108.93,109.08,1583330,109.08
2012-03-21,108.81,108.93,107.36,107.91,1884840,107.91
2012-03-22,106.71,106.97,105.03,105.35,1891756,105.35
2012-03-23,105.6,106.9,104.87,106.36,1874860,106.36
