DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,53.47,53.67,52.27,52.5,731037,52.5
2012-01-04,52.5,52.6,51.94,52.07,623308,52.07
2012-01-05,51.94,52.13,51.33,51.96,839370,51.96
2012-01-06,51.99,52.05,51.31,51.43,598090,51.43
2012-01-09,51.41,51.54,51.06,51.36,933278,51.36
2012-01-10,51.55,51.65,51.28,51.29,778923,51.29
2012-01-11,51.19,51.4,51.03,51.17,539117,51.17
2012-01-12,51.3,51.4,50.91,50.93,590881,50.93
2012-01-13,50.53,50.66,50.17,50.6,913178,50.6
2012-01-17,50.97,51.19,50.56,50.8,799359,50.8
2012-01-18,50.8,50.85,50.08,50.43,694806,50.43
2012-01-19,50.49,50.61,50.09,50.3,522496,50.3
2012-01-20,50.39,50.57,50.04,50.57,904038,50.57
2012-01-23,50.58,51,50.22,50.48,923383,50.48
2012-01-24,50.25,50.34,49.93,50.31,524023,50.31
2012-01-25,50.07,51.23,49.69,51.11,839546,51.11
2012-01-26,51.06,51.18,50.52,50.85,838806,50.85
2012-01-27,50.73,50.99,49.44,49.56,1686823,49.56
2012-01-30,49.38,49.44,48.87,49.34,1366258,49.34
2012-01-31,49.48,50.09,49.28,50.04,1256859,50.04
2012-02-01,50.25,50.62,50.12,50.42,974259,50.42
2012-02-02,50.47,50.82,50.36,50.51,701888,50.51
2012-02-03,50.91,50.97,50.14,50.38,680177,50.38
2012-02-06,50.22,50.48,50.11,50.27,450168,50.27
2012-02-07,50.15,50.61,49.84,50.42,499484,50.42
2012-02-08,50.5,50.62,49.97,50.2,505194,50.2
2012-02-09,50.16,50.16,49.83,49.86,547400,49.86
2012-02-10,49.78,49.91,49.56,49.91,496488,49.91
2012-02-13,49.99,50.16,49.81,49.93,453843,49.93
2012-02-14,49.97,50.35,49.77,50.23,612423,50.23
2012-02-15,50.19,50.27,49.92,50.08,606650,50.08
2012-02-16,50.15,50.5,50.15,50.42,553238,50.42
2012-02-17,50.63,50.67,50.28,50.57,945772,50.57
2012-02-21,50.63,50.63,50.13,50.14,664039,50.14
2012-02-22,50.15,50.57,50.11,50.47,454248,50.47
2012-02-23,50.45,50.96,50.44,50.94,598785,50.94
2012-02-24,51,51.5,50.87,51.32,842942,51.32
2012-02-27,51.11,51.5,50.96,51.41,725094,51.41
2012-02-28,51.51,51.64,51.07,51.25,700360,51.25
2012-02-29,50.8,50.94,50.34,50.47,972983,50.47
2012-03-01,50.44,50.87,50.17,50.41,672577,50.41
2012-03-02,50.38,50.65,50.13,50.52,526422,50.52
2012-03-05,50.38,50.92,50.23,50.82,427456,50.82
2012-03-06,50.57,50.64,50.24,50.52,542581,50.52
2012-03-07,50.36,50.57,50.13,50.49,463238,50.49
2012-03-08,50.57,50.7,50.31,50.6,384839,50.6
2012-03-09,50.66,50.79,50.38,50.76,432661,50.76
2012-03-12,50.86,51.4,50.8,51.33,536254,51.33
2012-03-13,51.44,51.47,51.01,51.36,523081,51.36
2012-03-14,51.31,51.43,50.46,50.55,520502,50.55
2012-03-15,50.51,50.84,50.33,50.48,566501,50.48
2012-03-16,50.4,50.66,50.24,50.32,1403689,50.32
2012-03-19,50.25,50.73,50.17,50.26,343948,50.26
2012-03-20,50.37,50.83,50.23,50.64,508858,50.64
2012-03-21,50.64,50.75,50.39,50.46,380737,50.46
2012-03-22,50.21,50.64,50.2,50.42,538580,50.42
2012-03-23,50.48,50.71,50.24,50.28,663004,50.28
