DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,8.24,8.3,8.02,8.04,1065523,8.04
2012-01-04,8.03,8.14,7.84,8.01,998806,8.01
2012-01-05,8.02,8.35,7.88,8.33,1572592,8.33
2012-01-06,8.26,8.43,8.24,8.32,1191663,8.32
2012-01-09,8.34,8.5,8.26,8.28,1524619,8.28
2012-01-10,8.35,8.39,8.13,8.27,1111366,8.27
2012-01-11,8.33,8.62,8.22,8.61,1030940,8.61
2012-01-12,8.6,8.98,8.47,8.87,1673056,8.87
2012-01-13,8.7,9.01,8.62,8.85,1666159,8.85
2012-01-17,8.85,8.88,8.66,8.73,1030353,8.73
2012-01-18,8.77,9.12,8.63,8.92,1992434,8.92
2012-01-19,8.96,9.46,8.92,9.33,1758428,9.33
2012-01-20,9.3,9.49,9.25,9.41,1049514,9.41
2012-01-23,9.42,9.55,9.29,9.29,1785203,9.29
2012-01-24,9.29,9.49,9.19,9.38,1729634,9.38
2012-01-25,10,10.3,9.92,9.96,4631039,9.96
2012-01-26,10.24,10.54,10.11,10.17,3907877,10.17
2012-01-27,10.08,10.58,10.01,10.39,2055767,10.39
2012-01-30,10.35,10.87,10.27,10.77,2439973,10.77
2012-01-31,10.77,10.8,10.3,10.55,2441000,10.55
2012-02-01,10.68,11,10.61,10.9,1438855,10.9
2012-02-02,10.9,11.16,10.83,11.1,1591940,11.1
2012-02-03,11.26,11.57,11.25,11.3,2537351,11.3
2012-02-06,11.28,11.28,10.92,10.99,1434790,10.99
2012-02-07,11.08,11.24,10.94,10.97,986305,10.97
2012-02-08,10.86,11.04,10.7,10.99,1407722,10.99
2012-02-09,11,11.15,10.78,11.12,1351619,11.12
2012-02-10,10.93,11.15,10.81,10.89,1195627,10.89
2012-02-13,10.93,11.24,10.92,11.15,922900,11.15
2012-02-14,11.1,11.15,10.83,10.94,1497920,10.94
2012-02-15,10.94,11.08,10.74,10.83,1241077,10.83
2012-02-16,10.8,10.98,10.67,10.93,1290930,10.93
2012-02-17,11,11.04,10.68,10.83,1156710,10.83
2012-02-21,10.76,10.78,9.57,10.05,2982671,10.05
2012-02-22,10,10.21,9.93,9.93,1367057,9.93
2012-02-23,10.03,10.03,9.57,9.69,1833107,9.69
2012-02-24,9.79,9.85,9.49,9.53,1267124,9.53
2012-02-27,9.55,9.74,9.4,9.66,1766631,9.66
2012-02-28,9.66,9.92,9.6,9.9,2077422,9.9
2012-02-29,9.85,10.07,9.75,9.81,2120217,9.81
2012-03-01,9.76,9.92,9.59,9.64,1819844,9.64
2012-03-02,9.67,10.09,9.62,9.77,2049145,9.77
2012-03-05,9.67,9.74,9.42,9.67,1828711,9.67
2012-03-06,9.53,9.82,9.29,9.36,1383760,9.36
2012-03-07,9.4,9.59,9.34,9.37,877991,9.37
2012-03-08,9.33,9.56,9.24,9.47,1381077,9.47
2012-03-09,9.6,9.6,9.34,9.37,1499227,9.37
2012-03-12,9.4,9.53,9.19,9.19,1795419,9.19
2012-03-13,9.37,9.39,9.14,9.31,2396881,9.31
2012-03-14,9.3,9.31,9.07,9.3,1908194,9.3
2012-03-15,9.26,9.82,9.26,9.63,3373034,9.63
2012-03-16,9.68,9.68,9.21,9.21,4327169,9.21
