DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,46.71,46.91,46.27,46.51,1593623,46.51
2012-01-04,45.95,47.08,45.92,47.02,1664850,47.02
2012-01-05,46.16,47,46,46.7,1833858,46.7
2012-01-06,46.03,46.33,45.96,46.04,2052685,46.04
2012-01-09,46.33,46.69,46.1,46.43,1439947,46.43
2012-01-10,47.13,47.4,46.99,47.14,1222974,47.14
2012-01-11,47.18,47.5,47.02,47.3,1191078,47.3
2012-01-12,47.5,48.13,47.3,48.1,1455968,48.1
2012-01-13,48.11,48.44,47.84,48.4,1601442,48.4
2012-01-17,48.86,49.22,48.44,48.54,1415386,48.54
2012-01-18,48.61,49.5,48.46,49.45,1637577,49.45
2012-01-19,49.49,49.5,49.14,49.4,1035310,49.4
2012-01-20,49.48,49.65,49.2,49.42,1849415,49.42
2012-01-23,49.58,49.68,49.07,49.35,1401778,49.35
2012-01-24,48.94,49.72,48.76,49.41,1600051,49.41
2012-01-25,49.45,50.72,49.21,50.59,2200929,50.59
2012-01-26,50.94,51.35,50.73,50.94,1909990,50.94
2012-01-27,50.91,51.5,50.72,50.72,1861338,50.72
2012-01-30,50.21,51.01,50.16,50.97,1282231,50.97
2012-01-31,51.56,51.75,50.36,50.89,2026876,50.89
2012-02-01,51.49,51.83,51.42,51.56,1296854,51.56
2012-02-02,51.4,51.7,51.11,51.4,954165,51.4
2012-02-03,52,52.31,51.75,52.01,1460390,52.01
2012-02-06,51.65,51.83,51.44,51.78,1310478,51.78
2012-02-07,51.62,51.96,51.26,51.61,938327,51.61
2012-02-08,51.6,51.84,51.22,51.65,825493,51.65
2012-02-09,51.74,52.23,51.46,52.06,937814,52.06
2012-02-10,51.39,51.48,50.93,51.15,1432145,51.15
2012-02-13,51.06,51.14,50.59,50.6,1115610,50.6
2012-02-14,50.41,50.48,49.34,49.66,1309937,49.66
2012-02-15,49.85,49.98,49.29,49.46,1148616,49.46
2012-02-16,49.48,50.68,49.35,50.53,851869,50.53
2012-02-17,51,51.7,50.85,51.48,1955946,51.48
2012-02-21,51.74,52.05,51.31,51.6,1413880,51.6
2012-02-22,51.54,51.79,51.24,51.28,917954,51.28
2012-02-23,51.36,51.73,51.19,51.43,996224,51.43
2012-02-24,51.43,51.65,50.74,50.99,951925,50.99
2012-02-27,50.93,51.4,50.45,51.2,1319066,51.2
2012-02-28,51.25,51.68,51.17,51.39,956625,51.39
2012-02-29,51.44,51.54,50.64,50.85,1616909,50.85
2012-03-01,50.87,51.64,50.87,51.33,1127827,51.33
2012-03-02,51.37,51.75,51.11,51.45,905561,51.45
2012-03-05,51.5,51.5,50.67,50.89,989206,50.89
2012-03-06,50.21,50.44,49.9,50.03,1332425,50.03
2012-03-07,50.2,50.48,49.98,50.23,1153289,50.23
2012-03-08,50.83,51.21,50.54,51.08,1092249,51.08
2012-03-09,51.27,52,51.09,51.5,1330227,51.5
2012-03-12,51.5,51.68,51.01,51.2,1464339,51.2
2012-03-13,51.56,52.69,51.46,52.68,1681215,52.68
2012-03-14,52.64,53.08,52.43,52.66,1660909,52.66
2012-03-15,52.71,53.58,52.71,53.56,1480021,53.56
2012-03-16,53.85,53.95,53.3,53.38,4290172,53.38
2012-03-19,53.22,53.48,52.71,53.25,1095035,53.25
2012-03-20,52.7,52.99,52.6,52.71,1040917,52.71
2012-03-21,52.71,52.89,52.35,52.61,728747,52.61
2012-03-22,52.31,52.4,51.95,52.22,1057908,52.22
2012-03-23,52.46,52.82,51.89,52.63,1227945,52.63
2012-03-26,53,53.34,52.89,53.25,1558019,53.25
2012-03-27,53.26,53.61,53.25,53.32,1228979,53.32
2012-03-28,53.32,53.41,52.58,52.95,1550447,52.95
2012-03-29,52.5,52.79,52.42,52.75,1130605,52.75
2012-03-30,53.01,53.19,52.69,52.9,1394179,52.9
2012-04-02,52.71,53.47,52.54,53.39,1174862,53.39
2012-04-03,53.3,53.41,52.92,53.3,1303782,53.3
2012-04-04,52.69,52.9,52.25,52.63,1113925,52.63
