DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,41.52,41.55,40.97,41.08,338671,41.08
2012-01-04,41,41.5,40.95,41.36,412335,41.36
2012-01-05,41.26,41.4,41.02,41.36,278958,41.36
2012-01-06,41.19,41.24,40.56,40.87,473238,40.87
2012-01-09,41.04,41.04,40.37,40.85,206118,40.85
2012-01-10,40.91,41.07,40.44,40.5,408619,40.5
2012-01-11,40.5,40.68,40.32,40.41,207445,40.41
2012-01-12,40.44,40.55,40.03,40.37,304046,40.37
2012-01-13,40.15,41,39.84,41,298608,41
2012-01-17,41.18,41.79,41.18,41.38,313414,41.38
2012-01-18,41.14,41.49,40.86,41.43,220035,41.43
2012-01-19,41.65,41.66,40.99,41.22,275013,41.22
2012-01-20,41.12,41.25,40.71,40.96,314223,40.96
2012-01-23,41.4,41.58,41.22,41.29,323319,41.29
2012-01-24,41.28,41.97,41.28,41.82,247511,41.82
2012-01-25,41.86,42.82,41.64,42.7,394843,42.7
2012-01-26,42.95,43,42.3,42.42,341428,42.42
2012-01-27,42.25,42.74,42.06,42.09,365649,42.09
2012-01-30,42.05,42.79,41.97,42.3,295839,42.3
2012-01-31,42.41,42.65,42.36,42.61,362240,42.61
2012-02-01,42.61,42.68,42.22,42.32,291169,42.32
2012-02-02,42.51,43.06,42.3,42.3,304297,42.3
2012-02-03,42.44,42.52,41.94,41.94,430829,41.94
2012-02-06,42.03,42.17,41.71,42.02,235738,42.02
2012-02-07,42.16,42.6,42.15,42.41,268705,42.41
2012-02-08,42.44,42.71,42.04,42.27,378564,42.27
2012-02-09,42.2,42.67,41.9,42.67,336837,42.67
2012-02-10,42.42,42.89,42.16,42.89,266915,42.89
2012-02-13,42.98,43.15,41.7,41.76,389976,41.76
2012-02-14,41.54,42.49,41.5,42.49,234437,42.49
2012-02-15,42.47,42.72,42.04,42.27,350822,42.27
2012-02-16,42.17,42.53,41.75,41.94,420344,41.94
2012-02-17,42.05,42.5,41.96,42.38,296056,42.38
2012-02-21,42.56,42.87,41.96,42.13,334408,42.13
2012-02-22,41.97,42.03,41.23,41.38,450132,41.38
2012-02-23,41.38,42.28,41.38,42.14,394550,42.14
2012-02-24,42.14,42.17,41.62,41.67,280790,41.67
2012-02-27,41.51,41.75,41.4,41.64,262766,41.64
2012-02-28,41.72,42.3,41.22,42.29,420122,42.29
2012-02-29,42.41,42.43,41.72,42.06,422533,42.06
2012-03-01,42.11,43.11,42.04,43.01,384806,43.01
2012-03-02,42.99,43.1,42.65,42.77,426334,42.77
2012-03-05,42.85,43.32,42.7,43.2,221873,43.2
2012-03-06,43.03,43.07,42.46,42.71,375242,42.71
2012-03-07,42.81,42.86,42.26,42.55,254583,42.55
2012-03-08,42.55,43.38,42.5,43.38,264029,43.38
2012-03-09,43.4,44.4,43.25,44.21,257123,44.21
2012-03-12,44.18,44.31,43.53,43.61,221584,43.61
2012-03-13,43.82,44.07,43.42,43.86,196109,43.86
2012-03-14,43.95,44.46,43.73,44.46,236862,44.46
2012-03-15,44.55,45.75,44.28,45.13,477446,45.13
2012-03-16,45.13,45.33,44.64,44.69,399288,44.69
2012-03-19,44.73,45.04,44.29,44.75,276833,44.75
2012-03-20,44.5,45.27,44.41,45.25,303595,45.25
2012-03-21,45.38,45.78,44.68,44.75,423890,44.75
2012-03-22,45.88,46.95,45.44,46.14,694114,46.14
2012-03-23,47.32,47.59,46.7,47.13,645266,47.13
2012-03-26,47.44,47.45,46.88,47.26,338101,47.26
2012-03-27,46.49,46.67,45.75,45.75,1517662,45.75
2012-03-28,45.3,46.28,45.29,46,3858101,46
2012-03-29,46.22,46.44,45.88,46.27,710248,46.27
2012-03-30,46.5,46.64,45.75,46.2,911294,46.2
2012-04-02,46.37,47.11,46.2,46.76,667040,46.76
2012-04-03,46.9,47.49,46.78,47,373343,47
2012-04-04,46.81,46.9,46.42,46.84,349849,46.84
2012-04-05,46.69,47.4,46.62,47.22,565744,47.22
2012-04-09,46.59,46.85,46.44,46.54,322395,46.54
2012-04-10,46.71,46.71,45.34,45.5,529816,45.5
2012-04-11,45.69,46.14,45.47,45.86,443102,45.86
2012-04-12,45.84,46.66,45.69,46.63,313401,46.63
2012-04-13,46.52,46.75,46.15,46.3,391551,46.3
2012-04-16,46.32,46.41,45.71,45.89,443898,45.89
2012-04-17,46.28,46.57,45.87,46.55,365591,46.55
2012-04-18,46.51,47.18,46.38,46.88,359435,46.88
2012-04-19,46.92,47.06,46.46,46.64,270230,46.64
2012-04-20,46.88,47.17,46.6,46.93,241053,46.93
2012-04-23,46.7,46.89,46.04,46.5,286743,46.5
2012-04-24,46.35,46.56,45.45,45.69,503916,45.69
2012-04-25,45.99,46.38,45.84,46.3,485532,46.3
2012-04-26,46.29,47.61,46.23,47.41,550870,47.41
2012-04-27,47.45,48.02,46.99,47.78,730372,47.78
2012-04-30,48.63,48.72,47.41,47.46,442986,47.46
2012-05-01,47.51,48.57,47.42,47.8,430777,47.8
2012-05-02,47.65,48.41,47.6,48.19,563953,48.19
2012-05-03,48.27,48.74,47.95,48.08,351480,48.08
2012-05-04,48,48.39,47.47,47.56,322535,47.56
2012-05-07,47.46,48.58,47.3,48.21,671977,48.21
2012-05-08,47.97,48.09,46.51,47.1,601097,47.1
2012-05-09,46.63,47.33,46.62,46.84,476014,46.84
2012-05-10,47.16,47.38,46.72,46.95,563244,46.95
2012-05-11,46.8,47.77,46.73,47.17,398378,47.17
2012-05-14,47.06,47.61,46.77,46.82,355354,46.82
2012-05-15,46.83,47.38,46.75,47,254138,47
2012-05-16,47,47.73,46.89,47.61,476512,47.61
2012-05-17,47.05,47.08,45.69,45.99,724336,45.99
2012-05-18,46.09,46.44,45.38,45.65,461064,45.65
2012-05-21,45.61,46.49,45.61,46.35,467312,46.35
2012-05-22,46.47,46.72,45.79,45.9,430342,45.9
2012-05-23,45.75,47.08,45.75,46.9,529860,46.9
2012-05-24,47.07,48.09,46.99,47.65,611225,47.65
2012-05-25,47.7,47.92,47.49,47.58,219806,47.58
2012-05-29,47.95,48.26,47.29,48.06,517394,48.06
2012-05-30,47.97,48.59,47.32,48.56,625253,48.56
2012-05-31,48.5,49.5,48.5,48.91,798685,48.91
2012-06-01,48.42,48.95,48.24,48.62,738203,48.62
2012-06-04,48.77,48.93,47.63,48.49,665274,48.49
2012-06-05,46.6,47.55,46.5,46.76,2076876,46.76
2012-06-06,47.65,48.98,47.46,48.7,4761914,48.7
2012-06-07,49.32,49.49,48.6,48.98,1126208,48.98
2012-06-08,48.98,50.75,48.95,50.29,824828,50.29
2012-06-11,50.75,50.75,50,50.18,821639,50.18
2012-06-12,50.25,50.5,49.63,50.33,843223,50.33
2012-06-13,50.41,50.7,50.03,50.18,767749,50.18
2012-06-14,50.5,50.84,50.15,50.55,817422,50.55
2012-06-15,50.75,52.19,50.55,52.19,3288886,52.19
2012-06-18,52.03,52.25,51.54,51.63,957165,51.63
2012-06-19,51.83,52.3,51.56,52.2,477419,52.2
2012-06-20,52.25,52.62,52.03,52.6,888478,52.6
2012-06-21,52.93,53.04,52.14,52.38,819651,52.38
2012-06-22,52.45,52.83,52.17,52.6,3388008,52.6
2012-06-25,52.54,53.45,52.3,53.19,749777,53.19
2012-06-26,53.87,55.18,53.29,54.95,1174499,54.95
2012-06-27,55.29,55.3,53.29,54.02,1081808,54.02
2012-06-28,52.84,53.74,52.62,53.73,662742,53.73
2012-06-29,54.36,54.69,53.73,54.39,678349,54.39
2012-07-02,54.61,55.01,54.28,54.73,558384,54.73
2012-07-03,54.73,54.75,53.23,53.76,575284,53.76
2012-07-05,53.75,54.56,53.02,54.29,863285,54.29
2012-07-06,53.99,55.05,53.9,54.59,387362,54.59
2012-07-09,54.48,55.05,54.4,54.86,302199,54.86
2012-07-10,55,56.03,54.88,55.6,556516,55.6
2012-07-11,55.56,55.56,54.45,54.92,352253,54.92
2012-07-12,54.85,54.96,53.96,54,604531,54
2012-07-13,54.5,54.64,54.06,54.53,410279,54.53
2012-07-16,54.5,54.9,54.05,54.61,1081843,54.61
2012-07-17,54.68,55.23,54.42,55.06,377970,55.06
2012-07-18,55,55.3,53.31,53.74,690421,53.74
2012-07-19,53.87,54.22,52.24,52.29,1084504,52.29
2012-07-20,52.29,53.01,51.42,52.34,814612,52.34
2012-07-23,51.6,52.51,50.88,52.32,614363,52.32
2012-07-24,52.61,52.94,52.1,52.48,657561,52.48
2012-07-25,50.6,51.42,49.45,51.29,913668,51.29
2012-07-26,51.5,51.95,50.59,51.28,684828,51.28
2012-07-27,51.45,51.57,50.77,50.99,536504,50.99
2012-07-30,51.53,51.64,50.37,50.95,736134,50.95
2012-07-31,51,51.26,50.32,51.01,683908,51.01
2012-08-01,51.41,51.44,50.93,51.06,478088,51.06
2012-08-02,50.92,51.56,50.89,51.47,507952,51.47
2012-08-03,52.18,52.19,51.66,51.9,248677,51.9
2012-08-06,51.97,52.45,51.5,51.54,249053,51.54
2012-08-07,51.72,52.97,51.61,52.72,468260,52.72
2012-08-08,52.54,52.62,51.97,52.1,391891,52.1
2012-08-09,52.15,52.42,51.3,51.35,292969,51.35
2012-08-10,51.16,51.96,51.16,51.77,362595,51.77
2012-08-13,51.79,52.58,51.53,52.54,497035,52.54
2012-08-14,52.62,52.9,52.19,52.31,293021,52.31
2012-08-15,52.39,52.65,51.69,51.76,360309,51.76
2012-08-16,50.76,51.55,50.3,51.22,769366,51.22
2012-08-17,51.53,51.76,51.04,51.35,456305,51.35
2012-08-20,51.5,51.5,50.65,50.79,417794,50.79
2012-08-21,50.84,51.15,50.56,50.77,362803,50.77
2012-08-22,50.64,50.67,50.18,50.54,437152,50.54
2012-08-23,49.73,50.03,48.25,49.71,740647,49.71
2012-08-24,49.61,50.2,49.53,49.66,460572,49.66
2012-08-27,49.55,49.7,48.58,48.85,700471,48.85
2012-08-28,48.78,48.93,48.61,48.82,410632,48.82
2012-08-29,48.75,48.91,48.38,48.54,412662,48.54
2012-08-30,48.33,50.52,48.23,50.07,1363072,50.07
2012-08-31,50.3,51.41,50.3,51.07,1103966,51.07
2012-09-04,51.29,51.32,49.89,50.66,876023,50.66
2012-09-05,51.9,51.9,50.76,51.06,996805,51.06
2012-09-06,51.59,51.63,50.22,50.64,902910,50.64
2012-09-07,50.57,50.67,49.8,49.85,488991,49.85
2012-09-10,49.57,49.93,48.92,48.97,509972,48.97
2012-09-11,48.82,49.24,48.51,48.83,384650,48.83
2012-09-12,49.24,50.09,49.11,49.72,456557,49.72
2012-09-13,49.67,50.8,49.61,50.74,582315,50.74
2012-09-14,50.75,51.01,50.06,50.16,431526,50.16
2012-09-17,49.97,50.25,49.8,50.11,439894,50.11
2012-09-18,50.04,50.26,49.93,50.25,312589,50.25
2012-09-19,50.24,51.44,50.24,51.18,421576,51.18
2012-09-20,51.26,52.78,51.22,52.45,872959,52.45
2012-09-21,52.77,52.94,52.56,52.94,1493075,52.94
2012-09-24,52.47,52.72,52.37,52.51,460948,52.51
2012-09-25,52.52,52.9,52.45,52.7,498945,52.7
2012-09-26,52.5,53.36,52.5,52.86,607204,52.86
2012-09-27,51.2,52.49,51.04,52,1938710,52
2012-09-28,51.84,51.99,51.5,51.54,8871693,51.54
2012-10-01,52.07,52.12,51.51,51.61,1325823,51.61
2012-10-02,51.75,51.75,51.21,51.55,1870052,51.55
2012-10-03,51.84,51.85,51.47,51.55,617636,51.55
2012-10-04,51.75,52.32,51.61,52.07,658682,52.07
2012-10-05,52.37,52.46,51.53,51.69,559089,51.69
2012-10-08,51.72,51.75,51.05,51.05,503490,51.05
2012-10-09,51.05,51.18,50.19,50.21,399182,50.21
2012-10-10,50.51,51.14,50.28,50.46,315206,50.46
2012-10-11,50.71,51.15,49.02,49.57,1324407,49.57
2012-10-12,49.48,49.81,48.91,49.25,632616,49.25
2012-10-15,49.6,49.72,49.05,49.33,662929,49.33
2012-10-16,49.41,50.42,49.25,50.29,574754,50.29
2012-10-17,50.34,50.82,45.6,48.16,1911556,48.16
2012-10-18,48.6,48.9,46.06,47.29,1392505,47.29
2012-10-19,47.33,48.4,47.09,47.17,579126,47.17
2012-10-22,47.2,47.64,46.56,46.95,490405,46.95
2012-10-23,46.76,47.37,46.52,47.11,511266,47.11
2012-10-24,47.29,47.53,46.85,47.22,1341010,47.22
2012-10-25,47.5,47.63,47.05,47.3,843170,47.3
2012-10-26,47.3,47.95,47.3,47.63,621310,47.63
2012-10-31,48.4,49,47.92,48.62,951970,48.62
2012-11-01,48.4,48.75,48.04,48.5,424737,48.5
2012-11-02,48.46,48.64,47.67,47.77,293470,47.77
2012-11-05,47.86,47.86,47.4,47.73,261268,47.73
2012-11-06,47.89,48.3,47.51,48,393580,48
2012-11-07,48.02,48.28,47.4,47.98,445311,47.98
2012-11-08,47.94,48.18,47.75,48.12,518873,48.12
2012-11-09,47.87,48.05,46.88,46.99,665894,46.99
2012-11-12,46.83,46.96,46.46,46.71,194356,46.71
2012-11-13,46.73,47.46,46.46,46.6,382085,46.6
2012-11-14,46.93,47.73,46.82,47.18,817816,47.18
2012-11-15,47.4,48.1,47.27,47.96,905054,47.96
2012-11-16,47.82,48.81,47.81,48.7,1130908,48.7
2012-11-19,48.67,48.95,48.31,48.47,664300,48.47
2012-11-20,48.43,48.56,47.36,47.59,834699,47.59
2012-11-21,47.47,48.03,47.43,48,366996,48
2012-11-23,48.1,49.47,47.94,49.41,307433,49.41
2012-11-26,49.31,49.44,48.61,49.31,520815,49.31
2012-11-27,50.06,50.55,49.14,49.51,1762739,49.51
2012-11-28,49.51,49.84,49.32,49.58,621306,49.58
2012-11-29,49.71,50.34,49.64,49.86,1241870,49.86
2012-11-30,50.72,50.8,49.8,50,25544920,50
2012-12-03,50.24,50.24,48.72,48.76,1635868,48.76
2012-12-04,48.65,48.65,47.4,47.94,894248,47.94
2012-12-05,47.97,48.23,46.56,46.6,1169827,46.6
2012-12-06,46.57,46.58,45.78,46.43,923602,46.43
2012-12-07,46.52,47.01,46.43,46.8,640752,46.8
2012-12-10,46.8,46.89,46.29,46.57,1029899,46.57
2012-12-11,45.65,45.87,42.77,42.94,3074289,42.94
2012-12-12,42.67,44.51,42.31,44.39,2277897,44.39
2012-12-13,44.34,45.27,44.28,44.95,1549988,44.95
2012-12-14,44.9,44.95,43.83,43.83,857770,43.83
