DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,58.9,58.99,57.75,57.79,306888,57.79
2012-01-04,57.8,57.96,57.14,57.65,265907,57.65
2012-01-05,57.27,57.55,56.93,57.48,184056,57.48
2012-01-06,57.55,58.28,57.11,58.01,255213,58.01
2012-01-09,58,58.3,57.82,58.03,277557,58.03
2012-01-10,58.46,58.68,57.23,57.45,421284,57.45
2012-01-11,57.41,57.52,57.08,57.14,398399,57.14
2012-01-12,57.4,57.45,56.71,57.15,372064,57.15
2012-01-13,56.92,56.99,56.36,56.81,249355,56.81
2012-01-17,57.5,57.95,57.16,57.27,217565,57.27
2012-01-18,57.23,57.64,56.93,57.28,302598,57.28
2012-01-19,56.42,57.8,56.04,57.67,382973,57.67
2012-01-20,57.7,57.7,56.94,57.14,310416,57.14
2012-01-23,57,57.07,56.35,56.5,326110,56.5
2012-01-24,58.88,60.79,58.17,60.73,939264,60.73
2012-01-25,60.07,61.46,59.15,60.55,574919,60.55
2012-01-26,59.06,59.74,58.54,58.99,585118,58.99
2012-01-27,58.81,59.14,58.64,59,311652,59
2012-01-30,58.69,58.85,57.86,58.3,362226,58.3
2012-01-31,58.5,58.75,57.68,58.08,439918,58.08
2012-02-01,58.36,58.66,57.64,58.12,432110,58.12
2012-02-02,58.18,58.18,57.56,57.94,265082,57.94
2012-02-03,58.36,58.72,58.23,58.64,268577,58.64
2012-02-06,58.36,58.49,57.63,57.93,190660,57.93
2012-02-07,57.89,58.4,57.78,58.3,194484,58.3
2012-02-08,58.3,58.54,57.97,58.14,212802,58.14
2012-02-09,58.1,58.12,57.42,57.71,203483,57.71
2012-02-10,57.5,57.56,56.67,57.54,302860,57.54
2012-02-13,57.67,57.95,57.42,57.67,165352,57.67
2012-02-14,57.38,57.6,57.09,57.49,169413,57.49
2012-02-15,57.21,57.29,56.31,56.75,322479,56.75
2012-02-16,56.76,57.59,56.61,57.53,260435,57.53
2012-02-17,57.77,57.77,57.15,57.29,251974,57.29
2012-02-21,57.29,57.61,57.25,57.6,291482,57.6
2012-02-22,57.3,57.66,57.13,57.24,171999,57.24
2012-02-23,57.21,57.5,57.04,57.24,113143,57.24
2012-02-24,57.22,57.44,56.79,57.24,198600,57.24
2012-02-27,57.11,58.17,57.03,58,245157,58
2012-02-28,58.11,58.69,57.99,58.51,271802,58.51
2012-02-29,58.45,58.55,57.92,58.05,350273,58.05
2012-03-01,58.05,58.26,57.13,57.93,261262,57.93
2012-03-02,57.84,58.21,57.5,57.99,173917,57.99
2012-03-05,57.53,58.15,57.41,57.74,388304,57.74
2012-03-06,57.26,57.73,56.91,57.04,245396,57.04
2012-03-07,57.08,57.79,56.99,57.69,190053,57.69
2012-03-08,58.04,58.56,57.98,58.22,178011,58.22
2012-03-09,58.32,59.14,58.32,58.88,225927,58.88
2012-03-12,58.93,58.93,58.07,58.23,214940,58.23
2012-03-13,58.41,58.78,58.08,58.75,165600,58.75
2012-03-14,58.75,59.42,58.5,59.27,151194,59.27
2012-03-15,59.44,59.96,59.35,59.92,234557,59.92
2012-03-16,59.9,60.1,59.6,59.81,468092,59.81
2012-03-19,59.6,60.23,59.6,60.08,246581,60.08
2012-03-20,59.84,60.01,59.63,59.75,242808,59.75
2012-03-21,59.83,60.35,59.73,60.11,176675,60.11
2012-03-22,59.74,60.44,59.65,59.95,154470,59.95
2012-03-23,60.13,60.18,58.25,59.17,891825,59.17
2012-03-26,59.38,60.67,59.32,60.66,228764,60.66
2012-03-27,60.75,60.92,60.24,60.62,180037,60.62
2012-03-28,60.58,60.95,60.12,60.45,141465,60.45
2012-03-29,59.84,61.35,59.79,61.32,365524,61.32
2012-03-30,61.14,61.48,60.61,61.15,321831,61.15
2012-04-02,61.13,62.32,60.91,62,344292,62
2012-04-03,62.01,62.01,61.42,61.78,211112,61.78
2012-04-04,61.46,61.52,61.03,61.08,199898,61.08
2012-04-05,60.91,61.23,60.77,61.17,130498,61.17
2012-04-09,60.27,60.29,59.61,59.63,289264,59.63
2012-04-10,59.58,59.87,58.51,58.8,306926,58.8
2012-04-11,59.27,59.95,59.23,59.57,181945,59.57
2012-04-12,59.68,59.7,58.63,58.83,621382,58.83
2012-04-13,58.72,58.92,57.93,57.98,336678,57.98
2012-04-16,58.14,58.66,57.82,58.43,234123,58.43
2012-04-17,58.76,60.57,58.76,60.29,358329,60.29
2012-04-18,60.72,61,58.47,59.2,502825,59.2
2012-04-19,59.28,59.7,58.49,58.82,320473,58.82
2012-04-20,58.96,59.17,58.43,58.54,389262,58.54
2012-04-23,58.17,58.27,57.55,57.55,315340,57.55
2012-04-24,57.61,58.66,57.2,57.97,229271,57.97
2012-04-25,58.27,58.38,57.87,57.97,188777,57.97
2012-04-26,57.82,58.07,57.5,57.8,213587,57.8
2012-04-27,58.06,58.18,57.53,57.53,208872,57.53
2012-04-30,57.5,57.76,57.26,57.69,252983,57.69
2012-05-01,57.5,58.85,57.5,58.78,329037,58.78
2012-05-02,58.47,58.8,58.21,58.43,221408,58.43
2012-05-03,58.33,58.44,57.76,57.92,155940,57.92
2012-05-04,57.63,57.8,57.14,57.14,254527,57.14
2012-05-07,57.07,57.34,56.95,57.15,152932,57.15
2012-05-08,56.83,57.65,56.52,57.58,248177,57.58
2012-05-09,57.13,57.55,56.82,57.17,200854,57.17
2012-05-10,57.77,58.16,57.41,57.58,222046,57.58
2012-05-11,57.35,57.97,57.17,57.21,177374,57.21
