DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,12.82,13.27,12.81,12.98,1475412,12.98
2012-01-04,12.88,13.27,12.75,13.12,1244485,13.12
2012-01-05,13.01,13.38,12.92,13.36,1602606,13.36
2012-01-06,13.26,13.56,12.94,12.98,1979408,12.98
2012-01-09,13.07,13.18,12.85,12.96,1143907,12.96
2012-01-10,13.31,13.48,13.26,13.48,1935724,13.48
2012-01-11,13.51,14.16,13.45,14.13,1928830,14.13
2012-01-12,14.16,14.26,13.85,14.24,1568150,14.24
2012-01-13,13.98,14.04,13.59,13.91,1781118,13.91
2012-01-17,14.01,14.11,13.67,13.75,1696514,13.75
2012-01-18,13.77,14.28,13.67,14.12,2528566,14.12
2012-01-19,13.94,14.07,13.73,14.05,1528851,14.05
2012-01-20,14.06,14.07,13.66,13.82,1378021,13.82
2012-01-23,13.85,14.2,13.78,13.89,1407342,13.89
2012-01-24,13.75,14.27,13.68,14.25,1315138,14.25
2012-01-25,14.2,14.54,14.02,14.49,2054504,14.49
2012-01-26,14.58,14.7,14.04,14.12,1776430,14.12
2012-01-27,14.3,14.71,14.07,14.39,2262703,14.39
2012-01-30,14.11,14.16,13.87,14.08,1238150,14.08
2012-01-31,13.98,14.29,13.65,13.92,1834267,13.92
2012-02-01,14.09,14.26,13.87,14.09,1416371,14.09
2012-02-02,14.09,14.25,13.98,14.12,991742,14.12
2012-02-03,14.36,14.79,14.36,14.66,2931765,14.66
2012-02-06,14.7,14.78,14.25,14.45,1282230,14.45
2012-02-07,14.38,14.52,14.23,14.36,932410,14.36
2012-02-08,14.33,14.55,14.15,14.49,1225718,14.49
2012-02-09,14.56,14.71,14.32,14.51,1312722,14.51
2012-02-10,14.27,14.47,14.22,14.33,1077476,14.33
2012-02-13,14.52,14.74,14.39,14.73,1159893,14.73
2012-02-14,14.48,14.65,14.26,14.56,1426992,14.56
2012-02-15,14.64,14.77,14.42,14.53,2492646,14.53
2012-02-16,14.59,14.69,14.34,14.47,1327744,14.47
2012-02-17,14.47,14.62,14.24,14.33,1165602,14.33
2012-02-21,14.47,14.5,13.87,13.94,1185252,13.94
2012-02-22,13.99,14.15,13.77,13.93,1918322,13.93
2012-02-23,13.9,14.28,13.84,14.16,1192422,14.16
2012-02-24,14.17,14.32,13.87,13.98,630726,13.98
2012-02-27,13.9,14.38,13.82,14.24,976853,14.24
2012-02-28,14.12,14.22,13.83,13.89,1764424,13.89
2012-02-29,13.95,14.54,13.9,14.34,1697548,14.34
2012-03-01,14.46,14.58,14.08,14.17,973962,14.17
2012-03-02,14.1,14.21,13.88,13.93,778083,13.93
2012-03-05,13.9,14.13,13.77,13.96,787185,13.96
2012-03-06,13.8,13.81,13.46,13.46,1540549,13.46
2012-03-07,13.52,14.09,13.52,13.99,1626925,13.99
2012-03-08,14.16,14.65,13.95,14.56,2332364,14.56
2012-03-09,14.95,15.69,14.83,15.47,3574403,15.47
2012-03-12,15.53,15.95,15.47,15.67,2153990,15.67
2012-03-13,15.79,16.05,15.72,15.94,1938270,15.94
2012-03-14,15.9,16.09,15.7,15.83,1183383,15.83
2012-03-15,15.8,16.37,15.7,16.32,1493313,16.32
2012-03-16,16.37,16.45,15.91,16.03,2380290,16.03
2012-03-19,16.07,16.25,15.68,15.93,1249404,15.93
2012-03-20,15.75,15.82,15.49,15.74,1357820,15.74
2012-03-21,15.8,16.05,15.63,15.74,844439,15.74
2012-03-22,15.63,15.65,15.35,15.42,1051626,15.42
2012-03-23,15,15.53,14.64,15.43,3050871,15.43
2012-03-26,15.63,15.68,15.11,15.43,1373876,15.43
2012-03-27,15.55,16.32,15.55,15.77,2822417,15.77
2012-03-28,15.83,15.98,15.63,15.91,1326320,15.91
2012-03-29,15.65,15.67,15.06,15.39,2167490,15.39
2012-03-30,15.5,15.5,15.07,15.17,1553494,15.17
2012-04-02,15.1,15.23,14.82,15.02,1580229,15.02
2012-04-03,14.97,15.02,14.71,14.83,1976122,14.83
2012-04-04,14.57,14.73,14.29,14.31,2911232,14.31
2012-04-05,14.26,14.41,13.91,14.05,4395657,14.05
2012-04-09,13.84,14.75,13.8,14.7,2791984,14.7
2012-04-10,14.7,14.84,14.04,14.05,2466854,14.05
2012-04-11,14.3,14.9,14.26,14.73,1989651,14.73
2012-04-12,14.73,15.21,14.58,15.19,1800803,15.19
2012-04-13,15.08,15.17,14.68,14.82,1167233,14.82
2012-04-16,15.23,15.32,14.62,14.78,1490741,14.78
2012-04-17,14.86,15.14,14.84,15.02,673683,15.02
2012-04-18,14.94,14.96,14.66,14.87,1083643,14.87
2012-04-19,14.86,15.05,14.48,14.62,1282226,14.62
2012-04-20,14.67,15.61,14.67,15.38,2279233,15.38
