DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,75.93,76.1,75.09,75.17,108554,75.17
2012-01-04,75.14,75.29,74.77,75.18,73303,75.18
2012-01-05,74.78,75.37,74.38,75.36,89622,75.36
2012-01-06,75.28,76.05,75.08,75.9,68376,75.9
2012-01-09,76,76.6,75.49,76.56,62551,76.56
2012-01-10,77.25,77.61,76.64,77.57,96038,77.57
2012-01-11,77.52,78.17,77.36,78.14,58881,78.14
2012-01-12,78.38,78.81,78.08,78.78,70254,78.78
2012-01-13,78.35,78.86,78.22,78.78,90872,78.78
2012-01-17,79.41,80.13,79.41,79.73,77638,79.73
2012-01-18,79.75,80.29,79.37,80.25,72523,80.25
2012-01-19,80.23,81.58,80.19,81.57,65484,81.57
2012-01-20,81.68,82.01,80.93,81.4,79987,81.4
2012-01-23,81.37,81.99,80.76,80.9,96685,80.9
2012-01-24,80.6,81.46,80.58,81.36,86718,81.36
2012-01-25,81.43,82.87,81.4,82.73,79597,82.73
2012-01-26,82.91,83.14,82.13,83.09,151281,83.09
2012-01-27,82.82,82.91,82.41,82.66,152702,82.66
2012-01-30,82.28,82.96,82.12,82.71,89133,82.71
2012-01-31,83,83,82.52,82.81,171683,82.81
2012-02-01,83.29,83.87,83.13,83.79,92061,83.79
2012-02-02,83.9,85,83.64,84.71,111807,84.71
2012-02-03,85.03,85.43,84.79,84.97,131483,84.97
2012-02-06,84.61,84.84,84.21,84.26,134342,84.26
2012-02-07,83.64,83.83,79.18,80.22,333381,80.22
2012-02-08,80.14,81.07,79.95,80.9,111649,80.9
2012-02-09,81.01,81.18,79.43,79.52,137444,79.52
2012-02-10,79.14,79.26,78.74,78.77,110898,78.77
2012-02-13,79.31,79.51,78.62,78.7,97097,78.7
2012-02-14,78.63,78.79,77.85,78.31,80650,78.31
2012-02-15,78.54,78.58,77.35,77.5,95177,77.5
2012-02-16,77.4,78.55,77.4,78.52,92725,78.52
2012-02-17,78.92,78.96,78.5,78.71,135388,78.71
2012-02-21,78.76,80.45,78.63,80.13,140744,80.13
2012-02-22,79.93,82.14,79.84,81.49,232003,81.49
2012-02-23,81.38,83.19,81.2,83.15,121936,83.15
2012-02-24,82.8,82.8,81.67,82.36,76521,82.36
2012-02-27,81.96,83.01,81.67,82.69,81340,82.69
2012-02-28,82.66,83.14,82.31,83.07,86628,83.07
2012-02-29,82.59,83.11,82.15,82.65,176334,82.65
2012-03-01,82.73,83.18,82.42,83.08,80789,83.08
2012-03-02,83.09,83.09,82.51,82.61,49017,82.61
2012-03-05,82.39,82.63,81.9,82.26,44778,82.26
2012-03-06,81.63,82.23,81.53,81.81,91142,81.81
2012-03-07,81.97,83.19,81.77,82.93,62753,82.93
2012-03-08,83.56,84.44,83.39,83.94,71807,83.94
2012-03-09,84.14,85.42,83.87,84.63,51743,84.63
2012-03-12,84.77,85.35,84.48,85.15,64086,85.15
2012-03-13,85.5,86.52,85.16,86.5,72302,86.5
2012-03-14,86.46,86.52,85.29,85.9,52551,85.9
2012-03-15,85.98,86.38,85.36,86.38,74713,86.38
2012-03-16,86,86.41,85.66,85.72,204355,85.72
2012-03-19,85.15,85.59,84.68,84.71,178689,84.71
2012-03-20,84.25,84.38,83.9,84,175296,84
2012-03-21,83.94,84.32,83.81,83.99,125106,83.99
2012-03-22,83.52,84.12,83.52,83.79,152292,83.79
2012-03-23,83.95,83.95,83.47,83.82,102667,83.82
2012-03-26,84.32,84.5,83.99,84.35,216619,84.35
2012-03-27,84.54,84.54,84.17,84.24,197792,84.24
2012-03-28,84.25,84.53,84.04,84.25,213288,84.25
2012-03-29,83.76,84.34,83.76,84.25,173722,84.25
2012-03-30,84.54,85,84.35,84.73,318528,84.73
2012-04-02,84.77,85.81,84.33,85.41,136440,85.41
2012-04-03,85.56,85.94,85.13,85.5,157023,85.5
2012-04-04,84.8,84.91,83.98,84.12,62590,84.12
2012-04-05,83.75,83.75,83.16,83.42,75657,83.42
2012-04-09,82.26,82.26,81.42,81.55,95521,81.55
2012-04-10,81.46,81.58,80.72,80.98,103724,80.98
2012-04-11,81.48,82.9,81.48,82.64,100142,82.64
2012-04-12,82.8,83.49,82.53,83.09,62356,83.09
2012-04-13,83.02,83.26,82.16,82.16,65095,82.16
2012-04-16,82.5,82.82,81.92,82.45,50851,82.45
2012-04-17,82.95,84.01,82.7,83.82,67211,83.82
2012-04-18,81.87,81.97,80.39,80.78,196688,80.78
2012-04-19,80.63,80.63,78.36,78.49,186925,78.49
2012-04-20,78.95,79.89,78.58,79.05,205980,79.05
2012-04-23,78.24,78.31,77.43,78.21,130691,78.21
2012-04-24,78.17,78.55,77.46,77.78,111978,77.78
2012-04-25,78.53,78.65,77.65,77.86,146071,77.86
2012-04-26,77.88,77.94,77.65,77.88,224611,77.88
2012-04-27,78.08,78.95,77.6,78.81,112798,78.81
2012-04-30,77.79,78.16,77.69,77.78,92956,77.78
2012-05-01,77.72,79.12,77.59,78.43,106156,78.43
2012-05-02,78.15,78.41,77.41,77.76,90100,77.76
2012-05-03,77.63,77.93,76.9,76.94,108489,76.94
