DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,56.68,57.32,56.34,56.78,393690,56.78
2012-01-04,56.51,57.03,56.02,56.08,269763,56.08
2012-01-05,55.45,55.86,54.86,55.61,399838,55.61
2012-01-06,55.78,56.43,55.13,56.28,428376,56.28
2012-01-09,56.22,56.72,55.51,56.05,538700,56.05
2012-01-10,56.88,57.01,56.41,56.81,440191,56.81
2012-01-11,56.56,57.32,56.31,57.28,546380,57.28
2012-01-12,57.46,58.92,56.83,58.38,609425,58.38
2012-01-13,57.77,60.29,57.33,59.87,1055785,59.87
2012-01-17,60.22,61.15,59.61,60.51,654414,60.51
2012-01-18,60.58,61.73,60.3,61.57,490924,61.57
2012-01-19,61.88,62.3,61.79,62.05,560832,62.05
2012-01-20,62,62.12,61.01,61.42,457212,61.42
2012-01-23,61.71,61.95,61.08,61.62,489923,61.62
2012-01-24,61.01,61.58,60.39,61.31,430367,61.31
2012-01-25,61.29,62.5,60.63,62.34,491851,62.34
2012-01-26,62.86,64.07,62.46,62.58,574838,62.58
2012-01-27,62.62,63.16,62.48,62.76,484889,62.76
2012-01-30,61.95,62.02,60.81,61.8,403552,61.8
2012-01-31,62.54,62.74,61.8,62.3,518088,62.3
2012-02-01,62.85,63.65,62.57,63.07,437155,63.07
2012-02-02,62.9,64,62.21,63.28,655766,63.28
2012-02-03,63.55,63.93,63.01,63.13,447599,63.13
2012-02-06,62.73,63.58,62.17,63.35,457579,63.35
2012-02-07,63.3,63.33,62.32,62.87,433102,62.87
2012-02-08,63.01,63.32,62.41,63.21,551300,63.21
2012-02-09,62.58,62.78,61.72,62.59,398420,62.59
2012-02-10,61.67,62.95,61.65,62.76,479361,62.76
2012-02-13,63.36,63.45,62.12,62.36,349193,62.36
2012-02-14,62.43,62.95,62.13,62.95,386918,62.95
2012-02-15,63,63.08,61.63,62.31,536894,62.31
2012-02-16,62.31,64.12,62.07,63.99,546689,63.99
2012-02-17,64.92,64.94,64.24,64.78,507091,64.78
2012-02-21,64.95,66.65,64.87,65.95,589980,65.95
2012-02-22,66.05,67.11,65.51,66.9,427277,66.9
2012-02-23,66.82,67.21,66.19,67.21,507840,67.21
2012-02-24,67.47,67.97,67.11,67.19,286024,67.19
2012-02-27,66.76,67.62,66.29,67.44,456916,67.44
2012-02-28,68.22,69.97,67.57,68.58,660219,68.58
2012-02-29,68.87,69.35,68.01,68.47,599620,68.47
2012-03-01,68.62,68.78,67.96,68.49,494642,68.49
2012-03-02,68.19,69.21,67.9,68.86,434695,68.86
2012-03-05,68.4,69.2,68.16,69.07,725393,69.07
2012-03-06,67.62,68.07,67.36,67.94,432676,67.94
2012-03-07,68.32,68.74,67.98,68.37,402213,68.37
2012-03-08,69,70.4,68.78,69.9,674004,69.9
2012-03-09,69.9,70.6,69.72,70.19,283721,70.19
2012-03-12,69.94,70.4,68.74,69.16,346639,69.16
2012-03-13,69.37,69.95,68.83,69.87,348638,69.87
2012-03-14,69.8,69.95,68.67,68.99,385291,68.99
2012-03-15,69.13,70.07,68.53,69.54,340387,69.54
2012-03-16,70.27,72.8,70.27,72.43,896337,72.43
2012-03-19,72.52,72.75,71.48,71.96,375176,71.96
2012-03-20,71.49,71.63,70.49,70.93,396570,70.93
2012-03-21,70.72,70.72,69.53,70.52,463853,70.52
2012-03-22,69.34,69.64,68.04,68.5,537858,68.5
2012-03-23,68.83,69.83,68.62,69.03,555481,69.03
2012-03-26,70,70.01,68.78,69.21,363242,69.21
2012-03-27,69.22,69.46,67.5,67.59,458588,67.59
2012-03-28,67.31,67.94,66.27,66.63,409391,66.63
2012-03-29,66.33,66.87,65.62,66.29,454738,66.29
2012-03-30,66.82,67.36,66,66.75,415244,66.75
2012-04-02,66.77,68.52,66.49,67.75,379437,67.75
2012-04-03,68.01,68.19,66.43,66.87,454325,66.87
2012-04-04,65.9,66.32,65.62,65.95,385421,65.95
2012-04-05,65.86,66.95,65.54,65.81,288730,65.81
2012-04-09,64.83,65.93,64.59,65.28,421017,65.28
2012-04-10,65.2,65.49,63.7,63.73,464714,63.73
2012-04-11,64.88,65.44,64.35,64.51,574691,64.51
2012-04-12,64.69,66.3,64.6,66.02,392469,66.02
2012-04-13,65.34,65.88,64.57,65.26,487671,65.26
2012-04-16,65.51,65.65,64.55,64.71,332300,64.71
2012-04-17,65.3,66.25,65.09,65.85,343263,65.85
2012-04-18,65.65,67.11,65.48,66.15,416211,66.15
