DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,49.3904,49.6559,48.9839,49.0171,314389,49.0171
2012-01-04,48.536,48.8263,47.7562,48.254,643504,48.254
2012-01-05,47.665,48.7351,47.1424,48.677,347538,48.677
2012-01-06,48.5111,48.5526,47.7314,47.8309,330251,47.8309
2012-01-09,48.0632,48.0632,47.4576,47.665,308354,47.665
2012-01-10,48.3452,49.1581,48.2291,49.0918,458371,49.0918
2012-01-11,48.8761,49.2992,48.7849,48.9839,220484,48.9839
2012-01-12,49.1333,49.855,48.8761,49.7056,266741,49.7056
2012-01-13,49.1664,50.0375,48.7351,49.9545,321475,49.9545
2012-01-17,50.6347,50.7923,49.9379,49.9794,276883,49.9794
2012-01-18,50.0126,50.7343,49.6808,50.2697,406015,50.2697
2012-01-19,50.502,50.6264,50.0872,50.4771,335103,50.4771
2012-01-20,50.3195,50.3195,48.8429,49.2162,548157,49.2162
2012-01-23,49.0669,49.7886,48.9342,49.7056,295466,49.7056
2012-01-24,49.0586,50.7591,49.0586,50.1619,430291,50.1619
2012-01-25,51.4311,51.4311,49.7554,50.4854,387976,50.4854
2012-01-26,52.2108,52.4265,51.5887,52.2025,508060,52.2025
2012-01-27,52.0449,53.0487,51.8707,52.833,400727,52.833
2012-01-30,52.6339,52.6339,51.8127,52.4597,277225,52.4597
2012-01-31,52.8164,53.0653,52.1528,52.6007,488092,52.6007
2012-02-01,53.0901,53.7538,52.7168,53.4468,287002,53.4468
2012-02-02,53.5713,53.704,53.3556,53.5215,188774,53.5215
2012-02-03,54.1934,54.6663,54.0773,54.4423,256846,54.4423
2012-02-06,54.0275,54.2515,53.8201,53.9694,193721,53.9694
2012-02-07,53.6708,53.9197,53.3058,53.8284,189448,53.8284
2012-02-08,54.0524,54.21,53.6791,54.069,191153,54.069
2012-02-09,54.2432,54.3178,53.8616,54.2349,172982,54.2349
2012-02-10,53.48,53.6127,53.0238,53.5132,155340,53.5132
2012-02-13,54.1022,54.7824,53.8284,54.7824,231612,54.7824
2012-02-14,54.7243,54.8405,54.3013,54.7492,218953,54.7492
2012-02-15,55.164,55.1723,54.1436,54.4423,298315,54.4423
2012-02-16,54.5833,55.4211,54.3261,55.2552,231663,55.2552
2012-02-17,55.6119,55.7446,54.4589,54.8239,362284,54.8239
2012-02-21,55.0644,55.3631,54.4838,55.1806,291931,55.1806
2012-02-22,55.081,55.2967,54.5086,54.5999,185386,54.5999
2012-02-23,54.4091,54.4672,53.8699,54.4008,188249,54.4008
2012-02-24,54.5169,54.9566,54.2847,54.4755,232124,54.4755
2012-02-27,53.8533,54.3178,53.3888,53.928,250852,53.928
2012-02-28,54.0192,54.069,53.2063,53.5962,204905,53.5962
2012-02-29,53.6044,53.7787,52.8496,53.1067,300044,53.1067
2012-03-01,53.2312,53.8367,52.833,53.1316,254440,53.1316
2012-03-02,52.9076,52.9491,52.3684,52.4929,288676,52.4929
2012-03-05,52.4431,52.7417,51.8624,52.6256,309936,52.6256
2012-03-06,51.9288,51.9288,50.3361,50.3942,373390,50.3942
2012-03-07,50.4937,51.0827,50.4937,50.9251,759946,50.9251
2012-03-08,51.2652,51.8956,51.1158,51.7131,260364,51.7131
2012-03-09,51.8127,52.5841,51.7297,52.3767,370297,52.3767
2012-03-12,52.2772,52.5426,52.103,52.3353,265979,52.3353
2012-03-13,52.7003,53.5879,52.7003,53.5796,305973,53.5796
2012-03-14,53.4302,53.5049,52.8081,53.0321,265098,53.0321
2012-03-15,53.1399,53.3058,52.6588,53.2312,253819,53.2312
2012-03-16,53.3141,53.422,53.1067,53.2063,558557,53.2063
2012-03-19,53.1565,53.5298,52.9408,53.2643,186469,53.2643
2012-03-20,52.8164,53.0321,52.3601,52.4514,412372,52.4514
2012-03-21,52.2606,52.2606,51.5389,51.9454,368537,51.9454
2012-03-22,51.4891,51.4974,50.4356,51.1241,297703,51.1241
2012-03-23,51.1822,51.9039,51.1407,51.8707,649245,51.8707
2012-03-26,52.4099,52.6422,52.2606,52.6173,476485,52.6173
2012-03-27,52.7749,52.7998,52.0947,52.244,369623,52.244
2012-03-28,52.468,52.6007,50.9499,51.0744,516327,51.0744
2012-03-29,50.7509,51.6882,50.6098,51.6136,540865,51.6136
2012-03-30,51.8707,52.2523,51.6799,52.2108,697527,52.2108
2012-04-02,52.103,53.3722,51.8375,53.1233,344246,53.1233
2012-04-03,53.115,53.2229,52.244,52.5841,324238,52.5841
2012-04-04,51.9122,52.327,51.8956,52.2689,224483,52.2689
2012-04-05,52.0034,52.0034,50.8504,50.9251,631529,50.9251
2012-04-09,50.1121,50.6762,50.0375,50.4439,354267,50.4439
2012-04-10,50.22,50.4439,49.5314,49.7139,484458,49.7139
2012-04-11,50.3859,50.419,49.7886,49.8964,325254,49.8964
2012-04-12,49.9711,50.5767,49.9711,50.4854,558646,50.4854
2012-04-13,51.0993,51.2735,50.4107,50.5352,626788,50.5352
2012-04-16,50.8504,51.0661,50.3942,50.6015,357634,50.6015
2012-04-17,51.4311,52.103,50.9334,51.7878,508857,51.7878
2012-04-18,51.7214,52.3353,50.3776,50.6347,576498,50.6347
2012-04-19,50.6679,50.6679,49.3075,49.6725,361760,49.6725
2012-04-20,49.8881,50.2282,49.5812,49.8715,600521,49.8715
2012-04-23,49.1913,50.0706,48.9839,50.0292,440614,50.0292
2012-04-24,50.1951,50.7343,50.1038,50.4937,337851,50.4937
2012-04-25,51.3149,51.4311,50.8172,51.0246,360597,51.0246
2012-04-26,50.9416,51.8873,50.5435,51.6882,312356,51.6882
2012-04-27,51.7878,52.8164,51.7629,52.6754,430704,52.6754
2012-04-30,52.5012,52.5841,51.5887,51.9786,383524,51.9786
2012-05-01,51.8458,52.468,51.3398,52.0283,290066,52.0283
2012-05-02,51.879,52.0034,51.373,51.5721,358210,51.5721
2012-05-03,51.5389,51.6385,50.5103,50.8338,303675,50.8338
2012-05-04,50.6762,50.6762,49.3987,49.7969,283092,49.7969
2012-05-07,49.6476,49.7388,48.901,48.9508,429805,48.9508
2012-05-08,48.5692,48.8014,48.0134,48.7102,601758,48.7102
2012-05-09,48.1295,49.0171,47.9138,48.3535,424192,48.3535
