DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,29.5,29.96,29.33,29.79,2107744,29.79
2012-01-04,29.77,29.99,29.45,29.95,1932468,29.95
2012-01-05,29.77,30.26,29.32,30.14,1785429,30.14
2012-01-06,30.13,30.4,29.67,30.32,1630504,30.32
2012-01-09,30.49,30.5,30.23,30.31,1413261,30.31
2012-01-10,30.85,31.68,30.8,30.98,2724304,30.98
2012-01-11,30.97,31.59,30.82,31.43,2001063,31.43
2012-01-12,31.69,32.57,31.5,32.56,2621506,32.56
2012-01-13,32.1,32.28,31.58,32.02,1868361,32.02
2012-01-17,32.84,33,32.39,32.65,1911262,32.65
2012-01-18,32.54,33.16,32.47,33.15,1884745,33.15
2012-01-19,33.07,33.17,32.75,32.98,1674815,32.98
2012-01-20,33,33.4,32.93,33.39,2590290,33.39
2012-01-23,33.41,33.45,32.99,33.1,1510255,33.1
2012-01-24,32.61,33.43,32.38,33.38,1274257,33.38
2012-01-25,33.36,33.77,33.01,33.74,1440665,33.74
2012-01-26,33.8,33.91,33.33,33.41,1653321,33.41
2012-01-27,33.37,33.69,33.14,33.46,2242569,33.46
2012-01-30,32.95,33.47,32.7,33.19,2337050,33.19
2012-01-31,33.59,33.7,33.04,33.51,2273991,33.51
2012-02-01,33.7,34,33.68,33.94,2039965,33.94
2012-02-02,33.15,33.99,33.13,33.54,2275339,33.54
2012-02-03,34,34.45,33.96,34.18,1515012,34.18
2012-02-06,33.65,34,33.65,33.98,1406562,33.98
2012-02-07,33.85,34.3,33.42,33.86,1383557,33.86
2012-02-08,33.81,34.14,33.47,33.95,1439886,33.95
2012-02-09,34,34.56,33.84,34.42,1550147,34.42
2012-02-10,33.9,34.03,33.51,33.97,1593809,33.97
2012-02-13,34.08,34.39,34.02,34.19,1431049,34.19
2012-02-14,33.87,33.96,33.2,33.6,1302879,33.6
2012-02-15,33.83,34.02,33.43,33.66,1346040,33.66
2012-02-16,33.67,34.5,33.57,34.44,1313900,34.44
2012-02-17,34.55,35,34.43,35,2680803,35
2012-02-21,34.93,35.1,34.44,34.65,2641825,34.65
2012-02-22,34.12,34.34,33.58,33.67,2108649,33.67
2012-02-23,33.66,34.1,33.4,33.86,1481326,33.86
2012-02-24,33.95,34.12,33.75,33.82,931969,33.82
2012-02-27,33.57,34.29,33.28,34.19,1613549,34.19
2012-02-28,34.3,34.8,34.24,34.35,1441521,34.35
2012-02-29,34.49,34.5,33.25,33.51,2785697,33.51
2012-03-01,33.65,34.23,33.52,34.1,1964600,34.1
2012-03-02,34.04,34.35,33.86,34.2,1488673,34.2
2012-03-05,34.04,34.15,33.47,33.69,1586536,33.69
2012-03-06,33.01,33.14,32.24,32.5,2072225,32.5
2012-03-07,32.73,33.26,32.56,33.12,1513182,33.12
2012-03-08,33.59,33.99,33.42,33.86,1251064,33.86
2012-03-09,33.88,34.44,33.82,34.06,1123054,34.06
2012-03-12,33.98,34.08,33.56,33.61,1648674,33.61
2012-03-13,33.84,34.63,33.83,34.6,1407633,34.6
2012-03-14,34.6,34.72,34.25,34.45,999352,34.45
2012-03-15,34.45,35,34.32,35,1577200,35
2012-03-16,35.06,35.71,35.06,35.3,3868022,35.3
