DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,39.8,39.98,37.82,38.34,880008,38.34
2012-01-04,38.32,38.64,38.31,38.55,380491,38.55
2012-01-05,38.53,38.86,38.31,38.79,407090,38.79
2012-01-06,38.78,38.81,38.48,38.52,315311,38.52
2012-01-09,38.61,38.74,38.5,38.52,223546,38.52
2012-01-10,38.75,38.78,38.48,38.62,204144,38.62
2012-01-11,38.41,38.46,38.07,38.15,266124,38.15
2012-01-12,38.26,38.33,37.78,37.96,324104,37.96
2012-01-13,36.8,37.95,36.53,37.82,679990,37.82
2012-01-17,38.17,38.38,37.57,37.63,378765,37.63
2012-01-18,37.72,37.75,37.43,37.72,312360,37.72
2012-01-19,37.59,37.71,37.23,37.33,410378,37.33
2012-01-20,37.33,37.7,37.04,37.67,632313,37.67
2012-01-23,37.66,38.33,37.65,38.09,315291,38.09
2012-01-24,37.97,38.04,37.73,37.8,304421,37.8
2012-01-25,37.66,38.86,37.62,38.76,424273,38.76
2012-01-26,39.11,39.67,38.86,39.08,472335,39.08
2012-01-27,38.93,39,38.71,38.71,444660,38.71
2012-01-30,38.53,38.69,38.21,38.37,403593,38.37
2012-01-31,38.5,38.84,38.4,38.82,427593,38.82
2012-02-01,38.91,39.35,38.87,39.05,330632,39.05
2012-02-02,39.11,39.23,38.89,39.08,252789,39.08
2012-02-03,38.8,39.27,38.27,38.65,710051,38.65
2012-02-06,38.39,38.74,38.22,38.33,419119,38.33
2012-02-07,38.36,38.74,38.29,38.46,445075,38.46
2012-02-08,38.41,38.74,38.1,38.18,502363,38.18
2012-02-09,38.1,38.16,37.75,38.13,526654,38.13
2012-02-10,37.79,38.51,37.75,38.51,450658,38.51
2012-02-13,38.59,38.77,38.28,38.64,297964,38.64
2012-02-14,38.79,39.14,38.5,39.11,438657,39.11
2012-02-15,41.15,41.16,39.52,39.9,1036648,39.9
2012-02-16,39.75,40.34,39.59,40,685040,40
2012-02-17,40.17,40.17,39.36,39.55,689459,39.55
2012-02-21,39.45,39.55,39.08,39.21,423030,39.21
2012-02-22,39.03,39.27,38.48,38.88,381205,38.88
2012-02-23,38.85,38.95,38.68,38.87,303926,38.87
2012-02-24,38.86,38.99,38.32,38.59,435211,38.59
2012-02-27,38.4,38.83,38.24,38.41,364407,38.41
2012-02-28,38.38,38.48,38.08,38.12,443555,38.12
2012-02-29,38.1,38.28,37.89,38.05,513581,38.05
2012-03-01,38.17,38.73,37.94,38.14,477185,38.14
2012-03-02,38.18,38.18,37.58,37.8,607560,37.8
2012-03-05,37.8,37.89,37.38,37.86,524586,37.86
2012-03-06,37.74,38,37.72,37.86,563652,37.86
2012-03-07,37.86,37.94,37.44,37.68,415516,37.68
2012-03-08,37.85,37.99,37.61,37.7,363336,37.7
2012-03-09,37.79,38.14,37.63,38.09,273346,38.09
2012-03-12,38.2,38.65,37.92,38.53,335165,38.53
2012-03-13,38.76,38.99,38.6,38.93,370632,38.93
2012-03-14,39,39.09,38.58,38.65,345958,38.65
2012-03-15,38.27,38.56,38,38.45,473238,38.45
2012-03-16,38.48,38.57,38.1,38.55,939078,38.55
2012-03-19,38.43,38.77,38.32,38.66,279277,38.66
2012-03-20,38.44,38.55,38.35,38.38,264919,38.38
2012-03-21,38.35,38.65,38.35,38.6,528349,38.6
2012-03-22,38.31,38.96,38.22,38.95,578187,38.95
2012-03-23,39.02,39.05,38.55,38.77,583253,38.77
2012-03-26,38.94,39.37,38.67,38.76,497409,38.76
2012-03-27,38.73,38.88,38.55,38.57,400259,38.57
2012-03-28,38.62,38.8,38.44,38.69,601045,38.69
2012-03-29,38.65,39.75,38.52,39.75,712532,39.75
2012-03-30,39.89,40.26,39.76,40.21,1086372,40.21
2012-04-02,40.23,40.62,40.13,40.62,568775,40.62
2012-04-03,40.64,40.64,40.24,40.46,530445,40.46
2012-04-04,40.35,40.43,40.17,40.3,702762,40.3
2012-04-05,40.15,40.54,39.9,40.54,783850,40.54
2012-04-09,40.25,40.25,39.55,39.77,406207,39.77
2012-04-10,39.76,39.79,39.28,39.28,401447,39.28
2012-04-11,39.49,39.63,39.33,39.47,287971,39.47
2012-04-12,39.36,39.38,38.77,39.14,318029,39.14
2012-04-13,39.14,39.76,39.14,39.26,461087,39.26
2012-04-16,39.26,39.53,39.07,39.36,426353,39.36
2012-04-17,39.63,40.21,39.54,40.08,373398,40.08
2012-04-18,40,40.44,39.9,40.39,373096,40.39
2012-04-19,40.44,40.7,40.4,40.5,348706,40.5
2012-04-20,40.64,40.69,40.51,40.59,475175,40.59
2012-04-23,40.25,40.26,39.89,39.96,473962,39.96
2012-04-24,40,40.59,39.98,40.32,501501,40.32
2012-04-25,38.57,39.66,38.27,39.31,1074786,39.31
2012-04-26,39.8,39.81,39.47,39.71,627376,39.71
2012-04-27,39.86,39.93,39.44,39.71,385746,39.71
2012-04-30,39.64,41.03,39.64,40.58,926115,40.58
2012-05-01,40.41,40.67,40.22,40.52,380097,40.52
2012-05-02,40.5,42.05,40.34,41.32,617605,41.32
2012-05-03,41.3,41.4,40.01,40.11,859154,40.11
2012-05-04,40.1,40.39,39.92,39.92,497143,39.92
2012-05-07,39.96,40.23,39.59,39.82,581625,39.82
2012-05-08,39.71,40.76,39.65,40.59,784187,40.59
2012-05-09,40.33,41.2,40.28,40.95,848568,40.95
2012-05-10,41.06,41.35,40.79,41.18,431589,41.18
2012-05-11,41,41.31,40.92,40.95,351042,40.95
2012-05-14,40.7,40.84,40.36,40.81,290772,40.81
2012-05-15,40.73,40.75,40.34,40.43,366603,40.43
2012-05-16,40.48,41.33,40.26,41.09,692414,41.09
2012-05-17,41.15,41.19,40.82,40.83,510709,40.83
