DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,66.3,66.33,64.59,64.86,847035,64.86
2012-01-04,64.83,65.13,64.47,64.56,457777,64.56
2012-01-05,64.5,64.95,64.2,64.53,545110,64.53
2012-01-06,64.65,64.68,64.35,64.53,1941383,64.53
2012-01-09,64.53,64.62,64.17,64.41,1187349,64.41
2012-01-10,64.68,65.01,64.26,64.41,464224,64.41
2012-01-11,64.26,64.47,63.9,64.2,568135,64.2
2012-01-12,64.41,64.41,63.72,63.84,560489,63.84
2012-01-13,63.75,63.99,63.54,63.96,618865,63.96
2012-01-17,64.35,64.62,63.75,64.02,475279,64.02
2012-01-18,63.9,63.99,63.51,63.96,449454,63.96
2012-01-19,63.93,63.96,63.3,63.72,506039,63.72
2012-01-20,63.87,63.9,63.42,63.9,723925,63.9
2012-01-23,63.93,64.29,63.63,63.81,333464,63.81
2012-01-24,63.63,63.72,63.21,63.42,371185,63.42
2012-01-25,63.15,64.2,62.61,64.08,680225,64.08
2012-01-26,64.08,64.56,63.9,64.41,609646,64.41
2012-01-27,64.29,64.29,63.48,63.54,695973,63.54
2012-01-30,63.42,63.42,62.97,63.39,563103,63.39
2012-01-31,63.48,63.96,63.48,63.93,704445,63.93
2012-02-01,64.05,64.53,63.9,64.38,592144,64.38
2012-02-02,64.5,64.5,64.02,64.11,428174,64.11
2012-02-03,64.53,64.56,63.75,64.2,464547,64.2
2012-02-06,64.05,64.17,63.63,63.81,540267,63.81
2012-02-07,63.6,64.68,63.48,64.44,509502,64.44
2012-02-08,64.5,64.5,63.96,64.14,776596,64.14
2012-02-09,64.2,64.38,63.93,64.38,325473,64.38
2012-02-10,64.32,64.47,64.08,64.44,395428,64.44
2012-02-13,64.68,64.77,64.17,64.32,559999,64.32
2012-02-14,64.47,64.56,64.08,64.5,792032,64.5
2012-02-15,63.96,64.02,62.55,62.61,1163479,62.61
2012-02-16,62.91,63.84,62.82,63.3,1213940,63.3
2012-02-17,63.81,63.81,62.58,62.7,1160573,62.7
2012-02-21,62.7,62.85,62.4,62.58,648661,62.58
2012-02-22,62.49,62.85,62.4,62.79,671166,62.79
2012-02-23,62.79,63,62.55,62.67,606233,62.67
2012-02-24,62.55,63.6,62.55,63.3,1118624,63.3
2012-02-27,63.12,63.45,62.79,63.21,486716,63.21
2012-02-28,63.3,63.45,62.85,63.03,431032,63.03
2012-02-29,62.97,63.03,62.58,62.76,787558,62.76
2012-03-01,62.7,63.18,62.58,62.97,573440,62.97
2012-03-02,62.91,63.15,62.67,63.12,418564,63.12
2012-03-05,63,63.42,62.73,63.27,592598,63.27
2012-03-06,63.18,63.3,62.85,63.06,568097,63.06
2012-03-07,63,63.12,62.55,63.09,657023,63.09
