DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,38.705,38.785,38.34,38.565,247354,38.565
2012-01-04,38.525,38.73,38.325,38.665,237144,38.665
2012-01-05,38.495,38.84,38.3,38.785,354396,38.785
2012-01-06,38.785,39.27,38.725,38.91,159464,38.91
2012-01-09,39.09,39.125,38.66,38.895,277892,38.895
2012-01-10,39.29,39.4,39.11,39.31,282210,39.31
2012-01-11,39.305,39.33,38.91,39.28,358756,39.28
2012-01-12,39.31,39.525,39.01,39.44,221090,39.44
2012-01-13,39.195,39.385,38.845,39.225,215084,39.225
2012-01-17,39.43,39.74,39.2,39.365,195382,39.365
2012-01-18,39.285,39.49,39.12,39.225,412820,39.225
2012-01-19,39.36,39.995,39.155,39.875,422478,39.875
2012-01-20,40.04,40.625,39.67,39.885,403128,39.885
2012-01-23,39.91,40.29,39.895,40.22,411506,40.22
2012-01-24,40.075,40.56,40.075,40.435,233702,40.435
2012-01-25,40.27,41.005,40.015,40.93,236852,40.93
2012-01-26,41.4,41.54,40.28,40.45,260318,40.45
2012-01-27,40.45,40.77,40.35,40.575,298788,40.575
2012-01-30,40.29,40.7,40,40.7,328224,40.7
2012-01-31,40.975,41.33,40.8,40.905,384884,40.905
2012-02-01,41.36,42.195,41.205,41.945,587396,41.945
2012-02-02,41.94,41.94,41.265,41.435,412920,41.435
2012-02-03,41.79,42.03,41.585,41.96,355326,41.96
2012-02-06,41.875,42.14,41.445,42.115,1097994,42.115
2012-02-07,42.035,42.325,41.53,41.895,494076,41.895
2012-02-08,41.98,42.02,41.44,41.85,429946,41.85
2012-02-09,41.91,42.035,41.34,42.005,1242632,42.005
2012-02-10,41.77,41.995,41.395,41.985,358908,41.985
2012-02-13,42.14,42.14,41.675,41.98,560576,41.98
2012-02-14,41.9,42.465,41.88,42.375,1003464,42.375
2012-02-15,43.185,43.74,42.57,42.945,443954,42.945
2012-02-16,42.875,43,42.57,42.74,286610,42.74
2012-02-17,44.45,44.45,42.585,42.86,757588,42.86
2012-02-21,42.965,43.305,42.535,43,585398,43
2012-02-22,43,43.075,42.645,42.96,564040,42.96
2012-02-23,42.97,43.01,42.695,42.985,527062,42.985
2012-02-24,42.93,43.495,42.885,43.4,360596,43.4
2012-02-27,43.175,43.43,42.975,43.105,640694,43.105
2012-02-28,43.18,43.485,42.905,43.38,424240,43.38
2012-02-29,43.35,43.525,43.2,43.275,507506,43.275
2012-03-01,43.29,43.485,43.16,43.41,309676,43.41
2012-03-02,43.36,43.5,43.215,43.365,364182,43.365
2012-03-05,43.215,43.655,43.215,43.3,438970,43.3
2012-03-06,43.055,43.275,42.805,42.925,520798,42.925
2012-03-07,43,43.445,42.93,43.285,390470,43.285
2012-03-08,43.53,44.195,43.42,43.9,522144,43.9
2012-03-09,43.975,44.445,43.06,43.11,714734,43.11
2012-03-12,43.1,43.18,42.665,43.125,422974,43.125
2012-03-13,43.25,43.625,42.99,43.59,376684,43.59
2012-03-14,43.65,44.015,43.56,43.96,325042,43.96
2012-03-15,43.995,43.995,43.6,43.965,341020,43.965
2012-03-16,44.07,44.41,44.01,44.295,590038,44.295
2012-03-19,44.445,44.445,43.805,44.055,195428,44.055
2012-03-20,43.925,43.925,43.6,43.775,172426,43.775
2012-03-21,43.73,44.07,43.575,44.005,281022,44.005
2012-03-22,43.77,43.84,43.43,43.705,223510,43.705
2012-03-23,43.68,43.72,43.14,43.3,280546,43.3
2012-03-26,43.54,44.255,43.47,44.23,273824,44.23
2012-03-27,44.36,44.405,43.94,44.285,209272,44.285
2012-03-28,44.405,44.65,43.905,44.125,304888,44.125
2012-03-29,43.94,44.885,43.94,44.64,362402,44.64
2012-03-30,44.9,45.21,44.68,45.085,496132,45.085
2012-04-02,45,45.01,44.625,44.86,312238,44.86
2012-04-03,44.805,45.01,44.575,44.71,299574,44.71
2012-04-04,43.875,43.92,43.03,43.45,1407456,43.45
2012-04-05,43.345,43.565,43.125,43.495,542016,43.495
2012-04-09,43.05,43.06,42.475,42.745,446106,42.745
2012-04-10,42.6,43.05,42.175,42.38,642698,42.38
2012-04-11,42.675,42.905,42.535,42.825,484270,42.825
2012-04-12,42.885,43.5,42.85,43.37,449802,43.37
2012-04-13,43.215,43.215,42.775,42.885,304594,42.885
2012-04-16,42.995,42.995,42.595,42.79,283470,42.79
2012-04-17,42.92,43.49,42.835,43.325,362614,43.325
2012-04-18,43.1,43.5,43.075,43.39,340452,43.39
2012-04-19,43.375,43.615,43.175,43.6,347428,43.6
2012-04-20,43.61,43.835,43.555,43.81,606624,43.81
2012-04-23,43.585,43.585,42.985,43.11,286330,43.11
2012-04-24,43.12,43.23,42.795,43.195,238574,43.195
2012-04-25,43.45,44.045,43.45,43.96,356506,43.96
2012-04-26,43.805,44.175,43.7,44.115,296196,44.115
2012-04-27,44.095,44.755,44.095,44.585,561712,44.585
2012-04-30,44.58,44.615,44.015,44.29,339146,44.29
2012-05-01,44.375,45.04,44.17,44.815,422042,44.815
2012-05-02,44.25,44.5,42.92,43.21,846514,43.21
2012-05-03,42.65,43.33,42.405,42.64,601046,42.64
2012-05-04,42.625,42.625,42.17,42.19,350566,42.19
2012-05-07,42.27,42.49,42.1,42.325,342810,42.325
2012-05-08,42.22,42.805,41.78,42.72,640228,42.72
2012-05-09,42.495,42.95,42.2,42.755,958356,42.755
2012-05-10,42.965,42.965,41.995,42.085,603368,42.085
2012-05-11,41.89,42.06,41.125,41.445,820220,41.445
2012-05-14,41.22,41.375,40.475,40.995,635264,40.995
2012-05-15,40.925,41.255,40.87,41.115,499234,41.115
2012-05-16,41.175,41.695,41,41.385,586664,41.385
2012-05-17,41.45,41.635,40.655,40.67,367340,40.67
2012-05-18,40.835,40.925,40.275,40.405,491364,40.405
2012-05-21,40.18,42.935,38.905,42.4,1876128,42.4
2012-05-22,42.4,42.6,39.98,40.125,1311108,40.125
2012-05-23,39.99,40.31,39.62,40.195,561392,40.195
2012-05-24,40.42,41.03,40.36,41.01,688558,41.01
2012-05-25,40.96,41.5,40.725,40.88,401288,40.88
2012-05-29,41.23,41.515,41.125,41.35,377594,41.35
2012-05-30,41.125,41.14,40.57,40.825,406596,40.825
2012-05-31,40.73,40.885,40.245,40.625,622738,40.625
2012-06-01,40.14,40.305,40.015,40.115,422816,40.115
2012-06-04,40.2,40.535,40.015,40.53,389580,40.53
2012-06-05,40.34,41.305,40.175,41.275,398890,41.275
2012-06-06,41.39,41.93,41.06,41.915,299800,41.915
2012-06-07,42.39,42.99,42.045,42.15,767016,42.15
2012-06-08,42.1,42.84,41.9,42.8,660606,42.8
2012-06-11,43.01,43.055,42.425,42.465,283178,42.465
2012-06-12,42.595,42.99,42.355,42.975,332116,42.975
2012-06-13,42.795,43.725,42.72,43.49,469622,43.49
2012-06-14,43.52,44.205,43.43,44.055,395176,44.055
2012-06-15,44.345,44.735,44.03,44.69,550138,44.69
2012-06-18,44.63,45.94,44.44,45.75,437614,45.75
2012-06-19,46.075,46.925,46.075,46.77,555166,46.77
2012-06-20,46.8,47.205,46.54,46.895,529506,46.895
2012-06-21,47.025,47.22,45.84,45.925,536494,45.925
2012-06-22,46.37,47.395,46.27,47.3,920044,47.3
2012-06-25,46.955,47.45,46.92,47.15,347732,47.15
2012-06-26,47.105,47.39,46.74,47.03,320206,47.03
2012-06-27,47.34,48.005,47.335,47.655,352948,47.655
2012-06-28,47.43,48.37,47.35,48.355,355434,48.355
2012-06-29,48.48,49.105,48.455,49.105,562702,49.105
2012-07-02,49.32,49.35,48.59,48.81,700162,48.81
2012-07-03,49.015,49.515,48.71,48.855,263106,48.855
2012-07-05,48.885,49.005,48.685,48.785,325910,48.785
2012-07-06,48.205,48.49,48.015,48.315,329562,48.315
2012-07-09,48.36,48.795,48.36,48.68,373980,48.68
2012-07-10,48.77,48.925,48.225,48.365,217388,48.365
2012-07-11,48.445,48.81,48.25,48.7,376710,48.7
2012-07-12,48.475,49.025,48.34,48.89,271458,48.89
2012-07-13,48.885,49.675,48.885,49.49,301562,49.49
2012-07-16,49.5,49.515,49.23,49.45,279442,49.45
2012-07-17,49.75,49.8,49.245,49.785,296550,49.785
2012-07-18,49.585,50.095,49.2,49.325,436596,49.325
2012-07-19,49.385,49.63,48.91,49.195,280926,49.195
2012-07-20,48.995,49.29,48.36,48.6,404418,48.6
2012-07-23,48.09,48.09,47.38,47.565,291892,47.565
2012-07-24,47.62,47.62,47.105,47.4,479086,47.4
2012-07-25,47.495,48.025,47.195,47.855,276904,47.855
2012-07-26,48.48,48.91,47.925,48.86,326552,48.86
2012-07-27,49.08,49.5,48.835,49.305,345328,49.305
2012-07-30,49.245,49.935,49.195,49.9,163002,49.9
2012-07-31,49.815,50.26,49.135,49.21,646090,49.21
2012-08-01,49.71,50.12,48.95,49.315,310914,49.315
2012-08-02,49.75,49.81,48.025,48.685,459406,48.685
2012-08-03,49.195,49.69,48.865,49.645,254086,49.645
