DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,65,66.59,64.36,66.11,1176746,66.11
2012-01-04,66.03,66.2,64.18,65.38,675629,65.38
2012-01-05,65.21,65.49,63.87,65.37,728287,65.37
2012-01-06,65.37,65.58,64.27,64.75,639927,64.75
2012-01-09,65,65.98,64.92,65.84,661608,65.84
2012-01-10,66.73,66.91,65.32,65.7,639388,65.7
2012-01-11,65.32,65.4,63.35,63.68,805045,63.68
2012-01-12,63.74,64.25,63.27,63.38,744562,63.38
2012-01-13,62.77,63.22,62.13,63.1,869581,63.1
2012-01-17,64,64.11,62.93,63.68,803329,63.68
2012-01-18,63.4,64.42,63.06,64.4,722789,64.4
2012-01-19,64.53,65.19,63.87,64.15,599001,64.15
2012-01-20,64.02,64.13,62.76,63.29,861741,63.29
2012-01-23,64.04,65.7,64.04,65.28,780668,65.28
2012-01-24,64.72,64.76,64.06,64.17,437837,64.17
2012-01-25,63.95,66.29,63.38,66.17,630876,66.17
2012-01-26,66.6,66.61,64.54,64.82,733671,64.82
2012-01-27,64.5,65.33,64.45,65.01,631294,65.01
2012-01-30,64.4,64.87,63.52,64.61,458336,64.61
2012-01-31,65.07,65.25,63.69,63.81,1008534,63.81
2012-02-01,64.2,64.6,63.52,63.75,756186,63.75
2012-02-02,63.81,64.43,63.05,63.92,685684,63.92
2012-02-03,64.79,64.79,63.35,63.46,951077,63.46
2012-02-06,63.24,64.62,62.81,64.46,1167795,64.46
2012-02-07,64.35,66.25,63.65,66.02,780610,66.02
2012-02-08,66.24,66.63,65.27,66.26,592376,66.26
2012-02-09,66.3,66.85,65.25,66.23,529527,66.23
2012-02-10,64.16,65.25,64.16,64.65,681609,64.65
2012-02-13,65.91,66.28,64.79,65.64,682592,65.64
2012-02-14,65.89,67.69,65.78,66.9,1016919,66.9
2012-02-15,68.31,72.21,67.62,71.7,2221354,71.7
2012-02-16,73.24,75.42,72.89,75.02,1464565,75.02
2012-02-17,76.2,76.21,74.36,74.95,1252450,74.95
2012-02-21,75.75,75.75,74.81,75.23,584702,75.23
2012-02-22,75.3,75.55,74.39,74.76,512442,74.76
2012-02-23,74.74,75.21,73.79,75.09,658619,75.09
2012-02-24,75,75.84,74.5,75.19,506236,75.19
2012-02-27,75,76.14,74.62,75.15,613829,75.15
2012-02-28,75.59,75.61,73.67,73.98,938571,73.98
2012-02-29,74,74.48,73.1,73.31,1050912,73.31
2012-03-01,73.44,74.37,73.22,74.13,546230,74.13
2012-03-02,73.82,74.42,72.86,73,377317,73
