DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,21.05,21.44,21.04,21.3,1210956,21.3
2012-01-04,21.12,21.16,20.26,20.29,2165827,20.29
2012-01-05,20.4,20.81,20.16,20.53,2048926,20.53
2012-01-06,20.47,20.52,19.64,19.7,2190274,19.7
2012-01-09,19.91,19.93,19.08,19.41,2959331,19.41
2012-01-10,19.57,19.75,19.38,19.455,1666983,19.455
2012-01-11,19.3,19.51,19.19,19.38,1793454,19.38
2012-01-12,19.56,19.83,19.33,19.51,1619672,19.51
2012-01-13,19.27,19.34,17.96,18.05,4340063,18.05
2012-01-17,18.13,18.23,17.56,17.72,4620474,17.72
2012-01-18,17.72,18.28,17.71,18.26,2155842,18.26
2012-01-19,18.23,18.36,16.85,17.54,4922098,17.54
2012-01-20,18,18.24,17.63,17.93,3931922,17.93
2012-01-23,18,18.18,17.89,17.98,1782447,17.98
2012-01-24,18.19,18.19,17.51,17.95,2347117,17.95
2012-01-25,17.77,18.14,17.58,18.04,1602222,18.04
2012-01-26,18.05,18.43,17.59,17.66,1681301,17.66
2012-01-27,17.51,18.34,17.5,18.13,1808134,18.13
2012-01-30,18,18.08,17.8,18.03,1539779,18.03
2012-01-31,18.13,18.8,18.07,18.57,3167114,18.57
2012-02-01,18.7,18.7,18.1,18.44,3279234,18.44
2012-02-02,19.77,20.64,19.4,19.565,6757151,19.565
2012-02-03,19.8,19.92,19.155,19.24,2904854,19.24
2012-02-06,19.11,19.31,18.92,19,2200857,19
2012-02-07,18.97,18.98,18.41,18.49,2917811,18.49
2012-02-08,18.5,18.76,18.22,18.24,2596796,18.24
2012-02-09,17.94,18.19,17.52,17.87,4456311,17.87
2012-02-10,17.11,17.5,16.73,17.42,4545572,17.42
2012-02-13,17.48,17.74,17.32,17.49,2285804,17.49
2012-02-14,17.38,17.665,17.36,17.66,1776144,17.66
2012-02-15,17.62,18,17.45,17.75,2133929,17.75
2012-02-16,17.82,17.95,17.5,17.77,1858966,17.77
2012-02-17,17.75,17.84,17.29,17.47,2422219,17.47
2012-02-21,17.56,17.63,17.13,17.22,1516338,17.22
2012-02-22,17.26,17.35,17.1,17.13,1759733,17.13
2012-02-23,17.16,17.31,17.07,17.19,1263727,17.19
2012-02-24,17.2,17.32,16.83,16.93,2590113,16.93
2012-02-27,16.81,17.12,16.61,16.81,1791003,16.81
2012-02-28,16.83,16.9,16.635,16.71,2346633,16.71
2012-02-29,16.62,16.75,16.28,16.33,2990484,16.33
2012-03-01,16.32,16.7,16.06,16.69,3817948,16.69
2012-03-02,16.65,17.02,16.61,16.78,3223539,16.78
2012-03-05,16.72,16.85,16.31,16.49,1821412,16.49
2012-03-06,16.28,16.5,16.19,16.44,2352477,16.44
2012-03-07,16.47,16.57,16.24,16.51,2350193,16.51
2012-03-08,16.64,17.69,16.36,17.4,6023568,17.4
2012-03-09,17.43,17.66,17,17.26,3707491,17.26
2012-03-12,17.27,17.37,16.63,16.84,2407925,16.84
2012-03-13,16.95,17.285,16.76,17.28,1683337,17.28
2012-03-14,17.19,17.27,16.46,16.5,3340637,16.5
2012-03-15,16.51,16.87,16.46,16.71,1846200,16.71
2012-03-16,16.78,17.495,16.65,17.46,3589117,17.46
2012-03-19,17.37,17.4,17.12,17.17,2083810,17.17
2012-03-20,17.03,17.1,16.68,17.01,1737452,17.01
2012-03-21,16.97,17.18,16.89,16.92,1569308,16.92
2012-03-22,16.8,17.12,16.74,16.95,1501857,16.95
2012-03-23,17.02,17.145,16.81,16.85,1037549,16.85
2012-03-26,17.01,17.03,16.82,17,1202060,17
2012-03-27,17.25,17.63,16.995,17.02,1577723,17.02
2012-03-28,16.98,17.09,16.49,16.79,2292382,16.79
2012-03-29,16.67,16.85,16.3,16.49,2403828,16.49
2012-03-30,16.56,16.78,16.44,16.48,1668018,16.48
2012-04-02,16.48,16.79,16.27,16.71,1664475,16.71
2012-04-03,16.63,16.87,16.59,16.65,2118653,16.65
