DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,30.87,31.49,30.76,31.34,3369097,31.34
2012-01-04,30.59,30.6,29.55,30.16,7123772,30.16
2012-01-05,30.2,30.75,29.99,30.71,3471601,30.71
2012-01-06,30.68,30.92,30.58,30.63,2032753,30.63
2012-01-09,30.97,31.07,30.18,30.52,2564995,30.52
2012-01-10,30.96,31.35,30.8,31.2,2624006,31.2
2012-01-11,31.35,31.9,31.33,31.52,3021793,31.52
2012-01-12,31.7,31.99,31.34,31.58,2594554,31.58
2012-01-13,31.45,31.56,30.56,30.62,4168101,30.62
2012-01-17,31.15,31.24,30.29,30.53,4423134,30.53
2012-01-18,30.11,30.42,29.89,30.34,7603095,30.34
2012-01-19,31.25,31.93,31.02,31.51,6205411,31.51
2012-01-20,31.5,31.95,31.35,31.92,4787015,31.92
2012-01-23,31.74,32.45,31.725,31.99,3713776,31.99
2012-01-24,31.73,32.23,31.73,31.95,2265679,31.95
2012-01-25,31.76,32.07,31.53,31.94,2575608,31.94
2012-01-26,32.07,32.29,31.46,31.71,2194328,31.71
2012-01-27,31.65,32.04,31.46,31.85,2575467,31.85
2012-01-30,31.56,31.77,31.45,31.58,2679708,31.58
2012-01-31,31.75,31.92,31.335,31.6,2429818,31.6
2012-02-01,31.93,32.49,31.76,32.2,3416937,32.2
2012-02-02,32.2,32.79,32.06,32.7,3054576,32.7
2012-02-03,33,33.26,32.84,32.95,2881839,32.95
2012-02-06,32.7,32.75,32.395,32.64,2565856,32.64
2012-02-07,32.68,32.975,32.42,32.87,2026811,32.87
2012-02-08,32.9,33.38,32.73,33.05,3117523,33.05
2012-02-09,33.11,33.285,32.62,33.26,2606595,33.26
2012-02-10,32.88,33.28,32.64,33.03,2666934,33.03
2012-02-13,33.29,33.49,33,33.16,1622192,33.16
2012-02-14,33,33.22,32.72,32.96,2221195,32.96
2012-02-15,33.16,33.85,32.88,33.31,4451354,33.31
2012-02-16,33.34,34.59,33.335,34.51,4175937,34.51
2012-02-17,34.48,35.205,34.24,35.06,5402055,35.06
2012-02-21,35.06,35.32,34.92,35.14,3165615,35.14
2012-02-22,35,35.02,34.4,34.67,2530448,34.67
2012-02-23,34.75,36.15,34.7,36.02,4816032,36.02
2012-02-24,35.99,36.52,35.82,36.36,2601353,36.36
2012-02-27,36.16,36.8,36.04,36.56,3052394,36.56
2012-02-28,36.63,36.74,36.35,36.62,2891595,36.62
2012-02-29,36.61,36.67,35.65,35.74,4198544,35.74
2012-03-01,35.96,36.5,35.82,36.37,3264732,36.37
2012-03-02,36.33,36.36,35.82,36.25,3083390,36.25
2012-03-05,35.54,35.94,35.445,35.72,4515421,35.72
2012-03-06,35.34,35.59,34.83,35.1,3670524,35.1
2012-03-07,35.23,36,35.23,35.59,3420340,35.59
2012-03-08,35.85,36,35.55,35.8,2332271,35.8
2012-03-09,35.79,36.41,35.79,36.25,2201322,36.25
2012-03-12,36.25,36.41,35.75,36.18,1550892,36.18
2012-03-13,36.29,37.34,35.835,37.33,4552811,37.33
2012-03-14,37.3,37.72,37.06,37.62,4150609,37.62
2012-03-15,37.18,37.42,36.73,36.83,3534243,36.83
2012-03-16,36.84,37.9,36.84,37.69,8144649,37.69
2012-03-19,37.26,37.985,37.08,37.79,3132493,37.79
2012-03-20,37.5,37.54,37.12,37.39,2022411,37.39
2012-03-21,37.42,37.685,37.13,37.42,2399388,37.42
2012-03-22,37.15,37.76,37.01,37.6,2679269,37.6
2012-03-23,37.77,37.77,36.94,37.07,2512483,37.07
2012-03-26,37.5,38.09,37.36,38.08,2329728,38.08
2012-03-27,38.14,38.18,37.75,37.87,2625240,37.87
2012-03-28,37.78,37.88,36.95,37.245,3392032,37.245
2012-03-29,37.09,37.12,36.71,36.99,3174396,36.99
2012-03-30,37.31,37.4,36.67,36.89,3411132,36.89
2012-04-02,36.68,36.77,36.27,36.59,3680396,36.59
2012-04-03,36.41,36.86,36.31,36.63,3972772,36.63
2012-04-04,36.29,36.3,35.505,35.73,3828566,35.73
2012-04-05,35.54,35.88,35.35,35.62,2368083,35.62
2012-04-09,35.53,36.48,35.44,36.3,3264749,36.3
2012-04-10,36.14,36.65,35.32,35.47,3993269,35.47
