DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,58.17,58.58,57.72,58.02,553328,58.02
2012-01-04,57.82,58.36,57.78,58.07,428484,58.07
2012-01-05,57.79,58.29,57.46,58.21,394690,58.21
2012-01-06,58.24,58.52,57.87,58.29,336150,58.29
2012-01-09,58.5,58.56,57.98,58.55,431758,58.55
2012-01-10,58.94,59.37,58.71,58.88,512814,58.88
2012-01-11,58.81,59.52,58.45,59.33,328984,59.33
2012-01-12,59.47,59.87,59.23,59.81,370056,59.81
2012-01-13,59.5,59.8,59.39,59.69,485366,59.69
2012-01-17,60,60.14,59.47,59.64,387965,59.64
2012-01-18,59.65,60.61,59.53,60.54,437502,60.54
2012-01-19,60.53,60.6,60.07,60.15,549996,60.15
2012-01-20,60.21,60.79,60.16,60.38,576260,60.38
2012-01-23,60.46,60.82,60.25,60.41,273858,60.41
2012-01-24,60.48,61.38,60.34,60.99,578906,60.99
2012-01-25,60.57,61.11,60.47,60.94,423748,60.94
2012-01-26,61.33,61.42,60.53,60.76,437493,60.76
2012-01-27,60.72,60.88,60.39,60.51,524348,60.51
2012-01-30,59.9,60.36,59.56,60.27,491790,60.27
2012-01-31,60.6,60.78,60.1,60.44,465161,60.44
2012-02-01,60.78,61.15,60.45,60.61,425211,60.61
2012-02-02,60.68,60.88,60.49,60.5,377524,60.5
2012-02-03,61.07,61.65,60.86,61.53,326544,61.53
2012-02-06,61.29,61.57,61.2,61.29,343153,61.29
2012-02-07,61.08,61.82,61.08,61.68,343577,61.68
2012-02-08,61.59,62.1,61.47,61.86,361872,61.86
2012-02-09,61.86,61.86,61.18,61.65,343198,61.65
2012-02-10,60.88,61.34,60.57,61.2,419407,61.2
2012-02-13,61.59,61.71,60.82,61.45,274576,61.45
2012-02-14,61.44,61.78,61.05,61.31,322773,61.31
2012-02-15,61.53,61.94,61.28,61.71,486194,61.71
2012-02-16,61.62,62.15,61.47,61.98,328239,61.98
2012-02-17,62.24,62.24,61.77,61.85,496579,61.85
2012-02-21,61.98,62.23,61.35,61.65,309102,61.65
2012-02-22,61.72,62.03,61.4,61.94,406931,61.94
2012-02-23,61.97,62.24,61.8,62.17,412575,62.17
2012-02-24,62.27,62.73,62.14,62.69,377249,62.69
2012-02-27,62.2,62.86,61.9,62.62,363132,62.62
2012-02-28,60.6,61.93,60.6,61.75,677765,61.75
2012-02-29,61.22,61.22,59.89,60,1061947,60
2012-03-01,60,60.35,59.89,60.11,617674,60.11
2012-03-02,60.16,60.2,59.35,59.55,616884,59.55
2012-03-05,59.51,59.61,58.98,59.4,587696,59.4
2012-03-06,58.78,59.48,58.78,59.34,640152,59.34
2012-03-07,59.52,59.56,59.08,59.36,556812,59.36
