DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,62.1,62.26,60.48,60.65,860447,60.65
2012-01-04,60.58,60.86,59.83,59.9,712985,59.9
2012-01-05,59.4,60.19,59.02,59.74,944428,59.74
2012-01-06,59.8,59.94,58.95,59.1,742086,59.1
2012-01-09,59.3,59.41,59.08,59.27,411965,59.27
2012-01-10,58.96,59.79,58.9,59.34,579369,59.34
2012-01-11,59.11,59.49,58.97,59.18,531092,59.18
2012-01-12,59.23,59.31,58.9,58.98,438961,58.98
2012-01-13,58.69,59.21,58.34,59.18,569536,59.18
2012-01-17,59.54,59.9,59.22,59.34,494990,59.34
2012-01-18,59.34,59.47,59.05,59.28,423258,59.28
2012-01-19,59.24,59.33,58.58,58.74,556941,58.74
2012-01-20,58.77,58.96,58.32,58.76,634332,58.76
2012-01-23,58.75,58.98,58.55,58.62,394465,58.62
2012-01-24,58.55,58.58,58.15,58.38,479861,58.38
2012-01-25,58.15,59.47,57.59,59.37,966793,59.37
2012-01-26,59.54,59.79,59.35,59.77,841523,59.77
2012-01-27,59.86,59.86,58.79,58.89,510019,58.89
2012-01-30,58.74,58.74,58.29,58.64,406862,58.64
2012-01-31,58.88,59.15,58.67,58.96,741353,58.96
2012-02-01,59.03,59.39,58.93,59.01,501460,59.01
2012-02-02,59.07,59.16,58.67,58.87,392238,58.87
2012-02-03,59.15,59.32,58.51,58.82,503791,58.82
2012-02-06,58.7,58.96,58.6,58.8,326812,58.8
2012-02-07,58.71,59.31,58.56,59.13,335497,59.13
2012-02-08,59.26,59.44,58.84,59.39,517985,59.39
2012-02-09,59.33,59.51,59.16,59.47,371819,59.47
2012-02-10,59.35,59.44,59.01,59.13,439544,59.13
2012-02-13,58.77,58.81,57.87,57.91,573360,57.91
2012-02-14,57.92,58.12,57.63,57.97,667011,57.97
2012-02-15,57.92,58.01,57.47,57.65,551214,57.65
2012-02-16,57.71,58.3,57.71,57.9,558074,57.9
2012-02-17,58.14,58.18,57.85,57.87,660283,57.87
2012-02-21,58.01,58.15,57.77,57.86,426833,57.86
2012-02-22,57.81,58.13,57.71,57.86,477702,57.86
2012-02-23,57.85,58.08,57.7,57.96,559266,57.96
2012-02-24,58.01,58.85,58,58.84,564725,58.84
2012-02-27,58.57,58.94,58.28,58.43,467994,58.43
2012-02-28,58.44,58.63,58.03,58.11,576950,58.11
2012-02-29,58.16,58.33,57.81,58.1,885515,58.1
2012-03-01,58.05,58.49,57.98,58.29,452584,58.29
2012-03-02,58.29,58.49,57.99,58.31,273079,58.31
2012-03-05,58.15,58.5,57.91,58.39,403151,58.39
2012-03-06,58.06,58.38,57.81,58.35,550616,58.35
2012-03-07,58.3,58.3,57.9,58.15,1097237,58.15
2012-03-08,58.21,58.42,58.08,58.32,295473,58.32
2012-03-09,58.42,58.46,58.08,58.39,340132,58.39
2012-03-12,58.5,59.27,58.38,59.21,461244,59.21
2012-03-13,59.3,59.46,59.01,59.4,353987,59.4
2012-03-14,59.39,59.5,58.49,58.59,436995,58.59
2012-03-15,58.83,58.84,57.94,58.08,752332,58.08
2012-03-16,57.97,58.03,57.41,57.62,1241887,57.62
2012-03-19,57.52,57.9,57.36,57.42,396643,57.42
2012-03-20,57.36,57.69,57.25,57.54,488268,57.54
2012-03-21,57.47,57.66,57.21,57.32,322232,57.32
2012-03-22,57.17,57.43,56.99,57.26,560895,57.26
2012-03-23,57.12,57.28,57.01,57.13,449731,57.13
2012-03-26,57.3,57.7,57.24,57.58,419978,57.58
2012-03-27,57.56,57.83,57.37,57.81,448624,57.81
2012-03-28,57.73,57.98,57.4,57.65,458245,57.65
2012-03-29,57.41,58.12,57.32,58,705560,58
2012-03-30,58.25,58.44,58.03,58.42,549357,58.42
2012-04-02,58.27,58.74,58.11,58.55,492188,58.55
2012-04-03,58.61,58.76,58.35,58.75,568718,58.75
2012-04-04,58.47,58.77,58.35,58.65,508041,58.65
2012-04-05,58.45,58.47,57.83,58.18,445854,58.18
2012-04-09,57.75,57.95,57.65,57.76,534860,57.76
2012-04-10,57.57,57.64,57.01,57.14,586647,57.14
2012-04-11,57.44,57.57,57.14,57.39,508034,57.39
2012-04-12,57.57,57.99,57.32,57.87,542817,57.87
2012-04-13,57.86,58.4,57.72,57.75,536628,57.75
2012-04-16,57.92,58.46,57.79,58.22,429562,58.22
2012-04-17,58.45,58.56,57.75,58.22,536556,58.22
2012-04-18,58.06,58.28,57.81,58.01,513619,58.01
2012-04-19,58.07,58.07,57.65,57.9,518130,57.9
2012-04-20,57.94,58.65,57.84,58.61,736376,58.61
2012-04-23,58.33,58.43,58.17,58.33,422412,58.33
2012-04-24,58.35,58.78,58.33,58.73,276906,58.73
2012-04-25,58.86,59.06,58.67,59.02,441136,59.02
2012-04-26,59.01,59.34,58.77,59.29,333101,59.29
2012-04-27,59.36,59.4,59,59.31,274668,59.31
2012-04-30,59.23,59.49,58.99,59.45,513963,59.45
2012-05-01,59.36,59.79,59.18,59.66,249835,59.66
2012-05-02,59.59,59.64,59.24,59.31,297396,59.31
2012-05-03,59.41,59.72,59.16,59.16,298555,59.16
2012-05-04,59,59.69,59,59.38,342611,59.38
2012-05-07,59.11,59.29,58.9,59.14,313951,59.14
2012-05-08,59,59.75,59,59.7,372399,59.7
2012-05-09,59.32,59.76,59.26,59.47,345053,59.47
2012-05-10,59.75,60.19,59.61,60.02,311028,60.02
2012-05-11,59.94,60.25,59.68,59.81,420568,59.81
2012-05-14,58.82,59.23,58.66,59.02,340084,59.02
2012-05-15,58.87,59.09,58.56,58.75,360278,58.75
2012-05-16,58.75,58.96,58.44,58.83,369930,58.83
2012-05-17,58.8,58.96,58.4,58.56,298536,58.56
2012-05-18,58.69,59.01,58.52,58.67,634372,58.67
2012-05-21,58.66,58.84,58.36,58.81,278210,58.81
2012-05-22,58.87,59.17,58.8,59.03,343670,59.03
2012-05-23,59.04,59.5,59,59.23,498987,59.23
2012-05-24,59.35,59.81,59.25,59.59,321038,59.59
2012-05-25,59.68,59.98,59.51,59.61,286297,59.61
2012-05-29,59.85,59.96,59.66,59.96,245588,59.96
2012-05-30,59.8,60.65,59.76,60.1,395374,60.1
2012-05-31,60.15,60.63,60.06,60.36,529860,60.36
2012-06-01,60.07,60.78,60.06,60.29,454952,60.29
2012-06-04,60.34,60.73,60.18,60.7,270567,60.7
2012-06-05,60.56,60.97,60.47,60.55,361699,60.55
2012-06-06,60.8,61.27,60.6,61.27,396971,61.27
2012-06-07,61.55,61.83,61.43,61.67,937302,61.67
2012-06-08,61.74,62.24,61.62,62.24,311268,62.24
2012-06-11,62.48,62.48,61.74,61.78,428676,61.78
2012-06-12,61.84,62.23,61.64,62.18,465466,62.18
2012-06-13,62.33,62.48,61.89,62.35,252305,62.35
2012-06-14,62.3,62.63,62.19,62.58,279928,62.58
2012-06-15,62.9,63.28,62.72,63.1,939604,63.1
2012-06-18,63.1,63.59,63.02,63.48,326364,63.48
2012-06-19,63.63,63.64,62.7,62.79,486708,62.79
2012-06-20,62.47,62.7,61.33,61.5,682642,61.5
2012-06-21,61.8,62.12,61.23,61.28,469886,61.28
2012-06-22,61.5,61.75,61.33,61.5,2049342,61.5
2012-06-25,61.33,61.46,60.93,61.24,326043,61.24
2012-06-26,61.32,61.5,61.17,61.25,276656,61.25
2012-06-27,61.44,61.97,61.34,61.84,345870,61.84
2012-06-28,61.64,62.09,61.41,62.07,357484,62.07
2012-06-29,62.36,62.62,61.88,62.19,605382,62.19
2012-07-02,62.24,62.78,62.2,62.72,292990,62.72
2012-07-03,62.64,62.79,62.3,62.57,180481,62.57
2012-07-05,62.47,62.47,62.04,62.09,216877,62.09
2012-07-06,61.73,62.28,61.59,62.14,273686,62.14
2012-07-09,62.1,62.52,62,62.34,272273,62.34
2012-07-10,62.49,62.81,62.38,62.53,348591,62.53
2012-07-11,62.54,62.97,62.4,62.88,351287,62.88
2012-07-12,62.68,63.05,62.57,62.87,243372,62.87
2012-07-13,62.84,63.44,62.82,63.42,275668,63.42
2012-07-16,63.22,63.31,63.05,63.14,324453,63.14
2012-07-17,63.28,63.58,63.09,63.41,267835,63.41
2012-07-18,63.3,63.58,63.2,63.5,207487,63.5
2012-07-19,63.4,63.46,62.79,63.36,261411,63.36
2012-07-20,63.28,63.99,63.25,63.77,1085780,63.77
