DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,41.74,41.9,41.16,41.36,761279,41.36
2012-01-04,41.23,41.75,40.96,41.02,592676,41.02
2012-01-05,40.8,40.83,40.32,40.53,781361,40.53
2012-01-06,40.53,40.61,40.36,40.39,447134,40.39
2012-01-09,40.42,40.55,40.31,40.37,455562,40.37
2012-01-10,40.7,40.72,40.25,40.49,626350,40.49
2012-01-11,40.36,40.68,40.31,40.64,483640,40.64
2012-01-12,40.79,40.83,40.43,40.54,493018,40.54
2012-01-13,40.41,40.58,40.16,40.57,594636,40.57
2012-01-17,41.01,41.01,40.39,40.48,405728,40.48
2012-01-18,40.39,40.57,40.16,40.44,426483,40.44
2012-01-19,40.52,40.52,39.6,39.98,714376,39.98
2012-01-20,40.1,40.54,39.98,40.49,743818,40.49
2012-01-23,40.39,40.82,40.22,40.31,428986,40.31
2012-01-24,40.15,40.27,39.9,40.12,394674,40.12
2012-01-25,40,41,39.8,40.91,644441,40.91
2012-01-26,40.94,41.71,40.89,41.38,622723,41.38
2012-01-27,41.28,41.28,40.95,41.06,452127,41.06
2012-01-30,40.91,40.91,40.55,40.72,577479,40.72
2012-01-31,40.85,41.23,40.85,41.04,540663,41.04
2012-02-01,41.19,41.27,40.86,40.93,496142,40.93
2012-02-02,40.92,41.05,40.65,40.68,473537,40.68
2012-02-03,41.25,41.25,40.83,41.08,619062,41.08
2012-02-06,41,41.07,40.79,40.93,350146,40.93
2012-02-07,40.77,41.18,40.64,41.09,295378,41.09
2012-02-08,41.03,41.08,40.74,41.01,290666,41.01
2012-02-09,40.98,41.23,40.76,41.09,344687,41.09
2012-02-10,40.85,41.13,40.85,41.09,363355,41.09
2012-02-13,41.16,41.21,40.64,40.66,286811,40.66
2012-02-14,40.49,40.93,40.45,40.8,309813,40.8
2012-02-15,40.77,40.88,40.31,40.58,428941,40.58
2012-02-16,40.64,41.5,40.64,41.32,492364,41.32
2012-02-17,41.5,41.5,41.15,41.16,619643,41.16
2012-02-21,41.41,41.79,41.27,41.68,475758,41.68
2012-02-22,41.54,41.93,41.48,41.72,506064,41.72
2012-02-23,41.76,42.09,41.75,41.9,560766,41.9
2012-02-24,41.96,42.36,41.73,42.23,433006,42.23
2012-02-27,42.05,42.43,41.76,42.3,374056,42.3
2012-02-28,42.37,42.37,41.88,41.99,295833,41.99
2012-02-29,42.1,42.15,41.39,41.87,772587,41.87
2012-03-01,43.1,44.38,42.59,42.78,1041969,42.78
2012-03-02,42.85,43.44,42.57,42.81,595640,42.81
2012-03-05,42.72,43.18,42.63,43.1,432191,43.1
2012-03-06,42.97,43.1,42.52,43.02,524540,43.02
2012-03-07,42.98,43.07,42.58,42.98,364191,42.98
2012-03-08,43.06,43.24,42.68,42.69,567721,42.69
2012-03-09,42.83,43.05,42.57,42.82,543198,42.82
2012-03-12,42.91,43.74,42.9,43.61,580703,43.61
2012-03-13,43.72,43.89,43.56,43.81,436668,43.81
2012-03-14,43.73,43.88,43.07,43.13,382973,43.13
2012-03-15,43.09,43.31,42.86,43,363887,43
2012-03-16,42.87,42.98,42.48,42.64,913296,42.64
2012-03-19,42.59,42.76,42.21,42.24,370852,42.24
2012-03-20,42.04,42.46,42.04,42.34,423272,42.34
2012-03-21,42.33,42.82,42.27,42.6,473456,42.6
2012-03-22,42.36,42.75,42.3,42.69,450982,42.69
2012-03-23,42.62,42.79,42.58,42.67,564823,42.67
2012-03-26,42.79,43,42.5,42.8,653931,42.8
2012-03-27,42.88,43.53,42.8,43.3,585016,43.3
2012-03-28,43.04,43.11,42.1,42.42,454914,42.42
2012-03-29,42.15,42.55,41.83,42.5,763310,42.5
2012-03-30,42.51,42.69,42.26,42.51,467844,42.51
2012-04-02,42.41,42.85,42.19,42.79,427707,42.79
2012-04-03,42.81,42.9,42.43,42.65,686156,42.65
2012-04-04,42.39,42.86,42.32,42.82,546465,42.82
2012-04-05,42.64,42.92,42.52,42.79,541221,42.79
2012-04-09,42.5,42.8,42.32,42.77,593089,42.77
2012-04-10,42.55,42.55,41.89,41.94,604349,41.94
2012-04-11,42.16,42.17,41.66,41.66,500512,41.66
2012-04-12,41.64,41.73,41.42,41.71,354813,41.71
2012-04-13,41.94,42.42,41.57,41.57,750585,41.57
2012-04-16,41.72,42.65,41.63,42.44,543529,42.44
2012-04-17,42.65,43.02,42.35,42.95,542493,42.95
2012-04-18,42.68,43.03,42.63,42.86,374082,42.86
2012-04-19,42.79,42.8,42.35,42.52,426703,42.52
2012-04-20,42.62,43.02,42.33,42.89,751841,42.89
2012-04-23,42.75,42.75,42.13,42.38,501638,42.38
2012-04-24,42.47,43.24,42.28,43.1,999593,43.1
2012-04-25,43.28,43.72,43.04,43.67,625522,43.67
2012-04-26,43.58,43.7,43.18,43.65,448200,43.65
2012-04-27,43.75,43.94,43.55,43.81,352447,43.81
2012-04-30,43.82,44.05,43.65,44.01,498502,44.01
2012-05-01,44.01,44.52,43.88,44.27,377812,44.27
2012-05-02,44.12,44.19,43.62,43.67,426526,43.67
2012-05-03,43.62,44.12,43.5,43.72,417014,43.72
2012-05-04,43.73,44.08,43.67,43.76,381801,43.76
2012-05-07,43.76,43.81,43.54,43.57,513239,43.57
2012-05-08,43.37,43.64,43.23,43.43,618360,43.43
2012-05-09,43.14,44.09,43.14,43.96,884908,43.96
2012-05-10,44.03,44.27,43.95,44.11,515516,44.11
2012-05-11,43.96,44.45,43.9,44.39,485264,44.39
2012-05-14,44.06,44.55,43.96,44.31,658492,44.31
2012-05-15,44.3,44.53,43.99,44.1,482868,44.1
2012-05-16,44.21,44.39,44.13,44.18,514881,44.18
2012-05-17,44.26,44.27,43.78,43.9,355662,43.9
2012-05-18,44.32,44.32,43.72,43.82,951736,43.82
2012-05-21,43.93,44.47,43.87,44.46,405344,44.46
2012-05-22,44.43,45,44.41,44.89,520114,44.89
2012-05-23,44.76,44.94,44.3,44.68,507892,44.68
2012-05-24,44.66,45.03,44.57,44.85,405181,44.85
2012-05-25,44.8,45.25,44.79,45,306739,45
2012-05-29,45.14,45.24,44.85,45.14,492342,45.14
2012-05-30,44.94,45.32,44.66,44.69,363482,44.69
2012-05-31,44.73,45.17,44.68,44.96,470383,44.96
2012-06-01,44.6,44.86,44.31,44.37,504033,44.37
2012-06-04,44.59,44.95,44.4,44.94,465478,44.94
2012-06-05,44.85,45.2,44.74,45.13,587895,45.13
2012-06-06,45.33,45.64,45.06,45.63,462835,45.63
2012-06-07,45.6,45.97,45.47,45.64,466117,45.64
2012-06-08,45.55,46.04,45.51,46.04,414044,46.04
2012-06-11,46.2,46.54,45.99,46,427060,46
2012-06-12,45.98,46.09,45.45,46.09,565900,46.09
2012-06-13,45.95,46.09,45.68,45.92,366877,45.92
2012-06-14,45.98,46.15,45.77,46.06,581325,46.06
2012-06-15,46.16,46.33,45.92,46.14,1069863,46.14
2012-06-18,46.04,46.28,45.91,46.15,560110,46.15
2012-06-19,46.32,46.38,45.83,45.9,546070,45.9
2012-06-20,45.89,45.94,45.33,45.46,450318,45.46
2012-06-21,45.71,45.74,44.78,44.85,518249,44.85
2012-06-22,45.07,45.07,44.5,44.59,790515,44.59
2012-06-25,44.33,44.75,44.3,44.67,478567,44.67
2012-06-26,44.66,45.45,44.66,45.43,848030,45.43
2012-06-27,44.91,45.91,44.82,45.87,524915,45.87
2012-06-28,45.67,46.04,45.47,46.02,400953,46.02
2012-06-29,46.46,46.48,45.82,46.2,670564,46.2
2012-07-02,46.43,46.56,46.04,46.56,483043,46.56
2012-07-03,46.51,46.81,46.21,46.29,257289,46.29
2012-07-05,46.2,46.2,45.7,45.7,451491,45.7
2012-07-06,45.65,45.87,45.4,45.65,531880,45.65
2012-07-09,45.7,45.86,45.53,45.85,428751,45.85
2012-07-10,45.9,46.22,45.85,46.08,279346,46.08
2012-07-11,46.07,46.52,46.07,46.39,548946,46.39
2012-07-12,46.34,46.49,46.24,46.27,393474,46.27
2012-07-13,46.25,46.6,46.25,46.41,669212,46.41
2012-07-16,46.32,46.36,45.59,45.61,672539,45.61
2012-07-17,45.79,45.92,45.6,45.67,543468,45.67
2012-07-18,45.64,45.72,45.36,45.65,445539,45.65
2012-07-19,45.59,45.88,45.41,45.8,479470,45.8
2012-07-20,45.64,46.1,45.54,46.01,648081,46.01
2012-07-23,45.89,46.07,45.5,45.64,382746,45.64
2012-07-24,45.63,45.71,45.06,45.33,293776,45.33
2012-07-25,45.41,45.43,45,45.14,326419,45.14
2012-07-26,45.63,45.84,45.53,45.67,454920,45.67
2012-07-27,45.92,46.49,45.92,46.36,525067,46.36
2012-07-30,46.34,46.8,46.2,46.72,341660,46.72
2012-07-31,46.79,46.84,46.15,46.18,467812,46.18
2012-08-01,45.72,46.78,44.92,44.92,630458,44.92
2012-08-02,44.67,45.03,44.34,45.01,604797,45.01
2012-08-03,45.51,45.77,45.3,45.69,476867,45.69
2012-08-06,45.86,45.99,45.25,45.25,433563,45.25
2012-08-07,45.36,45.36,44.55,44.56,713460,44.56
2012-08-08,44.52,44.68,44.18,44.61,706166,44.61
2012-08-09,44.67,44.95,44.5,44.85,363578,44.85
2012-08-10,44.62,45.03,44.45,44.98,279651,44.98
2012-08-13,44.85,44.96,44.64,44.78,239231,44.78
2012-08-14,44.88,45.48,44.88,45.28,529495,45.28
2012-08-15,45.25,45.49,45,45.32,320962,45.32
2012-08-16,45.29,45.29,44.94,45.07,228237,45.07
2012-08-17,45.02,45.07,44.45,44.76,435740,44.76
2012-08-20,44.71,44.83,44.52,44.83,196277,44.83
2012-08-21,44.32,44.79,44.24,44.25,399887,44.25
2012-08-22,44.12,44.42,43.95,44.08,359491,44.08
2012-08-23,44.08,44.1,43.45,43.6,389788,43.6
2012-08-24,43.56,43.89,43.54,43.87,327064,43.87
2012-08-27,43.83,43.86,43.48,43.59,351436,43.59
2012-08-28,43.45,43.6,43.11,43.3,547656,43.3
2012-08-29,43.35,43.89,43.3,43.71,470646,43.71
2012-08-30,43.56,44.04,43.46,43.81,368746,43.81
2012-08-31,43.86,43.97,43.62,43.79,582843,43.79
2012-09-04,43.75,44.03,43.74,43.97,559184,43.97
2012-09-05,43.97,44.09,43.89,43.99,475116,43.99
2012-09-06,44.01,44.48,44.01,44.38,537566,44.38
2012-09-07,44.38,44.39,44.1,44.31,298589,44.31
2012-09-10,44.39,44.5,44.14,44.34,271079,44.34
2012-09-11,44.26,44.46,44.21,44.43,396953,44.43
2012-09-12,44.42,44.47,44.18,44.47,252022,44.47
2012-09-13,44.39,45.14,44.39,45.1,397571,45.1
2012-09-14,45.08,45.17,44.79,45.17,515483,45.17
2012-09-17,45.19,45.24,44.67,44.74,315195,44.74
2012-09-18,44.62,45.16,44.59,45.16,474761,45.16
2012-09-19,45.15,45.29,44.86,45.2,390997,45.2
2012-09-20,45.09,45.27,45.05,45.21,403107,45.21
2012-09-21,45.32,45.43,45.15,45.39,866948,45.39
2012-09-24,45.32,46.08,45.3,45.98,332785,45.98
2012-09-25,46.01,46.19,45.81,45.81,356357,45.81
2012-09-26,45.57,45.99,45.49,45.49,231428,45.49
2012-09-27,45.54,45.93,45.43,45.46,387214,45.46
2012-09-28,45.37,45.81,45.12,45.69,518956,45.69
2012-10-01,45.81,46.44,45.71,45.96,375851,45.96
2012-10-02,46.03,46.09,45.66,46,377522,46
2012-10-03,46.08,46.78,46.08,46.6,349587,46.6
2012-10-04,47,47.49,46.82,47.1,521430,47.1
2012-10-05,47.21,47.51,47.13,47.25,419159,47.25
2012-10-08,47.25,47.45,46.67,47.06,386317,47.06
2012-10-09,46.75,47.03,46.6,46.9,480486,46.9
2012-10-10,46.9,46.99,46.7,46.77,265448,46.77
2012-10-11,46.94,47.1,46.72,46.74,367207,46.74
2012-10-12,46.88,47.11,46.53,46.59,289725,46.59
2012-10-15,46.55,47.06,46.32,47.05,368863,47.05
2012-10-16,47.22,47.54,47.08,47.29,295675,47.29
2012-10-17,47.38,47.87,47.33,47.66,368252,47.66
2012-10-18,47.45,47.96,47.45,47.96,363868,47.96
2012-10-19,47.93,47.93,47.21,47.4,577489,47.4
2012-10-22,47.3,47.6,47.11,47.48,479764,47.48
2012-10-23,46.86,46.99,46.62,46.8,550772,46.8
2012-10-24,46.82,46.99,46.47,46.49,328929,46.49
2012-10-25,46.76,46.96,46.44,46.74,323685,46.74
2012-10-26,46.81,46.81,46.37,46.57,411055,46.57
2012-10-31,46.6,47.22,46.58,46.94,444679,46.94
2012-11-01,47.06,47.06,46.58,46.71,352778,46.71
2012-11-02,46.67,47.28,46.65,46.67,638447,46.67
2012-11-05,46.46,46.47,45.96,46.02,390554,46.02
2012-11-06,46.01,46.15,45.49,45.68,444985,45.68
2012-11-07,45.66,45.66,44.86,44.94,595760,44.94
2012-11-08,44.97,45.2,44.37,44.39,637246,44.39
2012-11-09,44.37,44.52,44.1,44.17,436341,44.17
2012-11-12,44.08,44.11,43.73,43.91,244330,43.91
2012-11-13,43.74,44.43,43.74,44.14,351798,44.14
2012-11-14,44.22,44.32,43.92,44.13,473621,44.13
2012-11-15,44.17,44.29,43.56,43.79,320780,43.79
2012-11-16,43.84,44.49,43.63,44.46,779445,44.46
2012-11-19,44.64,44.69,43.83,44.13,444500,44.13
2012-11-20,44.23,44.26,43.67,44.07,682644,44.07
2012-11-21,44,44,43.23,43.82,643678,43.82
2012-11-23,43.85,43.92,43.13,43.49,430690,43.49
2012-11-26,43.4,44.56,43.4,44.43,661761,44.43
2012-11-27,44.56,44.92,44.41,44.49,400628,44.49
2012-11-28,44.39,44.55,44.1,44.47,444722,44.47
2012-11-29,44.57,45.09,44.4,45.05,488397,45.05
2012-11-30,45,45.53,44.71,45.48,641111,45.48
2012-12-03,44.89,45.2,44.54,45.14,510457,45.14
2012-12-04,44.97,45.12,44.39,44.44,499428,44.44
2012-12-05,44.49,45.22,44.49,44.98,612958,44.98
2012-12-06,45.03,45.21,44.82,44.95,342433,44.95
2012-12-07,45,45.08,44.83,44.98,275728,44.98
2012-12-10,44.88,44.88,44.63,44.66,417224,44.66
2012-12-11,44.72,44.79,44.54,44.79,302893,44.79
2012-12-12,44.86,45.1,44.59,44.8,413521,44.8
2012-12-13,44.75,44.75,44.27,44.49,617482,44.49
2012-12-14,44.5,45.2,44.47,44.81,780644,44.81
2012-12-17,44.82,45.22,44.82,44.99,896906,44.99
2012-12-18,44.98,45.78,44.93,45.72,504913,45.72
2012-12-19,45.81,45.87,45.34,45.54,377843,45.54
2012-12-20,45.64,46.05,45.45,46.05,468987,46.05
2012-12-21,46.05,46.21,45.66,45.82,1581250,45.82
2012-12-24,45.6,45.76,45.17,45.48,355309,45.48
2012-12-26,45.52,45.54,44.85,44.89,470261,44.89
2012-12-27,44.67,45.08,44.5,44.98,568060,44.98
2012-12-28,44.73,45.23,44.45,44.77,464318,44.77
2012-12-31,44.69,45.19,44.33,45.19,655825,45.19
2013-01-02,45,46.01,45,46.01,703351,46.01
2013-01-03,45.96,46.56,45.89,46.34,495759,46.34
2013-01-04,46.31,47.01,46.29,47,670772,47
2013-01-07,46.88,46.88,46.12,46.15,676320,46.15
2013-01-08,46.14,46.28,45.83,46.08,540902,46.08
2013-01-09,46.11,46.11,45.74,45.82,368459,45.82
2013-01-10,45.88,45.98,45.64,45.78,545718,45.78
2013-01-11,46,46.36,45.76,45.8,683682,45.8
2013-01-14,45.87,46.1,45.84,46.07,466207,46.07
2013-01-15,46.07,46.41,45.87,46.4,360719,46.4
2013-01-16,46.2,46.33,46.05,46.13,468521,46.13
2013-01-17,46.26,46.54,46.21,46.3,274823,46.3
2013-01-18,46.49,46.55,46.13,46.55,626082,46.55
2013-01-22,46.45,46.97,46.33,46.85,396915,46.85
2013-01-23,46.67,46.73,46.38,46.58,353966,46.58
2013-01-24,46.77,47.07,46.67,46.69,295752,46.69
2013-01-25,46.9,47.04,46.36,47.03,433678,47.03
2013-01-28,46.95,47.02,46.57,46.77,259787,46.77
2013-01-29,46.79,47.29,46.66,47.21,334729,47.21
2013-01-30,47.1,47.77,46.8,47.64,517046,47.64
2013-01-31,47.67,48.24,47.48,48.19,739784,48.19
2013-02-01,48.01,48.29,47.94,48.19,583788,48.19
2013-02-04,48.07,48.07,47.54,47.62,487963,47.62
2013-02-05,47.77,48.17,47.72,47.99,383221,47.99
2013-02-06,47.88,48,47.41,47.99,394817,47.99
2013-02-07,48.03,48.22,47.55,47.71,806191,47.71
2013-02-08,47.74,47.85,47.47,47.84,430263,47.84
2013-02-11,47.77,48.06,47.71,47.98,283228,47.98
2013-02-12,47.92,48.03,47.71,48,268258,48
2013-02-13,48.08,48.3,47.53,47.64,424352,47.64
2013-02-14,46.92,46.97,45.17,46.18,1436518,46.18
2013-02-15,46.34,46.85,45.98,46.68,877112,46.68
2013-02-19,46.76,47.15,46.7,47.04,559716,47.04
2013-02-20,47,47.02,46.58,46.58,495933,46.58
2013-02-21,46.63,46.78,46.09,46.41,672267,46.41
2013-02-22,46.53,46.89,46.49,46.86,287767,46.86
2013-02-25,47.02,47.26,45.88,45.95,669017,45.95
2013-02-26,46.14,46.18,45.58,46.12,536731,46.12
2013-02-27,48.25,48.27,46.64,47.24,817585,47.24
2013-02-28,47.71,48.14,47.34,48.03,1162133,48.03
2013-03-01,47.85,48.59,47.68,48.48,776948,48.48
2013-03-04,48.52,49.39,48.44,49.34,690165,49.34
2013-03-05,49.5,50.1,49.48,49.99,777092,49.99
2013-03-06,49.97,50.2,49.82,50.19,503998,50.19
2013-03-07,50.15,50.32,49.93,50.17,603519,50.17
2013-03-08,50.26,50.74,50.08,50.72,693314,50.72
2013-03-11,50.57,50.87,50.48,50.68,519298,50.68
2013-03-12,50.67,50.88,50.4,50.71,532114,50.71
2013-03-13,50.72,51.2,50.63,51,667498,51
2013-03-14,50.95,51.23,50.67,51.2,637416,51.2
