DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,57.21,57.63,56.15,56.215,707964,56.215
2012-01-04,56.055,57.02,56.05,56.43,508168,56.43
2012-01-05,56.205,57.06,56,56.335,835664,56.335
2012-01-06,56.485,56.565,55.29,55.75,471910,55.75
2012-01-09,55.91,56.07,55.275,55.55,515412,55.55
2012-01-10,56.195,56.485,55.85,56.05,656810,56.05
2012-01-11,55.9,55.935,55.185,55.625,567666,55.625
2012-01-12,55.675,56.225,55.595,56.035,378578,56.035
2012-01-13,55.585,56.22,55.55,56.08,610832,56.08
2012-01-17,56.9,57.705,56.84,57.54,599886,57.54
2012-01-18,57.53,57.85,57.385,57.745,427256,57.745
2012-01-19,57.75,58.235,57.25,58.09,382248,58.09
2012-01-20,58.075,58.075,57.25,58.015,494058,58.015
2012-01-23,58.26,58.53,56.95,57.48,471401,57.48
2012-01-24,57,58.2,56.78,58.08,560421,58.08
2012-01-25,58.33,59.45,57.54,59.21,608142,59.21
2012-01-26,59.38,59.55,57.94,57.99,528771,57.99
2012-01-27,57.82,58.21,57.64,57.98,715347,57.98
2012-01-30,57.4,58.06,57.04,57.72,473051,57.72
2012-01-31,58.2,58.52,57.46,57.93,711292,57.93
2012-02-01,58.52,59.2,58.46,58.9,437061,58.9
2012-02-02,59.2,59.49,58.15,58.85,587798,58.85
2012-02-03,55.5,58.34,54,57.48,1583869,57.48
2012-02-06,57.15,57.93,56.8,57.41,718668,57.41
2012-02-07,56.72,57.68,56.21,57.44,798411,57.44
2012-02-08,57.21,57.47,56.62,57.07,949020,57.07
2012-02-09,57,57.67,56.48,57.65,581786,57.65
2012-02-10,57.06,57.42,56.79,56.9,462495,56.9
2012-02-13,56.18,56.52,55.39,55.5,955416,55.5
2012-02-14,54.71,55.42,54.71,55.16,629679,55.16
2012-02-15,55.57,56.42,55.11,55.18,831082,55.18
2012-02-16,55.28,56.41,55.15,56.08,403231,56.08
2012-02-17,56.38,56.41,55.84,56.04,615532,56.04
2012-02-21,55.83,56.51,55.6,56.14,457958,56.14
2012-02-22,55.74,56.69,55.74,56.4,318333,56.4
2012-02-23,56.4,57.51,56.28,57.34,598699,57.34
2012-02-24,57.41,57.41,56.35,56.84,358621,56.84
2012-02-27,56.45,57.88,56.42,57.8,573707,57.8
2012-02-28,58,58.35,57.72,58.3,672784,58.3
2012-02-29,58.15,58.78,58,58.54,856017,58.54
2012-03-01,58.4,58.91,58.23,58.65,703996,58.65
2012-03-02,58.36,58.42,58.1,58.35,607016,58.35
2012-03-05,58.08,59.09,58.05,58.85,473805,58.85
2012-03-06,58.19,58.35,57.63,58.1,763209,58.1
2012-03-07,57.95,58.46,57.9,58.39,494127,58.39
2012-03-08,58.62,59.1,58.52,58.91,692087,58.91
2012-03-09,58.93,59.09,58.55,59.07,436102,59.07
2012-03-12,59.1,60.05,58.96,59.79,590836,59.79
2012-03-13,60.27,61.8,60.17,61.74,663897,61.74
2012-03-14,61.55,62.38,61.51,62.36,529945,62.36
2012-03-15,62.36,63.91,62.32,63.38,715786,63.38
2012-03-16,62.9,63.92,62.05,63.67,1328578,63.67
2012-03-19,63.46,63.46,62.36,62.83,613136,62.83
2012-03-20,62.67,62.67,62.11,62.23,578043,62.23
2012-03-21,62.43,63.04,62.24,62.76,366890,62.76
2012-03-22,62.35,62.72,62.21,62.38,426519,62.38
2012-03-23,62.26,62.39,61.69,62.25,528072,62.25
2012-03-26,62.58,62.89,62.39,62.64,631065,62.64
2012-03-27,62.85,63.21,62.5,62.57,440110,62.57
2012-03-28,62.46,62.77,61.66,62.25,616009,62.25
2012-03-29,61.94,62.29,61.54,62.23,422853,62.23
2012-03-30,62.72,62.72,61.89,61.94,575037,61.94
2012-04-02,62.35,62.78,62.09,62.39,484107,62.39
2012-04-03,62.39,63,62.13,62.65,501574,62.65
2012-04-04,62.32,62.84,62.04,62.34,385024,62.34
2012-04-05,62.17,63.28,61.81,63.15,401717,63.15
2012-04-09,62.29,62.41,61.9,62.16,363342,62.16
2012-04-10,62.15,62.23,60.71,60.79,508455,60.79
2012-04-11,61.4,61.41,60.85,60.95,560405,60.95
2012-04-12,61.08,62.53,60.86,62.41,554241,62.41
2012-04-13,62.35,63.13,61.74,62.96,510510,62.96
2012-04-16,62.99,63.31,62.03,62.68,480711,62.68
2012-04-17,62.9,63.42,62.49,63.27,281668,63.27
2012-04-18,62.94,63.21,62.75,63.06,445044,63.06
2012-04-19,63.11,63.44,62.39,62.78,382914,62.78
2012-04-20,63.03,64.66,62.97,64.03,562132,64.03
2012-04-23,63.16,63.34,61.95,62.5,522990,62.5
2012-04-24,62.49,62.6,61.61,61.88,384082,61.88
2012-04-25,62.39,64.75,62.39,64.63,641063,64.63
2012-04-26,64.63,65.27,64.38,65.02,430206,65.02
2012-04-27,65.18,65.53,64.85,65.23,592418,65.23
2012-04-30,64.96,65.36,64.59,65.35,435368,65.35
2012-05-01,65.48,65.48,63.95,64.01,490300,64.01
2012-05-02,63.85,64.69,63.42,64.6,364917,64.6
2012-05-03,64.75,64.75,63.78,64.15,611808,64.15
2012-05-04,62.49,62.59,60.27,60.72,954685,60.72
2012-05-07,60.86,61.81,60.4,61.6,654482,61.6
2012-05-08,61,61.27,59.42,59.87,755852,59.87
2012-05-09,59.07,60.34,59.01,59.22,785703,59.22
2012-05-10,59.82,59.87,58.77,59.17,642034,59.17
2012-05-11,59.1,59.4,57.97,58.16,731632,58.16
2012-05-14,57.71,57.96,57.31,57.44,622520,57.44
