DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,21.9,22,21.66,21.72,5307213,21.72
2012-01-04,21.73,22.01,21.6,21.83,3393746,21.83
2012-01-05,21.71,22.06,21.7,21.9,3508618,21.9
2012-01-06,21.99,22.08,21.74,22.01,3707411,22.01
2012-01-09,22,22.09,21.85,21.99,2567658,21.99
2012-01-10,22.21,22.24,21.8,21.88,3979518,21.88
2012-01-11,21.88,22.18,21.78,22.09,3223011,22.09
2012-01-12,22.78,22.8,22.35,22.48,4982399,22.48
2012-01-13,22.35,22.39,22.06,22.25,3536740,22.25
2012-01-17,22.41,22.6,22.14,22.22,3515492,22.22
2012-01-18,22.25,22.77,22.22,22.7,4137476,22.7
2012-01-19,22.97,23.26,22.84,23.16,4257400,23.16
2012-01-20,23.31,23.31,23.04,23.25,5072616,23.25
2012-01-23,23.27,23.56,23.16,23.44,4605538,23.44
2012-01-24,24.32,25.17,24.31,25.14,8651344,25.14
2012-01-25,25.14,25.94,25.06,25.69,8255682,25.69
2012-01-26,25.74,25.87,25.42,25.64,4372290,25.64
2012-01-27,25.5,25.92,25.46,25.83,3502265,25.83
2012-01-30,25.44,25.83,25.39,25.75,2973301,25.75
2012-01-31,25.89,25.96,25.59,25.76,4049960,25.76
2012-02-01,25.92,26.09,25.59,25.72,3473117,25.72
2012-02-02,25.8,26.06,25.73,26.01,4287099,26.01
2012-02-03,26.13,26.49,26.13,26.39,3053657,26.39
2012-02-06,26.2,26.39,26.14,26.26,2765454,26.26
2012-02-07,26.15,26.25,25.89,26.15,2775476,26.15
2012-02-08,26.26,26.4,26.07,26.33,2618761,26.33
2012-02-09,26.3,26.42,26.09,26.38,2242091,26.38
2012-02-10,25.99,26.25,25.81,26.2,2633798,26.2
2012-02-13,26.36,26.45,26.2,26.45,2780633,26.45
2012-02-14,26.14,26.4,25.97,26.4,2886133,26.4
2012-02-15,26.39,27.14,26.34,26.66,5685064,26.66
2012-02-16,26.72,27.55,26.71,27.52,6543358,27.52
2012-02-17,27.69,27.7,27.03,27.1,4469670,27.1
2012-02-21,27.13,27.51,27.1,27.25,2946579,27.25
