DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,56.13,56.35,54.17,54.52,551075,54.52
2012-01-04,54.39,55.95,54.04,55.79,437461,55.79
2012-01-05,55.49,56.45,54.92,56.11,375633,56.11
2012-01-06,56.38,56.56,55.67,55.79,186797,55.79
2012-01-09,55.75,55.91,54.52,54.64,231572,54.64
2012-01-10,55.31,55.73,53.5,53.68,454832,53.68
2012-01-11,53.24,53.3,50.5,50.91,1011149,50.91
2012-01-12,50.79,51.47,48.96,49.16,944110,49.16
2012-01-13,48.13,49.06,48.13,48.8,667804,48.8
2012-01-17,48.99,49.37,48.42,48.62,376112,48.62
2012-01-18,48.61,48.93,48.27,48.72,440466,48.72
2012-01-19,48.7,48.8,47.47,47.64,751559,47.64
2012-01-20,47.55,47.89,46.04,46.3,779997,46.3
2012-01-23,47.6,50.42,47.6,50.13,969263,50.13
2012-01-24,48.9,49.99,48.8,49.7,836572,49.7
2012-01-25,49.42,51.11,48.5,50.96,798640,50.96
2012-01-26,51.34,51.45,47.81,48.34,541310,48.34
2012-01-27,48.16,48.97,47.72,48.78,667035,48.78
2012-01-30,47.79,49.69,47.79,49.64,479030,49.64
2012-01-31,50.77,51.24,50.14,50.52,668646,50.52
2012-02-01,50.96,51.02,49.42,49.98,500762,49.98
2012-02-02,49.94,50.35,49.32,50.07,397189,50.07
2012-02-03,50.6,50.65,49.74,49.93,335695,49.93
2012-02-06,49.73,50.85,49.59,50.81,417374,50.81
2012-02-07,50.78,51.1,50.16,50.69,404429,50.69
2012-02-08,50.92,50.92,49.55,49.9,567729,49.9
2012-02-09,49.99,50.65,49.51,50.35,329472,50.35
2012-02-10,49.83,49.86,48.62,49.01,452678,49.01
2012-02-13,49.36,49.81,48.5,48.95,306182,48.95
2012-02-14,48.82,49.66,48.78,49.53,267030,49.53
2012-02-15,49.63,50.33,49.43,50.32,523177,50.32
2012-02-16,50.37,51.42,50,51.29,427621,51.29
2012-02-17,52.14,54.14,51.75,52.65,679467,52.65
2012-02-21,52.94,52.99,52.22,52.71,482089,52.71
2012-02-22,52.67,53.23,51.9,52.62,431563,52.62
2012-02-23,52.62,55.74,52.09,54.2,559881,54.2
2012-02-24,54.12,54.33,53.79,54.04,251679,54.04
2012-02-27,53.99,54.67,53.87,54.49,436920,54.49
2012-02-28,54.36,54.36,52.98,53.53,373512,53.53
2012-02-29,53.59,53.74,52.52,53.02,380768,53.02
2012-03-01,53.18,54.12,53.12,53.9,278943,53.9
2012-03-02,53.71,53.96,52.93,53.13,355916,53.13
2012-03-05,52.79,53.19,51.51,52.68,408677,52.68
2012-03-06,52.05,52.05,51,51.52,303271,51.52
2012-03-07,51.65,51.91,51.22,51.62,439158,51.62
2012-03-08,52,53.07,51.94,52.79,284289,52.79
2012-03-09,52.77,53.16,51.74,51.88,310207,51.88
2012-03-12,51.74,52.03,50.43,50.5,466907,50.5
2012-03-13,50.78,51.05,49.96,50.83,359655,50.83
2012-03-14,50.84,50.86,49.77,49.88,375829,49.88
2012-03-15,49.84,50.35,49.38,50.13,446149,50.13
2012-03-16,50,50.43,49.82,50.18,677938,50.18
2012-03-19,50.05,51.37,50.05,51.05,270805,51.05
2012-03-20,50.65,51.35,50.48,51,361858,51
2012-03-21,50.86,51.05,49.97,50.56,231785,50.56
2012-03-22,49.91,49.92,48.42,48.8,289264,48.8
2012-03-23,48.62,49.7,48.48,49.42,297400,49.42
2012-03-26,49.81,50.1,49.33,50.01,328486,50.01
2012-03-27,49.87,50.26,49.37,49.38,261069,49.38
2012-03-28,49.21,49.35,48.2,48.41,233775,48.41
2012-03-29,47.98,48.26,47.01,47.53,483853,47.53
2012-03-30,47.93,48.41,47.75,48.21,416711,48.21
2012-04-02,48.17,49.98,47.89,49.43,410046,49.43
2012-04-03,49.26,49.53,48.86,49.51,480656,49.51
2012-04-04,48.9,49.36,48.71,49.18,403839,49.18
2012-04-05,49.2,49.8,48.78,49.11,363470,49.11
2012-04-09,48.22,48.87,48.03,48.62,267267,48.62
2012-04-10,48.37,48.53,47.12,47.46,449009,47.46
2012-04-11,47.98,48.13,45.79,46.06,591093,46.06
2012-04-12,46.07,46.98,46.04,46.6,398127,46.6
2012-04-13,46.54,46.77,46.04,46.18,359555,46.18
2012-04-16,46.32,46.6,45.19,45.33,409837,45.33
2012-04-17,45.77,46.48,45.57,46.37,315242,46.37
2012-04-18,46.07,46.19,45.7,45.97,359073,45.97
