DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,8.18,8.535,8.16,8.49,1642053,8.49
2012-01-04,8.42,8.43,8.22,8.42,1439874,8.42
2012-01-05,8.34,8.635,8.23,8.58,1471690,8.58
2012-01-06,8.57,8.61,8.41,8.48,1025548,8.48
2012-01-09,8.51,8.55,8.41,8.5,1184008,8.5
2012-01-10,8.63,8.98,8.63,8.88,1757290,8.88
2012-01-11,8.79,9.055,8.74,9.02,1208907,9.02
2012-01-12,9.06,9.33,8.92,9.25,1299883,9.25
2012-01-13,9.1,9.29,9.05,9.24,1490577,9.24
2012-01-17,8.97,9.21,8.97,9.2,1553038,9.2
2012-01-18,9.17,9.45,9.13,9.36,1171035,9.36
2012-01-19,9.45,9.7,9.43,9.62,1414479,9.62
2012-01-20,9.57,9.72,9.51,9.66,991117,9.66
2012-01-23,9.66,9.8,9.5,9.62,815818,9.62
2012-01-24,9.5,9.59,9.4,9.54,1118694,9.54
2012-01-25,9.52,9.52,9.105,9.36,2196616,9.36
2012-01-26,8.54,8.7,7.86,7.99,5460700,7.99
2012-01-27,8.02,8.22,7.77,8.19,2569217,8.19
2012-01-30,8.08,8.34,8.01,8.27,2063436,8.27
2012-01-31,8.31,8.34,8.065,8.19,1841937,8.19
2012-02-01,8.29,8.53,8.22,8.5,2189936,8.5
2012-02-02,8.57,8.86,8.54,8.845,2387637,8.845
2012-02-03,8.99,9.25,8.98,9.19,2709411,9.19
2012-02-06,9.11,9.32,9.05,9.22,1270193,9.22
2012-02-07,9.22,9.22,8.86,9.1,1558700,9.1
2012-02-08,9.19,9.28,9.1,9.13,1501552,9.13
2012-02-09,9.17,9.24,9.025,9.19,1576293,9.19
2012-02-10,9.1,9.23,9.07,9.21,1525802,9.21
2012-02-13,9.32,9.34,9.22,9.31,1576139,9.31
2012-02-14,9.25,9.3,8.97,9.07,1413361,9.07
2012-02-15,9.14,9.24,9.05,9.17,1666381,9.17
2012-02-16,9.17,9.28,9.05,9.26,1153871,9.26
2012-02-17,9.29,9.4,9.22,9.35,969777,9.35
2012-02-21,9.4,9.52,9.3,9.5,1476100,9.5
2012-02-22,9.42,9.5,9.32,9.32,1715630,9.32
2012-02-23,9.3,9.505,9.16,9.49,986294,9.49
2012-02-24,9.52,9.72,9.46,9.66,1572637,9.66
2012-02-27,9.58,9.71,9.48,9.66,885675,9.66
2012-02-28,9.68,9.77,9.59,9.68,990369,9.68
2012-02-29,9.73,9.9,9.61,9.63,1348769,9.63
2012-03-01,9.7,10,9.7,9.84,1466616,9.84
2012-03-02,9.84,10.01,9.79,9.99,946540,9.99
2012-03-05,9.94,9.95,9.68,9.71,909120,9.71
2012-03-06,9.52,9.55,9.23,9.26,1579581,9.26
2012-03-07,9.35,9.49,9.29,9.4,863185,9.4
2012-03-08,9.51,9.76,9.48,9.69,1434593,9.69
2012-03-09,9.72,9.76,9.6,9.67,1055025,9.67
2012-03-12,9.7,9.72,9.5,9.58,1356763,9.58
2012-03-13,9.65,10.15,9.63,10.05,2341719,10.05
2012-03-14,10.15,10.495,10.06,10.4,2434718,10.4
2012-03-15,10.49,11.09,10.43,10.95,2384825,10.95
2012-03-16,11.01,11.12,10.81,11.04,1698314,11.04
2012-03-19,11.28,11.5,11.12,11.22,2208443,11.22
2012-03-20,11.11,11.32,11.02,11.215,907948,11.215
2012-03-21,11.26,11.36,11.18,11.26,1037399,11.26
2012-03-22,11.15,11.25,10.93,11.03,1062672,11.03
2012-03-23,11,11.29,10.84,11.27,1206679,11.27
2012-03-26,11.41,11.44,11.27,11.36,1293731,11.36
2012-03-27,11.37,11.45,11.18,11.19,1030344,11.19
2012-03-28,11.22,11.25,10.92,11.03,1010885,11.03
2012-03-29,10.89,10.945,10.72,10.9,1106879,10.9
2012-03-30,10.98,11.07,10.76,10.95,1457762,10.95
2012-04-02,10.89,11.15,10.85,11.09,999091,11.09
2012-04-03,11.06,11.12,10.78,11.05,1342447,11.05
2012-04-04,10.89,10.97,10.69,10.69,1012193,10.69
2012-04-05,10.63,10.75,10.58,10.66,506922,10.66
2012-04-09,10.42,10.47,10.2,10.38,938022,10.38
2012-04-10,10.31,10.47,10.02,10.05,1320687,10.05
2012-04-11,10.25,10.45,10.2,10.32,1200843,10.32
2012-04-12,10.36,10.69,10.31,10.66,947504,10.66
2012-04-13,10.62,10.64,9.98,10.06,2152906,10.06
2012-04-16,10.24,10.35,9.72,9.91,2730353,9.91
2012-04-17,10.03,10.22,9.98,10.11,1012591,10.11
2012-04-18,10.05,10.07,9.88,9.965,1015513,9.965
2012-04-19,10.02,10.14,9.77,9.87,1808000,9.87
2012-04-20,10.4,10.645,10.22,10.475,4306828,10.475
2012-04-23,10.36,10.4,10.21,10.27,1880793,10.27
2012-04-24,10.27,10.47,10.25,10.41,1102712,10.41
2012-04-25,10.51,10.7,10.45,10.67,1251705,10.67
2012-04-26,10.66,10.88,10.61,10.67,1589892,10.67
2012-04-27,10.73,10.75,10.53,10.73,729206,10.73
2012-04-30,10.72,10.72,10.53,10.63,587985,10.63
2012-05-01,10.63,10.925,10.59,10.73,1168618,10.73
2012-05-02,10.58,10.61,10.36,10.46,1037478,10.46
2012-05-03,10.4,10.42,10.13,10.19,1225296,10.19
2012-05-04,10.12,10.13,9.9,9.98,656000,9.98
2012-05-07,9.93,10.07,9.8,9.88,1019726,9.88
2012-05-08,9.77,9.78,9.53,9.73,978197,9.73
2012-05-09,9.57,9.73,9.39,9.64,1262037,9.64
2012-05-10,9.7,9.8,9.56,9.64,781427,9.64
2012-05-11,9.47,9.76,9.22,9.59,761315,9.59
2012-05-14,9.42,9.44,9.21,9.22,930784,9.22
2012-05-15,9.21,9.28,9.01,9.08,1396111,9.08
2012-05-16,9.15,9.32,8.81,8.81,1226955,8.81
2012-05-17,8.84,8.91,8.6,8.6,1391319,8.6
2012-05-18,8.69,8.73,8.415,8.46,1250984,8.46
2012-05-21,8.49,8.65,8.45,8.65,798881,8.65
2012-05-22,8.7,9.02,8.66,8.77,1209196,8.77
2012-05-23,8.62,8.935,8.51,8.9,1293107,8.9
2012-05-24,8.92,9,8.62,8.76,800857,8.76
2012-05-25,8.75,8.76,8.49,8.68,561785,8.68
2012-05-29,8.75,8.99,8.75,8.91,1210441,8.91
2012-05-30,8.76,8.8,8.505,8.53,1308393,8.53
2012-05-31,8.53,8.56,8.32,8.49,2046047,8.49
2012-06-01,8.31,8.36,7.965,8.05,1886932,8.05
2012-06-04,8.09,8.09,7.74,7.86,1630114,7.86
2012-06-05,7.86,8.25,7.8100000000000005,8.07,1930754,8.07
2012-06-06,8.14,8.37,8.11,8.3,2397466,8.3
2012-06-07,8.46,8.53,8.15,8.19,1241397,8.19
2012-06-08,8.17,8.2,8.02,8.19,1369122,8.19
2012-06-11,8.29,8.36,7.85,7.87,1433994,7.87
2012-06-12,7.91,8.01,7.82,7.96,1316285,7.96
2012-06-13,8.05,8.17,7.855,7.87,2133106,7.87
2012-06-14,7.88,8.01,7.83,7.99,1154454,7.99
2012-06-15,8.03,8.03,7.92,7.97,1662999,7.97
2012-06-18,7.92,7.95,7.8,7.84,881594,7.84
2012-06-19,7.91,8.08,7.9,8.04,1606586,8.04
2012-06-20,8.05,8.325,8.01,8.17,1294649,8.17
2012-06-21,8.17,8.22,7.79,7.825,1195967,7.825
2012-06-22,7.9,7.9399999999999995,7.72,7.82,2157739,7.82
