DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,71.92,73.09,71.9,72,272712,72
2012-01-04,71.79,72.35,70.79,70.84,185076,70.84
2012-01-05,70.18,72.13,70.18,71.95,174803,71.95
2012-01-06,71.56,72.94,71.52,72.88,218762,72.88
2012-01-09,72.71,72.91,71.88,72.63,123352,72.63
2012-01-10,73.11,74.39,73.07,74.39,243237,74.39
2012-01-11,74.5,74.62,73.98,74.29,226535,74.29
2012-01-12,74.45,74.56,73.39,74.15,96141,74.15
2012-01-13,73.72,74.18,72.77,73.21,131875,73.21
2012-01-17,73.92,74.32,72.13,72.25,184462,72.25
2012-01-18,73.11,78.04,72.19,77.68,497684,77.68
2012-01-19,77.81,79,77.32,77.89,205144,77.89
2012-01-20,78.07,78.89,76.41,77.12,252012,77.12
2012-01-23,77.47,79.38,76.51,79.31,294873,79.31
2012-01-24,78.66,79.98,78.18,78.54,247793,78.54
2012-01-25,78.78,79.2,77.56,79,178682,79
2012-01-26,79,79.03,78.01,78.27,194270,78.27
2012-01-27,78.29,79.49,78.02,79.18,197461,79.18
2012-01-30,78.38,78.92,77.78,78.27,177553,78.27
2012-01-31,80.5,83.95,80.25,82.67,699511,82.67
2012-02-01,82.67,83.25,81.53,81.69,312299,81.69
2012-02-02,81.08,81.08,79.97,80.67,439948,80.67
2012-02-03,72.3,74.97,71,71.54,1026725,71.54
2012-02-06,71.32,72.98,70.21,72.52,392403,72.52
2012-02-07,72.54,73.96,72.02,73.63,291671,73.63
2012-02-08,73.72,74.24,73.35,74,205292,74
2012-02-09,73.77,74.02,73.18,73.31,216580,73.31
2012-02-10,72.98,74.01,72.6,73.87,215983,73.87
2012-02-13,74,74.43,73.65,74.13,171341,74.13
2012-02-14,74.1,74.88,73.7,73.93,167117,73.93
2012-02-15,74.5,76.02,73.88,75.85,287685,75.85
2012-02-16,75.66,76.28,75.34,76.26,280649,76.26
2012-02-17,76.32,76.36,75.17,75.61,307812,75.61
2012-02-21,75.54,76.03,74.39,74.64,143421,74.64
2012-02-22,74.63,75.36,74.02,74.37,130444,74.37
2012-02-23,74.49,74.69,73.18,73.69,244317,73.69
2012-02-24,74.09,74.63,73.8,74.26,125218,74.26
2012-02-27,73.31,73.76,72.31,73.57,187790,73.57
2012-02-28,73.57,73.74,72.84,73.33,160070,73.33
2012-02-29,73.16,73.74,72.68,73.13,260064,73.13
2012-03-01,73.18,73.31,71.82,72.3,241234,72.3
2012-03-02,72.34,72.98,71.08,71.22,259642,71.22
2012-03-05,70.92,71.67,70.52,70.8,194587,70.8
2012-03-06,70.47,70.52,68.52,68.81,265995,68.81
2012-03-07,68.78,69.44,68.36,68.43,241223,68.43
2012-03-08,68.55,68.93,67.96,68.53,306211,68.53
2012-03-09,68.53,69.23,68.32,68.92,407627,68.92
2012-03-12,68.74,70.27,68.42,69.24,224602,69.24
2012-03-13,69.3,69.82,68.6,69.3,219223,69.3
2012-03-14,69.33,70.58,69.33,69.69,209783,69.69
2012-03-15,69.5,70.32,68.92,70.01,154936,70.01
2012-03-16,69.99,71.6,69.78,71.42,469881,71.42
2012-03-19,70.7,71.11,70.07,70.48,180287,70.48
2012-03-20,70.33,71.38,69.83,71.15,185466,71.15
2012-03-21,71.07,71.37,70.45,71.09,116102,71.09
2012-03-22,71,72.14,70.89,71.5,227411,71.5
2012-03-23,71.37,71.64,70.99,71.28,185526,71.28
2012-03-26,71.8,75.71,71.8,75.51,400959,75.51
2012-03-27,75.25,75.63,74.02,74.07,338705,74.07
2012-03-28,74.16,74.41,72.36,73.01,264992,73.01
2012-03-29,72.77,73.4,72.57,72.88,142761,72.88
2012-03-30,73.02,73.33,72.64,72.73,164279,72.73
2012-04-02,72.78,73.72,72.77,73.61,144890,73.61
2012-04-03,73.22,73.93,72.78,73.16,152295,73.16
2012-04-04,72.41,72.85,71.64,71.89,151092,71.89
2012-04-05,71.72,72.38,71.39,71.99,90807,71.99
2012-04-09,71.15,71.65,70.56,71.2,147751,71.2
2012-04-10,71.01,71.77,70.61,70.61,179190,70.61
2012-04-11,71.07,71.77,71.06,71.65,146185,71.65
2012-04-12,71.63,72.77,71.34,72.6,123616,72.6
2012-04-13,71.95,71.95,68.47,68.55,547561,68.55
2012-04-16,68.86,68.96,67.87,68.44,261074,68.44
2012-04-17,69,71.44,68.77,71.37,286046,71.37
2012-04-18,71.31,73.02,70.99,72.71,491280,72.71
2012-04-19,72.8,73.19,72.65,72.93,207553,72.93
2012-04-20,73.11,73.82,73,73.37,342155,73.37
2012-04-23,72.89,73.52,72.5,73.36,218374,73.36
2012-04-24,73.27,73.9,72.99,73.33,191725,73.33
2012-04-25,76.8,83.36,76.8,81.84,727607,81.84
2012-04-26,81,82.22,80.98,81.72,247034,81.72
2012-04-27,81.79,83.16,81.58,82.69,144021,82.69
2012-04-30,82.39,83.46,82.39,82.97,225796,82.97
2012-05-01,82.25,85.04,82.25,84.78,273890,84.78
2012-05-02,85.5,87.07,84.95,86.24,369937,86.24
2012-05-03,85.8,86.71,84.94,86.11,210773,86.11
2012-05-04,85.5,85.71,84.49,84.99,180391,84.99
2012-05-07,83.97,85.84,83.6,85.49,199304,85.49
2012-05-08,84.72,85.66,83.86,85.4,248229,85.4
2012-05-09,84.4,85.68,84.19,85.45,169705,85.45
2012-05-10,86,86,83.44,84.05,372585,84.05
2012-05-11,83.71,85.51,83.04,84.68,260633,84.68
2012-05-14,84.05,84.27,82.88,84.07,182841,84.07
2012-05-15,84.22,84.67,83.11,83.37,149159,83.37
2012-05-16,83.81,83.92,83,83.09,132873,83.09
2012-05-17,83.18,83.8,82.56,82.6,176258,82.6
2012-05-18,83.1,83.39,81.6,81.89,296901,81.89
2012-05-21,82.37,84.11,82.26,84.1,172909,84.1
2012-05-22,84.07,84.63,82.94,83.46,134362,83.46
2012-05-23,82.75,85.24,82.75,85.05,223396,85.05
2012-05-24,85.21,87.4,85.21,87.33,334282,87.33
