DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,41.83,42.08,41.3,41.32,496056,41.32
2012-01-04,41.22,41.5,40.805,41.39,333277,41.39
2012-01-05,41.29,41.29,40.81,41.02,414361,41.02
2012-01-06,41,41.83,41,41.66,502434,41.66
2012-01-09,41.55,41.85,41.42,41.71,358658,41.71
2012-01-10,42.3,43.34,42.22,42.51,577864,42.51
2012-01-11,42.34,42.63,42.12,42.5,547038,42.5
2012-01-12,42.65,43.21,42.56,42.6,526501,42.6
2012-01-13,42.36,42.81,41.84,42.69,644426,42.69
2012-01-17,43.12,43.21,42.46,42.59,426874,42.59
2012-01-18,42.68,43.36,42.63,43.3,534454,43.3
2012-01-19,43.44,44.6,43.44,44.43,470366,44.43
2012-01-20,44.5,44.59,44.16,44.42,682779,44.42
2012-01-23,44.21,44.73,43.92,44.23,552415,44.23
2012-01-24,43.96,44.17,43.61,43.86,429152,43.86
2012-01-25,44,44.345,43.66,44.25,514148,44.25
2012-01-26,44.61,45,44.34,44.72,371664,44.72
2012-01-27,44.51,44.71,44.19,44.5,323035,44.5
2012-01-30,43.87,44.7,43.71,44.51,476195,44.51
2012-01-31,44.6,44.92,43.75,44.65,2222188,44.65
2012-02-01,44.5,44.5,43.86,44.14,559178,44.14
2012-02-02,44.17,44.52,43.27,43.46,450474,43.46
2012-02-03,44.02,44.58,43.69,44.56,590779,44.56
2012-02-06,44.22,44.36,43.39,43.47,458538,43.47
2012-02-07,43.22,43.32,42.75,42.99,600812,42.99
2012-02-08,42.86,43.03,42.42,42.65,520785,42.65
2012-02-09,42.74,43.27,42.74,43.07,419535,43.07
2012-02-10,42.6,43.11,42.6,43.03,489037,43.03
2012-02-13,43.31,43.77,42.97,43.75,381193,43.75
2012-02-14,43.71,43.94,43.5,43.72,653150,43.72
2012-02-15,43.81,43.81,42.43,42.48,772822,42.48
2012-02-16,44.04,45,43.65,44.68,804130,44.68
2012-02-17,44.68,44.89,44.02,44.32,753047,44.32
2012-02-21,43.9,44.27,43,44.03,760229,44.03
2012-02-22,44,44.07,43.5,43.58,511760,43.58
2012-02-23,43.51,44.06,43.47,43.83,427390,43.83
2012-02-24,44.04,44.04,43.22,43.34,415502,43.34
2012-02-27,42.99,43.49,42.82,43.13,497986,43.13
2012-02-28,43.16,43.19,42.3,42.5,662586,42.5
2012-02-29,42.56,43.685,42.495,43.63,864112,43.63
2012-03-01,43.82,44.47,43.43,44.27,839829,44.27
2012-03-02,44.12,44.48,44,44.32,560323,44.32
2012-03-05,44.12,44.59,44.07,44.22,808285,44.22
2012-03-06,43.82,44.05,43.38,43.51,682821,43.51
2012-03-07,43.61,43.67,43.3,43.47,628215,43.47
2012-03-08,43.86,43.99,43.37,43.83,439418,43.83
2012-03-09,43.86,44.38,43.35,44.33,554318,44.33
2012-03-12,44.22,44.35,43.69,44.05,354780,44.05
2012-03-13,44.33,44.98,44.27,44.97,661956,44.97
2012-03-14,44.96,44.99,43.88,44.17,576564,44.17
2012-03-15,44.09,44.72,43.99,44.55,593972,44.55
2012-03-16,44.48,46.15,44.48,45.81,1437744,45.81
2012-03-19,45.52,46.27,45.52,46.1,614585,46.1
2012-03-20,45.74,45.81,45.1,45.29,481236,45.29
2012-03-21,45.18,47.2,45,46.98,1080011,46.98
2012-03-22,46.48,46.76,46.09,46.39,666001,46.39
2012-03-23,46.52,46.52,45.76,46.26,432791,46.26
2012-03-26,46.58,46.9,46.4,46.9,494615,46.9
2012-03-27,46.87,46.9,46.47,46.58,352944,46.58
2012-03-28,46.57,46.67,45.8,46.35,367567,46.35
