DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,11,11.24,11,11.13,7208420,11.13
2012-01-04,11.16,11.52,11.08,11.3,13637936,11.3
2012-01-05,11.34,11.63,11.24,11.59,7936553,11.59
2012-01-06,11.7,11.8,11.52,11.71,8605119,11.71
2012-01-09,11.83,11.95,11.7,11.8,7824289,11.8
2012-01-10,12,12.05,11.63,11.8,13972367,11.8
2012-01-11,11.75,12.17,11.65,12.07,8558680,12.07
2012-01-12,12.16,12.18,11.89,12.14,5277170,12.14
2012-01-13,12,12.08,11.84,12.04,6419593,12.04
2012-01-17,12.2,12.26,11.97,12.02,6074227,12.02
2012-01-18,12.04,12.37,12.01,12.34,5163563,12.34
2012-01-19,12.48,12.72,12.43,12.61,10061601,12.61
2012-01-20,12.55,12.63,12.45,12.59,8834460,12.59
2012-01-23,12.69,12.84,12.55,12.66,5490926,12.66
2012-01-24,12.56,12.85,12.46,12.82,5436048,12.82
2012-01-25,12.81,12.98,12.71,12.93,5504440,12.93
2012-01-26,13.01,13.05,12.66,12.79,8668644,12.79
2012-01-27,12,12.53,11.8,12.21,15127010,12.21
2012-01-30,12.05,12.44,12,12.29,7871416,12.29
2012-01-31,12.48,12.5,12.26,12.42,9316381,12.42
2012-02-01,12.67,12.68,12.29,12.33,8524685,12.33
2012-02-02,12.42,12.42,12.2,12.26,5906857,12.26
2012-02-03,12.47,12.84,12.4,12.79,8594884,12.79
2012-02-06,12.85,12.99,12.71,12.96,5792706,12.96
2012-02-07,12.96,12.97,12.83,12.88,5636922,12.88
2012-02-08,12.9,12.96,12.8,12.84,5644011,12.84
2012-02-09,12.88,12.9,12.67,12.69,7369808,12.69
2012-02-10,12.51,12.65,12.37,12.44,7059705,12.44
2012-02-13,12.7,12.7,12.51,12.54,6238305,12.54
2012-02-14,12.46,12.57,12.34,12.48,6888756,12.48
2012-02-15,12.48,12.57,12.33,12.38,5662588,12.38
2012-02-16,12.38,12.77,12.38,12.74,7455136,12.74
2012-02-17,12.85,12.86,12.71,12.75,6353164,12.75
2012-02-21,12.74,12.75,12.47,12.53,5090687,12.53
2012-02-22,12.5,12.51,12.22,12.28,5198754,12.28
2012-02-23,12.26,12.44,12.16,12.4,5537307,12.4
2012-02-24,12.42,12.46,12.19,12.23,4183197,12.23
2012-02-27,12.12,12.36,11.99,12.3,5591804,12.3
2012-02-28,12.35,12.35,12.2,12.25,3773511,12.25
2012-02-29,12.26,12.55,12.25,12.38,9220058,12.38
2012-03-01,12.45,12.77,12.45,12.66,8978699,12.66
2012-03-02,12.74,12.94,12.68,12.72,6243010,12.72
2012-03-05,12.67,12.68,12.41,12.46,4583840,12.46
2012-03-06,12.21,12.25,12,12.09,8301056,12.09
2012-03-07,12.2,12.3,12.15,12.24,4938816,12.24
2012-03-08,12.4,12.55,12.33,12.46,5421188,12.46
2012-03-09,12.53,12.73,12.48,12.58,4564289,12.58
2012-03-12,12.57,12.58,12.38,12.43,4147531,12.43
2012-03-13,12.49,12.72,12.41,12.7,4968421,12.7
2012-03-14,12.66,12.9,12.63,12.88,6135137,12.88
2012-03-15,12.91,13.04,12.83,12.9,7398039,12.9
2012-03-16,12.84,12.9,12.51,12.51,30216748,12.51
