DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,44.69,44.92,43.45,43.76,779698,43.76
2012-01-04,43.71,44.41,43.26,44.36,587227,44.36
2012-01-05,44.3,45.16,43.83,45.13,526409,45.13
2012-01-06,45.19,45.43,44.77,45.21,490232,45.21
2012-01-09,45.25,45.38,44.92,45.17,707663,45.17
2012-01-10,45.51,45.81,44.43,45.01,816553,45.01
2012-01-11,45.01,45.4,44.8,45.22,525034,45.22
2012-01-12,45.4,46.09,45.28,45.86,808189,45.86
2012-01-13,45.65,46.66,45.39,46.59,851484,46.59
2012-01-17,47.25,47.59,46.545,46.79,1068782,46.79
2012-01-18,45.4,46.11,44.79,45.53,1684686,45.53
2012-01-19,45.8,45.98,45.39,45.74,953302,45.74
2012-01-20,45.61,45.98,45.39,45.86,938338,45.86
2012-01-23,45.87,46.98,45.81,46.07,730005,46.07
2012-01-24,46.08,46.86,45.81,46.86,585866,46.86
2012-01-25,46.74,46.87,46.03,46.74,815299,46.74
2012-01-26,47.12,47.16,46.53,46.78,529844,46.78
2012-01-27,46.66,46.95,46.36,46.69,464561,46.69
2012-01-30,46.25,46.83,45.87,46.63,432704,46.63
2012-01-31,46.89,47.04,46.48,46.68,557526,46.68
2012-02-01,47.21,47.39,47.01,47.09,466474,47.09
2012-02-02,47.16,47.38,46.85,46.97,336100,46.97
2012-02-03,47.61,48.31,47.46,48.3,642684,48.3
2012-02-06,48.24,48.54,47.84,48.06,400986,48.06
2012-02-07,47.82,48.29,47.42,48.08,628384,48.08
2012-02-08,48.13,48.86,47.87,48.83,618176,48.83
2012-02-09,48.9,48.96,47.82,48.21,649859,48.21
2012-02-10,47.92,48.46,47.59,48.42,442991,48.42
2012-02-13,48.95,50.63,48.88,50.58,790112,50.58
2012-02-14,50.53,51.58,50.5,51.24,962639,51.24
2012-02-15,51.57,51.59,50.52,50.63,700933,50.63
2012-02-16,50.74,51.36,50.64,50.82,600826,50.82
2012-02-17,50.81,51.14,50.545,50.73,907099,50.73
2012-02-21,50.85,51.06,50.35,50.845,463100,50.845
2012-02-22,50.92,51.31,50.69,51.29,464384,51.29
2012-02-23,51.09,51.97,51.09,51.93,529685,51.93
2012-02-24,52.09,52.25,51.92,51.97,408071,51.97
2012-02-27,51.93,52.78,51.9,52.43,735606,52.43
2012-02-28,52.62,52.65,52.14,52.34,575563,52.34
2012-02-29,52.41,52.81,52.18,52.68,631414,52.68
2012-03-01,52.91,53,52.36,52.93,610719,52.93
2012-03-02,52.91,53.15,52.63,53.1,375757,53.1
2012-03-05,53.13,53.55,52.88,53.35,628623,53.35
2012-03-06,52.98,53.09,51.82,52.17,905043,52.17
2012-03-07,52.21,52.89,52.11,52.75,473173,52.75
2012-03-08,53.21,53.34,52.66,52.78,732429,52.78
2012-03-09,52.97,53.15,52.45,52.88,795715,52.88
2012-03-12,52.99,53.1,52.76,52.83,444017,52.83
2012-03-13,53,53.32,52.47,53.29,663030,53.29
2012-03-14,53.43,53.6,52.52,52.83,587585,52.83
2012-03-15,52.83,52.86,51.97,52.55,832986,52.55
2012-03-16,52.42,52.75,52.15,52.22,1391779,52.22
2012-03-19,52.05,52.14,51.53,52.01,689116,52.01
2012-03-20,51.84,53,51.38,52.86,580481,52.86
2012-03-21,52.87,54.23,52.86,53.93,657654,53.93
2012-03-22,53.71,53.97,53.25,53.7,587824,53.7
2012-03-23,53.77,53.9,53.15,53.64,647406,53.64
2012-03-26,54.07,54.72,54.07,54.57,570596,54.57
2012-03-27,54.71,55.05,54.485,54.59,435164,54.59
2012-03-28,54.54,54.65,53.61,54.19,493536,54.19
2012-03-29,54.03,54.3,53.6,54.26,374396,54.26
2012-03-30,54.71,54.71,53.91,54.1,601174,54.1
2012-04-02,54.34,54.79,53.84,54.65,548827,54.65
2012-04-03,53.73,54.27,52.89,53.37,1209548,53.37
2012-04-04,53.21,53.32,52.64,52.94,872423,52.94
2012-04-05,52.79,53.41,52.79,52.975,589018,52.975
2012-04-09,52.54,52.58,51.51,51.58,732978,51.58
2012-04-10,51.47,51.47,48.85,48.9,1849764,48.9
2012-04-11,49.55,50.07,49.2,49.6,1199260,49.6
2012-04-12,48.1,49.44,47.73,48.87,1940951,48.87
2012-04-13,48.65,49.49,48.03,48.79,752772,48.79
2012-04-16,48.91,49.12,48.2,48.25,810391,48.25
2012-04-17,48.6,49.17,48.14,49.01,998166,49.01
2012-04-18,48.55,48.79,48.25,48.49,553592,48.49
2012-04-19,48.37,48.47,47.29,47.5,761607,47.5
2012-04-20,47.89,48.41,47.58,48.21,906229,48.21
2012-04-23,47.76,47.76,46.23,46.37,1038197,46.37
2012-04-24,46.33,46.58,45.63,46.29,1131153,46.29
2012-04-25,46.59,47.24,46.38,47.17,902475,47.17
2012-04-26,47.12,47.4,46.63,47.21,611215,47.21
2012-04-27,47.42,48.12,47.29,47.69,457996,47.69
2012-04-30,47.42,47.65,46.73,46.82,600158,46.82
2012-05-01,46.71,47.55,46.36,47.01,584806,47.01
2012-05-02,46.58,47.55,46.41,47.48,589163,47.48
2012-05-03,47.65,47.89,45.78,45.79,845902,45.79
2012-05-04,45.29,45.61,44.11,44.29,1148311,44.29
2012-05-07,43.93,44.34,43.71,43.83,836311,43.83
2012-05-08,43.43,44.06,42.64,43.84,1214415,43.84
2012-05-09,43.38,43.51,42.94,43.14,1090213,43.14
2012-05-10,43.44,44.29,43.44,44.14,886504,44.14
2012-05-11,43.8,44.45,43.31,43.82,746580,43.82
2012-05-14,43.26,43.76,42.95,43.43,769614,43.43
2012-05-15,43.26,44.16,43.25,43.38,855008,43.38
2012-05-16,43.68,44.17,43.49,43.9,963595,43.9
2012-05-17,43.95,43.96,42.28,42.33,1138915,42.33
2012-05-18,42.64,42.83,41.73,41.86,891629,41.86
2012-05-21,42,43.25,41.9,43.15,813577,43.15
2012-05-22,43.5,44.47,43.14,44.04,735680,44.04
2012-05-23,43.59,44.32,43.09,44.22,775585,44.22
