DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,38.31,39.73,38.12,39.5,3523748,39.5
2012-01-04,39.14,40,39.01,39.83,2563999,39.83
2012-01-05,39.41,39.75,38.94,39.3,2761596,39.3
2012-01-06,39.5,39.65,38.8,38.87,1890125,38.87
2012-01-09,39.03,39.32,38.79,39.05,1813942,39.05
2012-01-10,40.73,41.18,40.25,40.6,3610783,40.6
2012-01-11,40.3,41.91,40.04,41.65,2892931,41.65
2012-01-12,42.4,42.69,41.73,42.45,2887555,42.45
2012-01-13,41.9,42.34,41.5,42,2863990,42
2012-01-17,43,43.28,42.43,43.05,3469710,43.05
2012-01-18,42.9,44.69,42.82,44.47,4775345,44.47
2012-01-19,44.3,44.96,43.31,44.37,3485337,44.37
2012-01-20,44.32,44.32,42.89,43.1,4205725,43.1
2012-01-23,43.55,44.15,43.2,43.88,3253040,43.88
2012-01-24,43.4,44.06,43.02,43.97,2295600,43.97
2012-01-25,43.6,46.35,43.3,46.08,3826129,46.08
2012-01-26,46.71,48.96,46.18,46.5,4655728,46.5
2012-01-27,46.23,47.44,46.07,46.13,2761705,46.13
2012-01-30,45.25,46.26,45.08,46.1,2567915,46.1
2012-01-31,46.72,46.95,45.4,46.21,3617123,46.21
2012-02-01,46.81,46.96,46.09,46.18,3225830,46.18
2012-02-02,46.38,46.8,45.42,45.51,3053416,45.51
2012-02-03,46.44,46.7,45.81,46.48,3251662,46.48
2012-02-06,45.96,46.8,45.7,46.73,2472085,46.73
2012-02-07,46.46,46.5,45.45,45.75,2328884,45.75
2012-02-08,46.29,47.28,46.28,46.53,2606062,46.53
2012-02-09,47.12,47.25,46.02,46.42,2191314,46.42
2012-02-10,45.25,45.32,44.58,44.94,2332869,44.94
2012-02-13,45.5,45.5,44.45,44.66,2132063,44.66
2012-02-14,44.3,44.49,42.53,42.96,3863655,42.96
2012-02-15,43.22,43.28,41.96,42.4,3780632,42.4
2012-02-16,42.14,44.49,41.9,43.84,3658910,43.84
2012-02-17,44.11,44.14,42.66,43.04,3837473,43.04
2012-02-21,43.79,44.56,43.53,43.97,4799351,43.97
2012-02-22,43.77,44.52,43.71,44.12,3106140,44.12
2012-02-23,44.2,44.28,43.43,43.78,3407917,43.78
2012-02-24,43.99,44.72,43.82,43.91,1970685,43.91
2012-02-27,43.43,43.66,43.11,43.31,2490120,43.31
2012-02-28,43.4,44,43.31,43.66,2633149,43.66
2012-02-29,43.9,44.22,42.26,42.56,3515221,42.56
2012-03-01,43,43.47,42.5,42.91,2437048,42.91
2012-03-02,42.78,42.88,41.07,42.03,2517748,42.03
2012-03-05,41.05,41.26,39.97,40.45,4445425,40.45
2012-03-06,39.17,39.73,38.65,39.44,3631623,39.44
2012-03-07,39.6,39.61,38.53,38.99,3141194,38.99
2012-03-08,39.71,39.73,39.06,39.49,3044965,39.49
2012-03-09,39.89,40.11,38.65,38.78,3726859,38.78
2012-03-12,38.75,39.39,37.82,38.26,3054253,38.26
2012-03-13,38.53,39.37,38.45,39.09,3933622,39.09
2012-03-14,39,39.09,37.75,38.12,3846598,38.12
2012-03-15,38.59,38.81,38.22,38.35,2971868,38.35
2012-03-16,38.68,39,38.27,38.56,5023626,38.56
