DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,58.37,58.37,57.3,57.41,202148,57.41
2012-01-04,57.2,58.17,57.08,57.15,231617,57.15
2012-01-05,56.85,58.02,56.16,57.96,271241,57.96
2012-01-06,56.5,56.5,53.04,53.63,931980,53.63
2012-01-09,53.6,54.11,53.35,53.91,357284,53.91
2012-01-10,53.99,54.21,53.53,53.8,351697,53.8
2012-01-11,53.83,54.17,53.04,53.78,288494,53.78
2012-01-12,53.53,54.04,53.23,53.92,295213,53.92
2012-01-13,53.5,54.04,53.22,53.79,247767,53.79
2012-01-17,54.2,54.3,53.5,53.83,421600,53.83
2012-01-18,53.67,53.81,53.05,53.74,431051,53.74
2012-01-19,53.9,55.42,53.89,55.06,380994,55.06
2012-01-20,55.17,55.56,54.33,54.78,359718,54.78
2012-01-23,54.68,55.95,54.68,55.79,225154,55.79
2012-01-24,55.42,56.39,55.42,56.29,298760,56.29
2012-01-25,56.1,57.14,55.86,57.03,250408,57.03
2012-01-26,57.14,57.14,55.42,55.8,176694,55.8
2012-01-27,55.76,56.23,55.49,55.68,146225,55.68
2012-01-30,55.43,56,55.23,55.75,151829,55.75
2012-01-31,55.97,55.97,54.83,55.8,238212,55.8
2012-02-01,55.47,57.55,55.4,56.63,368521,56.63
2012-02-02,56.64,56.98,56.43,56.6,353286,56.6
2012-02-03,57.4,58.07,57.29,57.51,303707,57.51
2012-02-06,57.45,57.73,57.01,57.53,157530,57.53
2012-02-07,57.25,57.75,56.94,57.08,286023,57.08
2012-02-08,57.23,57.51,56.92,57.48,156367,57.48
2012-02-09,57.54,58.45,57.35,57.68,249994,57.68
2012-02-10,57.39,57.68,57.19,57.65,198055,57.65
2012-02-13,57.97,57.97,57.08,57.14,135695,57.14
2012-02-14,57.06,57.34,56.69,57.09,139359,57.09
2012-02-15,57.08,57.08,55.79,55.93,297809,55.93
2012-02-16,56.08,56.09,54.93,55.2,292643,55.2
2012-02-17,55.44,55.5,54.78,54.88,476902,54.88
2012-02-21,54.98,55.25,54.01,54.2,401334,54.2
2012-02-22,54.04,54.79,53.97,54.33,351697,54.33
2012-02-23,54.22,54.94,54.16,54.9,241814,54.9
2012-02-24,54.79,54.81,54.01,54.33,264646,54.33
2012-02-27,54.04,54.23,53.84,53.84,283115,53.84
2012-02-28,53.84,54.3,53.44,54.16,184083,54.16
2012-02-29,54.06,54.93,53.45,53.99,1240704,53.99
2012-03-01,54.08,54.63,54.06,54.55,209724,54.55
2012-03-02,54.23,54.59,54.03,54.49,195792,54.49
2012-03-05,54.42,55,54.38,54.91,175556,54.91
2012-03-06,54.41,55.42,54.37,55.42,435644,55.42
2012-03-07,55.36,56,54.88,55.89,319428,55.89
2012-03-08,56.09,57,55.96,56.83,298827,56.83
2012-03-09,57.08,57.58,56.97,57.48,217163,57.48
2012-03-12,57.38,57.69,57.12,57.22,142926,57.22
2012-03-13,57.02,57.55,56.72,57.47,200834,57.47
2012-03-14,57.35,57.77,57.35,57.6,175599,57.6
2012-03-15,57.73,57.87,57.15,57.39,256807,57.39
2012-03-16,57.28,57.4,56.28,56.67,550076,56.67
2012-03-19,56.52,56.6,56.01,56.41,185704,56.41
2012-03-20,56.29,57.11,56.09,56.95,179838,56.95
2012-03-21,56.95,57.39,56.59,56.79,206366,56.79
2012-03-22,56.68,57.64,56.62,57.63,268478,57.63
2012-03-23,57.65,57.74,57.03,57.68,231411,57.68
2012-03-26,57.75,58.56,57.71,58.44,275868,58.44
2012-03-27,59.15,59.2,58.18,58.24,359523,58.24
2012-03-28,59.56,59.62,58.24,58.36,747763,58.36
2012-03-29,57.93,60.11,57.65,60.09,783221,60.09
2012-03-30,60.09,64.08,59.83,63.28,865270,63.28
2012-04-02,62.8,63.82,62.72,62.82,480012,62.82
2012-04-03,65,65,62.95,63.52,532324,63.52
2012-04-04,63.35,64.35,63.26,64,374840,64
2012-04-05,63.75,65.28,63.75,64.84,498712,64.84
2012-04-09,63.83,64.54,63.05,63.88,566156,63.88
2012-04-10,64.07,64.29,62.55,62.85,449445,62.85
2012-04-11,63.12,63.81,62.99,63.38,512838,63.38
2012-04-12,63.34,64.65,62.98,64.44,365686,64.44
2012-04-13,64.32,65.06,64.08,64.26,241223,64.26
2012-04-16,64.69,65.13,64.26,64.63,287274,64.63
2012-04-17,64.95,65.19,64.6,64.7,392842,64.7
2012-04-18,64.61,67.15,64.54,67,768881,67
2012-04-19,66.92,67.89,66.62,67.49,604315,67.49
2012-04-20,67.82,68.46,67.59,68.34,532078,68.34
2012-04-23,67.49,68.33,67.25,68.09,373577,68.09
2012-04-24,67.75,67.8,65.88,66.11,526062,66.11
2012-04-25,66.61,67,66.2,66.9,302250,66.9
2012-04-26,66.91,67.5,66.62,67.32,362107,67.32
2012-04-27,67.62,69.5,67.62,69,262486,69
2012-04-30,68.75,68.83,67.44,67.55,257974,67.55
2012-05-01,67.33,68.41,66.58,67.62,306078,67.62
2012-05-02,67.63,68.99,67.3,68.53,332492,68.53
2012-05-03,68.38,69.35,68.3,68.59,212029,68.59
2012-05-04,68.39,69.41,67.7,68.07,217888,68.07
2012-05-07,68.06,68.55,67.68,68.27,174764,68.27
2012-05-08,68.43,68.44,66.3,67.28,419067,67.28
2012-05-09,66.81,69.07,66.81,68.8,325894,68.8
2012-05-10,69,70,68.33,68.46,221122,68.46
2012-05-11,68.33,69.72,68.33,69.27,218454,69.27
2012-05-14,69.01,69.07,67,67.05,299055,67.05
2012-05-15,67.16,67.23,66.33,66.43,503512,66.43
2012-05-16,66.48,67.51,66.43,67.19,424236,67.19
2012-05-17,66.91,67.07,64.05,64.05,431252,64.05
2012-05-18,64.45,65.16,63.83,64.16,354198,64.16
2012-05-21,64.21,65.78,64.06,65.08,203571,65.08
2012-05-22,65.34,65.42,64.34,64.69,190168,64.69
2012-05-23,64.34,65.61,64,65.36,250987,65.36
2012-05-24,65.62,67.65,65.51,67.56,367759,67.56
2012-05-25,67.7,67.94,67.19,67.6,163003,67.6
2012-05-29,67.73,67.98,66.62,67.32,152239,67.32
2012-05-30,66.97,67.53,66.54,67.06,222628,67.06
2012-05-31,67.1,68.42,66.66,67.75,314199,67.75
2012-06-01,67.15,67.53,66.23,67.15,434966,67.15
2012-06-04,67.57,68.4,66.79,67.83,341745,67.83
2012-06-05,67.27,68.09,66.63,67.5,357328,67.5
2012-06-06,67.85,68.12,67.35,67.74,271016,67.74
2012-06-07,68.06,68.2,66.95,67.14,212395,67.14
2012-06-08,67.13,70.13,67.06,69.58,416551,69.58
2012-06-11,69.98,69.98,68.83,68.84,240583,68.84
2012-06-12,68.94,69.51,68.58,69.42,326644,69.42
2012-06-13,69.22,71.05,69.02,70.08,518309,70.08
2012-06-14,72.22,74.71,71.85,72.85,822608,72.85
2012-06-15,72.19,73.37,71.7,73.26,778804,73.26
2012-06-18,73.27,73.77,72.55,72.75,452496,72.75
2012-06-19,73.09,73.78,72.21,72.45,333557,72.45
2012-06-20,72.57,72.57,71.11,71.74,403544,71.74
2012-06-21,71.72,71.72,69.3,69.35,473619,69.35
2012-06-22,70.3,70.85,70.09,70.43,1052158,70.43
2012-06-25,70.43,70.81,69.57,70.18,343532,70.18
2012-06-26,70.37,71.15,70.1,70.52,405441,70.52
2012-06-27,70.52,70.58,68.01,69.13,752953,69.13
2012-06-28,64.99,68.43,64.99,67.2,916883,67.2
2012-06-29,68.22,68.4,65.53,66.48,550350,66.48
2012-07-02,66.45,68.63,66.35,67.95,854290,67.95
2012-07-03,67.48,67.78,66.63,67.28,197413,67.28
2012-07-05,67.32,68.48,66.86,68.23,482882,68.23
2012-07-06,67.81,69.7,67.78,69.58,408795,69.58
2012-07-09,69.37,70.6,69.37,70.38,491108,70.38
2012-07-10,70.85,71.02,69.54,69.82,362619,69.82
2012-07-11,69.67,70.03,69.28,69.93,292034,69.93
2012-07-12,67.58,69.06,66.59,68.65,635515,68.65
2012-07-13,69.15,69.15,67.19,67.47,468321,67.47
2012-07-16,67.94,69.34,67.48,68.39,439632,68.39
2012-07-17,68.65,68.65,68.03,68.39,377044,68.39
2012-07-18,68.2,68.82,66.3,66.43,564449,66.43
2012-07-19,66.86,67.08,65.35,66.06,441906,66.06
2012-07-20,66.01,67.13,65.8,66.77,1365011,66.77
2012-07-23,66.01,66.46,65.33,66.15,264744,66.15
2012-07-24,66.29,66.61,65.86,66.52,195286,66.52
2012-07-25,66.07,66.17,63.52,64.53,507327,64.53
2012-07-26,65.02,66.4,65.02,66.35,254092,66.35
2012-07-27,66.79,67.09,65.98,66.63,260189,66.63
2012-07-30,66.55,67.05,66.34,66.7,209977,66.7
2012-07-31,66.61,66.75,65.88,66.08,323858,66.08
2012-08-01,66.09,66.09,66.09,66.09,76717,66.09
2012-08-02,65.69,66.23,65.3,65.75,281862,65.75
2012-08-03,66.44,67.08,66.01,66.17,256470,66.17
2012-08-06,66.27,66.59,65.28,65.44,212036,65.44
2012-08-07,65.69,66.27,65.61,66.03,141003,66.03
2012-08-08,65.97,66.45,65.69,66.25,159863,66.25
2012-08-09,66.35,66.35,64.71,64.9,240797,64.9
2012-08-10,64.65,64.73,63.19,63.71,262296,63.71
