DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,85.4,85.86,84.5,85.17,540197,85.17
2012-01-04,84.73,85.17,84.22,84.96,277414,84.96
2012-01-05,84.42,84.45,82.79,84.09,420996,84.09
2012-01-06,84.55,86.06,84.54,85.49,488687,85.49
2012-01-09,85.89,85.96,85.24,85.85,354834,85.85
2012-01-10,87.17,89.4,87.17,88.51,635357,88.51
2012-01-11,88.08,90.02,87.8,89.76,764815,89.76
2012-01-12,90.08,91.39,89.92,91.19,824331,91.19
2012-01-13,90.01,90.49,88.88,90.37,573295,90.37
2012-01-17,90.55,90.86,89.1,89.98,544799,89.98
2012-01-18,90.09,91.45,89.88,91.14,438020,91.14
2012-01-19,91.89,93.49,91.6,93.04,562675,93.04
2012-01-20,92.2,92.55,91.25,91.57,822261,91.57
2012-01-23,92.02,92.5,90.52,91.06,333795,91.06
2012-01-24,90.35,91.2,89.72,90.79,418475,90.79
2012-01-25,90.69,92.63,90.1,92.59,411241,92.59
2012-01-26,92.76,93.5,92.27,92.74,308890,92.74
2012-01-27,92.31,93.48,91.79,92.95,443908,92.95
2012-01-30,91.88,92.33,91.52,92.16,507340,92.16
2012-01-31,92.19,92.24,90.43,91.49,537937,91.49
2012-02-01,92.5,93.23,92.04,92.7,462821,92.7
2012-02-02,93.06,93.43,92.08,92.79,343571,92.79
2012-02-03,94,94.54,93.61,94.54,522738,94.54
2012-02-06,94.56,95.58,94.52,95.25,468977,95.25
2012-02-07,94.42,95.09,93.64,94.72,368772,94.72
2012-02-08,94.9,95.31,94.04,94.48,339206,94.48
2012-02-09,94.41,95.25,94.25,94.8,334112,94.8
2012-02-10,93.95,95.35,93.61,95.27,387173,95.27
2012-02-13,95.8,97.19,95.78,96.98,461715,96.98
2012-02-14,96.5,96.98,94.85,95.55,484458,95.55
2012-02-15,95.73,95.73,93.72,94.15,323087,94.15
2012-02-16,94.1,95.31,94.06,95,421405,95
2012-02-17,95.76,95.76,92.51,92.99,1163538,92.99
2012-02-21,93.11,93.11,90.41,91.01,794682,91.01
2012-02-22,90.95,91.83,90.68,90.75,442202,90.75
2012-02-23,91.1,92.29,90.5,91.97,391393,91.97
2012-02-24,92.22,92.22,89.85,90.24,540451,90.24
2012-02-27,89.53,92.42,89.48,91.36,461780,91.36
2012-02-28,91.38,91.91,90.4,90.98,581420,90.98
2012-02-29,90.89,91.83,89.78,89.99,821185,89.99
2012-03-01,90.4,91.75,90.29,91.12,583242,91.12
2012-03-02,91.17,91.68,90.51,90.78,296793,90.78
2012-03-05,90.58,90.72,89.82,90.43,320714,90.43
2012-03-06,89.07,89.35,88.03,88.75,540968,88.75
2012-03-07,89.29,90.17,89.06,89.76,417973,89.76
2012-03-08,90.61,91.49,89.69,90.99,623678,90.99
2012-03-09,91.4,92.18,90.08,91.79,456573,91.79
2012-03-12,91.83,91.83,90.39,91.33,340811,91.33
2012-03-13,92,92.96,91.41,92.88,362556,92.88
2012-03-14,92.9,92.97,91.47,92.2,355243,92.2
2012-03-15,92.5,95.03,92.39,94.61,665822,94.61
2012-03-16,94.96,94.96,93.58,94.34,1051115,94.34
2012-03-19,95.79,95.79,94.49,94.89,563009,94.89
2012-03-20,94.5,95.24,93.88,94.64,382576,94.64
