DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,44.58,44.74,42.52,42.81,1451112,42.81
2012-01-04,42.6,42.76,41.96,42.19,883143,42.19
2012-01-05,42.15,42.25,41.91,42.06,937584,42.06
2012-01-06,42.21,42.29,42,42.21,611361,42.21
2012-01-09,42.35,42.5,42.06,42.4,602345,42.4
2012-01-10,42.5,42.66,42.25,42.38,721471,42.38
2012-01-11,42.12,42.3,42,42,677779,42
2012-01-12,42.16,42.29,41.92,42.2,620325,42.2
2012-01-13,42,42.18,41.82,42.17,792125,42.17
2012-01-17,42.57,42.66,41.91,41.99,799384,41.99
2012-01-18,42.02,42.12,41.71,41.97,636830,41.97
2012-01-19,42,42.02,41.08,41.14,683092,41.14
2012-01-20,41.18,41.53,41.06,41.53,796679,41.53
2012-01-23,41.65,42.27,41.58,42.01,856375,42.01
2012-01-24,41.79,41.81,41.2,41.27,687691,41.27
2012-01-25,40.99,42.15,40.37,42.13,1041649,42.13
2012-01-26,42.2,42.99,42.07,42.72,1311418,42.72
2012-01-27,42.72,42.74,41.81,42.26,912898,42.26
2012-01-30,42.24,42.35,41.84,42.15,899628,42.15
2012-01-31,42.39,42.39,41.75,42.22,1160924,42.22
2012-02-01,42.31,42.69,42.13,42.55,812813,42.55
2012-02-02,43.83,45.13,43.53,43.95,2140117,43.95
2012-02-03,43.75,43.85,42.97,43.53,1177462,43.53
2012-02-06,43.35,43.48,43.06,43.25,641189,43.25
2012-02-07,43.11,43.33,42.87,43.24,586142,43.24
2012-02-08,43.18,43.41,42.51,42.94,765749,42.94
2012-02-09,42.94,42.98,42.4,42.67,455333,42.67
2012-02-10,42.6,42.72,42.2,42.65,755682,42.65
2012-02-13,42.9,43.25,42.82,43.03,621796,43.03
2012-02-14,42.89,43.16,42.76,43.16,509994,43.16
2012-02-15,43.09,43.22,42.63,42.76,480773,42.76
2012-02-16,42.9,43.78,42.88,43.53,582717,43.53
2012-02-17,43.8,43.82,43.22,43.38,797642,43.38
2012-02-21,43.62,43.69,43.26,43.4,594943,43.4
2012-02-22,43.46,44,43.38,43.75,492815,43.75
2012-02-23,43.81,44.28,43.71,44,754616,44
2012-02-24,44.1,44.34,43.99,44.07,489577,44.07
2012-02-27,44.05,44.15,43.73,43.83,553664,43.83
2012-02-28,43.8,43.97,43.15,43.81,879739,43.81
2012-02-29,44.19,44.57,43.7,44.29,1133120,44.29
2012-03-01,44.5,44.51,43.98,44.34,788056,44.34
2012-03-02,44.4,44.64,44.15,44.48,396213,44.48
2012-03-05,44.68,44.8,44.36,44.71,478401,44.71
2012-03-06,44.54,44.75,44.08,44.71,728378,44.71
2012-03-07,44.62,44.79,44.17,44.65,488918,44.65
2012-03-08,44.73,44.78,44.33,44.46,603816,44.46
2012-03-09,44.46,44.76,44.27,44.71,493130,44.71
2012-03-12,44.54,45.14,44.52,45.12,427207,45.12
2012-03-13,45.09,45.16,44.57,44.98,535230,44.98
2012-03-14,45,45.08,44.35,44.49,525326,44.49
2012-03-15,44.42,44.53,44.11,44.42,443425,44.42
2012-03-16,44.36,44.64,44.22,44.5,1132101,44.5
2012-03-19,44.43,44.64,44.08,44.09,463881,44.09
