DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,108.48,109.94,105.12,105.94,573905,105.94
2012-01-04,102.2,105.03,99.61,104.32,747580,104.32
2012-01-05,104.02,105.38,102.75,105.23,417077,105.23
2012-01-06,106.43,107.12,105.28,106.72,442778,106.72
2012-01-09,107.6,112.26,107.6,110.49,723167,110.49
2012-01-10,112.15,112.85,108.46,109.61,604416,109.61
2012-01-11,109.91,111.85,109.65,110.72,475961,110.72
2012-01-12,110.92,111.56,108.1,110.81,416455,110.81
2012-01-13,109.69,110.06,106.05,106.78,530180,106.78
2012-01-17,108.76,108.76,105.45,106.31,411156,106.31
2012-01-18,106.61,109.22,106.2,108.46,834587,108.46
2012-01-19,118,122.6,116.5,120,1887351,120
2012-01-20,119,121.5,118.61,120.35,639077,120.35
2012-01-23,120.1,122.21,119.65,121.02,475231,121.02
2012-01-24,120.65,124.25,119.94,123.1,450627,123.1
2012-01-25,123.4,123.5,121.14,122.48,350034,122.48
2012-01-26,123.3,124,119.87,120.82,450317,120.82
2012-01-27,117.27,120.56,116.87,120.16,513954,120.16
2012-01-30,119,120.98,117.78,120.1,250028,120.1
2012-01-31,121.18,121.19,119.14,119.74,266753,119.74
2012-02-01,120.98,123.45,119.51,122.42,514503,122.42
2012-02-02,121.75,122.77,120.06,120.52,565927,120.52
2012-02-03,121.75,124.99,121.75,124.77,491975,124.77
2012-02-06,124.76,125,123.55,125,275898,125
2012-02-07,124.92,127.78,124.25,126.4,398653,126.4
2012-02-08,127.06,127.3,124.35,125.4,288003,125.4
2012-02-09,126,126,123.54,125.75,226185,125.75
2012-02-10,124.58,125.73,123.54,124.01,282255,124.01
2012-02-13,125.01,125.91,123.5,125,257706,125
2012-02-14,124.86,125.86,124.09,125.78,308304,125.78
2012-02-15,126,129.65,126,126.72,450209,126.72
2012-02-16,126.97,127.82,125.28,127.45,314598,127.45
2012-02-17,127.41,127.89,124.59,124.92,394182,124.92
2012-02-21,125.45,127.61,124.31,125.42,259903,125.42
