DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,29.915,29.98,29.25,29.28,914554,29.28
2012-01-04,29.27,29.275,28.885,29.07,787480,29.07
2012-01-05,28.935,29.475,28.76,29.345,367856,29.345
2012-01-06,29.35,29.465,29.13,29.2,326504,29.2
2012-01-09,29.235,29.57,29.235,29.465,375528,29.465
2012-01-10,29.595,29.735,29.535,29.595,418974,29.595
2012-01-11,29.46,29.9075,29.46,29.86,385266,29.86
2012-01-12,30,30.585,29.87,30.52,567472,30.52
2012-01-13,30.5,30.52,30.165,30.395,651398,30.395
2012-01-17,30.575,31,30.54,30.63,585022,30.63
2012-01-18,30.61,30.96,30.61,30.94,433406,30.94
2012-01-19,31.02,31.435,30.795,31.28,480260,31.28
2012-01-20,31.31,31.455,31.14,31.32,732130,31.32
2012-01-23,31.275,31.63,31.155,31.415,379280,31.415
2012-01-24,31.22,31.48,31.105,31.465,380014,31.465
2012-01-25,31.345,31.77,31.3,31.71,413838,31.71
2012-01-26,31.8,31.875,31.55,31.63,457016,31.63
2012-01-27,31.625,31.795,31.475,31.525,663408,31.525
2012-01-30,31.325,31.37,31.09,31.305,334210,31.305
2012-01-31,31.385,31.635,31.22,31.445,418128,31.445
2012-02-01,31.75,32.03,31.675,31.925,347592,31.925
2012-02-02,31.9,32.18,31.52,31.555,782698,31.555
2012-02-03,32.02,33.03,32.02,32.94,1150900,32.94
2012-02-06,32.625,32.75,32.445,32.605,546252,32.605
2012-02-07,32.435,32.515,32.35,32.465,348898,32.465
2012-02-08,32.375,32.505,32.335,32.4475,495232,32.4475
2012-02-09,32.44,32.5,32.135,32.445,360596,32.445
2012-02-10,32.195,32.23,31.865,32.115,446676,32.115
2012-02-13,32.375,32.6,32.16,32.47,324076,32.47
2012-02-14,32.365,32.76,32.35,32.685,380146,32.685
2012-02-15,32.685,32.77,32.295,32.325,472050,32.325
2012-02-16,32.455,32.72,32.455,32.61,462798,32.61
2012-02-17,32.665,32.74,32.425,32.555,822828,32.555
2012-02-21,32.67,32.785,32.535,32.655,330528,32.655
2012-02-22,32.565,32.755,32.535,32.635,406966,32.635
2012-02-23,32.6,32.965,32.6,32.92,254140,32.92
2012-02-24,33,33.5,32.96,33.435,633472,33.435
2012-02-27,33.07,33.385,32.93,33.24,501878,33.24
2012-02-28,33.205,33.43,33.05,33.27,407974,33.27
2012-02-29,33.2,33.37,33.075,33.15,607492,33.15
2012-03-01,33.26,33.3975,33.04,33.36,482718,33.36
2012-03-02,33.305,33.46,33.16,33.205,432010,33.205
2012-03-05,33.125,33.29,33.04,33.27,426800,33.27
2012-03-06,33.02,33.325,32.905,33.05,579212,33.05
2012-03-07,33.09,33.495,32.96,33.42,594210,33.42
2012-03-08,33.5,33.9975,33.495,33.94,663336,33.94
2012-03-09,33.975,34.095,33.775,33.985,412274,33.985
2012-03-12,34.01,34.18,33.755,34.105,505684,34.105
2012-03-13,34.23,34.44,34.04,34.435,610230,34.435
2012-03-14,34.43,34.725,34.33,34.645,657824,34.645
2012-03-15,34.655,34.8,34.355,34.72,651090,34.72
2012-03-16,34.625,34.69,34.455,34.585,1395692,34.585
2012-03-19,34.435,34.575,34.245,34.46,528352,34.46
2012-03-20,34.365,34.41,34.18,34.385,245076,34.385
2012-03-21,34.285,34.59,34.285,34.495,372424,34.495
2012-03-22,34.355,34.59,34.23,34.5,422300,34.5
2012-03-23,34.445,34.67,34.3,34.63,361940,34.63
2012-03-26,34.795,34.98,34.78,34.98,516340,34.98
2012-03-27,35,35,34.7975,34.85,330516,34.85
2012-03-28,34.875,34.88,34.605,34.745,417080,34.745
2012-03-29,34.59,34.85,34.57,34.795,448374,34.795
2012-03-30,35,35,34.69,34.695,699356,34.695
2012-04-02,34.66,35.27,34.64,35.205,588612,35.205
2012-04-03,35.225,35.335,34.825,35.11,531552,35.11
2012-04-04,34.855,34.94,34.6,34.605,666376,34.605
2012-04-05,34.37,34.775,34.37,34.67,673748,34.67
2012-04-09,34.285,34.465,34.155,34.385,407254,34.385
2012-04-10,34.235,34.335,33.775,33.795,857236,33.795
2012-04-11,34.045,34.26,33.975,34.175,462960,34.175
2012-04-12,34.35,34.595,34.18,34.555,480706,34.555
2012-04-13,34.435,34.46,34.24,34.25,517146,34.25
2012-04-16,34.33,34.455,34.105,34.37,562448,34.37
2012-04-17,34.5,35.215,34.405,35.015,651462,35.015
2012-04-18,34.785,35.02,34.6,34.61,495544,34.61
2012-04-19,34.485,34.835,34.15,34.365,569020,34.365
2012-04-20,34.565,34.805,34.37,34.46,730358,34.46
2012-04-23,34.275,34.55,33.95,34.5,712464,34.5
2012-04-24,34.605,34.79,34.395,34.525,635032,34.525
2012-04-25,34.755,34.89,34.54,34.66,486304,34.66
2012-04-26,34.52,35.13,34.505,35.035,475074,35.035
2012-04-27,35.055,35.445,35.055,35.335,504360,35.335
2012-04-30,35.245,35.345,35.09,35.145,388958,35.145
2012-05-01,35.325,35.87,35.2,35.375,571726,35.375
2012-05-02,34,34.985,34,34.915,856678,34.915
2012-05-03,34.845,34.91,34.505,34.535,453708,34.535
2012-05-04,34.21,34.3,33.755,33.755,691778,33.755
2012-05-07,33.63,33.81,33.45,33.53,618416,33.53
2012-05-08,33.275,33.47,32.945,33.27,1058136,33.27
2012-05-09,32.99,33.3,32.725,33.14,876624,33.14
2012-05-10,33.295,33.485,33.165,33.235,633004,33.235
2012-05-11,33.14,33.665,33.01,33.28,640292,33.28
2012-05-14,32.985,33.225,32.78,33.02,469000,33.02
2012-05-15,33.01,33.41,32.895,33.09,723446,33.09
2012-05-16,33.165,33.355,32.915,32.98,821668,32.98
2012-05-17,33.055,33.08,32.665,32.665,702360,32.665
2012-05-18,32.865,32.865,32.27,32.305,746414,32.305
2012-05-21,32.5,33.01,32.24,32.99,694324,32.99
2012-05-22,33.015,33.305,32.91,33.115,543572,33.115
2012-05-23,33.015,33.44,32.77,33.35,576924,33.35
2012-05-24,33.34,33.565,33.18,33.48,770848,33.48
2012-05-25,33.565,33.665,33.385,33.585,439484,33.585
2012-05-29,33.87,34,33.48,33.81,569498,33.81
2012-05-30,33.61,33.61,33.285,33.35,600190,33.35
2012-05-31,33.305,33.93,33.155,33.715,1230716,33.715
2012-06-01,33.12,33.37,32.775,32.79,812542,32.79
2012-06-04,32.975,33.235,32.82,33.205,662798,33.205
2012-06-05,33.215,33.62,33.07,33.565,521312,33.565
2012-06-06,33.765,34.26,33.765,34.235,640082,34.235
2012-06-07,34.65,34.68,34.145,34.235,580082,34.235
2012-06-08,34.17,34.575,34.08,34.55,537880,34.55
2012-06-11,34.745,34.815,34.165,34.225,432818,34.225
2012-06-12,34.365,34.55,34.205,34.55,458414,34.55
2012-06-13,34.43,34.725,34.13,34.23,422926,34.23
2012-06-14,34.355,35.15,34.33,34.865,866082,34.865
2012-06-15,35.075,35.5,34.86,35.435,1639914,35.435
2012-06-18,35.13,35.475,34.975,35.18,810336,35.18
2012-06-19,35.39,35.685,35.255,35.405,618978,35.405
2012-06-20,35.44,35.585,35.215,35.46,376066,35.46
2012-06-21,35.56,35.57,34.435,34.435,602538,34.435
2012-06-22,34.635,34.93,34.445,34.84,691356,34.84
2012-06-25,34.595,34.64,34.315,34.43,442726,34.43
2012-06-26,34.455,34.66,34.235,34.595,651656,34.595
2012-06-27,34.85,35.23,34.595,35.215,385546,35.215
2012-06-28,34.875,34.975,34.45,34.905,429558,34.905
2012-06-29,35.59,36.15,35.43,36.11,715296,36.11
2012-07-02,36.2,36.365,36.075,36.3,475458,36.3
2012-07-03,36.225,36.44,36.145,36.43,217478,36.43
2012-07-05,36.24,36.465,36.125,36.395,441792,36.395
2012-07-06,36.19,36.29,35.695,36.04,380178,36.04
2012-07-09,36.08,36.085,35.83,36.04,270036,36.04
2012-07-10,35.665,35.995,35.1275,35.26,802854,35.26
2012-07-11,35.405,35.62,35.295,35.48,847368,35.48
2012-07-12,35.22,35.375,34.95,35.24,409086,35.24
2012-07-13,35.305,35.545,35.13,35.475,526194,35.475
2012-07-16,35.46,35.635,35.25,35.535,348594,35.535
2012-07-17,35.625,35.755,35.16,35.595,401212,35.595
2012-07-18,35.54,36,35.41,35.975,440270,35.975
