DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,13.03,13.22,12.99,13.08,3457412,13.08
2012-01-04,12.99,13.195,12.89,13.09,2287013,13.09
2012-01-05,13.01,13.54,12.93,13.47,4615104,13.47
2012-01-06,13.49,13.55,13.205,13.51,4431857,13.51
2012-01-09,13.51,13.58,13.28,13.42,3412436,13.42
2012-01-10,13.65,13.95,13.58,13.85,5697685,13.85
2012-01-11,13.78,13.83,13.55,13.75,2968442,13.75
2012-01-12,13.78,13.92,13.6,13.83,2770249,13.83
2012-01-13,13.63,14.125,13.5,14.03,5071502,14.03
2012-01-17,14.01,14.16,13.64,13.75,4159893,13.75
2012-01-18,13.7,13.84,13.515,13.75,4397058,13.75
2012-01-19,13.94,14,13.49,13.56,4640525,13.56
2012-01-20,13.28,13.32,12.79,13.18,8799346,13.18
2012-01-23,13.21,13.65,13.21,13.4,7107651,13.4
2012-01-24,13.28,13.48,13.15,13.43,3449241,13.43
2012-01-25,13.37,13.58,13.26,13.49,3585561,13.49
2012-01-26,13.57,13.6,13,13.07,3747809,13.07
2012-01-27,13.03,13.32,13,13.23,2500367,13.23
2012-01-30,13.08,13.13,12.88,12.99,3428148,12.99
2012-01-31,13.09,13.15,12.93,13.01,3703210,13.01
2012-02-01,13.08,13.31,13.08,13.15,3341709,13.15
2012-02-02,13.17,13.35,13.06,13.23,1869251,13.23
2012-02-03,13.41,13.65,13.39,13.59,2968264,13.59
2012-02-06,13.52,13.57,13.41,13.49,1560084,13.49
2012-02-07,13.39,13.715,13.39,13.53,3145642,13.53
2012-02-08,13.56,13.79,13.5,13.61,3516492,13.61
2012-02-09,13.64,13.72,13.44,13.52,2667065,13.52
2012-02-10,13.4,13.44,13.29,13.35,2516706,13.35
2012-02-13,13.45,13.61,13.45,13.5,2963498,13.5
2012-02-14,13.42,13.51,13.15,13.3,3521223,13.3
2012-02-15,13.34,13.545,13.3,13.36,3270006,13.36
2012-02-16,13.38,13.64,13.31,13.63,2869473,13.63
2012-02-17,13.73,13.845,13.61,13.8,3304590,13.8
2012-02-21,13.85,14.1,13.77,13.91,3350840,13.91
2012-02-22,13.85,13.91,13.55,13.59,3115503,13.59
2012-02-23,13.62,13.81,13.52,13.81,2553301,13.81
2012-02-24,13.82,13.91,13.525,13.6,3248282,13.6
2012-02-27,13.52,13.62,13.41,13.58,4007931,13.58
2012-02-28,13.63,13.66,13.48,13.62,4451898,13.62
2012-02-29,13.66,13.795,13.45,13.61,3947510,13.61
2012-03-01,13.66,13.79,13.6,13.72,4162940,13.72
2012-03-02,13.74,13.78,13.59,13.61,2221479,13.61
2012-03-05,13.56,13.6,13.24,13.31,2869633,13.31
2012-03-06,13.21,13.22,12.88,12.93,3965871,12.93
2012-03-07,12.97,13.385,12.95,13.3,4521223,13.3
2012-03-08,13.43,13.56,13.27,13.47,2727886,13.47
2012-03-09,13.49,13.805,13.41,13.76,2268758,13.76
2012-03-12,13.72,13.73,13.41,13.58,2189666,13.58
2012-03-13,13.7,14.21,13.66,14.16,3759470,14.16
2012-03-14,13.9,14.39,13.77,14.28,6593651,14.28
2012-03-15,14.38,14.72,14.17,14.47,5108177,14.47
