DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,25.58,25.94,25.39,25.49,210913,25.49
2012-01-04,25.43,25.6,25.17,25.47,168184,25.47
2012-01-05,25.41,25.61,25.08,25.5,178220,25.5
2012-01-06,25.42,25.63,25.04,25.11,257076,25.11
2012-01-09,25.21,25.51,25.09,25.36,207030,25.36
2012-01-10,25.64,25.79,25.5,25.61,170742,25.61
2012-01-11,25.49,25.63,25.25,25.27,229741,25.27
2012-01-12,25.31,26.02,25.28,25.79,283939,25.79
2012-01-13,25.66,25.86,25.49,25.54,298242,25.54
2012-01-17,25.88,26.13,25.64,25.65,219829,25.65
2012-01-18,25.63,26.49,25.56,26.43,278352,26.43
2012-01-19,26.53,26.845,26.38,26.66,175104,26.66
2012-01-20,26.7,26.84,26.54,26.81,300378,26.81
2012-01-23,26.79,27.06,26.59,26.69,176478,26.69
2012-01-24,26.53,26.78,26.42,26.57,152570,26.57
2012-01-25,26.55,26.6,26.14,26.49,287509,26.49
2012-01-26,26.57,26.57,26,26.11,218508,26.11
2012-01-27,25.94,26.12,25.85,25.96,170879,25.96
2012-01-30,25.73,25.84,25.54,25.64,246598,25.64
2012-01-31,25.84,25.96,25.68,25.75,335365,25.75
2012-02-01,25.95,26.22,25.78,26,173038,26
2012-02-02,26.07,26.12,25.74,25.78,245083,25.78
2012-02-03,26.14,26.61,26.11,26.56,337955,26.56
2012-02-06,26.39,26.42,25.98,26.05,287542,26.05
2012-02-07,25.92,26.03,25.67,25.79,352804,25.79
2012-02-08,25.77,25.85,25.46,25.5,336360,25.5
2012-02-09,25.55,25.9,25.37,25.74,485432,25.74
2012-02-10,26.04,26.22,24.81,24.89,724342,24.89
2012-02-13,24.7,25.1,24.52,24.56,578490,24.56
2012-02-14,24.4,24.76,24.26,24.74,582333,24.74
2012-02-15,24.74,24.99,24.57,24.94,467809,24.94
2012-02-16,24.96,25.51,24.88,25.49,312781,25.49
2012-02-17,25.59,25.74,25.41,25.6,426507,25.6
2012-02-21,25.65,25.88,25.545,25.66,261497,25.66
2012-02-22,25.64,25.81,25.54,25.57,188889,25.57
2012-02-23,25.59,25.89,25.27,25.84,253680,25.84
2012-02-24,25.85,26.13,25.77,26.07,289551,26.07
2012-02-27,25.83,26.42,25.75,26.38,414957,26.38
2012-02-28,26.37,26.61,26.32,26.5,569361,26.5
2012-02-29,26.52,26.64,26.01,26.17,597113,26.17
2012-03-01,26.17,26.48,26.16,26.44,335353,26.44
2012-03-02,26.37,26.6,26.26,26.52,316167,26.52
2012-03-05,26.41,26.41,26.17,26.34,310438,26.34
2012-03-06,26.01,26.06,25.69,25.87,467531,25.87
2012-03-07,25.89,26.03,25.72,25.92,325138,25.92
2012-03-08,26.17,26.23,25.79,26.08,237794,26.08
2012-03-09,26.11,26.4,26.11,26.34,231823,26.34
2012-03-12,26.41,26.41,25.79,25.86,459223,25.86
2012-03-13,26.07,26.3,25.78,26.28,451629,26.28
2012-03-14,26.24,26.49,25.94,26.11,281897,26.11
2012-03-15,26.17,26.47,26.03,26.25,367228,26.25
2012-03-16,26.31,26.46,26.2,26.24,666382,26.24
2012-03-19,26.14,26.36,25.94,26,395926,26
2012-03-20,25.78,25.79,25.48,25.65,367650,25.65
2012-03-21,25.65,25.77,25.61,25.65,229493,25.65
2012-03-22,25.4,25.59,25.31,25.53,293182,25.53
2012-03-23,25.62,25.62,25.34,25.5,188362,25.5
2012-03-26,25.77,25.91,25.64,25.86,171748,25.86
2012-03-27,25.89,25.95,25.72,25.75,303602,25.75
2012-03-28,25.75,25.8,25.19,25.36,375727,25.36
2012-03-29,25.21,25.38,25.06,25.34,291681,25.34
2012-03-30,25.5,25.5,25.24,25.31,410801,25.31
2012-04-02,25.24,25.32,24.79,25.07,499366,25.07
2012-04-03,25.03,25.11,24.85,24.98,406665,24.98
2012-04-04,24.77,24.79,24.6,24.67,444488,24.67
2012-04-05,24.51,24.65,24.41,24.51,302699,24.51
2012-04-09,24.08,24.14,23.86,23.93,285397,23.93
2012-04-10,23.82,23.92,23.48,23.6,374542,23.6
2012-04-11,23.84,23.97,23.76,23.83,479051,23.83
2012-04-12,23.88,24.26,23.86,24.14,164714,24.14
2012-04-13,24.02,24.1,23.63,23.65,170751,23.65
2012-04-16,23.88,23.88,23.51,23.67,320483,23.67
2012-04-17,23.9,24.24,23.9,24.18,342203,24.18
2012-04-18,23.97,24.11,23.87,23.87,270302,23.87
2012-04-19,23.27,23.91,23.27,23.42,426152,23.42
2012-04-20,23.51,23.79,23.44,23.55,508758,23.55
2012-04-23,23.26,23.345,23.08,23.25,304159,23.25
2012-04-24,23.32,23.41,23.16,23.27,291992,23.27
2012-04-25,23.58,23.69,23.26,23.29,365500,23.29
2012-04-26,23.29,23.6,23.22,23.52,538769,23.52
2012-04-27,23.3,23.38,22.63,22.87,744678,22.87
2012-04-30,22.77,22.77,22.29,22.46,631231,22.46
2012-05-01,22.21,22.69,22.15,22.3,472054,22.3
2012-05-02,22.23,22.23,21.86,22.07,440274,22.07
2012-05-03,22.04,22.52,22.01,22.17,506958,22.17
2012-05-04,21.97,22.08,21.53,21.73,323894,21.73
2012-05-07,21.6,21.77,21.41,21.71,272004,21.71
2012-05-08,21.49,21.79,21.32,21.7,461094,21.7
2012-05-09,21.55,21.76,21.43,21.55,443202,21.55
2012-05-10,21.7,21.825,21.49,21.55,275661,21.55
2012-05-11,21.37,21.67,21.37,21.39,329345,21.39
2012-05-14,21.18,21.36,20.86,21.08,325740,21.08
2012-05-15,21.03,21.38,21.03,21.11,475152,21.11
2012-05-16,21.2,21.27,20.95,21.06,466142,21.06
2012-05-17,20.97,21.04,20.55,20.55,425186,20.55
2012-05-18,20.58,20.76,20.3,20.38,587695,20.38
2012-05-21,20.45,20.98,20.42,20.97,341055,20.97
2012-05-22,20.96,21.09,20.71,20.95,547888,20.95
2012-05-23,20.78,21.28,20.62,21.28,479079,21.28
2012-05-24,21.32,21.4,21.09,21.32,520651,21.32
2012-05-25,21.24,21.52,21.24,21.31,302118,21.31
2012-05-29,21.46,21.89,21.46,21.76,337288,21.76
2012-05-30,21.59,21.655,21.3,21.56,291210,21.56
2012-05-31,21.53,21.56,21.23,21.33,491929,21.33
2012-06-01,20.93,21.58,20.86,21.22,601998,21.22
2012-06-04,21.3,21.44,20.97,21.11,438659,21.11
2012-06-05,21.02,21.58,20.95,21.34,584990,21.34
2012-06-06,21.54,21.68,21.44,21.59,727849,21.59
2012-06-07,21.88,22.02,21.285,21.34,931163,21.34
2012-06-08,21.24,21.33,21.15,21.15,665124,21.15
