DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,16.0879,16.3263,16.0879,16.2027,4477399,16.2027
2012-01-04,16.185,16.2292,16.0173,16.0879,4691076,16.0879
2012-01-05,16.0438,16.3484,15.9025,16.3263,4549365,16.3263
2012-01-06,16.3351,16.4764,16.1497,16.1585,4062261,16.1585
2012-01-09,16.1762,16.2601,16.0879,16.2115,3141418,16.2115
2012-01-10,16.3969,16.6265,16.3528,16.4676,3489217,16.4676
2012-01-11,16.4676,16.653,16.4146,16.6,3592394,16.6
2012-01-12,16.6618,16.7413,16.4941,16.6795,3877551,16.6795
2012-01-13,16.6265,16.653,16.3086,16.4323,3037191,16.4323
2012-01-17,16.7855,16.8561,16.6618,16.8119,4604450,16.8119
2012-01-18,16.8208,17.1475,16.7855,17.0239,4673287,17.0239
2012-01-19,17.0239,17.43,17.0239,17.4212,4780187,17.4212
2012-01-20,17.4742,17.4742,16.8473,16.9444,6475278,16.9444
2012-01-23,16.8561,17.0459,16.7501,16.9621,2777999,16.9621
2012-01-24,16.8561,16.9532,16.6795,16.8473,3519934,16.8473
2012-01-25,16.7236,16.7766,16.5559,16.5824,7129842,16.5824
2012-01-26,16.7236,16.7678,16.5117,16.6177,5352647,16.6177
2012-01-27,16.6265,16.7413,16.5382,16.6707,3638953,16.6707
2012-01-30,16.5029,16.8826,16.4058,16.8561,4351659,16.8561
2012-01-31,16.8914,17.0503,16.6265,16.6265,5789308,16.6265
2012-02-01,16.7325,17.0768,16.6972,16.9709,4011200,16.9709
2012-02-02,16.9532,17.0062,16.5735,16.7236,3381726,16.7236
2012-02-03,16.9532,17.0636,16.8914,17.0239,2867463,17.0239
2012-02-06,16.9709,17.2755,16.9709,17.2711,4613885,17.2711
2012-02-07,17.2181,17.3991,17.068,17.2181,2910223,17.2181
2012-02-08,17.1563,17.4389,17.1386,17.3241,6174321,17.3241
2012-02-09,17.2093,17.3417,16.8473,16.9621,7149828,16.9621
2012-02-10,16.8914,16.9621,16.8296,16.9356,4507267,16.9356
2012-02-13,17.0503,17.2005,16.9885,17.1386,6013457,17.1386
2012-02-14,17.0239,17.1386,16.7457,16.9091,5364063,16.9091
2012-02-15,16.9709,17.0327,16.6,16.6353,4071177,16.6353
2012-02-16,16.6972,16.8826,16.5824,16.8031,5032436,16.8031
2012-02-17,16.7855,17.3506,16.759,17.3064,7881108,17.3064
2012-02-21,17.3417,17.4212,17.1651,17.2534,3345925,17.2534
2012-02-22,17.2093,17.3064,16.9797,17.0415,2870897,17.0415
2012-02-23,17.0415,17.3682,16.9797,17.3506,4501563,17.3506
2012-02-24,17.3506,17.5139,17.1916,17.2711,4427930,17.2711
2012-02-27,17.3241,17.3771,17.015,17.2093,4464241,17.2093
2012-02-28,17.2093,17.6199,17.0857,17.4918,6883893,17.4918
2012-02-29,17.5448,17.9686,17.5007,17.5448,11335022,17.5448
2012-03-01,17.5625,17.6773,17.4654,17.6331,4783256,17.6331
