DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,53.61,53.7,52.07,52.34,893410,52.34
2012-01-04,52.12,52.71,51.66,52.14,542260,52.14
2012-01-05,51.77,51.83,50.67,51.72,421145,51.72
2012-01-06,51.73,52.19,51.22,51.57,475658,51.57
2012-01-09,51.61,52.03,51.3,51.94,424113,51.94
2012-01-10,52.3,53,51.97,52.63,670437,52.63
2012-01-11,52.44,52.54,51.73,51.98,494788,51.98
2012-01-12,52.16,53.22,51.76,52.89,473820,52.89
2012-01-13,51.97,52.77,51,51.37,638695,51.37
2012-01-17,52.4,52.65,50.94,51.14,529141,51.14
2012-01-18,51.13,52.56,51,52.52,487571,52.52
2012-01-19,52.8,54.08,52.6,53.7,398686,53.7
2012-01-20,53.79,53.92,52.28,52.66,526283,52.66
2012-01-23,52.63,53.36,51.95,52.16,526640,52.16
2012-01-24,51.42,52.71,51.11,52.22,416265,52.22
2012-01-25,52.12,54.15,51.36,53.92,397331,53.92
2012-01-26,54.42,54.99,53.01,53.14,380274,53.14
2012-01-27,53.08,53.52,52.78,52.78,565795,52.78
2012-01-30,51.93,52.18,50.85,51.98,554021,51.98
2012-01-31,52.4,52.78,50.91,51.11,688485,51.11
2012-02-01,51.55,52.76,51.44,52.5,404529,52.5
2012-02-02,52.52,53.24,52.15,52.71,372969,52.71
2012-02-03,53.36,53.46,52.65,53.41,568066,53.41
2012-02-06,52.97,54.33,52.62,54.32,298531,54.32
2012-02-07,54.06,54.37,53.36,54.23,328250,54.23
2012-02-08,54.31,54.74,53.96,54.08,312797,54.08
2012-02-09,54.1,54.29,52.81,53.15,377407,53.15
2012-02-10,52.65,54.32,52.55,54.01,571464,54.01
2012-02-13,53.98,55.17,53.91,54.36,495299,54.36
2012-02-14,54.18,54.5,53.55,53.77,535237,53.77
2012-02-15,51.55,52.52,49.88,51.02,1378663,51.02
2012-02-16,51,51.55,50.44,51.35,916415,51.35
2012-02-17,52.04,52.14,50.93,51.38,940758,51.38
2012-02-21,51.69,51.83,50.81,51.14,661777,51.14
2012-02-22,51.16,52.04,51.11,51.75,730189,51.75
2012-02-23,51.74,52.23,51.5,52.1,512192,52.1
2012-02-24,52.3,52.67,51.9,52.27,369464,52.27
2012-02-27,51.85,51.94,50.98,51.42,620216,51.42
2012-02-28,51.54,51.84,50.96,51.31,517441,51.31
2012-02-29,51.47,51.74,50.16,50.43,602006,50.43
2012-03-01,50.65,51.32,50.5,51.19,386962,51.19
2012-03-02,51.08,51.41,50.52,50.62,394400,50.62
2012-03-05,50.27,50.88,50.13,50.82,458129,50.82
2012-03-06,49.88,50.38,49.4,50.26,604173,50.26
2012-03-07,50.32,51.17,50.19,50.77,613750,50.77
2012-03-08,51.47,51.87,50.89,51.51,533453,51.51
2012-03-09,51.61,52.47,51.45,51.84,286288,51.84
2012-03-12,51.71,51.73,50.44,50.79,438483,50.79
2012-03-13,50.94,51.85,50.55,51.78,429285,51.78
2012-03-14,51.87,51.93,50.8,51.06,291942,51.06
2012-03-15,50.95,52.1,50.95,51.7,649146,51.7
2012-03-16,51.78,52.84,51.78,52.34,1012073,52.34
2012-03-19,52.36,52.48,51.69,52.1,341621,52.1
2012-03-20,51.53,51.53,50.6,51.02,388705,51.02
2012-03-21,50.1,50.43,49.53,49.65,580127,49.65
2012-03-22,49.05,49.11,47.98,48.26,607778,48.26
2012-03-23,48.32,48.82,47.92,48.45,1079287,48.45
2012-03-26,49.05,49.59,48.58,49.59,676906,49.59
2012-03-27,49.7,49.7,49.04,49.05,782278,49.05
2012-03-28,48.79,49.14,47.75,48.45,715206,48.45
2012-03-29,50.39,50.52,49.39,49.77,1406803,49.77
2012-03-30,50.2,50.45,49.17,50.42,993783,50.42
2012-04-02,50.22,51.03,50.07,50.52,525908,50.52
2012-04-03,50.5,50.74,49.66,50.54,553695,50.54
2012-04-04,49.87,50.27,49.13,49.31,549322,49.31
2012-04-05,49.24,49.73,48.56,48.75,619616,48.75
2012-04-09,47.97,48.74,47.74,48.07,471465,48.07
2012-04-10,48.05,48.23,46.74,46.88,624660,46.88
2012-04-11,47.54,47.98,46.89,47.49,621761,47.49
2012-04-12,47.56,48.67,47.56,48.25,489368,48.25
2012-04-13,47.94,48.19,46.97,47.12,982498,47.12
2012-04-16,47.43,47.55,46.31,46.38,542532,46.38
2012-04-17,46.82,47.4,46.64,47.26,406176,47.26
2012-04-18,47.06,48.15,46.88,47.84,641610,47.84
2012-04-19,47.79,48.47,47.18,47.35,614803,47.35
2012-04-20,47.8,48.5,47.3,47.4,767727,47.4
2012-04-23,46.44,47.37,45.87,47.23,533974,47.23
2012-04-24,47.29,48,46.95,47.62,618788,47.62
2012-04-25,46.19,47.09,45.72,47.09,1346007,47.09
2012-04-26,46.96,47.07,46.29,46.92,825849,46.92
2012-04-27,47.07,47.17,46.57,47.01,593246,47.01
2012-04-30,46.91,47.14,46.35,47,482198,47
2012-05-01,47.15,47.93,46.68,47.32,443877,47.32
2012-05-02,46.97,47.39,46.66,47.23,479028,47.23
2012-05-03,47.07,47.08,45.37,45.39,740631,45.39
2012-05-04,44.97,45.11,44.13,44.28,663661,44.28
2012-05-07,44.46,44.49,43.34,44.16,663330,44.16
2012-05-08,43.69,44.77,42.88,44.59,948857,44.59
2012-05-09,43.67,44.67,43.27,44.33,800576,44.33
2012-05-10,45.35,45.83,44.64,44.73,978020,44.73
2012-05-11,44.25,45.31,44.03,44.84,848516,44.84
2012-05-14,44.19,44.24,43.02,43.07,699882,43.07
2012-05-15,43.11,43.56,42.11,42.33,665738,42.33
2012-05-16,42.5,43.21,42.12,42.12,459631,42.12
2012-05-17,42.19,42.8,41.58,41.63,576720,41.63
2012-05-18,41.89,42.46,41.16,41.35,627541,41.35
2012-05-21,41.5,42.52,41.5,42.4,437915,42.4
2012-05-22,42.55,43.25,41.52,41.83,800892,41.83
2012-05-23,41.39,42.63,40.91,42.52,435244,42.52
2012-05-24,42.72,42.72,41.54,41.99,342154,41.99
2012-05-25,41.92,42.34,41.5,41.72,326225,41.72
2012-05-29,42.26,42.72,41.67,42.04,504413,42.04
2012-05-30,41.5,41.52,40.8,41.15,695226,41.15
2012-05-31,41.17,41.21,39.77,40.24,1077233,40.24
2012-06-01,39.35,39.6,38.64,38.71,911604,38.71
2012-06-04,38.96,39.07,38.05,38.68,577138,38.68
2012-06-05,38.5,39.93,38.49,39.83,641081,39.83
2012-06-06,40.12,40.81,39.87,40.81,638874,40.81
2012-06-07,41.57,41.91,40.62,40.77,443900,40.77
2012-06-08,40.43,40.83,39.67,40.67,742064,40.67
2012-06-11,41.14,41.24,40.2,40.24,504996,40.24
2012-06-12,40.46,41.25,40.15,41.24,442585,41.24
2012-06-13,40.94,41.12,40.09,40.28,370119,40.28
2012-06-14,40.4,41.6,40.1,41.48,572080,41.48
2012-06-15,41.89,42.14,41.14,42.13,976537,42.13
2012-06-18,41.64,41.71,40.8,41.18,594685,41.18
2012-06-19,41.54,41.77,41.03,41.27,635729,41.27
2012-06-20,41.22,41.5,40.42,40.78,616614,40.78
2012-06-21,40.95,41.04,38.59,38.63,939719,38.63
2012-06-22,38.83,39.26,38.25,39,1129926,39
2012-06-25,38.34,38.47,37.24,37.72,495905,37.72
2012-06-26,37.71,37.92,36.89,37.68,877235,37.68
2012-06-27,37.83,38.28,37.5,38.15,616370,38.15
2012-06-28,37.85,38.09,37.2,37.78,1032859,37.78
2012-06-29,39.08,39.48,38.75,39.23,682490,39.23
2012-07-02,39.28,40.17,39.05,40.16,850612,40.16
2012-07-03,40.5,41.77,40.47,41.67,437801,41.67
2012-07-05,41.38,41.58,40.63,41.04,489823,41.04
2012-07-06,40.23,40.91,40,40.83,424524,40.83
2012-07-09,40.63,41.47,40.44,40.96,647249,40.96
2012-07-10,41.25,41.33,39.63,39.97,532875,39.97
2012-07-11,40.05,40.68,40.01,40.4,445618,40.4
2012-07-12,39.75,39.88,39.02,39.64,610754,39.64
2012-07-13,39.8,40.35,39.8,40.32,417882,40.32
2012-07-16,40.19,40.71,39.81,40.5,432943,40.5
2012-07-17,40.77,41.18,40.21,41.14,459392,41.14
2012-07-18,40.85,41.71,40.85,41.24,914904,41.24
2012-07-19,41.49,42.85,41.43,42.45,660658,42.45
2012-07-20,42.36,42.49,41.87,42.09,653493,42.09
2012-07-23,41,41.33,40.55,40.78,416250,40.78
2012-07-24,40.72,40.8,39.79,40.27,590608,40.27
2012-07-25,40.51,42.9,40.51,42.68,1055938,42.68
