DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,5.28,5.37,5.12,5.33,3503636,5.33
2012-01-04,5.31,5.33,5.13,5.15,3478504,5.15
2012-01-05,5.14,5.15,5.005,5.02,3143799,5.02
2012-01-06,5.05,5.2,5.02,5.11,3535119,5.11
2012-01-09,5.11,5.13,5.035,5.04,2706203,5.04
2012-01-10,5.1,5.11,5.025,5.05,2319651,5.05
2012-01-11,5.05,5.07,4.97,5.04,4025721,5.04
2012-01-12,5.08,5.09,5,5.03,4523931,5.03
2012-01-13,5.03,5.12,4.98,5.1,3629079,5.1
2012-01-17,5.15,5.18,5.07,5.11,2192066,5.11
2012-01-18,5.11,5.13,4.93,4.95,5154024,4.95
2012-01-19,4.95,4.98,4.8100000000000005,4.87,4950543,4.87
2012-01-20,4.95,4.95,4.855,4.88,2637885,4.88
2012-01-23,4.89,4.9,4.83,4.85,1335310,4.85
2012-01-24,4.82,4.83,4.72,4.76,3090401,4.76
2012-01-25,4.76,4.8,4.7,4.745,2115524,4.745
2012-01-26,4.78,4.78,4.45,4.47,8257033,4.47
2012-01-27,4.4,4.42,3.81,4.29,9217015,4.29
2012-01-30,4.24,4.265,4.18,4.23,2453715,4.23
2012-01-31,4.23,4.35,4.2,4.28,9213717,4.28
2012-02-01,4.26,4.29,4.205,4.24,4412618,4.24
2012-02-02,4.25,4.38,4.185,4.36,3565117,4.36
2012-02-03,4.4,4.525,4.36,4.51,6552624,4.51
2012-02-06,4.51,4.52,4.31,4.34,4069957,4.34
2012-02-07,4.33,4.39,4.27,4.3,2425380,4.3
2012-02-08,4.3,4.33,4.24,4.26,2130326,4.26
2012-02-09,4.28,4.28,4.14,4.14,4021793,4.14
2012-02-10,4.1,4.11,3.98,4.04,8417708,4.04
2012-02-13,4.08,4.205,4.07,4.14,5416036,4.14
2012-02-14,4.15,4.17,4.06,4.06,6859297,4.06
2012-02-15,4.11,4.34,4.09,4.31,8389092,4.31
2012-02-16,4.34,4.625,4.23,4.46,10880345,4.46
2012-02-17,4.6,4.8,4.46,4.78,17015224,4.78
2012-02-21,4.8,4.8,4.525,4.63,5632963,4.63
2012-02-22,4.6,4.625,4.55,4.59,2514642,4.59
2012-02-23,4.5600000000000005,4.58,4.55,4.57,1759592,4.57
2012-02-24,4.6,4.7,4.58,4.64,3184292,4.64
2012-02-27,4.64,4.64,4.57,4.62,1583828,4.62
2012-02-28,4.6,4.68,4.6,4.62,2141674,4.62
2012-02-29,4.62,4.64,4.52,4.59,5187680,4.59
2012-03-01,4.58,4.59,4.47,4.5,2399807,4.5
2012-03-02,4.49,4.58,4.43,4.55,1924003,4.55
2012-03-05,4.5,4.51,4.4,4.41,1479950,4.41
2012-03-06,4.39,4.39,4.34,4.38,2245899,4.38
2012-03-07,4.3,4.375,4.295,4.35,2490647,4.35
2012-03-08,4.37,4.4,4.35,4.37,1511235,4.37
2012-03-09,4.35,4.49,4.34,4.42,2027484,4.42
2012-03-12,4.4,4.43,4.315,4.36,1261386,4.36
2012-03-13,4.37,4.44,4.36,4.41,2192614,4.41
2012-03-14,4.41,4.41,4.26,4.32,1702739,4.32
2012-03-15,4.32,4.34,4.24,4.265,2385658,4.265
2012-03-16,4.26,4.33,4.2,4.33,6098199,4.33
2012-03-19,4.29,4.33,4.22,4.23,1481466,4.23
2012-03-20,4.24,4.27,4.2,4.27,1841773,4.27
2012-03-21,4.27,4.35,4.25,4.33,1831398,4.33
2012-03-22,4.33,4.35,4.22,4.27,1038550,4.27
2012-03-23,4.29,4.29,4.18,4.19,3371426,4.19
2012-03-26,4.2,4.25,4.12,4.17,2602045,4.17
2012-03-27,4.18,4.19,4.055,4.09,4329677,4.09
2012-03-28,4.08,4.09,3.9699999999999998,4.02,6527863,4.02
2012-03-29,4.01,4.125,3.98,4.08,5750950,4.08
2012-03-30,4.14,4.17,4.07,4.17,4078443,4.17
2012-04-02,4.27,4.33,4.2,4.27,3980494,4.27
2012-04-03,4.27,4.32,4.25,4.29,2471914,4.29
2012-04-04,4.27,4.44,4.26,4.37,4200713,4.37
2012-04-05,4.4,4.4,4.255,4.31,2507940,4.31
2012-04-09,4.25,4.26,4.08,4.12,4793951,4.12
2012-04-10,4.1,4.14,4.06,4.11,1970885,4.11
2012-04-11,4.11,4.16,4.08,4.1,2405171,4.1
2012-04-12,4.12,4.2,4.11,4.2,998736,4.2
2012-04-13,4.16,4.18,4.115,4.12,1607568,4.12
2012-04-16,4.14,4.195,4.12,4.15,1313940,4.15
2012-04-17,4.19,4.26,4.16,4.25,1555442,4.25
2012-04-18,4.25,4.25,4.175,4.19,1294422,4.19
2012-04-19,4.18,4.2,4.115,4.13,1187239,4.13
2012-04-20,4.13,4.18,4.115,4.13,1273519,4.13
2012-04-23,4.12,4.19,4.1,4.18,1848466,4.18
2012-04-24,4.2,4.21,4.11,4.12,1541319,4.12
2012-04-25,4.14,4.165,4.13,4.13,862123,4.13
2012-04-26,4.13,4.15,4.03,4.09,3776029,4.09
2012-04-27,4.09,4.11,4.04,4.06,2061278,4.06
2012-04-30,4.05,4.06,4.02,4.04,1796489,4.04
2012-05-01,4.05,4.06,4.02,4.04,1413637,4.04
2012-05-02,4.03,4.045,4.005,4.02,1768101,4.02
2012-05-03,4.05,4.05,3.9,3.94,3355597,3.94
2012-05-04,3.92,3.92,3.855,3.89,3665851,3.89
2012-05-07,3.87,3.995,3.49,3.61,8341989,3.61
2012-05-08,3.6,3.6,3.06,3.26,11770165,3.26
2012-05-09,3.27,3.445,3.22,3.35,4839618,3.35
2012-05-10,3.38,3.5300000000000002,3.265,3.5,8841655,3.5
2012-05-11,3.48,3.52,3.42,3.4699999999999998,3524095,3.4699999999999998
2012-05-14,3.45,3.45,3.255,3.33,2600461,3.33
2012-05-15,3.33,3.35,3.235,3.26,2112387,3.26
2012-05-16,3.41,3.51,3.16,3.26,5735884,3.26
2012-05-17,3.23,3.41,3.17,3.37,3434349,3.37
2012-05-18,3.38,3.38,3.2,3.23,3051353,3.23
2012-05-21,3.25,3.395,3.25,3.37,1958864,3.37
2012-05-22,3.38,3.57,3.32,3.32,3723280,3.32
2012-05-23,3.32,3.51,3.31,3.5,2317540,3.5
2012-05-24,3.52,3.52,3.4,3.43,1791276,3.43
2012-05-25,3.44,3.51,3.43,3.5,1050444,3.5
2012-05-29,3.5300000000000002,3.58,3.5,3.51,1176514,3.51
2012-05-30,3.51,3.615,3.485,3.58,2065592,3.58
2012-05-31,3.58,3.785,3.57,3.74,3917582,3.74
2012-06-01,3.68,3.75,3.4699999999999998,3.52,3613210,3.52
2012-06-04,3.65,3.67,3.475,3.5300000000000002,3014498,3.5300000000000002
2012-06-05,3.52,3.58,3.51,3.55,1825330,3.55
2012-06-06,3.4699999999999998,3.54,3.31,3.34,2968033,3.34
2012-06-07,3.34,3.425,3.32,3.33,2022900,3.33
2012-06-08,3.37,3.485,3.35,3.45,1565850,3.45
2012-06-11,3.48,3.54,3.46,3.54,2477774,3.54
2012-06-12,3.54,3.67,3.51,3.67,1951188,3.67
2012-06-13,3.67,3.765,3.61,3.74,2864621,3.74
2012-06-14,3.75,3.775,3.66,3.7199999999999998,2036648,3.7199999999999998
2012-06-15,3.74,3.95,3.615,3.93,5448424,3.93
2012-06-18,3.91,3.93,3.76,3.87,2496275,3.87
2012-06-19,3.87,3.92,3.7800000000000002,3.88,2292181,3.88
2012-06-20,3.88,3.89,3.82,3.88,1134112,3.88
2012-06-21,3.88,3.935,3.82,3.92,2487747,3.92
2012-06-22,3.95,4.02,3.895,4.02,4537137,4.02
2012-06-25,3.9699999999999998,3.99,3.835,3.9,1522050,3.9
2012-06-26,3.91,3.94,3.705,3.75,2311443,3.75
2012-06-27,3.76,3.85,3.7199999999999998,3.76,1808215,3.76
2012-06-28,3.74,3.8,3.7199999999999998,3.79,1040357,3.79
2012-06-29,3.95,3.96,3.79,3.83,3579149,3.83
2012-07-02,3.87,3.9699999999999998,3.86,3.96,1984000,3.96
2012-07-03,3.9,4,3.9,3.99,1149501,3.99
2012-07-05,3.94,4.02,3.91,4.01,2471345,4.01
2012-07-06,4,4.05,3.955,4.01,2136095,4.01
2012-07-09,4.01,4.05,3.955,3.98,1855484,3.98
2012-07-10,4,4.04,3.95,3.96,2037882,3.96
2012-07-11,3.98,4.035,3.9699999999999998,4.03,2435043,4.03
2012-07-12,3.99,4.01,3.915,3.98,2099022,3.98
2012-07-13,4,4,3.9050000000000002,3.93,1710787,3.93
2012-07-16,3.9,3.935,3.83,3.92,1874632,3.92
2012-07-17,3.92,3.99,3.86,3.92,2332509,3.92
2012-07-18,3.91,3.93,3.825,3.87,2202111,3.87
2012-07-19,3.87,3.88,3.695,3.7199999999999998,1767445,3.7199999999999998
2012-07-20,3.73,3.77,3.66,3.74,2009222,3.74
2012-07-23,3.7,3.74,3.65,3.67,1186724,3.67
2012-07-24,3.7,3.7,3.6,3.6,1313778,3.6
2012-07-25,3.6,3.61,3.59,3.59,713489,3.59
2012-07-26,3.65,3.65,3.59,3.625,1179721,3.625
2012-07-27,3.65,3.73,3.635,3.7199999999999998,1996340,3.7199999999999998
2012-07-30,3.75,3.77,3.63,3.71,1539851,3.71
2012-07-31,3.69,3.9699999999999998,3.66,3.92,7145778,3.92
2012-08-01,4.08,4.44,4.06,4.34,10649349,4.34
2012-08-02,4.3,4.495,4.25,4.41,4219830,4.41
2012-08-03,4.47,4.48,4.36,4.4,1542415,4.4
2012-08-06,4.41,4.45,4.345,4.45,2003976,4.45
2012-08-07,4.44,4.5600000000000005,4.44,4.5,2580885,4.5
2012-08-08,4.49,4.58,4.48,4.55,2174877,4.55
2012-08-09,4.54,4.755,4.53,4.71,2870222,4.71
2012-08-10,4.71,4.76,4.68,4.75,2869084,4.75
2012-08-13,4.75,4.88,4.72,4.82,2972279,4.82
2012-08-14,4.85,4.88,4.65,4.78,2290062,4.78
2012-08-15,4.77,4.805,4.735,4.75,1270972,4.75
2012-08-16,4.76,4.8,4.66,4.66,1864772,4.66
2012-08-17,4.66,4.66,4.6,4.63,2322204,4.63
2012-08-20,4.61,4.715,4.61,4.65,1084343,4.65
2012-08-21,4.65,4.6899999999999995,4.615,4.64,1193592,4.64
2012-08-22,4.65,4.66,4.575,4.62,1165778,4.62
2012-08-23,4.6,4.61,4.51,4.55,1023948,4.55
2012-08-24,4.53,4.675,4.53,4.63,2017069,4.63
2012-08-27,4.64,4.6850000000000005,4.6,4.65,1406969,4.65
2012-08-28,4.66,4.75,4.605,4.61,1711640,4.61
2012-08-29,4.62,4.695,4.62,4.66,1239438,4.66
2012-08-30,4.66,4.755,4.65,4.74,2108962,4.74
2012-08-31,4.77,4.77,4.61,4.62,2088222,4.62
2012-09-04,4.63,4.68,4.6,4.65,1797841,4.65
2012-09-05,4.55,4.58,4.53,4.5600000000000005,1155619,4.5600000000000005
2012-09-06,4.59,4.6899999999999995,4.55,4.65,1467098,4.65
2012-09-07,4.61,4.63,4.55,4.55,1470315,4.55
2012-09-10,4.54,4.66,4.53,4.63,1564518,4.63
2012-09-11,4.66,4.77,4.625,4.76,2265100,4.76
2012-09-12,4.77,4.89,4.77,4.85,1729708,4.85
2012-09-13,4.79,4.8149999999999995,4.7,4.78,1560524,4.78
2012-09-14,4.75,4.75,4.6,4.65,1548676,4.65
2012-09-17,4.63,4.695,4.63,4.66,780259,4.66
2012-09-18,4.66,4.71,4.65,4.6899999999999995,1088298,4.6899999999999995
2012-09-19,4.68,4.705,4.645,4.67,779920,4.67
2012-09-20,4.65,4.795,4.64,4.79,1603675,4.79
2012-09-21,4.8100000000000005,4.995,4.75,4.98,3994452,4.98
2012-09-24,4.95,5,4.76,4.92,1804432,4.92
2012-09-25,4.98,4.98,4.84,4.89,1717088,4.89
2012-09-26,4.88,4.96,4.83,4.9399999999999995,1215181,4.9399999999999995
2012-09-27,4.93,4.97,4.85,4.92,1595845,4.92
2012-09-28,4.9399999999999995,5.145,4.87,4.9,4717542,4.9
2012-10-01,4.96,4.98,4.78,4.82,2256190,4.82
2012-10-02,4.84,4.84,4.65,4.72,1936265,4.72
2012-10-03,4.7,4.74,4.55,4.55,3374979,4.55
2012-10-04,4.59,4.79,4.55,4.76,3044898,4.76
2012-10-05,4.78,4.79,4.71,4.77,1681639,4.77
2012-10-08,4.77,4.8,4.71,4.78,926229,4.78
2012-10-09,4.78,4.82,4.745,4.76,1199556,4.76
2012-10-10,4.75,4.9,4.73,4.9,1507017,4.9
2012-10-11,4.9399999999999995,4.95,4.845,4.86,1597333,4.86
2012-10-12,4.86,4.89,4.765,4.8100000000000005,1725642,4.8100000000000005
2012-10-15,4.83,4.89,4.78,4.8100000000000005,1973480,4.8100000000000005
2012-10-16,4.8100000000000005,4.9399999999999995,4.8,4.84,2103009,4.84
2012-10-17,4.88,4.88,4.83,4.84,1068818,4.84
2012-10-18,4.84,4.915,4.83,4.89,1219524,4.89
2012-10-19,4.89,4.91,4.75,4.77,2079993,4.77
2012-10-22,4.77,4.77,4.57,4.66,2914026,4.66
2012-10-23,4.61,4.62,4.545,4.58,2611945,4.58
2012-10-24,4.5600000000000005,4.68,4.55,4.66,1274078,4.66
2012-10-25,4.68,4.805,4.66,4.78,2448792,4.78
2012-10-26,4.76,4.765,4.68,4.74,1348261,4.74
2012-10-31,4.62,4.785,4.61,4.72,1865282,4.72
2012-11-01,4.71,4.74,4.655,4.71,1679219,4.71
2012-11-02,4.72,4.73,4.51,4.51,2312804,4.51
2012-11-05,4.5,4.7,4.41,4.65,3158662,4.65
2012-11-06,4.64,4.7,4.15,4.55,5954463,4.55
2012-11-07,4.4,4.52,4.35,4.51,1888597,4.51
2012-11-08,4.5,4.51,4.35,4.35,3583600,4.35
2012-11-09,4.31,4.415,4.28,4.35,2326380,4.35
2012-11-12,4.35,4.42,4.33,4.41,1623736,4.41
2012-11-13,4.38,4.42,4.36,4.37,1324034,4.37
2012-11-14,4.37,4.4,4.29,4.37,1614190,4.37
2012-11-15,4.35,4.385,4.26,4.35,2057285,4.35
2012-11-16,4.25,4.32,4.14,4.29,4065154,4.29
2012-11-19,4.31,4.415,4.3,4.41,1748813,4.41
2012-11-20,4.37,4.41,4.34,4.4,1283663,4.4
2012-11-21,4.4,4.43,4.31,4.42,1445179,4.42
2012-11-23,4.39,4.51,4.39,4.5,382307,4.5
2012-11-26,4.47,4.54,4.45,4.53,986569,4.53
2012-11-27,4.5,4.61,4.5,4.59,1365430,4.59
2012-11-28,4.5600000000000005,4.705,4.515,4.7,1096837,4.7
2012-11-29,4.71,4.75,4.63,4.74,1107637,4.74
2012-11-30,4.76,4.8100000000000005,4.75,4.8100000000000005,2164753,4.8100000000000005
