DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,42.83,42.83,41.88,42.1,237712,42.1
2012-01-04,41.91,42.17,41.6,41.67,146078,41.67
2012-01-05,41.49,41.88,41.18,41.71,167567,41.71
2012-01-06,41.84,41.84,41.13,41.18,113204,41.18
2012-01-09,41.25,41.35,40.81,41.04,248596,41.04
2012-01-10,41.21,41.49,41.01,41.05,138914,41.05
2012-01-11,41.06,41.37,41.02,41.12,116059,41.12
2012-01-12,41.28,41.39,40.98,41.09,140918,41.09
2012-01-13,40.64,41.3,40.64,41.23,222027,41.23
2012-01-17,41.37,41.92,41.37,41.57,159563,41.57
2012-01-18,41.54,41.87,41.26,41.75,173836,41.75
2012-01-19,41.92,41.92,41.26,41.36,138164,41.36
2012-01-20,41.49,42.05,41.37,42.05,220268,42.05
2012-01-23,42,42.23,41.62,41.92,144873,41.92
2012-01-24,41.64,41.78,41.23,41.45,164144,41.45
2012-01-25,41.31,42.01,41.01,41.97,395552,41.97
2012-01-26,42.14,42.28,41.7,42.28,143969,42.28
2012-01-27,42.34,42.34,41.47,41.91,230653,41.91
2012-01-30,41.61,41.61,41.22,41.33,145240,41.33
2012-01-31,41.47,41.58,41.1,41.51,221138,41.51
2012-02-01,41.75,41.85,41.42,41.69,134927,41.69
2012-02-02,41.64,41.85,41.56,41.59,147121,41.59
2012-02-03,41.86,42,41.44,41.55,179760,41.55
2012-02-06,41.31,41.52,41.25,41.25,170155,41.25
2012-02-07,41.02,41.86,41.02,41.65,132724,41.65
2012-02-08,41.77,41.84,41.32,41.69,159999,41.69
2012-02-09,41.65,41.89,41.58,41.8,167522,41.8
2012-02-10,41.51,41.56,41.19,41.56,177280,41.56
2012-02-13,41.65,41.91,41.21,41.21,127356,41.21
2012-02-14,41.08,41.38,40.83,41.19,119846,41.19
2012-02-15,40.95,41.05,40.62,40.75,125329,40.75
2012-02-16,40.9,41.31,40.88,41.22,160277,41.22
2012-02-17,41.21,41.42,41.15,41.4,563208,41.4
2012-02-21,41.74,41.74,41.07,41.1,159818,41.1
2012-02-22,40.9,41.37,40.19,41.16,139921,41.16
