DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,67.97,68.55,67.84,68,555697,68
2012-01-04,68.43,68.98,67.9,68.12,573316,68.12
2012-01-05,67.75,67.79,66.76,67.4,463252,67.4
2012-01-06,67.6,67.74,67.18,67.62,505469,67.62
2012-01-09,67.83,68.48,67.31,68.37,666733,68.37
2012-01-10,69.17,70.42,68.99,69.93,571895,69.93
2012-01-11,69.54,70.19,69.46,70.09,294146,70.09
2012-01-12,70.27,71.09,70.06,70.94,348629,70.94
2012-01-13,70.14,70.97,70.01,70.6,377384,70.6
2012-01-17,71.31,71.83,71.31,71.45,354787,71.45
2012-01-18,71.02,71.67,70.8,71.62,533908,71.62
2012-01-19,71.84,72.43,71.56,72.21,289081,72.21
2012-01-20,72.5,72.66,71.78,72.47,576032,72.47
2012-01-23,72.35,72.88,71.68,71.74,390452,71.74
2012-01-24,71.34,71.83,70.99,71.34,525421,71.34
2012-01-25,70.5,71.76,69.47,71.57,682932,71.57
2012-01-26,71.08,71.87,70.99,71.51,395928,71.51
2012-01-27,71.26,71.26,70.26,70.35,391338,70.35
2012-01-30,69.62,69.82,69.03,69.17,637171,69.17
2012-01-31,69.84,69.84,68.87,69.16,608198,69.16
2012-02-01,69.76,69.91,69.4,69.71,618247,69.71
2012-02-02,69.91,70,69.25,69.74,405418,69.74
2012-02-03,70,70.93,69.97,70.51,599279,70.51
2012-02-06,70.12,71.2,70.07,71.15,411369,71.15
2012-02-07,70.79,71.46,70.68,71.3,426453,71.3
2012-02-08,71.39,71.73,71.02,71.59,366489,71.59
2012-02-09,71.77,71.8,70.75,70.85,426998,70.85
2012-02-10,70.25,70.56,70.16,70.3,454108,70.3
2012-02-13,70.69,70.74,70.07,70.12,449745,70.12
2012-02-14,70,70.19,69.1,70.16,481273,70.16
2012-02-15,70.08,70.26,69.56,70.05,620460,70.05
2012-02-16,70.16,70.42,69.77,70.42,342524,70.42
2012-02-17,70.84,71.04,70.38,70.88,513700,70.88
2012-02-21,71.23,71.8,70.91,71.13,340599,71.13
2012-02-22,70.96,71.18,70.24,70.4,334657,70.4
2012-02-23,70.55,70.78,70.1,70.6,299942,70.6
2012-02-24,70.8,73.05,70.8,72.4,506685,72.4
2012-02-27,72.11,73.01,71.74,72.49,421425,72.49
2012-02-28,72.58,73.15,72.41,72.74,388644,72.74
2012-02-29,73,73.66,72.74,73.23,614990,73.23
2012-03-01,73.2,73.36,72.58,72.93,452754,72.93
2012-03-02,72.82,73,72.44,72.65,319996,72.65
2012-03-05,72.41,72.61,71.82,72.5,425478,72.5
2012-03-06,71.65,71.97,70.69,70.85,596360,70.85
2012-03-07,70.84,71.32,70.73,71.25,291903,71.25
2012-03-08,71.98,72.29,71.5,72.01,360605,72.01
2012-03-09,72.07,72.29,71.54,71.78,310668,71.78
2012-03-12,71.72,71.91,71.29,71.74,321063,71.74
2012-03-13,72.21,73.12,71.79,73.08,440398,73.08
2012-03-14,73.08,73.29,72.78,73.1,372466,73.1
2012-03-15,73.09,73.62,73.01,73.34,598669,73.34
2012-03-16,73.32,73.57,72.8,72.9,954141,72.9
2012-03-19,72.72,73.23,72.5,72.98,249510,72.98
2012-03-20,72.61,72.68,72.02,72.34,217216,72.34
2012-03-21,72.38,72.56,72.08,72.28,255288,72.28
2012-03-22,71.81,72.36,71.73,72.25,286864,72.25
2012-03-23,72.44,72.89,72.33,72.78,429083,72.78
2012-03-26,73.02,74.13,72.99,73.91,485426,73.91
2012-03-27,73.98,74.05,73.44,73.55,301444,73.55
2012-03-28,73.55,73.55,72.62,73.12,384234,73.12
2012-03-29,73,73,71.88,72.65,467693,72.65
2012-03-30,73.07,73.58,72.77,73.38,493996,73.38
2012-04-02,73.39,74.49,73.11,74.09,360593,74.09
2012-04-03,74,74.05,72.65,73.1,391374,73.1
2012-04-04,72.59,72.71,71.82,72.63,317982,72.63
2012-04-05,72.32,72.47,71.75,71.8,507146,71.8
2012-04-09,70.73,71.09,70.45,70.82,376244,70.82
2012-04-10,70.65,70.65,69.27,69.48,487485,69.48
2012-04-11,68.28,69.88,68.07,69.35,612254,69.35
2012-04-12,69.57,70.03,69.19,69.66,574399,69.66
2012-04-13,69.24,69.5,68.86,68.88,481163,68.88
2012-04-16,69.24,69.74,68.95,69.2,473991,69.2
2012-04-17,69.62,70.18,69.09,69.88,443943,69.88
2012-04-18,69.68,69.89,69.48,69.55,355708,69.55
2012-04-19,69.81,69.85,68.73,68.93,385131,68.93
2012-04-20,69.35,69.91,68.97,69.76,738292,69.76
2012-04-23,68.99,69.44,68.58,69.27,361499,69.27
2012-04-24,69.46,70.2,69.41,70.06,476113,70.06
2012-04-25,69.88,70.47,67.21,67.56,984633,67.56
2012-04-26,66.87,67.51,66.44,67.05,682103,67.05
2012-04-27,67.5,67.85,67.08,67.58,492570,67.58
2012-04-30,67.53,67.74,67.02,67.5,677643,67.5
2012-05-01,67.55,68.68,67.4,67.98,526203,67.98
2012-05-02,67.75,68.24,67.55,68.24,530670,68.24
2012-05-03,68.54,68.59,67.98,68.15,730941,68.15
2012-05-04,67.84,68,66.81,67.05,531165,67.05
2012-05-07,66.96,67.89,66.96,67.42,626484,67.42
2012-05-08,67.2,67.56,66.7,67.53,513324,67.53
