DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,14.8144,14.9504,14.659,14.8047,952949,14.8047
2012-01-04,14.6201,14.6493,14.3773,14.455,800095,14.455
2012-01-05,14.3579,14.6104,14.251,14.5716,616583,14.5716
2012-01-06,14.5716,14.5813,14.2899,14.387,547136,14.387
2012-01-09,14.4453,14.5133,14.251,14.3481,293653,14.3481
2012-01-10,14.4744,14.6396,14.4453,14.4744,477207,14.4744
2012-01-11,14.4064,14.6396,14.3773,14.5424,380838,14.5424
2012-01-12,14.6396,14.6396,14.3579,14.4161,418303,14.4161
2012-01-13,14.64,14.77,14.49,14.75,685601,14.75
2012-01-17,14.99,15.1,14.88,15.06,849320,15.06
2012-01-18,15.12,15.34,15.05,15.25,504143,15.25
2012-01-19,15.25,15.37,15.06,15.09,873923,15.09
2012-01-20,15.05,15.62,15.01,15.61,1148526,15.61
2012-01-23,15.5,15.55,15.25,15.37,561619,15.37
2012-01-24,15.32,15.63,15.24,15.63,621039,15.63
2012-01-25,15.56,15.97,15.51,15.81,552951,15.81
2012-01-26,15.95,16,15.72,15.93,533464,15.93
2012-01-27,15.9,16.02,15.76,15.96,625583,15.96
2012-01-30,15.8,15.83,15.68,15.77,503416,15.77
2012-01-31,15.8,15.89,15.68,15.78,1605916,15.78
2012-02-01,15.84,15.87,15.75,15.82,683155,15.82
2012-02-02,15.87,16.09,15.78,16.05,786728,16.05
2012-02-03,16.24,16.58,16.19,16.55,795162,16.55
2012-02-06,16.36,16.57,16.36,16.57,362196,16.57
2012-02-07,16.5,16.6,16.45,16.58,477235,16.58
2012-02-08,16.55,16.78,16.5,16.67,537324,16.67
2012-02-09,16.7,16.8,16.19,16.57,768058,16.57
2012-02-10,16.38,16.62,16.36,16.4,505521,16.4
2012-02-13,16.22,16.78,16.22,16.71,480796,16.71
2012-02-14,16.58,16.63,16.35,16.52,524166,16.52
2012-02-15,16.56,17.06,16.5,16.85,1055157,16.85
2012-02-16,16.85,17.06,16.83,17.02,658985,17.02
2012-02-17,17.05,17.06,16.72,16.79,979928,16.79
2012-02-21,16.8,16.81,16.37,16.5,460373,16.5
2012-02-22,16.42,16.6,16.16,16.19,476289,16.19
2012-02-23,16.17,16.68,16.17,16.64,613181,16.64
2012-02-24,16.72,16.81,16.55,16.73,527808,16.73
2012-02-27,16.59,16.85,16.46,16.75,517402,16.75
2012-02-28,16.89,16.91,16.5,16.52,697705,16.52
2012-02-29,16.59,16.67,16.24,16.27,2054171,16.27
2012-03-01,16.27,16.46,16.27,16.44,719919,16.44
2012-03-02,16.49,16.62,16.43,16.5,498153,16.5
2012-03-05,16.49,16.7,16.36,16.69,359971,16.69
2012-03-06,16.53,16.63,16.42,16.48,622091,16.48
2012-03-07,16.43,16.81,16.24,16.81,684127,16.81
2012-03-08,16.93,16.93,16.38,16.52,941380,16.52
2012-03-09,16.5,16.5,16.32,16.36,654140,16.36
2012-03-12,16.31,16.41,16.23,16.29,779976,16.29
2012-03-13,16.43,16.93,16.43,16.87,729940,16.87
2012-03-14,16.91,16.99,16.73,16.78,377165,16.78
2012-03-15,16.82,16.87,16.55,16.6,591774,16.6
2012-03-16,16.69,16.96,16.62,16.91,701419,16.91
2012-03-19,16.98,17,16.85,16.95,518912,16.95
2012-03-20,16.87,17.04,16.78,17.04,418707,17.04
2012-03-21,17.01,17.07,16.82,16.82,372737,16.82
2012-03-22,16.66,16.69,16.25,16.38,1038720,16.38
2012-03-23,16.41,16.68,16.27,16.63,430810,16.63
2012-03-26,16.85,16.85,16.7,16.8,692959,16.8
2012-03-27,16.75,16.95,16.74,16.81,588877,16.81
2012-03-28,16.74,16.81,16.45,16.7,801339,16.7
2012-03-29,16.53,16.81,16.36,16.79,536720,16.79
2012-03-30,16.88,16.99,16.73,16.99,1615970,16.99
2012-04-02,16.91,17.05,16.9,16.98,672148,16.98
2012-04-03,16.9,16.96,16.73,16.74,436070,16.74
2012-04-04,16.63,16.75,16.51,16.65,475472,16.65
2012-04-05,16.64,16.81,16.56,16.73,323812,16.73
2012-04-09,16.44,16.67,16.36,16.64,372009,16.64
2012-04-10,16.71,16.71,16.01,16.24,930249,16.24
2012-04-11,16.4,16.52,16.29,16.51,698794,16.51
2012-04-12,16.39,16.78,16.33,16.78,448716,16.78
2012-04-13,16.76,16.8,16.62,16.7,327536,16.7
2012-04-16,16.84,17,16.71,17,416959,17
