DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.75,20.99,20.68,20.93,6380568,20.93
2012-01-04,20.975,21.03,20.855,21.01,5985376,21.01
2012-01-05,21.02,21.485,21.005,21.26,5149386,21.26
2012-01-06,21.15,21.5475,21.1,21.395,4093374,21.395
2012-01-09,21.245,21.485,21.175,21.365,4017512,21.365
2012-01-10,21.55,22.52,21.47,22.125,7791656,22.125
2012-01-11,21.94,22.3,21.895,22.2,4690394,22.2
2012-01-12,22.19,22.485,21.985,22.45,4175324,22.45
2012-01-13,22.285,22.495,22,22.445,7274674,22.445
2012-01-17,22.5,23.245,22.435,23.13,8056432,23.13
2012-01-18,23.16,23.775,23.055,23.755,6707810,23.755
2012-01-19,23.64,23.74,23.395,23.605,7939106,23.605
2012-01-20,23.57,23.73,23.415,23.72,5735674,23.72
2012-01-23,23.57,23.72,23.515,23.685,6073506,23.685
2012-01-24,23.69,23.93,23.535,23.835,4340682,23.835
2012-01-25,23.715,24.24,23.715,24.145,5323966,24.145
2012-01-26,24.285,24.385,23.93,24.295,5433336,24.295
2012-01-27,24.29,24.49,24.17,24.36,4955280,24.36
2012-01-30,24.14,24.44,24.005,24.325,4711604,24.325
2012-01-31,24.22,24.44,24.185,24.42,4223568,24.42
2012-02-01,24.5,24.695,24.435,24.58,4561232,24.58
2012-02-02,24.375,24.81,24.195,24.655,4545964,24.655
2012-02-03,26.71,27.45,26.5,27.3475,20493248,27.3475
2012-02-06,27.12,28.245,27.12,28.0125,10939528,28.0125
2012-02-07,27.535,27.94,27.33,27.5375,8106444,27.5375
2012-02-08,27.28,27.445,26.9175,27.135,6399110,27.135
2012-02-09,27.125,27.175,26.775,26.865,3874932,26.865
2012-02-10,26.795,26.965,26.71,26.88,3564928,26.88
2012-02-13,26.91,27.485,26.875,27.45,3916334,27.45
2012-02-14,27.13,27.445,27.08,27.2775,3649724,27.2775
2012-02-15,27.45,27.455,27.035,27.41,3249218,27.41
2012-02-16,27.485,27.625,27.255,27.405,5207630,27.405
2012-02-17,22.965,23.94,22.8,23.5,28915196,23.5
2012-02-21,23.275,23.36,22.295,22.3475,9466134,22.3475
2012-02-22,22.11,22.505,21.905,22.265,7991820,22.265
