DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.79,21.18,20.75,21.05,1549259,21.05
2012-01-04,21.05,21.37,20.75,21.15,1639070,21.15
2012-01-05,21.13,22.29,20.96,22.17,3718506,22.17
2012-01-06,22.28,23.03,22.24,22.92,3666500,22.92
2012-01-09,23.24,23.43,22.71,22.84,2769252,22.84
2012-01-10,23.24,23.4,22.78,23.24,2577381,23.24
2012-01-11,23.49,24.63,23.34,24.47,5010982,24.47
2012-01-12,24.4,24.82,23.77,24.67,2916239,24.67
2012-01-13,24.25,24.65,23.92,24.29,2817364,24.29
2012-01-17,24.67,24.67,24.17,24.2,2134340,24.2
2012-01-18,24.27,24.58,24.02,24.51,1874722,24.51
2012-01-19,24.7,24.98,24.45,24.82,2301328,24.82
2012-01-20,24.95,25.1,24.84,25,1927303,25
2012-01-23,25.11,25.25,24.79,24.92,1676626,24.92
2012-01-24,24.77,24.93,24.5,24.79,1892187,24.79
2012-01-25,24.95,25.01,24.38,24.92,2702814,24.92
2012-01-26,25.15,25.49,24.6,24.72,2034495,24.72
2012-01-27,23.8,24.54,23.33,24.37,2944104,24.37
2012-01-30,24.09,24.57,23.95,24.23,1780500,24.23
2012-01-31,24.58,24.58,23.95,24.02,2653042,24.02
2012-02-01,24.29,24.58,24.07,24.37,2319212,24.37
2012-02-02,24.65,24.69,24.3,24.31,1515746,24.31
2012-02-03,25,26.43,24.79,26.18,4440763,26.18
2012-02-06,26.5,26.82,25.96,26.7,3579457,26.7
2012-02-07,26.6,26.61,26.16,26.22,2030825,26.22
2012-02-08,26.3,26.42,25.58,25.75,3421225,25.75
2012-02-09,25.99,26.21,25.5,25.74,1479116,25.74
2012-02-10,25.47,25.52,25.25,25.5,2198517,25.5
2012-02-13,25.99,26,25.21,25.34,2008491,25.34
2012-02-14,25.29,25.45,25.01,25.4,1902272,25.4
2012-02-15,25.7,25.75,24.9,24.93,3120865,24.93
2012-02-16,25.3,27.26,25.27,27.17,6747877,27.17
2012-02-17,27.12,27.67,27.01,27.34,3679450,27.34
2012-02-21,27.25,27.54,26.99,27.06,1777897,27.06
2012-02-22,27.1,27.12,26.54,26.55,2553132,26.55
2012-02-23,26.75,27.26,26.26,26.79,2033370,26.79
2012-02-24,26.9,26.95,26.06,26.07,2318461,26.07
2012-02-27,26.07,26.55,25.57,26.46,2113312,26.46
2012-02-28,26.53,26.53,26.1,26.14,1690915,26.14
2012-02-29,26.08,26.55,25.92,26.02,2848237,26.02
2012-03-01,26.18,26.8,26.15,26.47,1999737,26.47
2012-03-02,26.52,26.75,26.36,26.45,1959480,26.45
2012-03-05,26.29,26.4,25.8,26,1694594,26
2012-03-06,25.27,25.3,24.39,24.58,4266691,24.58
2012-03-07,24.8,25.2,24.75,24.88,1388087,24.88
2012-03-08,25.47,25.59,25.1,25.46,2232806,25.46
2012-03-09,25.65,25.81,25.39,25.62,1360209,25.62
2012-03-12,25.65,25.71,25.15,25.39,1030891,25.39
2012-03-13,25.61,26.09,25.33,26.07,1596870,26.07
2012-03-14,26.1,26.59,26,26.32,2386701,26.32
2012-03-15,26.4,26.58,25.88,26.05,2186831,26.05
2012-03-16,26,26.02,25.26,25.57,2603710,25.57
2012-03-19,25.44,25.7,25.25,25.39,1516531,25.39
2012-03-20,25,25.42,24.6,25.09,2303035,25.09
2012-03-21,25.22,25.48,25.1,25.29,1400488,25.29
2012-03-22,25,25.26,24.88,25.05,1349401,25.05
2012-03-23,25.07,25.31,24.77,25.17,1510284,25.17
2012-03-26,25.26,25.62,25.14,25.58,2284642,25.58
2012-03-27,25.53,25.85,25.35,25.35,1584620,25.35
2012-03-28,25.4,25.48,25.03,25.15,1035664,25.15
2012-03-29,25.02,25.36,24.95,25.31,2198420,25.31
2012-03-30,25.49,25.78,25.11,25.65,1766724,25.65
2012-04-02,26,26.9,25.98,26.76,2944616,26.76
2012-04-03,26.71,27.02,25.27,25.54,4680490,25.54
2012-04-04,25.06,25.39,24.9,25.1,2163111,25.1
2012-04-05,25.07,25.18,24.63,24.81,1691134,24.81
2012-04-09,24.3,24.32,24.04,24.2,1593401,24.2
2012-04-10,24.11,24.11,23.29,23.71,2767403,23.71
2012-04-11,23.86,24.27,23.82,24.03,2150448,24.03
2012-04-12,24.01,24.49,24,24.3,1096185,24.3
2012-04-13,24.29,24.29,23.62,23.8,2008455,23.8
2012-04-16,23.79,23.89,23.36,23.42,1713850,23.42
2012-04-17,23.55,24.53,23.55,24.04,2312455,24.04
2012-04-18,23.9,24.29,23.75,24.15,1585516,24.15
2012-04-19,24.09,24.87,23.87,24.01,2309431,24.01
2012-04-20,24,24.06,23.52,23.6,2638351,23.6
2012-04-23,23.2,23.3,22.9,22.95,3459988,22.95
2012-04-24,22.96,23.4,22.88,22.89,2071528,22.89
2012-04-25,23.19,23.35,22.89,23.31,1251715,23.31
2012-04-26,23.3,23.75,23.23,23.72,1596624,23.72
2012-04-27,23.8,24.09,23.35,23.53,1842158,23.53
2012-04-30,23.43,23.45,22.81,23,1652100,23
2012-05-01,23,23.47,22.6,23.31,1806875,23.31
2012-05-02,23.23,23.25,22.64,22.93,2727603,22.93
2012-05-03,23.16,23.19,22.2,22.37,3986313,22.37
2012-05-04,22.25,22.41,21.82,22.36,2500823,22.36
2012-05-07,21.85,22.5,21.85,22.41,2253985,22.41
2012-05-08,22.24,22.35,21.87,22.23,2539999,22.23
2012-05-09,21.9,22.8,21.85,22.44,2468945,22.44
2012-05-10,22.75,22.89,22.34,22.37,1925265,22.37
2012-05-11,22.02,22.53,21.98,22,1846968,22
2012-05-14,21.75,21.96,21.6,21.63,2305294,21.63
2012-05-15,21.57,21.83,21.34,21.42,1941984,21.42
2012-05-16,22.06,22.61,21.85,21.91,2962084,21.91
2012-05-17,22.04,22.27,21.55,21.61,3438626,21.61
2012-05-18,21.53,21.69,21.09,21.18,2262533,21.18
2012-05-21,21.27,21.68,21.27,21.54,1410644,21.54
2012-05-22,21.69,21.89,21.35,21.5,1623734,21.5
2012-05-23,21.45,22.2,21.35,22.13,2235045,22.13
2012-05-24,22.07,22.13,21.82,22.04,1401657,22.04
2012-05-25,22.07,22.45,22,22.44,1285056,22.44
2012-05-29,22.75,22.93,22.62,22.85,2211597,22.85
2012-05-30,22.36,22.42,21.99,22.37,1499586,22.37
2012-05-31,22.33,22.41,22,22.2,1555159,22.2
2012-06-01,21.77,23.34,21.45,22.01,6432328,22.01
2012-06-04,22.02,22.02,20.67,21.11,3405183,21.11
2012-06-05,21.01,21.47,21,21.25,1245663,21.25
2012-06-06,21.43,21.94,21.34,21.83,1265659,21.83
2012-06-07,22.12,22.37,21.77,21.85,1375103,21.85
2012-06-08,21.74,22.09,21.5,22.05,801939,22.05
2012-06-11,22.2,22.29,21.91,21.92,1382735,21.92
2012-06-12,21.92,22.19,21.7,22.17,1308973,22.17
2012-06-13,22.03,22.16,21.75,21.87,1805399,21.87
2012-06-14,21.86,21.99,21.58,21.8,1196347,21.8
2012-06-15,21.76,21.79,21.42,21.74,1604183,21.74
2012-06-18,21.54,21.72,21.38,21.43,1225465,21.43
2012-06-19,21.47,22,21.4,21.74,1580732,21.74
2012-06-20,21.79,21.81,21.28,21.48,2164279,21.48
2012-06-21,21.46,21.48,20.6,20.64,1984578,20.64
2012-06-22,20.89,20.93,20.46,20.6,1989014,20.6
2012-06-25,20.25,20.39,19.91,19.91,1975824,19.91
2012-06-26,19.94,20.04,19.62,19.85,1699819,19.85
2012-06-27,19.86,19.98,19.62,19.66,1715186,19.66
2012-06-28,19.61,19.92,19.49,19.82,1706891,19.82
2012-06-29,19.96,19.97,19.24,19.72,3523246,19.72
2012-07-02,19.72,19.72,19.3,19.57,1343661,19.57
2012-07-03,19.8,21.12,19.67,20.67,2049493,20.67
2012-07-05,20.81,21.21,20.54,20.54,1801851,20.54
2012-07-06,20.43,20.59,20.06,20.31,1394719,20.31
