DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,6.72,6.99,6.72,6.84,1490370,6.84
2012-01-04,6.79,6.8,6.57,6.75,1244152,6.75
2012-01-05,6.67,7.05,6.58,6.96,1242334,6.96
2012-01-06,6.9399999999999995,6.99,6.75,6.77,908185,6.77
2012-01-09,6.76,6.87,6.73,6.77,858785,6.77
2012-01-10,6.93,7.33,6.92,7.27,1176083,7.27
2012-01-11,7.22,7.82,7.18,7.8,1828866,7.8
2012-01-12,7.96,7.96,7.5,7.72,1437090,7.72
2012-01-13,7.58,7.6,7.3,7.51,1505520,7.51
2012-01-17,7.65,7.68,7.44,7.53,1420698,7.53
2012-01-18,7.52,7.89,7.46,7.82,1105051,7.82
2012-01-19,7.92,8.33,7.92,8.17,1507359,8.17
2012-01-20,8.17,8.24,8.06,8.24,1299752,8.24
2012-01-23,8.21,8.44,8.15,8.22,777232,8.22
2012-01-24,8.06,8.29,8,8.24,1266991,8.24
2012-01-25,8.21,8.25,7.98,8.06,1804828,8.06
2012-01-26,8.2,8.25,7.65,7.8,1394884,7.8
2012-01-27,7.7,7.9,7.58,7.83,1285757,7.83
2012-01-30,7.71,7.77,7.54,7.65,1076169,7.65
2012-01-31,7.71,8.04,7.6,7.71,1524281,7.71
2012-02-01,7.9,8.07,7.77,7.99,1148748,7.99
2012-02-02,8.08,8.15,7.97,8.04,1075286,8.04
2012-02-03,8.8,9.61,8.79,9.17,3849609,9.17
2012-02-06,9.09,9.19,8.83,8.94,1453122,8.94
2012-02-07,8.94,9,8.78,8.95,1057523,8.95
2012-02-08,8.96,8.99,8.84,8.9,1193516,8.9
2012-02-09,8.96,9.02,8.83,8.91,1997353,8.91
2012-02-10,8.7,8.92,8.52,8.74,1482881,8.74
2012-02-13,8.91,9.06,8.78,9.04,1510692,9.04
2012-02-14,8.98,9,8.72,8.88,1477607,8.88
2012-02-15,8.99,9.01,8.78,8.82,1122603,8.82
2012-02-16,8.82,9.06,8.67,9.02,1751994,9.02
2012-02-17,9.1,9.25,9.01,9.22,1664341,9.22
2012-02-21,9.23,9.68,9.22,9.54,1945979,9.54
2012-02-22,9.44,9.49,9.14,9.2,1128946,9.2
2012-02-23,9.21,9.48,9.15,9.34,840622,9.34
2012-02-24,9.34,9.38,9.13,9.14,706084,9.14
2012-02-27,8.97,9.14,8.8,9.03,1161898,9.03
2012-02-28,9.04,9.09,8.93,8.96,811578,8.96
2012-02-29,9.03,9.29,9.03,9.09,1319379,9.09
2012-03-01,9.09,9.27,9.05,9.1,1221549,9.1
2012-03-02,9.12,9.19,8.93,8.96,999746,8.96
2012-03-05,8.96,9,8.82,8.91,1154857,8.91
2012-03-06,8.73,8.74,8.52,8.57,1004307,8.57
2012-03-07,8.65,8.73,8.58,8.68,1268991,8.68
2012-03-08,8.82,9.1,8.74,8.91,1563191,8.91
2012-03-09,8.95,8.98,8.82,8.9,1925673,8.9
2012-03-12,8.88,8.94,8.71,8.81,927884,8.81
2012-03-13,8.88,9.08,8.79,9.04,2359440,9.04
2012-03-14,9.08,9.11,8.87,8.9,1878417,8.9
2012-03-15,8.95,9.32,8.86,9.32,2114495,9.32
2012-03-16,9.36,9.49,9.07,9.15,2411254,9.15
2012-03-19,9.09,9.31,9.01,9.15,982746,9.15
2012-03-20,9.05,9.11,8.91,9.08,1051466,9.08
2012-03-21,9.11,9.16,8.88,8.88,1163948,8.88
