DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2014-03-27,572.84,572.84,552.92,558.11,3576,558.11
2014-03-28,561.25,566.25,559.4,560,11488,560
2014-03-31,607.84,607.84,556.9,556.9,2773,556.9
2014-04-01,558.71,567.57,558.71,567.57,1403,567.57
2014-04-02,599.99,604.83,562.19,567,31574,567
2014-04-03,569.85,587.28,564.24,569.74,1313840,569.74
2014-04-04,574.65,576.44,543.02,543.14,1998257,543.14
2014-04-07,540.74,548.43,527.15,538.15,1381704,538.15
2014-04-08,542.48,555,541.8,554.9,957711,554.9
2014-04-09,559.62,565.37,552.95,564.14,1068663,564.14
2014-04-10,564.99,565,539.9,540.95,1434919,540.95
2014-04-11,532.54,539.99,526.8,530.6,1133993,530.6
2014-04-14,538,544.07,529.6,532.52,762950,532.52
2014-04-15,537.25,538.45,518.68,536.44,979434,536.44
2014-04-16,542.76,556.91,540.12,556.54,1409171,556.54
2014-04-17,548.81,549.41,531.19,536.1,1816565,536.1
2014-04-21,536.1,536.7,525.6,528.62,773634,528.62
2014-04-22,528.64,537.23,527.59,534.81,682076,534.81
2014-04-23,533.79,533.8,526.25,526.94,514336,526.94
2014-04-24,530.01,531.5,522.15,525.16,521839,525.16
2014-04-25,522.51,524.4,515.42,516.18,572276,516.18
2014-04-28,517.21,518.36,502.8,517.15,884542,517.15
2014-04-29,517,529.4,516.37,527.7,805293,527.7
2014-04-30,527.6,527.99,522.55,526.66,532646,526.66
2014-05-01,527.53,532.83,524,531.35,513725,531.35
2014-05-02,533.76,533.76,525.66,527.93,574173,527.93
2014-05-05,524.73,528.82,521.45,527.81,281897,527.81
2014-05-06,525.25,526.36,515.11,515.14,504785,515.14
2014-05-07,515.17,516.39,503.3,509.96,853957,509.96
2014-05-08,508.46,517.23,506.45,511,552555,511
2014-05-09,510.75,519.89,504.42,519.03,640012,519.03
2014-05-12,523.51,530.17,519.04,529.92,555339,529.92
2014-05-13,530.45,536,529.82,533.09,444612,533.09
2014-05-14,531.95,532.94,525.3,526.65,340988,526.65
2014-05-15,525.7,525.87,517.5,519.98,586388,519.98
2014-05-16,521.55,521.67,515.47,520.63,547431,520.63
2014-05-19,519.7,529.72,517.68,528.86,401360,528.86
2014-05-20,529.74,536.18,526.34,529.77,599316,529.77
2014-05-21,532.9,539.18,531.91,538.94,383876,538.94
2014-05-22,541.13,547.525,540.78,545.06,477548,545.06
2014-05-23,547.26,553.6,543.7,552.7,702900,552.7
2014-05-27,556.81,565.96,554.62,565.95,689316,565.95
2014-05-28,564.57,567.84,561,561.68,491435,561.68
2014-05-29,563.35,563.92,558.9,560.08,443873,560.08
2014-05-30,560.8,561.33,556,560.98,710135,560.98
2014-06-02,560.03,560.25,545.89,553.93,481735,553.93
2014-06-03,550.99,552.21,542.55,544.94,545952,544.94
2014-06-04,541.5,548.61,538.75,544.66,489727,544.66
2014-06-05,545.3,554.93,544.66,553.9,545198,553.9
2014-06-06,558.06,558.06,548.93,556.33,640670,556.33
2014-06-09,557.15,562.84,556.14,562.12,429259,562.12
2014-06-10,560.51,563.57,558,560.55,535549,560.55
2014-06-11,558,559.82,555.19,558.58,326482,558.58
2014-06-12,557.4,557.49,548.57,551.35,473534,551.35
2014-06-13,552.26,552.26,545.61,551.76,429775,551.76
2014-06-16,549.26,549.6,541.52,544.28,601776,544.28
2014-06-17,544.2,545.21,539.47,543.01,462632,543.01
2014-06-18,544.86,553.56,544,553.37,628803,553.37
2014-06-19,553.87,554.95,548.56,554.9,740762,554.9
2014-06-20,556.85,557.58,550.5,557.57,2434744,557.57
2014-06-23,555,565,554.3,564.95,614290,564.95
2014-06-24,565.19,572.54,561.04,564.62,717612,564.62
2014-06-25,565.26,579.93,565.26,578.65,524748,578.65
2014-06-26,581,582.42,571.91,576,453764,576
2014-06-27,577.18,579.8,573.91,576.6,889247,576.6
2014-06-30,578.66,579.22,574.85,575.28,469125,575.28
2014-07-01,578.35,584.3,576.65,582.67,423468,582.67
2014-07-02,583.35,585.14,580.46,582.36,314058,582.36
2014-07-03,583.35,585,581.1,584.73,285516,584.73
2014-07-07,583.76,586,579.61,582.25,342065,582.25
2014-07-08,577.75,579.34,566.19,570.71,659095,570.71
2014-07-09,571.58,576.67,569.61,576.08,354340,576.08
2014-07-10,566.85,576.45,565.05,571.1,372937,571.1
2014-07-11,572.15,580.85,571.46,579.18,516603,579.18
2014-07-14,582.85,585.14,578.03,584.87,688380,584.87
