DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,62.37,62.43,61.38,61.71,445352,61.71
2012-01-04,61.65,62.09,61.46,61.73,357451,61.73
2012-01-05,61.45,62.15,61.04,62,388322,62
2012-01-06,62.16,62.31,61.55,61.78,319394,61.78
2012-01-09,61.77,62.2,60.85,62.05,473467,62.05
2012-01-10,62.63,63.3,62.59,62.81,329548,62.81
2012-01-11,62.59,63.11,62.57,62.87,105238,62.87
2012-01-12,62.86,63.03,62.16,62.95,174119,62.95
2012-01-13,62.7,62.99,62.15,62.7,381996,62.7
2012-01-17,63.48,63.65,62.82,62.9,156816,62.9
2012-01-18,62.99,64.02,62.6,64.02,241238,64.02
2012-01-19,64.16,65.38,64.14,64.88,248030,64.88
2012-01-20,65.04,65.14,63.79,64.15,301215,64.15
2012-01-23,64.39,65.15,63.95,64.27,167814,64.27
2012-01-24,63.98,64.62,63.8,64.6,138897,64.6
2012-01-25,64.55,64.6,63.65,64.49,157806,64.49
2012-01-26,64.7,65,64.22,64.66,148295,64.66
2012-01-27,64.26,64.76,64.18,64.37,165835,64.37
2012-01-30,64.13,64.3,63.53,64.26,136284,64.26
2012-01-31,64.69,64.72,63.4,63.78,296967,63.78
2012-02-01,64.26,64.44,63.8,64.25,207770,64.25
2012-02-02,64.29,64.79,63.82,64,190919,64
2012-02-03,64.65,64.69,64.09,64.17,265041,64.17
2012-02-06,64,65,64,64.5,212165,64.5
2012-02-07,64.17,64.74,64.13,64.57,202545,64.57
2012-02-08,64.54,64.7,64.06,64.48,173093,64.48
2012-02-09,64.62,64.81,64.14,64.69,130041,64.69
2012-02-10,64.1,64.9,64.1,64.89,190947,64.89
2012-02-13,65.18,65.26,64.56,64.82,179565,64.82
2012-02-14,64.65,65.07,64.19,64.7,160977,64.7
2012-02-15,64.88,64.88,63.87,63.89,148635,63.89
2012-02-16,64.09,65.61,63.86,65.59,242563,65.59
2012-02-17,66.11,66.43,65.47,65.58,469999,65.58
2012-02-21,66.26,66.42,62.7,63.81,417699,63.81
2012-02-22,62.7,63.34,61.75,62.92,360854,62.92
2012-02-23,62.74,62.88,61.69,62.27,382610,62.27
2012-02-24,62.3,62.61,61.8,62.23,261214,62.23
2012-02-27,62,62.55,61.77,62.21,282717,62.21
2012-02-28,61.91,62.68,61.91,62.6,324235,62.6
2012-02-29,62.45,62.99,62.4,62.68,344213,62.68
2012-03-01,62.66,63.17,62.59,62.97,283286,62.97
