DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,18.84,18.9,18.49,18.55,1085974,18.55
2012-01-04,18.48,19.03,18.48,18.88,1248360,18.88
2012-01-05,18.37,18.46,17.76,18.27,2030444,18.27
2012-01-06,18.16,18.36,17.98,18,1041883,18
2012-01-09,17.92,18.09,17.76,18.06,1051749,18.06
2012-01-10,18.06,18.23,17.93,18.14,965463,18.14
2012-01-11,18.06,18.1,17.8,17.94,760673,17.94
2012-01-12,18,18.19,17.82,18.14,1105087,18.14
2012-01-13,18.05,18.39,18.02,18.26,865874,18.26
2012-01-17,18.57,18.63,18.24,18.26,764489,18.26
2012-01-18,18.23,18.67,18.17,18.64,1007389,18.64
2012-01-19,18.67,19.67,18.6,19.37,2822325,19.37
2012-01-20,19.44,19.44,18.43,18.63,2275860,18.63
2012-01-23,18.6,18.81,18.46,18.68,1421859,18.68
2012-01-24,18.54,18.66,18.4,18.63,1143233,18.63
2012-01-25,18.63,19.05,18.57,19,1256194,19
2012-01-26,19.02,19.17,18.68,18.78,978147,18.78
2012-01-27,18.74,19,18.68,18.93,792855,18.93
2012-01-30,18.81,18.9,18.53,18.83,799199,18.83
2012-01-31,18.9,19.19,18.77,18.98,1442209,18.98
2012-02-01,19.12,19.55,19.09,19.45,1241819,19.45
2012-02-02,20.9,21.65,20.76,21.52,3873444,21.52
2012-02-03,21.5,21.86,21.33,21.71,1795582,21.71
2012-02-06,21.53,21.68,21.37,21.67,1248792,21.67
2012-02-07,21.62,21.88,21.48,21.68,990224,21.68
2012-02-08,21.6,21.65,21.23,21.28,1524569,21.28
2012-02-09,21.33,21.45,21.15,21.41,906172,21.41
2012-02-10,21.31,21.59,21.24,21.59,902684,21.59
2012-02-13,21.67,21.77,21.5,21.72,721055,21.72
2012-02-14,22,22.53,22,22.34,2083272,22.34
2012-02-15,22.48,22.72,22.29,22.4,1360294,22.4
2012-02-16,22.43,22.69,22.3,22.45,793736,22.45
2012-02-17,22.53,22.87,22.47,22.72,1028150,22.72
2012-02-21,22.81,22.96,22.69,22.83,1005417,22.83
2012-02-22,22.9,23.1,22.82,22.98,844853,22.98
2012-02-23,22.88,23.57,22.76,23.52,1984384,23.52
2012-02-24,22.91,23.2,22.35,22.57,1737080,22.57
2012-02-27,22.56,23.16,22.53,23.07,1262197,23.07
2012-02-28,23.03,23.76,22.99,23.71,1380766,23.71
2012-02-29,23.67,23.71,23.35,23.36,3950067,23.36
2012-03-01,25.4,26,24.86,25.05,4353841,25.05
2012-03-02,24.74,24.97,24.39,24.41,1700983,24.41
2012-03-05,24.32,24.67,24.17,24.61,1204778,24.61
2012-03-06,24.29,24.49,24.18,24.27,1009128,24.27
2012-03-07,24.34,24.58,24.26,24.52,853055,24.52
2012-03-08,24.61,25.19,24.54,24.89,1268580,24.89
2012-03-09,24.94,25.25,24.88,25,889390,25
2012-03-12,24.84,25.15,24.83,25.09,842410,25.09
2012-03-13,25.2,25.47,25.1,25.45,692256,25.45
2012-03-14,25.48,25.57,25.16,25.44,669920,25.44
2012-03-15,25.19,25.67,25.07,25.64,912139,25.64
2012-03-16,25.4,25.49,25.04,25.39,2723592,25.39
2012-03-19,25.6,26.13,25.55,26.08,2034085,26.08
2012-03-20,25.66,26.29,25.63,26.13,1304479,26.13
2012-03-21,26.1,26.34,25.96,26.06,1102439,26.06
2012-03-22,25.91,26.28,25.8,26.24,846968,26.24
2012-03-23,26.39,26.49,25.91,26.46,1271320,26.46
2012-03-26,26.52,26.89,26.52,26.87,1135915,26.87
2012-03-27,26.85,26.88,26.63,26.68,1021734,26.68
2012-03-28,26.68,26.69,25.92,26.26,1327369,26.26
2012-03-29,26.19,26.31,25.82,26.1,1202958,26.1
2012-03-30,26.96,26.97,26.14,26.14,2112571,26.14
2012-04-02,26.3,26.75,26.26,26.44,2144704,26.44
2012-04-03,25.78,26.44,25.78,26.05,2708032,26.05
2012-04-04,26.2,26.71,25.98,26.65,3091130,26.65
2012-04-05,26.45,26.85,26.25,26.45,2380819,26.45
2012-04-09,26.02,26.26,25.91,26.12,1317187,26.12
