DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,92.97,96.43,92.85,95.36,2151294,95.36
2012-01-04,94.72,95.13,93.69,94.74,1577661,94.74
2012-01-05,93.7,95.8,92.5,94.58,1871552,94.58
2012-01-06,93.8,93.94,92.42,93.42,1476324,93.42
2012-01-09,93.49,95.11,92.97,94.69,1106450,94.69
2012-01-10,97.29,99.48,97.04,98.33,2001521,98.33
2012-01-11,97.99,100.62,97.5,99.76,1455636,99.76
2012-01-12,100.72,101.45,98.26,101.21,1551969,101.21
2012-01-13,98.05,99.43,97,98.96,1704985,98.96
2012-01-17,98.83,101.81,96.96,97.68,1575341,97.68
2012-01-18,99,105.83,97.8,104.31,3344921,104.31
2012-01-19,106.35,108.3,104.88,107.68,1816112,107.68
2012-01-20,107.35,109.41,106.6,108.74,1722176,108.74
2012-01-23,108.72,110.9,107.53,108.19,1223147,108.19
2012-01-24,106.55,109.1,106.27,108.87,870372,108.87
2012-01-25,106.08,108.91,105.93,108.27,2022411,108.27
2012-01-26,108.52,110.3,108.03,108.56,1607477,108.56
2012-01-27,107.71,112.18,107.64,111.77,2229912,111.77
2012-01-30,110.22,110.37,108.79,109.73,1315178,109.73
2012-01-31,110.7,112.5,109.17,111.47,2171953,111.47
2012-02-01,112.68,116.61,112.28,113.45,2532625,113.45
2012-02-02,114.5,115.4,112.71,113.39,1410242,113.39
2012-02-03,115.51,117.57,115.43,117.53,1552611,117.53
2012-02-06,116.62,117.59,116.61,117.39,864928,117.39
2012-02-07,116.77,116.96,115.33,115.98,1545788,115.98
2012-02-08,116.5,117.03,114.54,116.15,839916,116.15
2012-02-09,117.17,117.37,115.05,115.88,871155,115.88
2012-02-10,114.49,115.65,113.29,114.12,1237049,114.12
2012-02-13,115.87,116.06,113.98,114.53,807459,114.53
2012-02-14,113.54,113.85,111.4,112.87,1065506,112.87
2012-02-15,113.28,115.25,112.91,113.17,1263179,113.17
2012-02-16,112.2,114.98,111.62,114.74,1177892,114.74
2012-02-17,115.66,116.65,114.83,115.91,1224031,115.91
2012-02-21,116.25,117.91,115.93,116.63,1355150,116.63
2012-02-22,116.22,117.13,114.33,114.36,882786,114.36
2012-02-23,114.6,115.82,113.24,115.8,1081058,115.8
2012-02-24,116.28,116.95,115.12,115.87,880030,115.87
2012-02-27,114.53,116.64,113.95,116.23,968917,116.23
2012-02-28,116,118.66,115.26,117.11,1162750,117.11
2012-02-29,116.63,118.12,115.14,115.14,1585942,115.14
2012-03-01,116,121.24,115.94,121.13,2468343,121.13
2012-03-02,121.48,122.18,119.86,119.96,1321470,119.96
2012-03-05,119.6,119.8,117.51,118.63,976666,118.63
2012-03-06,116,116.19,113.13,113.67,1756534,113.67
2012-03-07,114.68,116.72,114.34,116.4,1206378,116.4
2012-03-08,117.78,118.65,116.09,117.17,926420,117.17
2012-03-09,117.62,118.49,116.24,117.29,988747,117.29
2012-03-12,117.62,117.65,116.29,116.99,876349,116.99
2012-03-13,118.5,124.85,118.49,124.54,2786702,124.54
2012-03-14,124.87,124.87,119.83,120.37,2348247,120.37
2012-03-15,121.18,123.55,120.25,123.06,1402051,123.06
2012-03-16,123,123.5,121.06,122.93,2627459,122.93
2012-03-19,123,125.98,122.26,124.3,1649611,124.3
2012-03-20,123.7,127.86,123.33,126.02,1363804,126.02
2012-03-21,126.57,127.5,124.51,125.99,1065318,125.99
2012-03-22,124.5,125.57,124.1,124.74,1143691,124.74
2012-03-23,125.68,126.8,124.52,126.18,1324046,126.18
2012-03-26,127.26,128.2,126.48,128.07,1133547,128.07
2012-03-27,128.59,128.7,126.21,126.33,1323843,126.33
2012-03-28,126,127.24,124.09,126.36,1102866,126.36
2012-03-29,125.88,126.57,122.9,123.76,1394656,123.76
2012-03-30,124.51,125.46,122.94,124.37,1210045,124.37
2012-04-02,124.14,125.54,123.4,124.9,1030742,124.9
2012-04-03,124.28,124.29,121.7,122.71,1401635,122.71
2012-04-04,120.81,121.63,119.87,119.96,1365461,119.96
2012-04-05,119.25,120.58,117.64,118,1158255,118
2012-04-09,115.74,117.97,115.67,117.02,823124,117.02
2012-04-10,117.18,118.21,114.45,114.56,1218871,114.56
2012-04-11,116.3,117.01,115.56,115.93,1049498,115.93
2012-04-12,116.41,120.41,116,120.39,1142326,120.39
2012-04-13,120,120.09,114.9,115.09,1536370,115.09
2012-04-16,116.96,118.41,114.99,117.73,1663025,117.73
2012-04-17,119.5,119.77,116.24,116.86,2155601,116.86
2012-04-18,114.73,116.79,114.27,115.33,1121768,115.33
2012-04-19,115.17,115.35,112.47,113.6,2093869,113.6
2012-04-20,113.88,114.14,112.32,112.44,1428620,112.44
2012-04-23,110.67,111.94,110.08,111.75,1733438,111.75
2012-04-24,111.69,114.25,111.08,114.11,994079,114.11
2012-04-25,114.82,114.98,112.72,113.98,1076932,113.98
2012-04-26,113.21,115.55,113.1,114.56,1108300,114.56
2012-04-27,114.74,114.98,113.34,114.41,810153,114.41
2012-04-30,114.19,115.28,113.62,115.15,897157,115.15
2012-05-01,114.84,116.46,114.15,115.33,827393,115.33
2012-05-02,113.9,114.46,112.8,113.77,972987,113.77
2012-05-03,114,114.25,110.81,111.53,926120,111.53
2012-05-04,110.9,110.9,108.8,108.99,1136342,108.99
2012-05-07,108.8,110.85,108.34,110.04,759631,110.04
2012-05-08,108.81,110.19,107.77,109.37,1003007,109.37
2012-05-09,107.3,108.64,106.66,107.29,951908,107.29
2012-05-10,108.64,109.35,106.12,106.32,1377668,106.32
2012-05-11,103.31,103.79,101.59,102.13,2221490,102.13
2012-05-14,100.81,100.91,99.33,99.77,2653999,99.77
2012-05-15,100.11,101.76,99.78,99.87,1282604,99.87
2012-05-16,100.35,102.14,98.2,98.2,1383868,98.2
2012-05-17,98.54,99.92,97.08,97.08,1399076,97.08
2012-05-18,97.5,97.89,95,95.49,2474382,95.49
2012-05-21,94.89,97.54,94,96.51,1220601,96.51
2012-05-22,96.74,99.94,96.62,97.53,1320612,97.53
2012-05-23,96.54,98.51,95.51,98.04,1508880,98.04
2012-05-24,98.5,98.5,95.84,96.86,1510229,96.86
2012-05-25,96.66,97.75,96.53,96.7,651800,96.7
2012-05-29,96.87,97.86,95.4,97.86,1042800,97.86
2012-05-30,96.38,96.9,94.42,94.61,1242214,94.61
2012-05-31,95.24,96.65,93.77,95.7,1341879,95.7
2012-06-01,94.06,94.1,92.19,92.64,1262149,92.64
2012-06-04,92.76,93.02,90.57,91,1494632,91
2012-06-05,90.96,93,90.71,92.21,1020008,92.21
2012-06-06,93.12,95.07,92.92,94.96,1449165,94.96
2012-06-07,96.91,97.5,93.31,94,1224031,94
2012-06-08,93.74,94.84,92.9,94.54,884976,94.54
2012-06-11,96.08,96.75,92.67,92.8,1292593,92.8
2012-06-12,92.87,94.04,92.55,94.04,1133981,94.04
2012-06-13,93.35,94.42,92.28,92.72,1487005,92.72
2012-06-14,92.91,94.23,92.52,93.82,1184926,93.82
2012-06-15,93.5,95.76,92.75,95.66,2001039,95.66
2012-06-18,95.27,95.27,93.33,93.63,1132338,93.63
2012-06-19,94.25,97.46,94.2,96.37,1579514,96.37
2012-06-20,97,97.58,95.39,96.55,1281251,96.55
2012-06-21,96.8,96.8,93.87,93.9,1500447,93.9
2012-06-22,95.21,95.28,93.17,93.63,2337547,93.63
2012-06-25,92.22,92.4,90.67,91.22,1035229,91.22
2012-06-26,91.44,91.83,90.43,91.03,1018446,91.03
2012-06-27,91.38,93.79,91.21,93.27,901016,93.27
2012-06-28,92.05,93.52,91.36,93.49,1200150,93.49
2012-06-29,95.85,96.16,94.52,95.86,1428562,95.86
2012-07-02,96.44,97.3,95.62,97.13,819825,97.13
2012-07-03,97.25,98.77,96.68,98.6,528996,98.6
2012-07-05,97.46,97.83,95.89,95.92,1243468,95.92
2012-07-06,94.53,95.98,94.5,95.47,910729,95.47
2012-07-09,94.89,95.3,93.67,94.47,1152611,94.47
2012-07-10,95.1,95.26,93.15,94.25,1064232,94.25
2012-07-11,94.07,95.46,93.75,95.13,1307843,95.13
2012-07-12,94.3,94.74,93.25,94.02,958538,94.02
2012-07-13,94.97,97.86,94.8,97.43,1135065,97.43
2012-07-16,97.73,98.14,95.96,97.68,930467,97.68
2012-07-17,100.2,100.3,97.19,97.98,1619641,97.98
2012-07-18,97.35,97.79,96.18,96.51,871662,96.51
2012-07-19,96.6,96.64,94.55,95,1278046,95
2012-07-20,94.39,95.3,94.1,94.16,1539612,94.16
2012-07-23,92.25,93.41,91.16,93.16,1206734,93.16
2012-07-24,93.21,94.6,93.21,94.47,1238061,94.47
2012-07-25,95.01,96.68,94.9,95.96,1160289,95.96
2012-07-26,97.3,98.2,96.75,98.06,1354811,98.06
2012-07-27,98.5,102.05,98.13,101.64,1841579,101.64
2012-07-30,100.92,102.18,100.37,100.88,1090550,100.88
2012-07-31,100.24,101.76,100,100.9,967955,100.9
2012-08-01,101.22,101.76,99.85,100.09,741300,100.09
2012-08-02,98.56,99.03,96.75,97.81,924606,97.81
2012-08-03,99.75,101.36,99,100.98,891336,100.98
2012-08-06,101.25,102.85,100.8,102.02,844820,102.02
2012-08-07,102.45,104.38,102.42,103.24,929884,103.24
2012-08-08,102.44,103.31,102.2,102.5,630671,102.5
2012-08-09,102.41,104,102.31,103.6,863959,103.6
2012-08-10,103.35,103.35,102.12,103.02,727231,103.02
2012-08-13,102.55,103.97,102.55,103.61,547949,103.61
2012-08-14,104.12,105.62,102.93,103.26,722631,103.26
2012-08-15,103.35,104.46,103.1,103.13,481387,103.13
2012-08-16,103.26,103.92,102.62,103.49,663961,103.49
2012-08-17,103.72,103.95,102.8,103.6,901728,103.6
2012-08-20,103.32,105.5,103.14,105.28,821459,105.28
2012-08-21,105.69,107.33,104.76,105.32,1047664,105.32
2012-08-22,104.7,106.35,103.7,104.67,824767,104.67
2012-08-23,104.42,104.98,103.67,104.08,669358,104.08
2012-08-24,103.36,105.2,102.25,104.96,768239,104.96
2012-08-27,105.17,105.85,104.59,105.12,553112,105.12
2012-08-28,104.2,105.88,104.2,105.03,620178,105.03
2012-08-29,105.2,106.29,105.09,105.53,605043,105.53
2012-08-30,104.8,105.2,103.95,104.72,536889,104.72
2012-08-31,105.45,106.55,105.33,105.72,873234,105.72
2012-09-04,105.6,107.25,105.59,106.41,786945,106.41
2012-09-05,106.9,110,106.79,109.94,1407537,109.94
2012-09-06,110.69,113.78,110.01,113.54,1235477,113.54
2012-09-07,113.72,116.75,113.72,116.33,1157090,116.33
2012-09-10,115.92,116.25,114.54,114.68,873549,114.68
2012-09-11,115.19,117.76,115.04,116.69,800198,116.69
2012-09-12,117.41,118.45,116.7,118.24,771153,118.24
2012-09-13,117.99,121.05,117.68,120.67,1033464,120.67
2012-09-14,121.22,122.6,120.49,121.36,1103623,121.36
2012-09-17,120.36,121.11,119.51,119.9,1049376,119.9
2012-09-18,119.4,120.35,118.75,119.88,663753,119.88
2012-09-19,120,120.17,119.02,119.02,1903776,119.02
2012-09-20,117.54,117.8,116.25,117.63,1045434,117.63
2012-09-21,118.05,118.28,116.56,116.72,4467762,116.72
2012-09-24,116.01,117.43,114.94,116.6,903372,116.6
2012-09-25,117.13,117.58,113.5,113.5,1041358,113.5
2012-09-26,113.01,113.64,111.9,113.08,1059728,113.08
2012-09-27,113.91,115.85,113.78,115.23,736058,115.23
2012-09-28,114.92,114.92,113.24,113.68,827090,113.68
2012-10-01,116.5,119.01,116.4,116.86,946613,116.86
2012-10-02,117.6,118.23,117.1,117.25,556302,117.25
2012-10-03,117.74,118.159,116.23,117.91,568553,117.91
2012-10-04,118.59,120.34,117.97,119.9,740611,119.9
2012-10-05,120.83,121.4,118.58,119.31,943511,119.31
2012-10-08,118.3,119.72,118.15,119.46,546802,119.46
2012-10-09,119.39,120.74,119.02,119.63,694042,119.63
2012-10-10,119.5,120.2,119.06,120.08,549377,120.08
2012-10-11,120.86,122.94,120.81,121.99,859524,121.99
2012-10-12,121.69,122.27,119.9,120.2,893886,120.2
2012-10-15,121.75,124.61,120.75,124.5,1092205,124.5
2012-10-16,124.31,125.95,122.35,123.22,1755675,123.22
2012-10-17,123.18,125.05,123.18,124.92,1573801,124.92
2012-10-18,123.5,126.45,123.5,125.15,1186232,125.15
2012-10-19,124.51,125.17,123.02,123.62,1748183,123.62
2012-10-22,122.85,124.34,121.93,122.77,857441,122.77
