DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-12-18,13.11,13.59,13.02,13.56,689563,13.56
2012-12-19,13.56,13.58,13.29,13.3,639833,13.3
2012-12-20,13.28,13.3,13.03,13.15,618533,13.15
2012-12-21,13.03,13.2,12.78,13.08,1279340,13.08
2012-12-24,13.35,13.35,13.015,13.03,288248,13.03
2012-12-26,13.05,13.33,13.03,13.17,408312,13.17
2012-12-27,13.21,13.465,13.11,13.42,560233,13.42
2012-12-28,13.34,13.41,13.29,13.29,477232,13.29
2012-12-31,13.28,13.835,13.26,13.81,866965,13.81
2013-01-02,14,14.15,13.93,14.01,806893,14.01
2013-01-03,13.95,14.2,13.85,14.07,673612,14.07
2013-01-04,14.14,14.39,13.95,14.35,539399,14.35
2013-01-07,14.24,14.28,13.98,14.1,579543,14.1
2013-01-08,14.03,14.15,13.71,14.06,565293,14.06
2013-01-09,14.13,14.65,14.1,14.36,750558,14.36
2013-01-10,14.48,14.51,14.08,14.13,1143306,14.13
2013-01-11,14.08,14.14,13.72,13.78,816599,13.78
2013-01-14,13.78,13.95,13.66,13.95,691545,13.95
2013-01-15,13.88,14.18,13.82,14.01,950919,14.01
2013-01-16,13.92,13.92,13.58,13.85,730519,13.85
2013-01-17,13.85,13.98,13.675,13.88,534845,13.88
2013-01-18,14.06,14.06,13.645,13.81,1010792,13.81
2013-01-22,13.75,13.93,13.5,13.87,768004,13.87
2013-01-23,13.86,13.91,13.62,13.71,1018197,13.71
2013-01-24,13.69,13.91,13.66,13.81,465285,13.81
2013-01-25,13.86,13.97,13.7,13.87,567239,13.87
2013-01-28,13.94,13.985,13.77,13.88,479058,13.88
2013-01-29,13.84,13.94,13.73,13.92,704151,13.92
2013-01-30,13.92,13.96,13.785,13.82,448649,13.82
2013-01-31,13.68,13.84,13.605,13.76,805591,13.76
2013-02-01,13.84,13.87,13.72,13.78,775136,13.78
2013-02-04,13.68,13.75,13.38,13.43,895260,13.43
2013-02-05,13.49,13.675,13.465,13.62,937640,13.62
2013-02-06,13.63,13.77,13.47,13.59,1011607,13.59
2013-02-07,13.68,13.71,13.44,13.53,965777,13.53
2013-02-08,13.62,13.78,13.33,13.59,1304047,13.59
2013-02-11,13.7,13.925,13.54,13.91,1615035,13.91
2013-02-12,13.55,14.15,13.105,13.86,2964928,13.86
2013-02-13,13.9,14.175,13.9,14.08,1602096,14.08
2013-02-14,14,14.2,13.93,14.17,1150714,14.17
2013-02-15,14.25,14.315,14.03,14.1,1472705,14.1
2013-02-19,14.1,14.26,14.07,14.09,877183,14.09
2013-02-20,14.08,14.2,13.82,13.86,1008030,13.86
2013-02-21,13.82,13.88,13.43,13.53,982190,13.53
2013-02-22,13.58,13.625,13.35,13.45,870758,13.45
2013-02-25,13.61,13.64,12.955,13,1646703,13
2013-02-26,13.02,13.3,12.68,12.9,1400492,12.9
2013-02-27,12.96,13.05,12.82,12.9,1149836,12.9
2013-02-28,12.87,13.2,12.87,12.98,1298683,12.98
2013-03-01,12.95,13.15,12.805,12.96,1112710,12.96
2013-03-04,12.92,12.94,12.6,12.67,833400,12.67
2013-03-05,12.72,12.95,12.72,12.8,672632,12.8
2013-03-06,12.86,12.94,12.75,12.91,1035087,12.91
2013-03-07,12.99,12.99,12.88,12.94,507042,12.94
2013-03-08,13,13.31,12.9,13.08,870493,13.08
