DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,191.29,191.47,185.59,185.59,158918,185.59
2012-01-04,184.59,188.09,184.42,187.87,147763,187.87
2012-01-05,186.75,190.5,185.67,190.2,84319,190.2
2012-01-06,189.83,190.98,189.13,190.34,79005,190.34
2012-01-09,190.36,192.09,190.08,191.13,66982,191.13
2012-01-10,193,193.49,190.56,191.26,109691,191.26
2012-01-11,191.08,193.32,190.4,193,61671,193
2012-01-12,194.16,194.98,193.85,194.08,64870,194.08
2012-01-13,192.39,197.04,192.39,196.7,88578,196.7
2012-01-17,198.36,201.13,198.36,200.45,141104,200.45
2012-01-18,198.94,202.15,198.94,202.1,160011,202.1
2012-01-19,203.04,203.1,201.07,202.1,86915,202.1
2012-01-20,202.79,202.79,200.34,200.65,173239,200.65
2012-01-23,201.8,204.37,201.68,202.65,71319,202.65
2012-01-24,201.46,204.5,201.18,203.51,68915,203.51
2012-01-25,197.97,199.18,190.73,195.17,183964,195.17
2012-01-26,194.44,194.97,191.95,192.6,142558,192.6
2012-01-27,192.19,194.11,191.91,193.18,106718,193.18
2012-01-30,192,194.36,191.54,193.82,71953,193.82
2012-01-31,194.48,195.51,190.34,190.74,153222,190.74
2012-02-01,193.04,194.24,192.42,193.37,64362,193.37
2012-02-02,193.65,196.6,193.65,196.31,75506,196.31
2012-02-03,198,203.48,197.83,203.06,118146,203.06
2012-02-06,201.72,203.63,201.72,202.81,82846,202.81
2012-02-07,201.99,204.17,200.71,201.85,85554,201.85
2012-02-08,202,202.14,200.7,201.75,52846,201.75
2012-02-09,201.03,201.92,198.83,201.54,50074,201.54
2012-02-10,199.94,200.3,197.91,200.16,49252,200.16
2012-02-13,202,209.57,202,208.46,126830,208.46
2012-02-14,207.85,209.86,207.32,209.1,76808,209.1
2012-02-15,209.57,209.8,207.57,207.83,73225,207.83
2012-02-16,208,209.21,207.66,208.88,52766,208.88
2012-02-17,209.9,209.9,207.38,208.88,91382,208.88
2012-02-21,209.9,209.9,206.03,206.82,61746,206.82
2012-02-22,206.84,207.54,205.64,206.34,40246,206.34
2012-02-23,205.99,208.04,205.77,207.97,36878,207.97
2012-02-24,208.34,208.52,206.53,207.29,45989,207.29
2012-02-27,205.79,210.92,205.79,210.18,55214,210.18
2012-02-28,210.43,212,207.76,209.04,60493,209.04
2012-02-29,209.19,209.88,207.06,207.73,84178,207.73
2012-03-01,208.01,209.42,206.7,207.82,70802,207.82
2012-03-02,207.84,208.31,206.68,208.1,51110,208.1
2012-03-05,208.11,209.31,207.21,208.96,57252,208.96
2012-03-06,207.68,207.68,204.67,205.54,61705,205.54
2012-03-07,206.2,207.27,205.92,206.12,61793,206.12
2012-03-08,207.98,209.25,206.86,207.56,74749,207.56
2012-03-09,208.5,213,208.13,211.77,71182,211.77
2012-03-12,212.26,214.68,212.02,213.43,62176,213.43
