DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,33.85,34.72,33.75,34.15,6467402,34.15
2012-01-04,33.96,35.26,33.78,35.12,3916601,35.12
2012-01-05,34.78,34.85,34.13,34.56,3616111,34.56
2012-01-06,34.81,35.12,34.29,34.98,2684751,34.98
2012-01-09,35.1,35.74,35.04,35.38,3590976,35.38
2012-01-10,36.3,36.71,36.05,36.33,3455251,36.33
2012-01-11,36.25,36.29,35,35.38,2748497,35.38
2012-01-12,35.7,35.86,34.5,34.73,3953673,34.73
2012-01-13,34.18,34.48,33.65,33.94,4460902,33.94
2012-01-17,34.85,34.85,33.65,33.86,3996531,33.86
2012-01-18,33.83,35.03,33.83,34.99,2909701,34.99
2012-01-19,35.32,36.74,35.25,36.25,5039103,36.25
2012-01-20,36.6,37,35.6,36.2,5077931,36.2
2012-01-23,35.25,35.5,34.6,35.44,6567380,35.44
2012-01-24,35.25,36.68,34.83,36.36,4752913,36.36
2012-01-25,36.18,36.5,35.3,36.41,4028316,36.41
2012-01-26,36.88,37.37,36.01,36.16,4948417,36.16
2012-01-27,37.27,37.73,36.98,37.1,5744331,37.1
2012-01-30,36.58,36.8,36,36.67,3089547,36.67
2012-01-31,37.23,37.95,36.3,36.78,5255867,36.78
2012-02-01,37.22,37.37,36.61,36.64,2736377,36.64
2012-02-02,36.84,36.89,36.13,36.54,2617637,36.54
2012-02-03,36.89,37.15,36.56,36.83,2692360,36.83
2012-02-06,36.73,37.4,36.4,37.4,2603233,37.4
2012-02-07,37.49,37.5,36.43,37,3126756,37
2012-02-08,37.27,37.5,36.62,37.02,2490094,37.02
2012-02-09,37.21,37.23,36.52,36.77,2606402,36.77
2012-02-10,36.41,36.5,35.82,36.06,2650250,36.06
2012-02-13,36.64,36.65,35.78,36.14,3232741,36.14
2012-02-14,36.08,36.2,35.32,35.7,1980703,35.7
2012-02-15,35.66,36.15,35.14,35.23,3817157,35.23
2012-02-16,35.2,35.8,34.83,35.64,2927000,35.64
2012-02-17,36.17,36.48,35.5,36.29,3190008,36.29
2012-02-21,36.68,37.59,36.37,37.03,5587500,37.03
2012-02-22,37.1,38.38,37.1,38.24,3233927,38.24
2012-02-23,38.6,38.73,37.94,38.21,3049736,38.21
2012-02-24,38.65,39.19,38.32,38.51,1941128,38.51
2012-02-27,38.13,38.15,37.35,37.75,2473331,37.75
2012-02-28,37.75,37.94,37.37,37.68,2706571,37.68
2012-02-29,37.93,37.95,36.44,36.59,4603154,36.59
2012-03-01,36.9,37.01,36.43,36.5,3181215,36.5
2012-03-02,36.59,36.73,35.69,36.05,3477108,36.05
2012-03-05,35.78,35.82,34.95,35.07,3687547,35.07
2012-03-06,34.35,34.37,33.82,34.13,3545019,34.13
2012-03-07,34.39,34.53,33.94,34.21,2055918,34.21
2012-03-08,34.5,35.18,34.46,34.78,2617147,34.78
2012-03-09,34.91,35.29,34.69,34.88,1929107,34.88
2012-03-12,34.75,34.88,34.26,34.7,2751911,34.7
2012-03-13,34.96,35.43,34.51,35.34,4881300,35.34
2012-03-14,35.13,35.26,34.07,34.18,4017774,34.18
2012-03-15,34.33,34.4,33.7,33.91,4059431,33.91
2012-03-16,34.1,34.78,33.83,34.54,5584154,34.54
2012-03-19,34.54,35.3,34.4,35,2761632,35
2012-03-20,34.65,34.83,34.26,34.76,3299977,34.76
2012-03-21,34.16,34.45,33.85,34.13,3780445,34.13
2012-03-22,33.67,33.76,32.6,32.98,4095569,32.98
2012-03-23,33.06,33.76,32.98,33.42,4448268,33.42
2012-03-26,33.87,33.89,33.32,33.65,3778593,33.65
2012-03-27,33.75,33.77,32.79,32.83,3811227,32.83
2012-03-28,32.65,32.8,32.02,32.48,3311849,32.48
2012-03-29,32.2,32.82,32.07,32.77,3010139,32.77
2012-03-30,32.81,33.5,32.7,33.19,3438514,33.19
2012-04-02,33,33.77,33,33.45,2591742,33.45
2012-04-03,33.42,33.66,32.97,33.6,2998490,33.6
2012-04-04,33.07,33.52,32.89,33,2264994,33
2012-04-05,32.82,33.2,32.52,32.77,3041699,32.77
2012-04-09,32.33,32.9,32.15,32.38,2933929,32.38
2012-04-10,32.37,32.39,31.63,31.99,3885627,31.99
2012-04-11,32.46,32.78,32.06,32.13,2908208,32.13
2012-04-12,32.3,33.27,32.16,33.18,3526921,33.18
2012-04-13,33,33.13,32.37,32.41,3140832,32.41
2012-04-16,32.51,32.74,31.84,32.06,3015065,32.06
2012-04-17,32.5,32.85,32.25,32.66,3038762,32.66
2012-04-18,33.25,34.29,33.22,34.17,5651269,34.17
2012-04-19,34.55,35.07,33.71,33.98,4555162,33.98
2012-04-20,34.5,34.52,33.22,33.29,4275709,33.29
2012-04-23,32.7,33.26,32.45,32.95,2460933,32.95
2012-04-24,33.21,33.82,32.78,33.38,2724964,33.38
2012-04-25,33.78,33.98,33.17,33.54,2959790,33.54
2012-04-26,33.28,33.74,33.2,33.45,2234731,33.45
2012-04-27,33.38,33.52,32.86,33.24,2081216,33.24
2012-04-30,33.18,34.22,33.15,34.22,3596859,34.22
2012-05-01,34.26,35.32,34.08,35.03,3451504,35.03
2012-05-02,34.53,34.99,34.28,34.49,2296090,34.49
2012-05-03,34.56,34.57,33.86,34.06,2513847,34.06
2012-05-04,33.73,33.73,32.49,32.53,3535806,32.53
2012-05-07,32.44,32.74,31.97,32.42,2092653,32.42
2012-05-08,32.12,32.74,31.6,32.69,3256668,32.69
2012-05-09,31.95,32.72,31.77,32.42,3459533,32.42
2012-05-10,32.85,33,32.23,32.31,2542578,32.31
2012-05-11,32.03,32.55,31.81,31.83,2664272,31.83
2012-05-14,31.38,31.92,31.22,31.58,2956033,31.58
2012-05-15,31.44,31.52,30.37,30.58,3558814,30.58
2012-05-16,30.65,31.2,30.16,30.2,2576035,30.2
2012-05-17,30.22,30.59,29.92,30,3199521,30
2012-05-18,30.2,30.45,29.82,29.93,3851708,29.93
2012-05-21,30.08,31.24,30.05,31.17,3140235,31.17
2012-05-22,31.2,31.74,30.55,30.78,3178462,30.78
2012-05-23,30.37,31.36,30.07,31.32,3647319,31.32
2012-05-24,31.3,31.55,30.93,31.41,3734435,31.41
2012-05-25,31.43,31.8,31.26,31.37,2008325,31.37
2012-05-29,31.84,32.4,31.63,32.01,2349376,32.01
2012-05-30,31.47,31.48,30.23,30.36,2956157,30.36
2012-05-31,30.38,30.48,29.11,30.06,3772327,30.06
2012-06-01,29.37,30.37,29.17,29.97,3559124,29.97
2012-06-04,29.95,30.13,28.64,29.52,3489887,29.52
2012-06-05,29.22,29.68,28.81,29.12,3478619,29.12
2012-06-06,29.43,29.96,27.57,28.1,10547248,28.1
2012-06-07,28.29,28.8,27.81,28.13,5373630,28.13
2012-06-08,27.96,27.99,27.45,27.96,3448143,27.96
2012-06-11,28.29,28.37,27.5,27.5,3149250,27.5
2012-06-12,27.76,28.21,27.53,28.13,3110230,28.13
2012-06-13,27.9,28.55,27.77,28.22,3106628,28.22
