DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,5.63,5.76,5.61,5.63,2970540,5.63
2012-01-04,5.6,5.735,5.5600000000000005,5.68,2387393,5.68
2012-01-05,5.65,5.83,5.5600000000000005,5.79,2618188,5.79
2012-01-06,5.8100000000000005,5.85,5.73,5.8,2094257,5.8
2012-01-09,5.78,5.875,5.745,5.86,3331266,5.86
2012-01-10,5.95,5.97,5.85,5.9,2848710,5.9
2012-01-11,5.83,5.9399999999999995,5.79,5.9399999999999995,2619058,5.9399999999999995
2012-01-12,5.97,5.97,5.88,5.97,1979249,5.97
2012-01-13,5.89,5.98,5.82,5.96,2657848,5.96
2012-01-17,6,6.11,5.92,5.99,4424233,5.99
2012-01-18,5.98,6.04,5.95,6.03,3222427,6.03
2012-01-19,6,6.01,5.725,5.79,5153257,5.79
2012-01-20,5.7,5.95,5.63,5.92,5989140,5.92
2012-01-23,5.97,5.97,5.8100000000000005,5.82,3246348,5.82
2012-01-24,5.76,5.885,5.725,5.83,4399058,5.83
2012-01-25,5.8100000000000005,5.97,5.77,5.9399999999999995,4726239,5.9399999999999995
2012-01-26,5.96,5.97,5.62,5.64,4052836,5.64
2012-01-27,5.64,5.755,5.63,5.7,2303336,5.7
2012-01-30,5.71,5.71,5.59,5.66,2099846,5.66
2012-01-31,5.68,5.77,5.64,5.71,5726270,5.71
2012-02-01,5.74,5.8149999999999995,5.71,5.76,2713177,5.76
2012-02-02,5.76,5.825,5.72,5.78,2034564,5.78
2012-02-03,5.86,5.9,5.835,5.9,2634049,5.9
2012-02-06,5.85,5.9399999999999995,5.84,5.84,1874625,5.84
2012-02-07,5.85,5.99,5.83,5.93,3531702,5.93
2012-02-08,5.9399999999999995,6.05,5.91,6.05,3652508,6.05
2012-02-09,6.08,6.09,5.96,6.03,3198008,6.03
2012-02-10,5.9399999999999995,5.9399999999999995,5.87,5.9,2734203,5.9
2012-02-13,5.95,5.98,5.855,5.895,1532708,5.895
2012-02-14,5.86,5.9399999999999995,5.755,5.785,4175073,5.785
2012-02-15,5.8,5.89,5.8,5.8,2817879,5.8
2012-02-16,5.82,5.93,5.79,5.93,3058502,5.93
2012-02-17,5.97,6.1,5.9,6.09,4583325,6.09
2012-02-21,6.14,6.14,5.985,6.01,3139587,6.01
2012-02-22,6.02,6.03,5.92,5.945,3241811,5.945
2012-02-23,5.95,6.01,5.92,6.01,1583225,6.01
2012-02-24,6.02,6.02,5.9,5.91,1322075,5.91
2012-02-27,5.87,5.9399999999999995,5.82,5.88,2434052,5.88
2012-02-28,5.89,6.005,5.84,5.99,3026983,5.99
2012-02-29,6,6.04,5.84,5.845,4015695,5.845
2012-03-01,5.89,5.97,5.86,5.9,2791566,5.9
2012-03-02,5.9,5.9350000000000005,5.85,5.88,1884423,5.88
2012-03-05,5.85,5.85,5.7,5.72,2999673,5.72
2012-03-06,5.65,5.66,5.49,5.55,3975750,5.55
2012-03-07,5.62,5.74,5.59,5.695,1936007,5.695
2012-03-08,5.77,5.8,5.71,5.8,1623472,5.8
2012-03-09,5.8,5.89,5.775,5.86,1492689,5.86
2012-03-12,5.83,5.895,5.795,5.8100000000000005,1396383,5.8100000000000005
2012-03-13,5.89,6.11,5.88,6.09,3228580,6.09
2012-03-14,6.17,6.27,6.065,6.24,5092746,6.24
2012-03-15,6.26,6.495,6.18,6.45,5028420,6.45
2012-03-16,6.54,6.55,6.355,6.43,4562071,6.43
2012-03-19,6.48,6.58,6.37,6.49,3119375,6.49
2012-03-20,6.43,6.53,6.4,6.49,3537768,6.49
2012-03-21,6.55,6.5600000000000005,6.41,6.41,3152479,6.41
2012-03-22,6.37,6.43,6.315,6.34,2982328,6.34
2012-03-23,6.41,6.43,6.275,6.3,3254400,6.3
2012-03-26,6.4,6.45,6.36,6.41,1958828,6.41
2012-03-27,6.42,6.44,6.33,6.35,2513388,6.35
2012-03-28,6.38,6.46,6.33,6.46,2226565,6.46
2012-03-29,6.4,6.42,6.315,6.4,2228088,6.4
2012-03-30,6.46,6.46,6.325,6.45,2856466,6.45
2012-04-02,6.45,6.5649999999999995,6.38,6.5600000000000005,2854633,6.5600000000000005
2012-04-03,6.5600000000000005,6.57,6.435,6.5,2679362,6.5
2012-04-04,6.42,6.55,6.36,6.5,3048979,6.5
2012-04-05,6.48,6.51,6.41,6.42,1920155,6.42
2012-04-09,6.32,6.35,6.29,6.34,2097535,6.34
2012-04-10,6.32,6.34,6.15,6.16,1812612,6.16
2012-04-11,6.25,6.345,6.24,6.33,2186136,6.33
2012-04-12,6.35,6.45,6.31,6.43,1062511,6.43
2012-04-13,6.39,6.4,6.21,6.22,1946975,6.22
2012-04-16,6.32,6.35,6.19,6.33,2108851,6.33
2012-04-17,6.41,6.435,6.35,6.35,2242540,6.35
2012-04-18,6.46,6.62,6.32,6.4,5946615,6.4
2012-04-19,6.43,6.55,6.37,6.44,3642705,6.44
2012-04-20,6.51,6.615,6.445,6.55,4447488,6.55
2012-04-23,6.37,6.5,6.35,6.425,3835273,6.425
2012-04-24,6.46,6.5649999999999995,6.44,6.54,3074485,6.54
2012-04-25,6.59,6.68,6.555,6.66,3422391,6.66
2012-04-26,6.65,6.7,6.57,6.6899999999999995,3116526,6.6899999999999995
2012-04-27,6.72,6.74,6.64,6.73,3299629,6.73
2012-04-30,6.73,6.73,6.6,6.6899999999999995,2464381,6.6899999999999995
2012-05-01,6.6899999999999995,6.83,6.68,6.77,2201510,6.77
2012-05-02,6.7,6.74,6.63,6.72,2467443,6.72
2012-05-03,6.72,6.775,6.635,6.65,2421263,6.65
2012-05-04,6.62,6.65,6.465,6.49,2581100,6.49
2012-05-07,6.48,6.64,6.45,6.6,2016883,6.6
2012-05-08,6.54,6.57,6.465,6.5600000000000005,1819747,6.5600000000000005
2012-05-09,6.47,6.5,6.385,6.42,3893188,6.42
2012-05-10,6.58,6.58,6.47,6.5,2274848,6.5
2012-05-11,6.4,6.58,6.38,6.54,2017216,6.54
2012-05-14,6.43,6.485,6.365,6.38,2002298,6.38
2012-05-15,6.41,6.5,6.38,6.4,2944273,6.4
2012-05-16,6.42,6.49,6.3,6.37,3003252,6.37
2012-05-17,6.36,6.36,6.21,6.22,2825442,6.22
2012-05-18,6.22,6.3,6.12,6.15,2520755,6.15
2012-05-21,6.17,6.3,6.16,6.23,1809093,6.23
2012-05-22,6.21,6.33,6.2,6.26,1896258,6.26
2012-05-23,6.23,6.38,6.11,6.35,3260187,6.35
2012-05-24,6.39,6.49,6.31,6.49,3480114,6.49
2012-05-25,6.48,6.545,6.435,6.46,2370893,6.46
2012-05-29,6.55,6.62,6.52,6.61,2517084,6.61
2012-05-30,6.54,6.55,6.38,6.43,2940385,6.43
2012-05-31,6.45,6.6,6.34,6.54,3420173,6.54
2012-06-01,6.37,6.4,6.015,6.11,5862160,6.11
2012-06-04,6.06,6.11,5.83,5.84,4423756,5.84
2012-06-05,5.87,6.05,5.86,5.9,3595457,5.9
2012-06-06,5.95,6.1,5.93,6.1,2378859,6.1
2012-06-07,6.17,6.2,6.005,6.1,3937160,6.1
2012-06-08,6.09,6.23,6.03,6.23,2094445,6.23
2012-06-11,6.31,6.32,6.06,6.07,2198103,6.07
2012-06-12,6.11,6.23,6.02,6.22,2518312,6.22
2012-06-13,6.18,6.27,6.1,6.13,2509563,6.13
2012-06-14,6.12,6.25,6.08,6.21,2655105,6.21
2012-06-15,6.23,6.33,6.2,6.3,5033462,6.3
2012-06-18,6.27,6.345,6.24,6.28,1840568,6.28
2012-06-19,6.33,6.44,6.31,6.33,3997801,6.33
2012-06-20,6.32,6.37,6.19,6.31,3703099,6.31
2012-06-21,6.3,6.34,6.2,6.215,2442677,6.215
2012-06-22,6.24,6.325,6.22,6.28,1607137,6.28
2012-06-25,6.2,6.23,6.12,6.14,1730473,6.14
2012-06-26,6.15,6.28,6.13,6.18,2005892,6.18
2012-06-27,6.21,6.235,6.15,6.16,2308934,6.16
2012-06-28,6.13,6.2,6.09,6.19,3212302,6.19
2012-06-29,6.32,6.4,6.31,6.4,2356576,6.4
2012-07-02,6.4,6.495,6.335,6.47,1928510,6.47
2012-07-03,6.48,6.55,6.455,6.51,969931,6.51
2012-07-05,6.49,6.54,6.42,6.42,2376213,6.42
2012-07-06,6.35,6.445,6.34,6.38,2345252,6.38
2012-07-09,6.37,6.43,6.35,6.4,2088343,6.4
2012-07-10,6.44,6.49,6.29,6.35,1931998,6.35
2012-07-11,6.35,6.48,6.33,6.46,2322543,6.46
2012-07-12,6.39,6.4,6.28,6.28,2838966,6.28
2012-07-13,6.29,6.495,6.29,6.48,1903358,6.48
2012-07-16,6.45,6.545,6.44,6.52,1377286,6.52
2012-07-17,6.55,6.63,6.455,6.62,1644296,6.62
2012-07-18,6.6,6.71,6.57,6.6,2442302,6.6
2012-07-19,6.65,6.78,6.475,6.54,4000026,6.54
2012-07-20,6.49,6.52,6.32,6.34,3018485,6.34
2012-07-23,6.25,6.275,6.16,6.2,3462444,6.2
2012-07-24,6.33,6.34,6.19,6.29,4361574,6.29
2012-07-25,6.32,6.33,6.245,6.28,2932755,6.28
2012-07-26,6.38,6.435,6.3,6.41,1945904,6.41
2012-07-27,6.45,6.495,6.37,6.41,3039039,6.41
2012-07-30,6.36,6.41,6.295,6.31,1242812,6.31
2012-07-31,6.28,6.31,6.21,6.215,2020100,6.215
2012-08-01,6.25,6.29,6.2,6.23,2075827,6.23
2012-08-02,6.18,6.215,6.11,6.16,2583084,6.16
2012-08-03,6.25,6.38,6.24,6.32,1738011,6.32
2012-08-06,6.37,6.43,6.34,6.35,2172022,6.35
2012-08-07,6.36,6.43,6.35,6.37,1245999,6.37
2012-08-08,6.32,6.425,6.3,6.37,1190468,6.37
2012-08-09,6.35,6.425,6.345,6.4,1260781,6.4
2012-08-10,6.38,6.455,6.38,6.445,1128875,6.445
2012-08-13,6.41,6.45,6.36,6.45,942092,6.45
2012-08-14,6.46,6.515,6.42,6.44,1206911,6.44
2012-08-15,6.41,6.5,6.41,6.47,1416490,6.47
2012-08-16,6.47,6.515,6.435,6.47,2020118,6.47
2012-08-17,6.5,6.53,6.46,6.52,1095897,6.52
2012-08-20,6.49,6.54,6.47,6.48,1247996,6.48
2012-08-21,6.48,6.5649999999999995,6.45,6.46,2709988,6.46
2012-08-22,6.45,6.57,6.45,6.51,1913978,6.51
2012-08-23,6.49,6.54,6.48,6.52,2057888,6.52
2012-08-24,6.49,6.57,6.49,6.55,1390051,6.55
2012-08-27,6.59,6.6,6.52,6.52,842189,6.52
2012-08-28,6.5,6.58,6.5,6.55,1088465,6.55
2012-08-29,6.55,6.645,6.55,6.62,1112722,6.62
2012-08-30,6.57,6.63,6.51,6.54,1337231,6.54
2012-08-31,6.57,6.61,6.535,6.6,1862739,6.6
2012-09-04,6.58,6.61,6.535,6.5600000000000005,1073344,6.5600000000000005
2012-09-05,6.55,6.58,6.48,6.49,884575,6.49
2012-09-06,6.54,6.635,6.54,6.62,1867399,6.62
2012-09-07,6.63,6.72,6.63,6.71,1189586,6.71
2012-09-10,6.67,6.765,6.67,6.68,1179639,6.68
2012-09-11,6.68,6.83,6.68,6.8100000000000005,2230102,6.8100000000000005
2012-09-12,6.88,7.025,6.86,6.95,3587421,6.95
2012-09-13,6.9399999999999995,7.09,6.88,7.04,3300370,7.04
2012-09-14,7.06,7.225,7.06,7.19,3541995,7.19
2012-09-17,7.2,7.22,7.055,7.07,1309423,7.07
2012-09-18,7.05,7.115,6.95,7.04,1961652,7.04
2012-09-19,6.96,7.105,6.9350000000000005,7.04,2502769,7.04
2012-09-20,6.99,7,6.92,6.98,1376515,6.98
