DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,55.12,55.74,54.76,55.1,547856,55.1
2012-01-04,54.69,54.69,53.77,53.77,594508,53.77
2012-01-05,53.68,54.37,53.6,54.24,726505,54.24
2012-01-06,54.18,54.48,54.06,54.23,379826,54.23
2012-01-09,54.44,54.5,54.05,54.46,472391,54.46
2012-01-10,55,55.7,54.83,55.32,543393,55.32
2012-01-11,55.29,55.56,54.88,55.5,344358,55.5
2012-01-12,55.78,55.78,54.73,55.25,368650,55.25
2012-01-13,55.08,55.59,54.93,55.53,430552,55.53
2012-01-17,56,56.14,55.34,55.7,408524,55.7
2012-01-18,54.88,55.74,54.88,55.72,481792,55.72
2012-01-19,55.89,55.98,55.11,55.14,549315,55.14
2012-01-20,55.17,55.21,54.67,55.1,737438,55.1
2012-01-23,55.13,55.35,54.92,55.15,422195,55.15
2012-01-24,54.94,55.57,54.94,55.47,496906,55.47
2012-01-25,55.47,56.7,55.23,56.64,459816,56.64
2012-01-26,56.98,57.48,56.75,57.33,543768,57.33
2012-01-27,57.27,57.43,56.66,57.25,338006,57.25
2012-01-30,56.86,57.24,56.54,56.82,412561,56.82
2012-01-31,56.93,57.29,56.79,57.21,915594,57.21
2012-02-01,57.38,57.53,56.96,57.18,564440,57.18
2012-02-02,57.42,57.61,57.02,57.23,616892,57.23
2012-02-03,57.12,57.12,56.59,56.89,585348,56.89
2012-02-06,56.73,57.05,56.54,56.91,411913,56.91
2012-02-07,56.78,57.43,56.78,57.31,433650,57.31
2012-02-08,57.4,57.44,57,57.36,403706,57.36
2012-02-09,57.4,57.64,56.86,57.08,287665,57.08
2012-02-10,56.73,57.06,56.32,56.45,311553,56.45
2012-02-13,56.89,57.33,56.87,57.19,260145,57.19
2012-02-14,57.06,57.06,56.42,56.64,310058,56.64
2012-02-15,56.87,56.89,56.19,56.24,434360,56.24
2012-02-16,56.32,56.73,55.41,55.62,470277,55.62
2012-02-17,55.68,55.77,54.8,55.46,460919,55.46
2012-02-21,54.8,54.8,54,54.19,891269,54.19
2012-02-22,53.59,53.74,53.27,53.49,6360084,53.49
2012-02-23,53.53,54.39,53.37,54.38,797191,54.38
2012-02-24,54.36,54.51,53.61,54.3,649513,54.3
2012-02-27,54.1,54.75,53.89,54.71,630476,54.71
2012-02-28,54.7,54.86,54.05,54.22,538851,54.22
2012-02-29,54.46,54.57,54.07,54.44,1896534,54.44
2012-03-01,54.58,54.98,54.38,54.96,664531,54.96
2012-03-02,54.75,54.93,54.35,54.68,464497,54.68
2012-03-05,54.58,55.12,54.39,55.1,481181,55.1
2012-03-06,54.57,54.93,53.93,54.06,547861,54.06
2012-03-07,54.2,54.25,53.71,54.2,495783,54.2
2012-03-08,54.39,54.44,53.8,53.93,787014,53.93
2012-03-09,54.05,54.45,54.02,54.35,732733,54.35
2012-03-12,54.34,54.89,54.32,54.49,600861,54.49
2012-03-13,54.75,55.33,54.49,55.17,697014,55.17
2012-03-14,55.2,55.27,54.37,54.56,690276,54.56
2012-03-15,54.45,54.53,54.06,54.45,495408,54.45
2012-03-16,54.47,54.85,54.18,54.81,2520730,54.81
2012-03-19,54.5,55.2,54.42,54.96,553997,54.96
2012-03-20,54.79,55.14,54.67,54.74,557682,54.74
2012-03-21,54.82,54.9,54.35,54.35,473449,54.35
2012-03-22,54.15,54.15,53.57,53.65,566059,53.65
2012-03-23,53.71,54.34,53.52,54.08,418159,54.08
2012-03-26,54.48,54.62,54.14,54.44,377040,54.44
2012-03-27,54.6,55.18,54.47,54.81,535339,54.81
2012-03-28,54.73,54.9,54.33,54.89,573641,54.89
2012-03-29,54.69,54.8,54.15,54.41,453471,54.41
2012-03-30,54.75,55,54.6,54.96,532511,54.96
2012-04-02,54.78,54.92,54.55,54.91,527575,54.91
2012-04-03,54.97,54.99,54.29,54.42,525083,54.42
2012-04-04,54.23,54.29,53.55,53.55,525649,53.55
2012-04-05,53.5,53.64,53.3,53.46,325866,53.46
2012-04-09,52.87,53.48,52.55,53.26,399754,53.26
2012-04-10,53.3,53.42,52.4,52.4,805683,52.4
2012-04-11,52.8,53.09,52.52,53.07,459425,53.07
2012-04-12,53.05,53.68,52.88,53.68,417669,53.68
2012-04-13,53.65,53.65,53.22,53.22,325171,53.22
2012-04-16,53.69,54.06,53.46,53.85,377977,53.85
2012-04-17,54.25,54.26,53.73,54.2,343521,54.2
2012-04-18,54.06,54.21,53.81,53.81,327235,53.81
2012-04-19,53.86,54.25,53.75,53.95,468143,53.95
2012-04-20,54.13,54.96,54.11,54.72,438942,54.72
2012-04-23,54.37,54.42,53.81,54.12,410377,54.12
2012-04-24,54.17,55.06,54.17,55.06,350025,55.06
2012-04-25,55.26,55.99,55.25,55.99,623566,55.99
2012-04-26,55.94,56.74,55.77,56.64,446137,56.64
2012-04-27,56.76,56.91,56.46,56.72,404148,56.72
2012-04-30,56.73,56.81,56.42,56.66,593426,56.66
2012-05-01,56.74,57.95,56.69,57.47,589899,57.47
2012-05-02,57.18,57.18,56.67,56.87,459831,56.87
2012-05-03,56.95,57.3,56.94,56.98,582086,56.98
2012-05-04,56.14,56.55,56,56.21,419179,56.21
2012-05-07,56.29,56.86,56.18,56.65,351102,56.65
2012-05-08,56.01,56.38,55.3,55.9,533524,55.9
2012-05-09,55.62,56.39,55.29,55.99,442322,55.99
2012-05-10,56.47,56.5,55.89,56.24,496171,56.24
2012-05-11,56.11,56.5,55.82,56.28,391089,56.28
2012-05-14,55.84,56.34,55.57,55.83,319557,55.83
2012-05-15,55.9,55.99,55.47,55.57,344422,55.57
2012-05-16,55.86,56.08,55.04,55.08,377739,55.08
2012-05-17,55.2,55.37,54.21,54.22,514998,54.22
2012-05-18,54.46,54.86,53.73,53.89,639528,53.89
2012-05-21,54.13,55.04,54.05,54.93,391721,54.93
2012-05-22,55,55.42,54.84,55.1,343412,55.1
2012-05-23,54.72,55.52,54.36,55.46,358954,55.46
2012-05-24,55.6,55.94,55.02,55.63,254390,55.63
2012-05-25,55.67,55.77,54.92,55.22,281348,55.22
2012-05-29,55.4,55.92,55.24,55.9,311835,55.9
2012-05-30,55.42,55.57,54.72,54.73,345846,54.73
2012-05-31,54.75,55.87,54.4,55.47,793937,55.47
2012-06-01,54.45,54.86,54.19,54.24,511419,54.24
2012-06-04,54.18,54.38,53.52,53.82,385129,53.82
2012-06-05,53.66,54.79,53.51,54.54,436481,54.54
2012-06-06,55.03,55.52,54.52,55.51,529209,55.51
2012-06-07,56,56.08,55.11,55.2,335240,55.2
2012-06-08,55.12,55.96,55.12,55.96,320252,55.96
2012-06-11,56.22,56.3,55.03,55.07,351930,55.07
2012-06-12,55.21,55.41,54.82,55.41,307873,55.41
2012-06-13,55.37,56.21,55.18,55.82,414022,55.82
2012-06-14,55.89,56.79,55.45,56.59,488973,56.59
2012-06-15,56.79,56.9,56.35,56.8,1124400,56.8
2012-06-18,56.77,57.8,56.56,57.62,491703,57.62
2012-06-19,57.65,57.72,57.03,57.3,443479,57.3
