DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,42.52,42.9,42.08,42.14,1932738,42.14
2012-01-04,42.04,42.91,41.92,42.74,2209261,42.74
2012-01-05,42.65,43.2,42.39,43.09,1850721,43.09
2012-01-06,43,43.3,42.8,43.2,2018693,43.2
2012-01-09,43.19,43.29,42.76,43.23,1620040,43.23
2012-01-10,43.5,43.54,43.12,43.53,1336942,43.53
2012-01-11,43.48,43.6,43.16,43.46,1186075,43.46
2012-01-12,43.6,43.6,43.13,43.39,1453248,43.39
2012-01-13,43.21,43.51,42.92,43.51,2086773,43.51
2012-01-17,43.66,43.96,43.53,43.74,1599820,43.74
2012-01-18,43.75,44.98,43.71,44.88,2724979,44.88
2012-01-19,44.92,45.41,44.46,45.41,2408215,45.41
2012-01-20,45.4,45.4,44.31,44.51,3128412,44.51
2012-01-23,44.36,44.98,43.98,44.88,2125506,44.88
2012-01-24,44.76,45.13,44.58,44.96,2453640,44.96
2012-01-25,44.78,45.4,44.61,45.26,2083129,45.26
2012-01-26,45.28,45.35,44.47,44.95,2225786,44.95
2012-01-27,44.83,44.99,44.41,44.87,1990043,44.87
2012-01-30,44.59,44.79,44.23,44.77,1367334,44.77
2012-01-31,44.92,45.24,44.26,44.39,2759988,44.39
2012-02-01,44.68,44.91,44.43,44.47,2377567,44.47
2012-02-02,44.58,44.61,44.3,44.46,2672284,44.46
2012-02-03,44.92,45.27,44.85,45.17,1739653,45.17
2012-02-06,45,45.28,45,45.2,1404802,45.2
2012-02-07,45.13,45.57,45.13,45.46,1348722,45.46
2012-02-08,45.43,45.47,44.85,45.17,1279515,45.17
2012-02-09,45.22,45.36,44.83,45.27,1033251,45.27
2012-02-10,44.98,45.33,44.94,45.33,984867,45.33
2012-02-13,45.49,46.11,45.45,45.93,1207474,45.93
2012-02-14,45.8,46.21,45.68,46.06,1250712,46.06
2012-02-15,46.06,46.15,45.66,45.71,1152901,45.71
2012-02-16,45.81,46.23,45.72,45.93,1083166,45.93
2012-02-17,46.2,46.71,46.09,46.71,2627777,46.71
2012-02-21,48,48,46.64,46.92,3184885,46.92
2012-02-22,46.89,47.24,46.45,46.57,1923091,46.57
2012-02-23,46.52,47.2,46.52,46.95,1569672,46.95
2012-02-24,47,47.13,46.78,46.98,1225743,46.98
2012-02-27,46.69,47.37,46.65,46.93,1963328,46.93
2012-02-28,47.16,47.33,46.83,47.23,1489647,47.23
2012-02-29,47.3,47.79,47.2,47.57,3337468,47.57
2012-03-01,47.87,47.88,47.29,47.46,1817932,47.46
2012-03-02,47.45,47.62,47.28,47.41,985390,47.41
2012-03-05,47.35,47.68,46.95,47.39,1589008,47.39
2012-03-06,46.64,46.72,46.12,46.39,1667672,46.39
2012-03-07,46.38,47.5,46.38,47.39,2461933,47.39
2012-03-08,47.52,47.98,47.5,47.82,2218435,47.82
2012-03-09,47.84,48.18,47.83,48.1,1896666,48.1
2012-03-12,48.09,48.65,48.07,48.59,1680149,48.59
2012-03-13,48.68,49.17,48.6,49.14,2174435,49.14
2012-03-14,49.5,49.71,49.23,49.47,1718216,49.47
2012-03-15,49.4,49.44,48.87,49.2,1973661,49.2
2012-03-16,49.39,49.39,48.86,49.05,5477188,49.05
2012-03-19,48.87,48.99,48.48,48.83,1487026,48.83
2012-03-20,48.75,49.5,48.63,49.38,1292060,49.38
2012-03-21,49.38,49.93,49.31,49.79,1802920,49.79
2012-03-22,49.45,49.88,49.41,49.68,1386465,49.68
2012-03-23,49.43,49.58,48.77,49.54,2053091,49.54
2012-03-26,49.84,50.15,49.8,50.13,2412624,50.13
2012-03-27,50,50.34,50,50.04,1431901,50.04
2012-03-28,50,50.25,49.6,49.91,2148713,49.91
2012-03-29,49.44,49.94,49.41,49.91,1416777,49.91
2012-03-30,50.11,50.42,50.05,50.31,2167706,50.31
2012-04-02,50.14,50.23,49.76,49.99,1814569,49.99
2012-04-03,49.94,50.24,49.71,50,1634544,50
2012-04-04,49.85,50,49.56,49.85,1360213,49.85
2012-04-05,49.76,50.67,49.76,50.62,2176257,50.62
2012-04-09,49.9,50.69,49.88,50.58,1861565,50.58
2012-04-10,50.4,50.86,49.36,49.36,2160719,49.36
2012-04-11,49.74,49.94,49.61,49.75,1809040,49.75
2012-04-12,49.81,50.68,49.68,50.63,1916276,50.63
2012-04-13,50.63,51.28,50.63,50.96,2314353,50.96
2012-04-16,51.38,51.85,50.94,51.69,1960592,51.69
2012-04-17,51.82,52.15,51.26,52.03,1670926,52.03
2012-04-18,51.85,51.96,51.5,51.81,1014041,51.81
2012-04-19,51.78,51.97,51.29,51.56,1963701,51.56
2012-04-20,51.8,51.93,51.26,51.46,3010266,51.46
2012-04-23,51.14,51.26,50.66,51.1,1297103,51.1
2012-04-24,51.18,51.67,50.86,51.23,1367950,51.23
2012-04-25,51.45,52.03,51.45,51.91,1300367,51.91
2012-04-26,51.81,52.05,51.4,51.87,1465374,51.87
