DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,16.68,16.95,16.67,16.81,1404962,16.81
2012-01-04,16.6,16.67,16.34,16.56,1272625,16.56
2012-01-05,16.28,16.88,16.17,16.7,1898930,16.7
2012-01-06,16.64,16.75,16.33,16.37,1679277,16.37
2012-01-09,16.81,16.84,16.46,16.69,2216146,16.69
2012-01-10,16.99,17.77,16.99,17.65,1745671,17.65
2012-01-11,17.46,17.99,17.37,17.89,1477571,17.89
2012-01-12,18.05,18.21,17.73,18.21,1249014,18.21
2012-01-13,17.84,17.88,17.39,17.82,1724828,17.82
2012-01-17,18.13,18.22,17.49,17.65,1166212,17.65
2012-01-18,17.48,18.15,17.26,18.11,1538189,18.11
2012-01-19,18.27,18.65,18.23,18.34,1119230,18.34
2012-01-20,18.41,18.92,18.32,18.53,1888136,18.53
2012-01-23,18.53,19.37,18.53,18.63,1612198,18.63
2012-01-24,18.4,18.72,18.25,18.6,1537600,18.6
2012-01-25,18.5,18.56,18.02,18.2,1634466,18.2
2012-01-26,18.29,18.36,17.49,17.56,1768247,17.56
2012-01-27,17.25,17.66,17.2,17.57,1537243,17.57
2012-01-30,17.35,17.57,17.17,17.46,1187222,17.46
2012-01-31,17.6,17.75,17.4,17.52,1616607,17.52
2012-02-01,17.74,18.41,17.7,18.21,1535937,18.21
2012-02-02,18.38,18.74,18.31,18.52,1264510,18.52
2012-02-03,18.92,19.48,18.91,19.37,1620252,19.37
2012-02-06,19.17,19.34,19.01,19.33,1402492,19.33
2012-02-07,19.22,19.4,18.93,19.12,1736945,19.12
2012-02-08,19.5,21.12,19.48,20.58,5464154,20.58
2012-02-09,20.75,21.1,20.14,20.42,2294457,20.42
2012-02-10,20.07,20.21,19.85,19.9,1478876,19.9
2012-02-13,20.23,20.32,19.98,20.23,870709,20.23
2012-02-14,20.02,20.19,19.5,19.81,1607460,19.81
2012-02-15,20.67,20.95,20.17,20.27,2582447,20.27
2012-02-16,20.17,21.28,20.13,21.19,1787744,21.19
2012-02-17,21.38,21.76,21.09,21.65,2604985,21.65
2012-02-21,21.69,21.69,20.81,20.96,1969328,20.96
2012-02-22,20.84,21,20.1,20.11,2223271,20.11
2012-02-23,20.25,20.86,20.25,20.6,1525803,20.6
2012-02-24,20.7,20.7,20.38,20.48,765430,20.48
2012-02-27,20.18,20.58,20.09,20.49,1071823,20.49
2012-02-28,20.46,20.68,20.31,20.63,1715997,20.63
2012-02-29,20.63,20.93,20.47,20.71,1551304,20.71
2012-03-01,20.62,20.97,20.52,20.66,1424183,20.66
2012-03-02,20.6,20.83,20.31,20.42,790676,20.42
2012-03-05,20.36,20.43,20.05,20.13,943105,20.13
2012-03-06,19.97,19.97,19.28,19.35,1392489,19.35
2012-03-07,19.48,19.63,19.31,19.49,1456264,19.49
2012-03-08,19.68,19.95,19.35,19.92,1340609,19.92
2012-03-09,19.94,20.37,19.94,20.07,1325072,20.07
2012-03-12,20.04,20.2,19.67,20.05,811402,20.05
2012-03-13,20.21,20.9,20.15,20.86,1154939,20.86
2012-03-14,20.8,21.14,20.63,20.8,1038341,20.8
