DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,39.76,39.87,39.24,39.33,386888,39.33
2012-01-04,39.08,39.87,39,39.66,331889,39.66
2012-01-05,39.28,39.98,38.93,39.89,379943,39.89
2012-01-06,39.91,40.07,39.42,39.58,348541,39.58
2012-01-09,39.75,39.87,39.24,39.35,503064,39.35
2012-01-10,39.9,40.35,39.61,40.33,707395,40.33
2012-01-11,40.01,40.17,39.64,39.89,331795,39.89
2012-01-12,40,40.78,39.45,40.75,426600,40.75
2012-01-13,40.35,42.06,40.28,42.03,1179955,42.03
2012-01-17,42.53,42.8,41.38,41.42,617082,41.42
2012-01-18,41.54,42.05,41.51,41.89,368755,41.89
2012-01-19,41.9,42.34,41.44,42.05,331072,42.05
2012-01-20,42,42.37,41.76,41.96,522228,41.96
2012-01-23,41.86,42.06,40.98,41.87,527053,41.87
2012-01-24,41.75,43.4,41.41,43.32,870826,43.32
2012-01-25,43.31,44.94,43.24,44.75,863461,44.75
2012-01-26,44.86,45.63,44.26,44.55,636339,44.55
2012-01-27,44.28,44.62,43.94,44.34,564925,44.34
2012-01-30,43.89,44.35,43.45,43.91,347599,43.91
2012-01-31,44.08,44.27,43.89,44.19,611777,44.19
2012-02-01,44.5,44.72,44.13,44.44,456104,44.44
2012-02-02,44.99,44.99,44.44,44.66,440307,44.66
2012-02-03,45,46.17,44.87,46.11,588252,46.11
2012-02-06,45.75,45.98,45.28,45.32,453111,45.32
2012-02-07,45.33,46.04,45.03,45.91,309542,45.91
2012-02-08,46.14,47.19,45.85,46.36,551666,46.36
2012-02-09,46.35,46.66,45.92,46.56,330192,46.56
2012-02-10,45.98,46.39,45.93,46.09,294753,46.09
2012-02-13,46.46,46.62,46.09,46.47,304364,46.47
2012-02-14,46.18,46.64,45.85,46.5,275311,46.5
2012-02-15,46.65,46.66,45.36,45.62,355805,45.62
2012-02-16,45.38,45.94,45.27,45.44,508740,45.44
2012-02-17,45.75,46.1,45.23,46.05,607775,46.05
2012-02-21,46.09,46.38,45.57,45.77,309596,45.77
2012-02-22,45.97,47.12,45.89,46.8,615557,46.8
2012-02-23,46.67,47.28,46.18,47.22,391544,47.22
2012-02-24,47.26,47.85,46.81,47.04,339450,47.04
2012-02-27,46.55,47.19,46.09,47.07,291873,47.07
2012-02-28,47.05,47.11,46.39,46.78,299248,46.78
2012-02-29,46.79,47.16,46.45,46.58,429204,46.58
2012-03-01,46.6,47.58,46.6,47.26,259442,47.26
2012-03-02,47.3,47.39,46.53,46.86,204547,46.86
2012-03-05,46.6,46.69,45.93,46.48,199717,46.48
2012-03-06,45.84,45.95,44.91,45.12,345880,45.12
2012-03-07,45.25,45.76,45.24,45.6,334998,45.6
2012-03-08,46.08,46.53,45.97,45.97,335099,45.97
2012-03-09,46.17,46.96,46.04,46.88,408976,46.88
2012-03-12,47.09,48.39,46.94,48.11,897494,48.11
2012-03-13,48.36,49.38,48.05,49.36,544397,49.36
2012-03-14,49.58,50.32,49.31,49.76,587159,49.76
2012-03-15,49.8,49.86,49.01,49.33,470219,49.33
2012-03-16,49.46,49.65,49.04,49.39,878712,49.39
2012-03-19,49.03,49.61,48.44,49.5,294121,49.5
2012-03-20,49.95,49.95,49.3,49.42,604125,49.42
2012-03-21,49.42,49.79,49.13,49.68,521954,49.68
2012-03-22,49.15,49.43,48.51,48.91,240287,48.91
2012-03-23,48.87,49.21,47.91,49.06,309546,49.06
2012-03-26,49.77,50.7,49.47,50.48,623288,50.48
2012-03-27,50.61,50.93,49.79,49.79,448265,49.79
2012-03-28,49.81,49.81,48.59,49,396357,49
2012-03-29,48.59,48.77,48.16,48.48,389797,48.48
2012-03-30,49.16,49.74,48.82,49.08,562739,49.08
2012-04-02,49.22,50.08,49.12,49.61,562112,49.61
2012-04-03,49.41,49.71,48.64,49.07,587716,49.07
2012-04-04,48.44,48.74,48.07,48.64,416484,48.64
2012-04-05,48.38,48.85,48.23,48.39,350695,48.39
2012-04-09,47.52,47.52,46.6,46.92,547193,46.92
2012-04-10,48.06,48.06,46.66,46.88,741249,46.88
2012-04-11,47.58,47.75,47.21,47.6,378612,47.6
2012-04-12,47.63,48.59,47.6,48.52,354128,48.52
2012-04-13,48.26,48.62,47.92,48.16,418548,48.16
2012-04-16,48.28,48.81,47.73,48.01,321557,48.01
2012-04-17,48.49,49.68,48.41,49.37,493955,49.37
2012-04-18,49.17,49.85,49.08,49.66,359471,49.66
2012-04-19,49.75,50.03,49.17,49.57,597304,49.57
2012-04-20,49.71,52.03,49.47,51.7,1115040,51.7
2012-04-23,50.54,50.77,49.74,50.58,910320,50.58
2012-04-24,50.67,51.1,49.87,50.36,674447,50.36
2012-04-25,52.33,53.98,51.51,53.49,1137406,53.49
2012-04-26,53.3,53.94,52.69,52.88,935183,52.88
2012-04-27,52.87,53.77,52.62,52.89,772911,52.89
2012-04-30,52.75,52.95,52.13,52.33,607281,52.33
2012-05-01,52.33,54.31,52.16,53.31,677193,53.31
2012-05-02,52.97,53.87,52.89,53.45,599418,53.45
2012-05-03,53.37,53.86,52.98,53.01,634117,53.01
2012-05-04,52.63,52.92,51.78,51.89,400037,51.89
2012-05-07,51.9,51.96,51.23,51.54,562917,51.54
2012-05-08,51.23,51.24,49.96,50.69,591483,50.69
2012-05-09,49.93,50.9,49.73,50.48,668612,50.48
2012-05-10,51,51.27,50.27,50.67,347757,50.67
2012-05-11,49.34,49.34,48.05,48.79,1050158,48.79
2012-05-14,48.21,48.41,47.36,47.76,751358,47.76
2012-05-15,47.62,47.82,46.83,47.06,798066,47.06
2012-05-16,47.25,47.56,46.38,46.63,430199,46.63
2012-05-17,46.56,46.62,45.5,45.74,840556,45.74
2012-05-18,45.94,46.16,45,45.27,667004,45.27
2012-05-21,45.3,47.27,45.06,47.21,616199,47.21
2012-05-22,47.38,48.4,47.31,47.59,550103,47.59
2012-05-23,47.1,47.56,46.43,47.43,516470,47.43
2012-05-24,47.5,47.65,46.89,47.39,587942,47.39
2012-05-25,47.29,47.77,47.22,47.52,385852,47.52
2012-05-29,47.63,48.58,47.45,48.49,446955,48.49
2012-05-30,47.9,47.99,46.88,47.32,393796,47.32
2012-05-31,47.44,48.61,47.05,48.18,774038,48.18
2012-06-01,47.01,47.73,45.87,46.27,765780,46.27
2012-06-04,46.27,46.59,45.17,46,456645,46
2012-06-05,45.77,47.01,45.76,46.81,455527,46.81
2012-06-06,47.59,48.16,47.34,48.16,506716,48.16
2012-06-07,48.9,49.73,47.83,48,498689,48
2012-06-08,47.66,48.73,47.02,48.66,670079,48.66
2012-06-11,49.7,49.74,47.68,47.77,456395,47.77
2012-06-12,48.05,49.42,47.58,49.39,621370,49.39
2012-06-13,49.15,49.33,48.07,48.27,553308,48.27
2012-06-14,48.38,49.65,47.82,49.43,536702,49.43
2012-06-15,49.71,49.71,48.27,49.01,1126616,49.01
2012-06-18,48.79,49.64,48.58,49.55,583169,49.55
2012-06-19,49.88,50.83,49.88,50.39,398561,50.39
2012-06-20,50.45,50.52,49.7,50.24,360833,50.24
2012-06-21,50.51,50.89,48.55,48.69,511887,48.69
2012-06-22,49.06,49.27,48.35,49.08,448998,49.08
2012-06-25,48.47,48.47,47.71,47.92,325912,47.92
2012-06-26,47.65,47.99,45.44,46.18,1105295,46.18
2012-06-27,46.19,46.25,44.81,44.93,830266,44.93
2012-06-28,44.7,44.85,43.8,44.69,880271,44.69
2012-06-29,45.76,45.84,44.99,45.73,728246,45.73
2012-07-02,46.25,46.66,45.36,45.81,667861,45.81
2012-07-03,45.64,46.53,45.59,46.47,293991,46.47
2012-07-05,46.1,47.31,46.04,46.87,458398,46.87
2012-07-06,46.23,46.62,45.69,46.12,340135,46.12
2012-07-09,45.92,46.07,45.47,45.69,375691,45.69
2012-07-10,46.1,47.62,46.1,47.09,694153,47.09
2012-07-11,46.44,46.48,44.46,44.82,1021369,44.82
2012-07-12,44.39,44.4,43.19,43.53,785019,43.53
2012-07-13,43.33,44.27,42.91,43.95,585458,43.95
2012-07-16,43.86,44.03,43.11,43.8,336041,43.8
2012-07-17,43.96,44.2,43.62,43.84,455279,43.84
2012-07-18,43.51,44.34,42.96,44.02,667113,44.02
2012-07-19,44.22,45.18,44.09,44.78,515447,44.78
2012-07-20,44.45,44.55,43.79,43.91,485455,43.91
2012-07-23,43.02,43.53,42.59,43.24,378240,43.24
2012-07-24,43.26,43.34,42,42.39,482643,42.39
2012-07-25,42.52,42.68,41.83,42.07,338631,42.07
2012-07-26,42.77,43.46,42.37,43.2,468130,43.2
2012-07-27,43.69,44.87,43.5,44.64,461032,44.64
2012-07-30,44.72,45.15,44.32,44.49,302573,44.49
2012-07-31,44.3,44.39,43.23,43.23,927071,43.23
2012-08-01,43.3,43.38,37.92,41.67,2984719,41.67
2012-08-02,41.02,42.38,40.69,41.2,899535,41.2
2012-08-03,41.68,42.64,41.63,42.39,677910,42.39
2012-08-06,42.55,42.55,41.92,41.94,425370,41.94
2012-08-07,42.16,42.61,42.11,42.37,766185,42.37
2012-08-08,42.03,42.19,41.57,41.69,499695,41.69
2012-08-09,41.58,41.91,41.57,41.68,364983,41.68
2012-08-10,41.08,41.42,40.87,41.36,634384,41.36
2012-08-13,41.12,41.48,40.98,41.4,370135,41.4
2012-08-14,41.55,41.83,41.05,41.18,596467,41.18
2012-08-15,41.2,41.62,41.14,41.43,363635,41.43
2012-08-16,41.42,42.5,41.34,42.41,545606,42.41
2012-08-17,42.47,42.74,42.21,42.28,475576,42.28
2012-08-20,42.45,42.58,41.8,42.41,482032,42.41
2012-08-21,42.5,43.4,42.5,42.9,344941,42.9
2012-08-22,42.69,43.18,42.51,43.04,490179,43.04
2012-08-23,42.89,43.08,42.17,42.43,445151,42.43
2012-08-24,42.43,42.73,42.24,42.55,388943,42.55
