DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,49.38,49.99,48.91,49.43,574240,49.43
2012-01-04,49.34,49.72,48.41,49.44,480353,49.44
2012-01-05,48.94,50.72,48.23,50.65,706964,50.65
2012-01-06,50.62,50.62,49.91,50.42,504336,50.42
2012-01-09,50.34,51.61,50.32,51.41,586176,51.41
2012-01-10,51.42,52.31,51.18,51.94,925731,51.94
2012-01-11,52,52.82,51.72,52.44,684028,52.44
2012-01-12,52.44,52.78,51.52,52.61,618158,52.61
2012-01-13,51.58,52.24,50.79,51.31,750636,51.31
2012-01-17,52.02,52.12,50.44,50.63,896778,50.63
2012-01-18,50.72,52.12,50.6,51.97,649360,51.97
2012-01-19,52.21,53.34,52.02,53.3,561895,53.3
2012-01-20,53.25,53.55,52.63,53.55,689442,53.55
2012-01-23,53.58,54.29,53.06,54.01,570323,54.01
2012-01-24,53.38,54.71,53.12,54.52,629516,54.52
2012-01-25,54.25,55.21,54.05,54.77,672842,54.77
2012-01-26,54.96,55.15,53.57,53.74,423168,53.74
2012-01-27,53.5,54.61,53.42,54.36,468343,54.36
2012-01-30,53.59,54.66,53.2,54.19,483155,54.19
2012-01-31,54.28,54.44,53.83,54.24,560225,54.24
2012-02-01,54.56,55.39,54.13,55.05,536764,55.05
2012-02-02,53,54.64,52.01,54.22,1131091,54.22
2012-02-03,54.94,56.83,54.9,56.72,822027,56.72
2012-02-06,56.37,57.93,56.29,57.29,694463,57.29
2012-02-07,56.87,57.35,56.22,56.25,655219,56.25
2012-02-08,56.39,56.85,56.11,56.81,433518,56.81
2012-02-09,56.8,56.88,56.1,56.73,424514,56.73
2012-02-10,56.08,56.11,55.31,55.67,408009,55.67
2012-02-13,56.12,56.3,55.11,55.71,432654,55.71
2012-02-14,55.27,55.55,54.81,55.29,418990,55.29
2012-02-15,55.4,55.4,53.63,53.74,658872,53.74
2012-02-16,53.82,54.45,53.45,54.36,436056,54.36
2012-02-17,54.76,55.23,54.65,55.06,572340,55.06
2012-02-21,55.02,55.51,53.93,54.11,429381,54.11
2012-02-22,53.84,54.42,53.42,53.68,400428,53.68
2012-02-23,53.68,54.32,53.18,54.12,352358,54.12
2012-02-24,54.28,55.3,54.26,54.99,589694,54.99
2012-02-27,54.03,55.6,53.86,55.24,594999,55.24
2012-02-28,55.01,55.39,54.72,54.97,501326,54.97
2012-02-29,54.13,54.98,53.89,53.9,833452,53.9
2012-03-01,53.88,54.82,53.88,54.49,422794,54.49
2012-03-02,54.25,54.9,54.05,54.19,367036,54.19
2012-03-05,54.07,54.94,53.89,54.37,560109,54.37
2012-03-06,53.69,53.9,52.68,52.9,608801,52.9
2012-03-07,53.04,53.56,52.98,53.42,400712,53.42
2012-03-08,53.76,54.48,53.73,54.13,526710,54.13
2012-03-09,54.33,55.38,54.26,54.89,622089,54.89
2012-03-12,54.89,55.24,54.31,54.5,378733,54.5
2012-03-13,55.07,57.45,55.06,57.35,862691,57.35
2012-03-14,57.3,57.46,56.09,56.44,463447,56.44
2012-03-15,56.39,56.49,55.91,56.07,606364,56.07
2012-03-16,56,56.35,55.69,56.03,1047640,56.03
2012-03-19,55.9,56.95,55.23,56.81,593639,56.81
2012-03-20,56.26,56.95,55.44,56.6,609605,56.6
2012-03-21,56.82,58.16,56.72,57.82,765924,57.82
2012-03-22,57.19,57.73,56.93,57.25,560830,57.25
2012-03-23,57.39,57.73,56.4,57.56,444122,57.56
2012-03-26,58.2,58.83,58.17,58.83,738344,58.83
2012-03-27,58.95,59.1,58.15,58.17,495464,58.17
2012-03-28,58,58.05,56.95,57.51,551015,57.51
2012-03-29,57.06,57.13,55.75,56.58,515294,56.58
2012-03-30,57.08,57.38,56.23,56.41,532199,56.41
2012-04-02,56.4,56.64,55.72,56.39,622784,56.39
2012-04-03,56.39,56.63,55.49,55.74,609389,55.74
2012-04-04,54.97,55.34,54.52,55.23,637171,55.23
2012-04-05,54.96,55.5,54.74,55.44,461282,55.44
2012-04-09,54.39,54.78,53.99,54.63,518289,54.63
2012-04-10,54.66,54.77,53.01,53.19,713799,53.19
2012-04-11,53.95,56.2,53.91,55.41,1174481,55.41
2012-04-12,55.41,56.58,55.16,56.27,497112,56.27
2012-04-13,56.11,56.49,55.52,56.08,399803,56.08
2012-04-16,56.44,56.52,55.26,55.43,472141,55.43
2012-04-17,55.96,57.04,55.52,56.88,671064,56.88
2012-04-18,56.45,56.99,56.43,56.57,652063,56.57
2012-04-19,57.68,59.04,57.64,58.02,986729,58.02
2012-04-20,58.25,58.53,57.42,57.61,661270,57.61
2012-04-23,56.55,56.77,55.98,56.38,406166,56.38
2012-04-24,56.63,56.97,56.05,56.85,339849,56.85
2012-04-25,57.48,57.86,57.12,57.62,492288,57.62
2012-04-26,57.3,60,56.01,59.77,1117125,59.77
2012-04-27,59.97,60.39,59.62,60.19,923397,60.19
2012-04-30,60.23,60.23,58.66,59.2,554577,59.2
2012-05-01,58.78,60.69,58.69,60.37,835171,60.37
2012-05-02,59.71,60.8,59.67,60.49,497783,60.49
2012-05-03,60.25,60.69,59.67,59.89,443058,59.89
2012-05-04,59.5,59.69,57.35,57.54,844363,57.54
2012-05-07,57.51,57.64,56.61,56.76,966825,56.76
2012-05-08,56.43,57.44,55.41,57.17,782119,57.17
2012-05-09,56.44,57.37,55.59,57.04,734594,57.04
2012-05-10,57.86,58.03,56.28,56.86,444889,56.86
2012-05-11,56.26,57.95,56,56.69,751085,56.69
2012-05-14,55.75,55.79,54.7,54.87,810645,54.87
2012-05-15,54.86,55.67,54.46,54.96,495289,54.96
2012-05-16,55.32,55.63,54.24,54.27,573572,54.27
2012-05-17,54.45,54.45,51.32,51.55,1175030,51.55
2012-05-18,51.39,51.82,50.17,50.46,1497545,50.46
2012-05-21,50.68,53.21,50.63,53.17,829714,53.17
2012-05-22,53.33,54.27,53.14,53.57,751195,53.57
2012-05-23,52.97,53.49,51.67,53.29,687910,53.29
2012-05-24,53.65,53.93,52.83,53.53,466146,53.53
2012-05-25,53.61,53.95,53.09,53.38,370305,53.38
