DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,26.37,26.82,26.37,26.62,2775506,26.62
2012-01-04,26.52,26.8,26.44,26.6,2336668,26.6
2012-01-05,26.44,26.58,26.26,26.5,2435670,26.5
2012-01-06,26.53,26.6,26.31,26.43,1855501,26.43
2012-01-09,26.42,26.61,26.33,26.44,2052839,26.44
2012-01-10,26.74,26.9,26.58,26.69,2269111,26.69
2012-01-11,26.55,26.67,26.33,26.65,3321124,26.65
2012-01-12,26.75,26.99,26.66,26.95,2100777,26.95
2012-01-13,26.75,26.88,26.37,26.49,3112787,26.49
2012-01-17,26.72,26.88,26.4,26.46,2714373,26.46
2012-01-18,26.42,27,26.4,27,2751246,27
2012-01-19,27.03,27.24,26.88,27.15,2640948,27.15
2012-01-20,27.13,28.18,27.05,28.13,6591647,28.13
2012-01-23,28.02,28.88,28.01,28.68,3413783,28.68
2012-01-24,28.34,28.84,28.28,28.52,3073737,28.52
2012-01-25,28.45,28.49,28.04,28.32,3052978,28.32
2012-01-26,28.21,28.46,27.85,27.99,2357240,27.99
2012-01-27,27.62,28.08,27.61,27.88,2585527,27.88
2012-01-30,27.28,28.04,27.23,27.88,2637288,27.88
2012-01-31,28.17,28.21,27.48,27.98,4003884,27.98
2012-02-01,28.2,28.91,28.18,28.76,3228017,28.76
2012-02-02,28.78,28.85,28.38,28.5,2726559,28.5
2012-02-03,28.9,29.21,28.81,29.07,2716648,29.07
2012-02-06,29,29.11,28.74,28.76,2459948,28.76
2012-02-07,28.73,29.17,28.6,28.95,2588265,28.95
2012-02-08,28.97,29.56,28.89,29.46,3008686,29.46
2012-02-09,29.48,29.48,29.03,29.11,2508652,29.11
2012-02-10,28.89,28.99,28.49,28.71,2238411,28.71
2012-02-13,28.9,29,28.43,28.75,1646350,28.75
2012-02-14,28.65,29.08,28.63,29.08,2320458,29.08
2012-02-15,29.4,29.55,28.97,29.12,3294395,29.12
2012-02-16,29.04,29.98,29.04,29.89,3354243,29.89
2012-02-17,30,30,29.53,29.59,4831168,29.59
2012-02-21,29.52,29.72,29.17,29.35,2668627,29.35
2012-02-22,29.14,29.2,28.78,28.94,3825826,28.94
2012-02-23,27.63,27.87,26.85,27.05,10906568,27.05
2012-02-24,27,27.09,26.57,26.64,4376722,26.64
2012-02-27,26.3,26.61,26.12,26.25,5029516,26.25
2012-02-28,26.28,26.38,26.01,26.18,3771933,26.18
2012-02-29,26.23,26.25,25.28,25.31,8295017,25.31
2012-03-01,25.36,25.65,25.19,25.25,4161068,25.25
2012-03-02,25.2,25.56,25.2,25.32,2823850,25.32
2012-03-05,25.22,25.22,24.72,25.01,4387902,25.01
2012-03-06,24.67,24.79,24.02,24.19,5072204,24.19
2012-03-07,24.22,24.52,24.19,24.36,2761199,24.36
2012-03-08,24.47,24.74,24.34,24.64,2629567,24.64
2012-03-09,24.6,24.67,24.05,24.18,3559736,24.18
2012-03-12,24,24.29,24,24.04,2756285,24.04
2012-03-13,24.04,24.64,23.91,24.57,4334465,24.57
2012-03-14,24.3,24.53,24.18,24.34,4405700,24.34
2012-03-15,24.08,24.59,24.08,24.4,4055873,24.4
2012-03-16,24.25,24.55,24.25,24.49,7484334,24.49
2012-03-19,24.51,24.59,24.31,24.34,2009198,24.34
2012-03-20,24.35,24.36,23.97,23.98,3460664,23.98
2012-03-21,24.1,24.1,23.36,23.46,7138399,23.46
2012-03-22,23.15,23.28,22.91,23.03,5252061,23.03
2012-03-23,23.06,23.64,22.92,23.61,4140730,23.61
2012-03-26,23.8,23.93,23.55,23.89,3967564,23.89
2012-03-27,23.95,23.96,23.62,23.62,2717217,23.62
2012-03-28,23.66,23.8,23.45,23.58,2704731,23.58
2012-03-29,23.42,23.61,23.37,23.51,3533887,23.51
2012-03-30,23.63,23.92,23.55,23.83,3922914,23.83
2012-04-02,23.89,23.98,23.69,23.88,3134258,23.88
2012-04-03,23.85,24.06,23.35,23.45,3232474,23.45
2012-04-04,23.25,23.38,23.15,23.26,2553708,23.26
